model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap,ACSF1,158,0.8899999856948853,0.8899999260902405,0.35523921251296997,0.9900000095367432,0.9899999499320984,0.026241526007652283
fcn,gap,Adiac,185,0.833759605884552,0.8337595462799072,0.6130249500274658,1.0,1.0,0.011558539234101772
fcn,gap,AllGestureWiimoteX,198,0.7114285826683044,0.7114285230636597,1.7466126680374146,1.0,1.0,4.247767719789408e-05
fcn,gap,AllGestureWiimoteY,198,0.7799999713897705,0.779999852180481,1.2941633462905884,1.0,1.0,1.7760938135324977e-05
fcn,gap,AllGestureWiimoteZ,199,0.6757143139839172,0.6757142543792725,1.605925440788269,1.0,1.0,0.0003585592785384506
fcn,gap,ArrowHead,104,0.8628571629524231,0.8628571629524231,0.558777928352356,1.0,1.0,0.0002610715164337307
fcn,gap,Beef,103,0.699999988079071,0.6999999284744263,0.9130236506462097,0.9666666388511658,0.966666579246521,0.15648485720157623
fcn,gap,BeetleFly,98,0.8999999761581421,0.8999999165534973,0.19804911315441132,1.0,1.0,0.001486092689447105
fcn,gap,BirdChicken,98,0.8500000238418579,0.8499999642372131,0.23149509727954865,1.0,1.0,0.00012139326281612739
fcn,gap,BME,95,0.846666693687439,0.8466666340827942,0.7652555108070374,1.0,1.0,0.0004965236876159906
fcn,gap,Car,112,0.8999999761581421,0.8999999165534973,0.263054221868515,1.0,1.0,0.00046576428576372564
fcn,gap,CBF,94,0.992222249507904,0.9922221899032593,0.028676936402916908,1.0,1.0,2.5351794192829402e-06
fcn,gap,Chinatown,92,0.9795918464660645,0.9795917868614197,0.22690576314926147,1.0,1.0,1.4901158351676713e-07
fcn,gap,ChlorineConcentration,205,0.8247395753860474,0.8247395157814026,0.8296801447868347,1.0,1.0,0.00023527731536887586
fcn,gap,CinCECGTorso,129,0.8195652365684509,0.8195651769638062,0.8663764595985413,1.0,1.0,0.0021870648488402367
fcn,gap,Coffee,109,1.0,1.0,0.0001333818945568055,1.0,1.0,4.172322576323495e-07
fcn,gap,Computers,187,0.8320000171661377,0.8319999575614929,2.3674702644348145,1.0,1.0,0.0013045110972598195
fcn,gap,CricketX,214,0.7923076748847961,0.7923076152801514,1.0395606756210327,1.0,1.0,1.6323483578162268e-05
fcn,gap,CricketY,214,0.7820512652397156,0.782051146030426,0.7632031440734863,1.0,1.0,2.9325570721994154e-05
fcn,gap,CricketZ,216,0.7846153974533081,0.7846153378486633,0.8230212330818176,1.0,1.0,1.2827278624172322e-05
fcn,gap,Crop,1593,0.7404761910438538,0.740476131439209,2.8510794639587402,1.0,1.0,1.2980565067266525e-08
fcn,gap,DiatomSizeReduction,152,0.3006536066532135,0.3006535470485687,4.485066890716553,0.375,0.3749999403953552,3.8729236125946045
fcn,gap,DistalPhalanxOutlineAgeGroup,156,0.7194244861602783,0.7194243669509888,2.3729264736175537,1.0,1.0,3.721085704455618e-06
fcn,gap,DistalPhalanxOutlineCorrect,209,0.77173912525177,0.7717390656471252,1.7824149131774902,1.0,1.0,3.936236225854373e-06
fcn,gap,DistalPhalanxTW,157,0.6834532618522644,0.6834532022476196,2.0399441719055176,1.0,1.0,4.341848125477554e-06
fcn,gap,DodgerLoopDay,114,0.4124999940395355,0.41249993443489075,1.6305536031723022,1.0,1.0,0.00150629214476794
fcn,gap,DodgerLoopGame,94,0.7681159377098083,0.7681159377098083,0.6698958873748779,1.0,1.0,4.76837058727142e-08
fcn,gap,DodgerLoopWeekend,93,0.9057971239089966,0.9057970643043518,0.3648216128349304,1.0,1.0,8.56513452163199e-06
fcn,gap,Earthquakes,202,0.7050359845161438,0.705035924911499,1.7083247900009155,1.0,1.0,0.00028256242512725294
fcn,gap,ECG200,100,0.8999999761581421,0.8999999165534973,0.6350732445716858,1.0,1.0,6.966484761505853e-06
fcn,gap,ECG5000,200,0.9413333535194397,0.9413332939147949,0.6484875082969666,1.0,1.0,4.318150331528159e-06
fcn,gap,ECGFiveDays,106,0.9941927790641785,0.9941927194595337,0.015857985243201256,1.0,1.0,5.21406764164567e-06
fcn,gap,ElectricDevices,2118,0.7111918330192566,0.7111917734146118,5.308137893676758,0.9830831289291382,0.9830830693244934,0.04721756651997566
fcn,gap,EOGHorizontalSignal,312,0.5469613075256348,0.54696124792099,2.515409469604492,1.0,1.0,0.003662543138489127
fcn,gap,EOGVerticalSignal,311,0.450276255607605,0.4502761960029602,4.520015716552734,1.0,1.0,0.009477593004703522
fcn,gap,EthanolLevel,491,0.24799999594688416,0.24799995124340057,26.451183319091797,0.25,0.24999994039535522,25.12311553955078
fcn,gap,FaceAll,207,0.9390532374382019,0.9390531778335571,0.30386143922805786,1.0,1.0,6.599085278224948e-09
fcn,gap,FaceFour,104,0.9431818127632141,0.9431817531585693,0.3141375184059143,1.0,1.0,1.1086228369094897e-05
fcn,gap,FacesUCR,124,0.9497560858726501,0.9497560262680054,0.2530210018157959,1.0,1.0,1.3762697790298262e-06
fcn,gap,FiftyWords,214,0.6637362837791443,0.6637362241744995,1.5571603775024414,1.0,1.0,0.007136845961213112
fcn,gap,Fish,145,0.9657142758369446,0.9657142162322998,0.5403075814247131,1.0,1.0,0.0001069858917617239
fcn,gap,FordA,1447,0.9151515364646912,0.9151514768600464,0.44550055265426636,1.0,1.0,0.0002615434641484171
fcn,gap,FordB,1447,0.7851851582527161,0.7851850986480713,1.4578052759170532,1.0,1.0,1.3112477972754277e-05
fcn,gap,FreezerRegularTrain,114,0.9894737005233765,0.9894736409187317,0.06808338314294815,1.0,1.0,0.0003643666859716177
fcn,gap,FreezerSmallTrain,110,0.7105262875556946,0.7105262279510498,2.3223137855529785,0.7142857313156128,0.7142856121063232,0.7035740613937378
fcn,gap,Fungi,185,0.0,0.0,4.625969409942627,0.0,0.0,4.79282808303833
fcn,gap,GestureMidAirD1,146,0.692307710647583,0.6923076510429382,1.5315603017807007,1.0,1.0,0.0015474295942112803
fcn,gap,GestureMidAirD2,144,0.6384615302085876,0.6384614706039429,1.515787959098816,0.9759615659713745,0.9759615063667297,0.09886225312948227
fcn,gap,GestureMidAirD3,146,0.33076924085617065,0.3307691812515259,4.328444957733154,1.0,1.0,0.00436829961836338
fcn,gap,GesturePebbleZ1,132,0.8895348906517029,0.8895348310470581,0.39688071608543396,1.0,1.0,0.0020660092122852802
fcn,gap,GesturePebbleZ2,136,0.7658227682113647,0.76582270860672,0.7881026864051819,1.0,1.0,6.013605889165774e-05
fcn,gap,GunPoint,96,1.0,1.0,0.0017177538247779012,1.0,1.0,4.52148997283075e-05
fcn,gap,GunPointAgeSpan,113,0.9936708807945251,0.9936708211898804,0.008757310919463634,1.0,1.0,8.324871305376291e-05
fcn,gap,GunPointMaleVersusFemale,110,0.996835470199585,0.9968354105949402,0.010419627651572227,1.0,1.0,5.740099732065573e-05
fcn,gap,GunPointOldVersusYoung,110,0.9809523820877075,0.9809523224830627,0.07513201981782913,1.0,1.0,0.00043681261013261974
fcn,gap,Ham,121,0.6761904954910278,0.6761904358863831,1.3203802108764648,1.0,1.0,0.00039654120337218046
fcn,gap,HandOutlines,1225,0.8972973227500916,0.8972972631454468,0.27203693985939026,0.9309999942779541,0.9309999346733093,0.1942470818758011
fcn,gap,Haptics,168,0.4707792103290558,0.470779150724411,2.7063450813293457,1.0,1.0,0.012220132164657116
fcn,gap,Herring,118,0.625,0.6249999403953552,1.0876692533493042,1.0,1.0,0.018511563539505005
fcn,gap,HouseTwenty,134,0.9831932783126831,0.9831932187080383,0.11989888548851013,1.0,1.0,3.829037450486794e-05
fcn,gap,InlineSkate,163,0.3309091031551361,0.33090904355049133,2.137557029724121,0.8799999952316284,0.8799999356269836,0.5297331213951111
fcn,gap,InsectEPGRegularTrain,123,1.0,1.0,0.005954619497060776,1.0,1.0,0.0004202558775432408
fcn,gap,InsectEPGSmallTrain,174,0.46987950801849365,0.4698794484138489,3.083491086959839,0.4117647111415863,0.41176465153694153,3.0550060272216797
fcn,gap,InsectWingbeatSound,143,0.39444443583488464,0.3944443464279175,3.516261339187622,1.0,1.0,0.00016657065134495497
fcn,gap,ItalyPowerDemand,107,0.9620991349220276,0.9620990753173828,0.27371087670326233,1.0,1.0,1.4767661014047917e-06
fcn,gap,LargeKitchenAppliances,248,0.9039999842643738,0.903999924659729,0.8503567576408386,1.0,1.0,3.075954373343848e-05
fcn,gap,Lightning2,114,0.7377049326896667,0.737704873085022,1.3564683198928833,1.0,1.0,0.0003395079984329641
fcn,gap,Lightning7,104,0.8767123222351074,0.8767122626304626,0.4701550602912903,1.0,1.0,2.726599450397771e-05
fcn,gap,Mallat,129,0.969296395778656,0.9692963361740112,0.09537346661090851,1.0,1.0,0.0006090911338105798
fcn,gap,Meat,107,0.75,0.7499999403953552,1.2811119556427002,0.9166666865348816,0.9166666269302368,0.19738264381885529
fcn,gap,MedicalImages,163,0.7789473533630371,0.7789472341537476,1.24300217628479,1.0,1.0,0.001940881134942174
fcn,gap,MelbournePedestrian,306,0.9155391454696655,0.9155390858650208,0.650466799736023,1.0,1.0,1.1980831882141274e-09
fcn,gap,MiddlePhalanxOutlineAgeGroup,156,0.551948070526123,0.5519480109214783,4.009054660797119,1.0,1.0,6.823720923421206e-06
fcn,gap,MiddlePhalanxOutlineCorrect,209,0.7938144207000732,0.7938143610954285,1.1103997230529785,1.0,1.0,4.2255287553416565e-05
fcn,gap,MiddlePhalanxTW,174,0.48701298236846924,0.48701292276382446,4.1654887199401855,1.0,1.0,9.176596904580947e-06
fcn,gap,MixedShapesRegularTrain,359,0.9599999785423279,0.9599999189376831,0.16481561958789825,1.0,1.0,0.0005667507066391408
fcn,gap,MixedShapesSmallTrain,142,0.8874226808547974,0.8874226212501526,0.4332210421562195,1.0,1.0,0.0006667206180281937
fcn,gap,MoteStrain,92,0.9313098788261414,0.9313097596168518,0.27509474754333496,1.0,1.0,7.96907079347875e-06
fcn,gap,NonInvasiveFetalECGThorax1,931,0.9582697153091431,0.9582696557044983,0.21457599103450775,1.0,1.0,3.2886815461097285e-05
fcn,gap,NonInvasiveFetalECGThorax2,934,0.9516539573669434,0.9516538977622986,0.24608950316905975,1.0,1.0,2.7252901418250985e-05
fcn,gap,OliveOil,102,0.699999988079071,0.6999999284744263,0.7391566038131714,0.8333333134651184,0.8333332538604736,0.6204930543899536
fcn,gap,OSULeaf,153,0.9710744023323059,0.9710743427276611,0.07779285311698914,1.0,1.0,0.0001719392603263259
fcn,gap,PhalangesOutlinesCorrect,481,0.8228438496589661,0.8228437900543213,1.243003487586975,1.0,1.0,1.329443693975918e-05
fcn,gap,Phoneme,198,0.32542192935943604,0.32542186975479126,4.758448600769043,0.9953271150588989,0.9953270554542542,0.008276998065412045
fcn,gap,PickupGestureWiimoteZ,103,0.7200000286102295,0.7199999094009399,1.2111234664916992,1.0,1.0,0.0004252541402820498
fcn,gap,PigAirwayPressure,183,0.17788460850715637,0.1778845489025116,7.038174629211426,0.7019230723381042,0.7019230127334595,0.8488613963127136
fcn,gap,PigArtPressure,181,0.9807692170143127,0.980769157409668,0.03859010711312294,1.0,1.0,0.0012061597080901265
fcn,gap,PigCVP,182,0.8269230723381042,0.8269230127334595,0.8394704461097717,0.9903846383094788,0.990384578704834,0.022329777479171753
fcn,gap,PLAID,445,0.9068901538848877,0.9068900942802429,0.49256598949432373,1.0,1.0,0.012363477610051632
fcn,gap,Plane,110,1.0,1.0,2.1264024326228537e-05,1.0,1.0,4.984080419490056e-07
fcn,gap,PowerCons,117,0.8333333134651184,0.8333332538604736,0.6079933643341064,1.0,1.0,0.00012244285608176142
fcn,gap,ProximalPhalanxOutlineAgeGroup,155,0.8292682766914368,0.8292681574821472,1.4887851476669312,1.0,1.0,1.9547756892279722e-05
fcn,gap,ProximalPhalanxOutlineCorrect,210,0.907216489315033,0.9072164297103882,0.537575364112854,1.0,1.0,2.071425478789024e-05
fcn,gap,ProximalPhalanxTW,156,0.7658536434173584,0.7658535838127136,1.8024933338165283,1.0,1.0,1.3606997526949272e-05
fcn,gap,RefrigerationDevices,249,0.4959999918937683,0.49599993228912354,5.264206409454346,1.0,1.0,0.0006265469128265977
fcn,gap,Rock,123,0.5799999833106995,0.5799999237060547,1.5874117612838745,1.0,1.0,0.02221180871129036
fcn,gap,ScreenType,250,0.6213333606719971,0.6213333010673523,2.38432240486145,1.0,1.0,0.006425608415156603
fcn,gap,SemgHandGenderCh2,290,0.8116666674613953,0.8116666674613953,0.7205169796943665,1.0,1.0,8.196182898245752e-05
fcn,gap,SemgHandMovementCh2,404,0.42888888716697693,0.42888879776000977,2.4620463848114014,1.0,1.0,0.01685306988656521
fcn,gap,SemgHandSubjectCh2,403,0.7266666889190674,0.7266666293144226,1.2760764360427856,1.0,1.0,0.00424764072522521
fcn,gap,ShakeGestureWiimoteZ,103,0.8600000143051147,0.85999995470047,0.5829652547836304,1.0,1.0,0.00012040620640618727
fcn,gap,ShapeletSim,98,0.7277777791023254,0.7277777791023254,0.7495264410972595,1.0,1.0,6.55651035685878e-08
fcn,gap,ShapesAll,309,0.8883333206176758,0.888333261013031,0.6398844122886658,1.0,1.0,0.00015319515659939498
