model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_gmp,ACSF1,196,0.9300000071525574,0.9299999475479126,0.31291940808296204,1.0,1.0,4.3789743358502164e-05
fcn,gap_gmp,Adiac,225,0.8235294222831726,0.8235293626785278,1.3975934982299805,1.0,1.0,0.00022326158068608493
fcn,gap_gmp,AllGestureWiimoteX,251,0.6100000143051147,0.60999995470047,3.258021116256714,1.0,1.0,4.529952235543533e-08
fcn,gap_gmp,AllGestureWiimoteY,249,0.727142870426178,0.7271428108215332,2.175765037536621,1.0,1.0,4.5895546918472974e-07
fcn,gap_gmp,AllGestureWiimoteZ,250,0.6557142734527588,0.655714213848114,2.5419883728027344,1.0,1.0,2.916652590556623e-07
fcn,gap_gmp,ArrowHead,122,0.668571412563324,0.6685713529586792,1.8002372980117798,1.0,1.0,2.3179576658094447e-07
fcn,gap_gmp,Beef,117,0.699999988079071,0.6999999284744263,3.042156934738159,1.0,1.0,0.0002019908861257136
fcn,gap_gmp,BeetleFly,115,0.8999999761581421,0.8999999165534973,0.1507464349269867,1.0,1.0,3.576278473360617e-08
fcn,gap_gmp,BirdChicken,114,0.8500000238418579,0.8499999642372131,0.8294141888618469,1.0,1.0,2.9802318834981634e-08
fcn,gap_gmp,BME,104,0.8999999761581421,0.8999999165534973,0.6907910108566284,1.0,1.0,3.973642748178463e-08
fcn,gap_gmp,Car,133,0.7666666507720947,0.76666659116745,1.2743443250656128,1.0,1.0,1.3019468497077469e-05
fcn,gap_gmp,CBF,104,0.9800000190734863,0.9799999594688416,0.06304459273815155,1.0,1.0,3.973642748178463e-09
fcn,gap_gmp,Chinatown,99,0.9854227304458618,0.985422670841217,0.17126159369945526,1.0,1.0,2.384185471271394e-08
fcn,gap_gmp,ChlorineConcentration,252,0.8408854007720947,0.8408852815628052,1.1789275407791138,1.0,1.0,6.148497050162405e-06
fcn,gap_gmp,CinCECGTorso,142,0.623913049697876,0.6239129900932312,3.0170042514801025,1.0,1.0,3.084506488448824e-06
fcn,gap_gmp,Coffee,125,1.0,1.0,0.0001316931884502992,1.0,1.0,3.831726758107834e-08
fcn,gap_gmp,Computers,247,0.7760000228881836,0.775999903678894,1.601850986480713,1.0,1.0,1.2674306617554976e-06
fcn,gap_gmp,CricketX,257,0.6461538672447205,0.6461538076400757,2.1539814472198486,1.0,1.0,2.9710611215705285e-07
fcn,gap_gmp,CricketY,255,0.6128205060958862,0.6128204464912415,1.9741599559783936,1.0,1.0,1.6780998635113065e-07
fcn,gap_gmp,CricketZ,255,0.6666666865348816,0.6666666269302368,2.022247314453125,1.0,1.0,3.8819433001435755e-08
fcn,gap_gmp,Crop,2173,0.7347024083137512,0.7347023487091064,3.9605631828308105,1.0,1.0,0.0
fcn,gap_gmp,DiatomSizeReduction,147,0.686274528503418,0.6862744688987732,2.7726809978485107,0.75,0.7499999403953552,2.1847407817840576
fcn,gap_gmp,DistalPhalanxOutlineAgeGroup,197,0.7194244861602783,0.7194243669509888,2.2006616592407227,1.0,1.0,3.278255222838311e-09
fcn,gap_gmp,DistalPhalanxOutlineCorrect,266,0.7427536249160767,0.7427535653114319,2.273726224899292,1.0,1.0,1.688798079158005e-08
fcn,gap_gmp,DistalPhalanxTW,196,0.6690647602081299,0.6690647006034851,2.4180908203125,1.0,1.0,1.6629689980618423e-07
fcn,gap_gmp,DodgerLoopDay,149,0.42500001192092896,0.4249999523162842,2.463291645050049,1.0,1.0,0.0
fcn,gap_gmp,DodgerLoopGame,109,0.8478260636329651,0.8478259444236755,0.6775422096252441,1.0,1.0,5.960464122267695e-09
fcn,gap_gmp,DodgerLoopWeekend,112,0.9275362491607666,0.9275361895561218,0.4575536847114563,1.0,1.0,5.960464122267695e-09
fcn,gap_gmp,Earthquakes,271,0.7410072088241577,0.7410071492195129,2.514395236968994,1.0,1.0,1.2106035285341932e-07
fcn,gap_gmp,ECG200,117,0.8299999833106995,0.8299999237060547,1.538857102394104,1.0,1.0,1.0728834709539115e-08
fcn,gap_gmp,ECG5000,254,0.940666675567627,0.9406666159629822,0.8418591618537903,1.0,1.0,2.4557110123168968e-08
fcn,gap_gmp,ECGFiveDays,120,0.8455284833908081,0.8455284237861633,0.7416662573814392,1.0,1.0,4.146409438021692e-08
fcn,gap_gmp,ElectricDevices,2904,0.7043185234069824,0.7043184638023376,6.56162166595459,0.985771894454956,0.9857718348503113,0.039217762649059296
fcn,gap_gmp,EOGHorizontalSignal,433,0.5662983655929565,0.5662983059883118,5.36483097076416,1.0,1.0,1.9682565834955312e-06
fcn,gap_gmp,EOGVerticalSignal,437,0.43922650814056396,0.4392264485359192,8.829687118530273,1.0,1.0,4.522284598351689e-06
fcn,gap_gmp,EthanolLevel,699,0.593999981880188,0.5939999222755432,1.9319590330123901,1.0,1.0,0.00631966907531023
fcn,gap_gmp,FaceAll,274,0.9218934774398804,0.9218934178352356,0.5334531664848328,1.0,1.0,0.0
fcn,gap_gmp,FaceFour,126,0.6590909361839294,0.6590908765792847,2.4374430179595947,1.0,1.0,0.0
fcn,gap_gmp,FacesUCR,160,0.8853658437728882,0.8853657841682434,0.5911489129066467,1.0,1.0,6.55651035685878e-08
fcn,gap_gmp,FiftyWords,278,0.591208815574646,0.5912087559700012,3.2124407291412354,1.0,1.0,0.0001564550620969385
fcn,gap_gmp,Fish,181,0.9200000166893005,0.9199999570846558,2.44669508934021,1.0,1.0,1.8559036107035354e-05
fcn,gap_gmp,FordA,2185,0.9106060862541199,0.9106060266494751,1.2149001359939575,1.0,1.0,9.931348105007842e-11
fcn,gap_gmp,FordB,2172,0.7469135522842407,0.746913492679596,3.941823959350586,1.0,1.0,0.0
fcn,gap_gmp,FreezerRegularTrain,140,0.9936842322349548,0.9936841726303101,0.03618745133280754,1.0,1.0,2.7974368776995107e-07
fcn,gap_gmp,FreezerSmallTrain,126,0.9578947424888611,0.9578946828842163,0.6423930525779724,1.0,1.0,4.89608453335677e-07
fcn,gap_gmp,Fungi,172,0.5430107712745667,0.5430107116699219,2.169485330581665,0.7222222089767456,0.722222089767456,1.3915164470672607
fcn,gap_gmp,GestureMidAirD1,173,0.6615384817123413,0.6615384221076965,3.0899548530578613,1.0,1.0,2.6360137781011872e-05
fcn,gap_gmp,GestureMidAirD2,176,0.6153846383094788,0.615384578704834,3.050933599472046,1.0,1.0,0.001529501285403967
fcn,gap_gmp,GestureMidAirD3,176,0.38461539149284363,0.38461533188819885,7.695687770843506,1.0,1.0,0.00019308761693537235
fcn,gap_gmp,GesturePebbleZ1,161,0.5581395626068115,0.5581395030021667,2.4669902324676514,1.0,1.0,2.298386107213446e-06
fcn,gap_gmp,GesturePebbleZ2,167,0.3860759437084198,0.386075884103775,4.002543926239014,1.0,1.0,5.584870450547896e-07
fcn,gap_gmp,GunPoint,112,0.9800000190734863,0.9799999594688416,0.08550158143043518,1.0,1.0,1.2636179747005372e-07
