model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_map2_map4_map8,ACSF1,408,0.6899999976158142,0.6899999380111694,3.1061654090881348,1.0,1.0,0.0002945481101050973
fcn,gap_map2_map4_map8,Adiac,220,0.7851662635803223,0.7851662039756775,2.2547078132629395,1.0,1.0,0.00045689541730098426
fcn,gap_map2_map4_map8,AllGestureWiimoteX,345,0.7328571677207947,0.7328571081161499,2.2507548332214355,1.0,1.0,2.8614076654776e-06
fcn,gap_map2_map4_map8,AllGestureWiimoteY,344,0.741428554058075,0.7414284944534302,2.131181001663208,1.0,1.0,3.4200920708826743e-06
fcn,gap_map2_map4_map8,AllGestureWiimoteZ,346,0.6585714221000671,0.6585713624954224,2.8070666790008545,1.0,1.0,2.008641058637295e-05
fcn,gap_map2_map4_map8,ArrowHead,123,0.822857141494751,0.8228570818901062,0.9900371432304382,1.0,1.0,8.510209568157734e-07
fcn,gap_map2_map4_map8,Beef,128,0.7333333492279053,0.7333332896232605,2.05718731880188,1.0,1.0,0.0003739707753993571
fcn,gap_map2_map4_map8,BeetleFly,114,0.75,0.7499999403953552,0.5406066179275513,1.0,1.0,2.5629987021602574e-07
fcn,gap_map2_map4_map8,BirdChicken,112,0.800000011920929,0.800000011920929,2.221508502960205,1.0,1.0,5.257037628325634e-06
fcn,gap_map2_map4_map8,BME,106,1.0,1.0,0.00015183280629571527,1.0,1.0,7.947285496356926e-09
fcn,gap_map2_map4_map8,Car,155,0.8666666746139526,0.8666666150093079,1.3981682062149048,1.0,1.0,1.4801305951550603e-05
fcn,gap_map2_map4_map8,CBF,103,0.996666669845581,0.9966666102409363,0.011024368926882744,1.0,1.0,6.755190895546548e-08
fcn,gap_map2_map4_map8,Chinatown,100,0.9854227304458618,0.985422670841217,0.16504353284835815,1.0,1.0,1.25169620446286e-07
fcn,gap_map2_map4_map8,ChlorineConcentration,237,0.8505208492279053,0.8505207896232605,1.2183964252471924,1.0,1.0,5.144075657881331e-06
fcn,gap_map2_map4_map8,CinCECGTorso,298,0.8905797004699707,0.8905796408653259,0.4417479634284973,1.0,1.0,1.7225705732926144e-06
fcn,gap_map2_map4_map8,Coffee,129,1.0,1.0,0.00013208920427132398,1.0,1.0,4.257474373048353e-09
fcn,gap_map2_map4_map8,Computers,425,0.7440000176429749,0.7439998984336853,2.618070602416992,1.0,1.0,1.3637061783811077e-05
fcn,gap_map2_map4_map8,CricketX,286,0.764102578163147,0.7641025185585022,2.2719998359680176,1.0,1.0,3.539595638812898e-07
fcn,gap_map2_map4_map8,CricketY,288,0.7923076748847961,0.7923076152801514,1.5617854595184326,1.0,1.0,7.305376925614837e-07
fcn,gap_map2_map4_map8,CricketZ,286,0.7820512652397156,0.782051146030426,2.150578022003174,1.0,1.0,1.434174691894441e-06
fcn,gap_map2_map4_map8,Crop,1858,0.7479166388511658,0.747916579246521,4.555439472198486,1.0,1.0,0.0
fcn,gap_map2_map4_map8,DiatomSizeReduction,160,0.9771241545677185,0.9771240949630737,0.6753540635108948,1.0,1.0,5.736939101552707e-07
fcn,gap_map2_map4_map8,DistalPhalanxOutlineAgeGroup,186,0.7769784331321716,0.7769784331321716,3.094763994216919,1.0,1.0,5.275010295235916e-08
fcn,gap_map2_map4_map8,DistalPhalanxOutlineCorrect,245,0.7681159377098083,0.7681159377098083,3.0141685009002686,1.0,1.0,1.3093148254483822e-07
fcn,gap_map2_map4_map8,DistalPhalanxTW,188,0.6115108132362366,0.6115107536315918,3.8638012409210205,1.0,1.0,2.7120110601686065e-08
fcn,gap_map2_map4_map8,DodgerLoopDay,151,0.5249999761581421,0.5249999165534973,1.6839468479156494,1.0,1.0,7.641620669573967e-09
fcn,gap_map2_map4_map8,DodgerLoopGame,113,0.8913043737411499,0.8913043141365051,0.6298922896385193,1.0,1.0,1.7881390590446244e-07
fcn,gap_map2_map4_map8,DodgerLoopWeekend,112,0.9855072498321533,0.9855071902275085,0.1511513739824295,1.0,1.0,2.9802318834981634e-08
fcn,gap_map2_map4_map8,Earthquakes,330,0.7338129281997681,0.7338128685951233,3.4138758182525635,1.0,1.0,0.0
