model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_mpvH,ACSF1,183,0.9100000262260437,0.9099999666213989,0.27576878666877747,1.0,1.0,0.0036124426405876875
fcn,gap_mpvH,Adiac,201,0.833759605884552,0.8337595462799072,0.639895498752594,1.0,1.0,0.007559387478977442
fcn,gap_mpvH,AllGestureWiimoteX,221,0.691428542137146,0.6914284825325012,1.5343146324157715,1.0,1.0,0.001894065528176725
fcn,gap_mpvH,AllGestureWiimoteY,224,0.7342857122421265,0.7342856526374817,1.4378547668457031,1.0,1.0,0.004543699324131012
fcn,gap_mpvH,AllGestureWiimoteZ,224,0.6399999856948853,0.6399999260902405,1.6713452339172363,0.9466666579246521,0.9466665983200073,0.13639996945858002
fcn,gap_mpvH,ArrowHead,108,0.8342857360839844,0.8342856764793396,0.6407109498977661,1.0,1.0,0.00011146537872264162
fcn,gap_mpvH,Beef,106,0.699999988079071,0.6999999284744263,1.1321433782577515,1.0,1.0,0.046655815094709396
fcn,gap_mpvH,BeetleFly,102,0.8500000238418579,0.8499999642372131,0.34196823835372925,1.0,1.0,0.00019557296764105558
fcn,gap_mpvH,BirdChicken,101,0.800000011920929,0.800000011920929,0.7546237707138062,1.0,1.0,1.1032614565920085e-05
fcn,gap_mpvH,BME,99,0.8733333349227905,0.8733332753181458,0.7674053311347961,1.0,1.0,0.0003104808565694839
fcn,gap_mpvH,Car,120,0.9166666865348816,0.9166666269302368,0.4073718786239624,1.0,1.0,0.0002763371157925576
fcn,gap_mpvH,CBF,97,0.9988889098167419,0.9988888502120972,0.00357570918276906,1.0,1.0,1.1722227100108285e-06
fcn,gap_mpvH,Chinatown,95,0.9825072884559631,0.9825072288513184,0.1898026317358017,1.0,1.0,1.2516970571141428e-07
fcn,gap_mpvH,ChlorineConcentration,205,0.8231770992279053,0.8231770396232605,1.0988471508026123,1.0,1.0,0.00029966054717078805
fcn,gap_mpvH,CinCECGTorso,133,0.7942029237747192,0.7942028641700745,1.0204572677612305,1.0,1.0,0.0029569112230092287
fcn,gap_mpvH,Coffee,114,1.0,1.0,0.00035669966018758714,1.0,1.0,8.302060336973227e-07
fcn,gap_mpvH,Computers,219,0.7599999904632568,0.7599999308586121,3.3767077922821045,1.0,1.0,0.00032327338703908026
fcn,gap_mpvH,CricketX,220,0.7794871926307678,0.779487133026123,1.0789763927459717,1.0,1.0,2.0789255358977243e-05
fcn,gap_mpvH,CricketY,220,0.7820512652397156,0.782051146030426,0.7730668783187866,1.0,1.0,2.8337166440906003e-05
fcn,gap_mpvH,CricketZ,221,0.7769230604171753,0.7769230008125305,0.7854633927345276,1.0,1.0,1.8666523828869686e-05
