model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_mpvH_ppvHste,ACSF1,171,0.9300000071525574,0.9299999475479126,0.23977668583393097,1.0,1.0,0.026420922949910164
fcn,gap_mpvH_ppvHste,Adiac,192,0.8644501566886902,0.8644501566886902,0.5192742347717285,1.0,1.0,0.016188856214284897
fcn,gap_mpvH_ppvHste,AllGestureWiimoteX,198,0.7099999785423279,0.7099999189376831,1.5821313858032227,1.0,1.0,0.0015328365843743086
fcn,gap_mpvH_ppvHste,AllGestureWiimoteY,199,0.7528571486473083,0.7528570294380188,1.4364317655563354,1.0,1.0,0.002059520687907934
fcn,gap_mpvH_ppvHste,AllGestureWiimoteZ,198,0.6600000262260437,0.6599999666213989,1.3580862283706665,0.9933333396911621,0.9933332800865173,0.07441910356283188
fcn,gap_mpvH_ppvHste,ArrowHead,110,0.8171428442001343,0.8171427845954895,0.7265888452529907,1.0,1.0,0.00037951202830299735
fcn,gap_mpvH_ppvHste,Beef,108,0.699999988079071,0.6999999284744263,1.0612868070602417,1.0,1.0,0.03590475022792816
fcn,gap_mpvH_ppvHste,BeetleFly,104,0.800000011920929,0.800000011920929,0.42339611053466797,1.0,1.0,0.00015385219012387097
fcn,gap_mpvH_ppvHste,BirdChicken,103,0.8500000238418579,0.8499999642372131,0.26164889335632324,1.0,1.0,0.00018577623995952308
fcn,gap_mpvH_ppvHste,BME,103,0.8533333539962769,0.8533332347869873,0.9049835205078125,1.0,1.0,0.0003823186852969229
fcn,gap_mpvH_ppvHste,Car,118,0.9166666865348816,0.9166666269302368,0.22065329551696777,1.0,1.0,0.0007329352083615959
fcn,gap_mpvH_ppvHste,CBF,99,0.9933333396911621,0.9933332800865173,0.029084866866469383,1.0,1.0,4.68887355964398e-06
fcn,gap_mpvH_ppvHste,Chinatown,98,0.9795918464660645,0.9795917868614197,0.18226896226406097,1.0,1.0,1.227852180818445e-06
fcn,gap_mpvH_ppvHste,ChlorineConcentration,215,0.7986978888511658,0.7986977696418762,1.0649675130844116,1.0,1.0,0.0019529081182554364
fcn,gap_mpvH_ppvHste,CinCECGTorso,132,0.810869574546814,0.8108695149421692,0.893697202205658,1.0,1.0,0.0021237146575003862
fcn,gap_mpvH_ppvHste,Coffee,115,1.0,1.0,0.0007810105453245342,1.0,1.0,3.508122972561978e-06
fcn,gap_mpvH_ppvHste,Computers,200,0.7919999957084656,0.7919999957084656,2.445366621017456,1.0,1.0,0.000746771867852658
fcn,gap_mpvH_ppvHste,CricketX,199,0.7871794700622559,0.7871794104576111,1.091939091682434,1.0,1.0,1.8404432921670377e-05
fcn,gap_mpvH_ppvHste,CricketY,209,0.7871794700622559,0.7871794104576111,0.6832320094108582,1.0,1.0,2.1204798031249084e-05
fcn,gap_mpvH_ppvHste,CricketZ,206,0.7948718070983887,0.7948718070983887,0.760819673538208,1.0,1.0,2.5560453650541604e-05
fcn,gap_mpvH_ppvHste,Crop,1682,0.7394047379493713,0.7394046783447266,2.8789477348327637,1.0,1.0,2.1076854039847603e-08
fcn,gap_mpvH_ppvHste,DiatomSizeReduction,131,0.3006536066532135,0.3006535470485687,3.9199976921081543,0.375,0.3749999403953552,3.042914628982544
fcn,gap_mpvH_ppvHste,DistalPhalanxOutlineAgeGroup,164,0.6978417038917542,0.6978416442871094,2.540863037109375,1.0,1.0,5.2707687245856505e-06
fcn,gap_mpvH_ppvHste,DistalPhalanxOutlineCorrect,220,0.7572463750839233,0.7572463154792786,1.8690317869186401,1.0,1.0,7.47920648791478e-06
fcn,gap_mpvH_ppvHste,DistalPhalanxTW,171,0.6618704795837402,0.6618704199790955,2.2018468379974365,1.0,1.0,1.0028448969023884e-06
fcn,gap_mpvH_ppvHste,DodgerLoopDay,125,0.4625000059604645,0.4624999463558197,1.8023818731307983,1.0,1.0,0.001129109412431717
fcn,gap_mpvH_ppvHste,DodgerLoopGame,100,0.7463768124580383,0.7463767528533936,0.7915030121803284,1.0,1.0,2.369202411500737e-05
fcn,gap_mpvH_ppvHste,DodgerLoopWeekend,101,0.8768116235733032,0.8768115639686584,0.7654085755348206,1.0,1.0,5.268965196592035e-06
fcn,gap_mpvH_ppvHste,Earthquakes,206,0.7266187071800232,0.7266186475753784,1.55228590965271,1.0,1.0,0.0003167289250995964
fcn,gap_mpvH_ppvHste,ECG200,103,0.8700000047683716,0.8699999451637268,0.7699231505393982,1.0,1.0,2.483113803464221e-06
fcn,gap_mpvH_ppvHste,ECG5000,214,0.9386666417121887,0.938666582107544,0.6852934956550598,1.0,1.0,8.79656545293983e-06
fcn,gap_mpvH_ppvHste,ECGFiveDays,113,0.9918699264526367,0.9918698668479919,0.0351661778986454,1.0,1.0,4.330332012614235e-05
fcn,gap_mpvH_ppvHste,ElectricDevices,2156,0.7127480506896973,0.7127479910850525,4.368163108825684,0.9835312366485596,0.9835311770439148,0.0469038262963295
fcn,gap_mpvH_ppvHste,EOGHorizontalSignal,322,0.5745856165885925,0.5745855569839478,2.1927921772003174,1.0,1.0,0.02355046384036541
fcn,gap_mpvH_ppvHste,EOGVerticalSignal,324,0.45303866267204285,0.45303860306739807,4.177234172821045,1.0,1.0,0.025626661255955696
fcn,gap_mpvH_ppvHste,EthanolLevel,509,0.24799999594688416,0.24799995124340057,10.97812271118164,0.25,0.24999994039535522,10.09748363494873
fcn,gap_mpvH_ppvHste,FaceAll,219,0.9502958655357361,0.9502958059310913,0.28467217087745667,1.0,1.0,1.4901160305669237e-09
fcn,gap_mpvH_ppvHste,FaceFour,111,0.9204545617103577,0.9204545021057129,0.40999940037727356,1.0,1.0,6.228625807125354e-06
fcn,gap_mpvH_ppvHste,FacesUCR,132,0.9463414549827576,0.9463413953781128,0.25694170594215393,1.0,1.0,1.1366590797479148e-06
fcn,gap_mpvH_ppvHste,FiftyWords,215,0.6571428775787354,0.6571428179740906,1.646837592124939,1.0,1.0,0.005094723775982857
fcn,gap_mpvH_ppvHste,Fish,148,0.9599999785423279,0.9599999189376831,0.6208116412162781,1.0,1.0,6.409428169718012e-05
fcn,gap_mpvH_ppvHste,FordA,1534,0.9151515364646912,0.9151514768600464,0.500148355960846,1.0,1.0,8.270321268355474e-05
fcn,gap_mpvH_ppvHste,FordB,1555,0.760493814945221,0.7604937553405762,2.092848539352417,1.0,1.0,3.849324912152952e-06
fcn,gap_mpvH_ppvHste,FreezerRegularTrain,116,0.9954385757446289,0.9954385161399841,0.0607224777340889,1.0,1.0,0.00032045418629422784
fcn,gap_mpvH_ppvHste,FreezerSmallTrain,114,0.6635087728500366,0.6635087132453918,3.510056257247925,0.6785714030265808,0.678571343421936,2.0148680210113525
fcn,gap_mpvH_ppvHste,Fungi,153,0.005376344081014395,0.005376294255256653,5.983487606048584,0.0,0.0,6.398380756378174
fcn,gap_mpvH_ppvHste,GestureMidAirD1,149,0.7076923251152039,0.7076922655105591,1.231787919998169,1.0,1.0,0.003611055202782154
