model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gmp,ACSF1,179,0.8899999856948853,0.8899999260902405,0.4131086468696594,1.0,1.0,7.597403600811958e-05
fcn,gmp,Adiac,198,0.8081841468811035,0.8081841468811035,1.209281086921692,1.0,1.0,0.00022032938431948423
fcn,gmp,AllGestureWiimoteX,225,0.6142857074737549,0.6142856478691101,2.7052061557769775,1.0,1.0,1.1996410194115015e-06
fcn,gmp,AllGestureWiimoteY,225,0.7142857313156128,0.7142856121063232,2.3245246410369873,1.0,1.0,9.640044709158246e-07
fcn,gmp,AllGestureWiimoteZ,224,0.6600000262260437,0.6599999666213989,2.349947690963745,1.0,1.0,2.769616230580141e-06
fcn,gmp,ArrowHead,111,0.668571412563324,0.6685713529586792,1.4926022291183472,1.0,1.0,0.00017830404976848513
fcn,gmp,Beef,113,0.6333333253860474,0.6333332657814026,3.780299425125122,1.0,1.0,1.982769026653841e-05
fcn,gmp,BeetleFly,109,0.949999988079071,0.9499999284744263,0.16315355896949768,1.0,1.0,4.172324707951702e-08
fcn,gmp,BirdChicken,108,0.8999999761581421,0.8999999165534973,0.2836759686470032,1.0,1.0,2.384185648907078e-08
fcn,gmp,BME,106,0.9133333563804626,0.9133332371711731,0.726496696472168,1.0,1.0,3.973642748178463e-08
fcn,gmp,Car,128,0.6833333373069763,0.6833332777023315,1.2687726020812988,1.0,1.0,1.982406320166774e-05
fcn,gmp,CBF,103,0.9977777600288391,0.9977777004241943,0.005902839824557304,1.0,1.0,0.0
fcn,gmp,Chinatown,98,0.9825072884559631,0.9825072288513184,0.18130362033843994,1.0,1.0,5.960464122267695e-09
fcn,gmp,ChlorineConcentration,216,0.8374999761581421,0.8374998569488525,1.2092912197113037,1.0,1.0,5.5478767535532825e-06
fcn,gmp,CinCECGTorso,131,0.5963768362998962,0.5963767766952515,3.681873083114624,1.0,1.0,7.587587788293604e-06
fcn,gmp,Coffee,117,1.0,1.0,0.00029115687357261777,1.0,1.0,3.405979143167315e-08
fcn,gmp,Computers,221,0.7720000147819519,0.7719999551773071,2.0823802947998047,1.0,1.0,5.383486154642014e-07
fcn,gmp,CricketX,227,0.6410256624221802,0.6410256028175354,2.562836170196533,1.0,1.0,6.113296535659174e-09
fcn,gmp,CricketY,225,0.6051282286643982,0.6051281690597534,2.3270277976989746,1.0,1.0,3.576277265437966e-07
fcn,gmp,CricketZ,222,0.6692307591438293,0.6692306995391846,1.9931771755218506,1.0,1.0,4.6766714945079e-08
fcn,gmp,Crop,1745,0.7356547713279724,0.7356547117233276,3.957826852798462,1.0,1.0,0.0
fcn,gmp,DiatomSizeReduction,146,0.686274528503418,0.6862744688987732,1.2631574869155884,0.75,0.7499999403953552,0.6880423426628113
fcn,gmp,DistalPhalanxOutlineAgeGroup,182,0.7338129281997681,0.7338128685951233,1.845889687538147,1.0,1.0,1.254677357565015e-07
fcn,gmp,DistalPhalanxOutlineCorrect,243,0.7681159377098083,0.7681159377098083,2.325559377670288,1.0,1.0,2.2252399034528025e-08
fcn,gmp,DistalPhalanxTW,181,0.6906474828720093,0.6906474232673645,2.8493754863739014,1.0,1.0,2.7418133541345924e-08
fcn,gmp,DodgerLoopDay,140,0.25,0.24999994039535522,3.0218100547790527,1.0,1.0,1.5283241339147935e-09
fcn,gmp,DodgerLoopGame,104,0.8695651888847351,0.8695651292800903,0.716253399848938,1.0,1.0,1.7881392366803084e-08
fcn,gmp,DodgerLoopWeekend,109,0.8695651888847351,0.8695651292800903,0.859675943851471,1.0,1.0,1.7881392366803084e-08
fcn,gmp,Earthquakes,246,0.7482014298439026,0.7482013702392578,2.7343952655792236,1.0,1.0,2.2583124703601243e-08
fcn,gmp,ECG200,111,0.8399999737739563,0.8399999141693115,1.2959080934524536,1.0,1.0,1.0728834709539115e-08
fcn,gmp,ECG5000,223,0.9397777915000916,0.9397777318954468,0.739538311958313,1.0,1.0,2.0384767651648872e-07
fcn,gmp,ECGFiveDays,116,0.8524971008300781,0.8524970412254333,0.7969489097595215,1.0,1.0,1.5549035836670555e-08
fcn,gmp,ElectricDevices,2316,0.6836985945701599,0.6836985349655151,6.809488296508789,0.9861080050468445,0.9861079454421997,0.038791101425886154
fcn,gmp,EOGHorizontalSignal,380,0.549723744392395,0.5497236847877502,4.169038772583008,1.0,1.0,1.2287348909012508e-05
fcn,gmp,EOGVerticalSignal,381,0.45303866267204285,0.45303860306739807,8.390153884887695,1.0,1.0,1.3427262274490204e-05
fcn,gmp,EthanolLevel,621,0.4779999852180481,0.4779999256134033,1.7358882427215576,0.920634925365448,0.9206348657608032,0.1993342638015747
fcn,gmp,FaceAll,231,0.9029585719108582,0.9029585123062134,0.6966668367385864,1.0,1.0,0.0
fcn,gmp,FaceFour,112,0.5909090638160706,0.5909090042114258,2.2163443565368652,1.0,1.0,4.967053435223079e-09
fcn,gmp,FacesUCR,141,0.8780487775802612,0.8780486583709717,0.5735674500465393,1.0,1.0,3.3974643542933336e-08
fcn,gmp,FiftyWords,238,0.58681321144104,0.5868131518363953,3.622389316558838,1.0,1.0,4.2400355596328154e-05
fcn,gmp,Fish,160,0.8742856979370117,0.8742856979370117,5.994397163391113,1.0,1.0,2.406225394224748e-05
fcn,gmp,FordA,1859,0.9053030014038086,0.9053029417991638,1.1834365129470825,1.0,1.0,2.979404278846687e-09
fcn,gmp,FordB,1893,0.7419753074645996,0.7419751882553101,4.005711078643799,1.0,1.0,0.0
fcn,gmp,FreezerRegularTrain,129,0.9943859577178955,0.9943858981132507,0.023559577763080597,1.0,1.0,2.3603401189120632e-07
fcn,gmp,FreezerSmallTrain,119,0.9628069996833801,0.9628069400787354,0.48356059193611145,1.0,1.0,9.161514753941447e-06
fcn,gmp,Fungi,159,0.6720430254936218,0.672042965888977,2.141176700592041,0.7777777910232544,0.7777776718139648,1.446931004524231
fcn,gmp,GestureMidAirD1,161,0.6230769157409668,0.623076856136322,3.1659133434295654,1.0,1.0,2.7297812266624533e-05
fcn,gmp,GestureMidAirD2,163,0.6153846383094788,0.615384578704834,2.8131916522979736,1.0,1.0,0.0058338697999715805
fcn,gmp,GestureMidAirD3,163,0.3384615480899811,0.3384614884853363,7.023010730743408,1.0,1.0,0.0003322776756249368
fcn,gmp,GesturePebbleZ1,151,0.447674423456192,0.44767436385154724,3.555868148803711,1.0,1.0,1.438704475731356e-05
fcn,gmp,GesturePebbleZ2,154,0.32278481125831604,0.32278475165367126,4.980945587158203,1.0,1.0,3.494627094369207e-07
fcn,gmp,GunPoint,103,0.9933333396911621,0.9933332800865173,0.00921473279595375,1.0,1.0,7.867810580819423e-08
fcn,gmp,GunPointAgeSpan,121,0.996835470199585,0.9968354105949402,0.023386100307106972,1.0,1.0,2.1634245683799236e-07
fcn,gmp,GunPointMaleVersusFemale,122,0.996835470199585,0.9968354105949402,0.007217928767204285,1.0,1.0,3.267216897029357e-08
fcn,gmp,GunPointOldVersusYoung,121,0.958730161190033,0.9587301015853882,0.46813374757766724,1.0,1.0,6.089134785725037e-06
fcn,gmp,Ham,141,0.6761904954910278,0.6761904358863831,1.9860386848449707,1.0,1.0,6.9457810241146944e-06
fcn,gmp,HandOutlines,1641,0.8756756782531738,0.875675618648529,0.51310795545578,0.9539999961853027,0.953999936580658,0.08459031581878662
fcn,gmp,Haptics,197,0.3279220759868622,0.3279220163822174,7.339201927185059,1.0,1.0,0.00013359598233364522
fcn,gmp,Herring,132,0.578125,0.5781249403953552,1.8286750316619873,1.0,1.0,0.0001248680637218058
fcn,gmp,HouseTwenty,144,0.9327731132507324,0.9327730536460876,0.36403244733810425,1.0,1.0,2.9802320611338473e-09
fcn,gmp,InlineSkate,205,0.4854545593261719,0.4854544997215271,5.955479621887207,1.0,1.0,1.7590178686077707e-05
fcn,gmp,InsectEPGRegularTrain,138,1.0,1.0,0.0019973579328507185,1.0,1.0,6.15273663129301e-08
fcn,gmp,InsectEPGSmallTrain,169,0.9196786880493164,0.9196786284446716,0.31573858857154846,1.0,1.0,0.002016620012000203
fcn,gmp,InsectWingbeatSound,162,0.3232323229312897,0.3232322633266449,5.680037498474121,1.0,1.0,5.037108621763764e-06
fcn,gmp,ItalyPowerDemand,112,0.966958224773407,0.9669581651687622,0.2573469281196594,1.0,1.0,3.3805616084237045e-08
fcn,gmp,LargeKitchenAppliances,295,0.8853333592414856,0.8853332996368408,1.535951852798462,1.0,1.0,3.563559118902049e-07
fcn,gmp,Lightning2,128,0.7868852615356445,0.7868852019309998,1.141359567642212,1.0,1.0,1.2397741784297978e-06
fcn,gmp,Lightning7,116,0.7260273694992065,0.7260273098945618,2.209414482116699,1.0,1.0,3.0653815485948144e-08
fcn,gmp,Mallat,135,0.9343283772468567,0.9343283176422119,0.459421843290329,1.0,1.0,7.14786619937513e-06
fcn,gmp,Meat,117,0.75,0.7499999403953552,0.7418542504310608,1.0,1.0,0.005676330998539925
fcn,gmp,MedicalImages,183,0.7473683953285217,0.747368335723877,1.9275093078613281,1.0,1.0,2.8511538403108716e-05
fcn,gmp,MelbournePedestrian,361,0.9024190306663513,0.9024189710617065,0.7450724840164185,1.0,1.0,0.0
fcn,gmp,MiddlePhalanxOutlineAgeGroup,186,0.5389610528945923,0.5389609932899475,4.267971515655518,1.0,1.0,3.993510588884419e-08
fcn,gmp,MiddlePhalanxOutlineCorrect,244,0.8109965920448303,0.8109965920448303,1.2659765481948853,1.0,1.0,2.259015019490107e-07
fcn,gmp,MiddlePhalanxTW,192,0.4545454680919647,0.45454540848731995,4.935080051422119,1.0,1.0,5.975402395108631e-10
fcn,gmp,MixedShapesRegularTrain,442,0.9422680139541626,0.9422679543495178,0.42588141560554504,1.0,1.0,4.878659638052341e-06
fcn,gmp,MixedShapesSmallTrain,155,0.853608250617981,0.8536081910133362,0.9466575384140015,1.0,1.0,3.0109398721833713e-05
fcn,gmp,MoteStrain,102,0.8817891478538513,0.8817891478538513,0.45302316546440125,1.0,1.0,1.93115897673124e-06
fcn,gmp,NonInvasiveFetalECGThorax1,1168,0.9119592905044556,0.9119592308998108,0.8389754295349121,1.0,1.0,1.56230285597303e-07
fcn,gmp,NonInvasiveFetalECGThorax2,1166,0.9083969593048096,0.9083968997001648,0.8341405987739563,1.0,1.0,1.4834913031336328e-07
fcn,gmp,OliveOil,109,0.699999988079071,0.6999999284744263,0.7454065084457397,0.8999999761581421,0.8999999165534973,0.36614805459976196
fcn,gmp,OSULeaf,160,0.913223147392273,0.9132230877876282,0.4471679925918579,1.0,1.0,5.360796876630047e-06
fcn,gmp,PhalangesOutlinesCorrect,518,0.8391608595848083,0.8391607999801636,1.7121461629867554,1.0,1.0,7.132688040201174e-08
fcn,gmp,Phoneme,234,0.21888186037540436,0.21888181567192078,7.277866840362549,1.0,1.0,4.168940449744696e-06
fcn,gmp,PickupGestureWiimoteZ,112,0.6200000047683716,0.6199999451637268,1.7143542766571045,1.0,1.0,4.003022695542313e-06
fcn,gmp,PigAirwayPressure,218,0.10576923191547394,0.10576917976140976,18.956087112426758,1.0,1.0,0.000244379771174863
fcn,gmp,PigArtPressure,215,0.2211538404226303,0.22115379571914673,13.901517868041992,1.0,1.0,1.6043353753047995e-05
fcn,gmp,PigCVP,215,0.10096153616905212,0.10096148401498795,12.179533004760742,1.0,1.0,4.4783564590034075e-06
