model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gmp_mmp2_mmp4_mmp8,ACSF1,165,0.7900000214576721,0.7899999618530273,2.6449997425079346,1.0,1.0,7.693544830544852e-06
fcn,gmp_mmp2_mmp4_mmp8,Adiac,196,0.8184143304824829,0.8184142708778381,1.9413188695907593,1.0,1.0,3.202701554982923e-05
fcn,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteX,209,0.6742857098579407,0.6742856502532959,3.4477322101593018,1.0,1.0,4.4107430596795894e-08
fcn,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteY,207,0.7285714149475098,0.728571355342865,2.7654645442962646,1.0,1.0,9.043995987667586e-07
fcn,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteZ,210,0.6600000262260437,0.6599999666213989,3.0806493759155273,1.0,1.0,1.3017616993238335e-06
fcn,gmp_mmp2_mmp4_mmp8,ArrowHead,120,0.7942857146263123,0.7942856550216675,1.3702963590621948,1.0,1.0,5.2981899756332496e-08
fcn,gmp_mmp2_mmp4_mmp8,Beef,116,0.7333333492279053,0.7333332896232605,2.1955337524414062,1.0,1.0,7.367053967755055e-06
fcn,gmp_mmp2_mmp4_mmp8,BeetleFly,118,0.699999988079071,0.6999999284744263,1.06142258644104,1.0,1.0,3.576278473360617e-08
fcn,gmp_mmp2_mmp4_mmp8,BirdChicken,114,0.800000011920929,0.800000011920929,0.7704915404319763,1.0,1.0,6.73532042583247e-07
fcn,gmp_mmp2_mmp4_mmp8,BME,109,1.0,1.0,0.00012496479030232877,1.0,1.0,3.973642748178463e-09
fcn,gmp_mmp2_mmp4_mmp8,Car,142,0.7833333611488342,0.7833333015441895,1.424241304397583,1.0,1.0,9.3380592147696e-08
fcn,gmp_mmp2_mmp4_mmp8,CBF,110,0.9766666889190674,0.9766666293144226,0.07040760666131973,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,Chinatown,101,0.9795918464660645,0.9795917868614197,0.1757352501153946,1.0,1.0,4.7683616344329494e-07
fcn,gmp_mmp2_mmp4_mmp8,ChlorineConcentration,224,0.8565104007720947,0.8565104007720947,1.1583251953125,1.0,1.0,1.7559688103574445e-06
fcn,gmp_mmp2_mmp4_mmp8,CinCECGTorso,146,0.813043475151062,0.8130434155464172,1.9202134609222412,1.0,1.0,1.192092824453539e-08
fcn,gmp_mmp2_mmp4_mmp8,Coffee,125,1.0,1.0,0.002100431825965643,1.0,1.0,4.257474373048353e-09
fcn,gmp_mmp2_mmp4_mmp8,Computers,207,0.7279999852180481,0.7279999256134033,1.9442293643951416,1.0,1.0,2.8753262881764385e-07
fcn,gmp_mmp2_mmp4_mmp8,CricketX,217,0.7589743733406067,0.7589743137359619,1.6332406997680664,1.0,1.0,3.973642748178463e-09
fcn,gmp_mmp2_mmp4_mmp8,CricketY,219,0.7794871926307678,0.779487133026123,1.5019190311431885,1.0,1.0,6.724626189225091e-09
fcn,gmp_mmp2_mmp4_mmp8,CricketZ,219,0.7589743733406067,0.7589743137359619,1.7940235137939453,1.0,1.0,2.567584544976853e-08
fcn,gmp_mmp2_mmp4_mmp8,Crop,1753,0.7452380657196045,0.7452379465103149,5.47012996673584,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,DiatomSizeReduction,154,0.9640522599220276,0.9640522003173828,0.6356064081192017,1.0,1.0,9.685750512744562e-08
fcn,gmp_mmp2_mmp4_mmp8,DistalPhalanxOutlineAgeGroup,180,0.7050359845161438,0.705035924911499,2.917018175125122,1.0,1.0,8.940695961356937e-10
fcn,gmp_mmp2_mmp4_mmp8,DistalPhalanxOutlineCorrect,231,0.7644927501678467,0.7644926905632019,2.7111294269561768,1.0,1.0,7.430710269318297e-08
fcn,gmp_mmp2_mmp4_mmp8,DistalPhalanxTW,181,0.6258992552757263,0.6258991956710815,3.5263185501098633,1.0,1.0,2.98023217215615e-10
fcn,gmp_mmp2_mmp4_mmp8,DodgerLoopDay,148,0.5,0.4999999403953552,1.9180396795272827,1.0,1.0,1.5283241339147935e-09
fcn,gmp_mmp2_mmp4_mmp8,DodgerLoopGame,112,0.8840579986572266,0.8840579986572266,0.4521530270576477,1.0,1.0,1.192092824453539e-08
fcn,gmp_mmp2_mmp4_mmp8,DodgerLoopWeekend,114,0.97826087474823,0.9782608151435852,0.20343095064163208,1.0,1.0,1.7881392366803084e-08
fcn,gmp_mmp2_mmp4_mmp8,Earthquakes,237,0.7482014298439026,0.7482013702392578,2.6774020195007324,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,ECG200,116,0.8899999856948853,0.8899999260902405,0.855500340461731,1.0,1.0,2.38418573772492e-09
fcn,gmp_mmp2_mmp4_mmp8,ECG5000,226,0.9348888993263245,0.9348888397216797,0.9946409463882446,1.0,1.0,2.3841856267026174e-10
fcn,gmp_mmp2_mmp4_mmp8,ECGFiveDays,131,0.8745644688606262,0.8745644092559814,0.5822972655296326,1.0,1.0,9.329419725645494e-08
fcn,gmp_mmp2_mmp4_mmp8,ElectricDevices,2199,0.7089871764183044,0.7089871764183044,15.22652816772461,0.9941743016242981,0.9941742420196533,0.01233013067394495
fcn,gmp_mmp2_mmp4_mmp8,EOGHorizontalSignal,333,0.5690608024597168,0.569060742855072,6.189876079559326,1.0,1.0,1.9619919839897193e-06
fcn,gmp_mmp2_mmp4_mmp8,EOGVerticalSignal,335,0.530386745929718,0.5303866863250732,8.93409538269043,1.0,1.0,2.1411281068139942e-06
fcn,gmp_mmp2_mmp4_mmp8,EthanolLevel,536,0.734000027179718,0.7339999079704285,2.0561177730560303,1.0,1.0,9.165643132291734e-05
fcn,gmp_mmp2_mmp4_mmp8,FaceAll,232,0.9189348816871643,0.9189348220825195,0.5458690524101257,1.0,1.0,2.1287371865241766e-10
fcn,gmp_mmp2_mmp4_mmp8,FaceFour,123,0.7613636255264282,0.7613635063171387,0.7281232476234436,1.0,1.0,1.4901160305669237e-08
fcn,gmp_mmp2_mmp4_mmp8,FacesUCR,148,0.9463414549827576,0.9463413953781128,0.28976741433143616,1.0,1.0,1.19209286886246e-09
fcn,gmp_mmp2_mmp4_mmp8,FiftyWords,220,0.7758241891860962,0.7758241891860962,3.045032024383545,1.0,1.0,3.92065970800104e-08
fcn,gmp_mmp2_mmp4_mmp8,Fish,156,0.9371428489685059,0.9371427893638611,1.3989434242248535,1.0,1.0,8.719846846361179e-06
fcn,gmp_mmp2_mmp4_mmp8,FordA,1555,0.9219697117805481,0.9219696521759033,0.8898231387138367,1.0,1.0,2.6483595871873433e-10
fcn,gmp_mmp2_mmp4_mmp8,FordB,1564,0.749382734298706,0.7493826150894165,3.9690942764282227,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,FreezerRegularTrain,122,0.9915789365768433,0.9915788769721985,0.049005843698978424,1.0,1.0,2.559020799708378e-07
