model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,map4,ACSF1,180,0.8100000023841858,0.8099998831748962,1.4672021865844727,1.0,1.0,0.0015508910873904824
fcn,map4,Adiac,212,0.8158567547798157,0.8158566951751709,1.4346927404403687,1.0,1.0,0.000534474034793675
fcn,map4,AllGestureWiimoteX,221,0.7171428799629211,0.7171428203582764,1.8875432014465332,1.0,1.0,1.0424274478282314e-05
fcn,map4,AllGestureWiimoteY,218,0.7614285945892334,0.7614285349845886,1.6801625490188599,1.0,1.0,4.997609266865766e-06
fcn,map4,AllGestureWiimoteZ,219,0.6814285516738892,0.6814284920692444,2.145678997039795,1.0,1.0,5.701217014575377e-05
fcn,map4,ArrowHead,146,0.7942857146263123,0.7942856550216675,0.9452431201934814,1.0,1.0,5.8677014749264345e-06
fcn,map4,Beef,141,0.5666666626930237,0.5666666030883789,2.415050506591797,1.0,1.0,0.0010648671304807067
fcn,map4,BeetleFly,137,0.6499999761581421,0.6499999165534973,1.0944552421569824,1.0,1.0,1.8656216980161844e-06
fcn,map4,BirdChicken,137,0.75,0.7499999403953552,1.4779284000396729,1.0,1.0,3.4451245483069215e-06
fcn,map4,BME,135,1.0,1.0,5.844468978466466e-05,1.0,1.0,7.708848670517909e-07
fcn,map4,Car,151,0.8999999761581421,0.8999999165534973,0.6592341661453247,1.0,1.0,8.686280125402845e-06
fcn,map4,CBF,134,0.995555579662323,0.9955555200576782,0.01842575892806053,1.0,1.0,5.165735217360634e-08
fcn,map4,Chinatown,131,0.9883381724357605,0.9883381128311157,0.14984916150569916,1.0,1.0,1.8477419416740304e-07
fcn,map4,ChlorineConcentration,232,0.8268229365348816,0.8268228769302368,1.2083219289779663,1.0,1.0,2.061443228740245e-05
fcn,map4,CinCECGTorso,173,0.8492753505706787,0.8492752313613892,0.8411110639572144,1.0,1.0,1.075551062967861e-05
fcn,map4,Coffee,150,1.0,1.0,9.395206143381074e-05,1.0,1.0,2.0861621408130304e-07
fcn,map4,Computers,219,0.7720000147819519,0.7719999551773071,2.6110756397247314,1.0,1.0,3.041216950805392e-05
fcn,map4,CricketX,226,0.7615384459495544,0.7615383863449097,1.3953391313552856,1.0,1.0,1.5922037164273206e-06
fcn,map4,CricketY,226,0.843589723110199,0.8435896635055542,0.8406697511672974,1.0,1.0,9.64370656220126e-07
fcn,map4,CricketZ,224,0.7666666507720947,0.76666659116745,1.438826084136963,1.0,1.0,1.2098190609322046e-06
fcn,map4,Crop,1713,0.7455357313156128,0.745535671710968,3.885716199874878,1.0,1.0,0.0
fcn,map4,DiatomSizeReduction,166,0.9803921580314636,0.9803920984268188,1.2639260292053223,1.0,1.0,0.004345590248703957
fcn,map4,DistalPhalanxOutlineAgeGroup,204,0.7410072088241577,0.7410071492195129,2.9438512325286865,1.0,1.0,2.846119571131567e-07
fcn,map4,DistalPhalanxOutlineCorrect,255,0.7644927501678467,0.7644926905632019,2.936854600906372,1.0,1.0,1.9490707359182124e-07
fcn,map4,DistalPhalanxTW,199,0.6402877569198608,0.6402876973152161,3.300827741622925,1.0,1.0,9.208916651459731e-08
fcn,map4,DodgerLoopDay,163,0.5249999761581421,0.5249999165534973,1.77936589717865,1.0,1.0,1.818705612777194e-07
fcn,map4,DodgerLoopGame,142,0.8550724387168884,0.8550723791122437,0.5924060940742493,1.0,1.0,1.7881392366803084e-08
fcn,map4,DodgerLoopWeekend,138,0.9637681245803833,0.9637680649757385,0.20726673305034637,1.0,1.0,3.576278473360617e-08
fcn,map4,Earthquakes,221,0.7122302055358887,0.7122301459312439,2.552299976348877,1.0,1.0,2.1028210994700203e-07
fcn,map4,ECG200,139,0.9200000166893005,0.9199999570846558,0.7955442667007446,1.0,1.0,3.576276412786683e-07
fcn,map4,ECG5000,234,0.9382222294807434,0.9382221698760986,0.9342116117477417,1.0,1.0,1.2588490960752097e-07
fcn,map4,ECGFiveDays,146,0.8118466734886169,0.8118466734886169,1.2436954975128174,1.0,1.0,4.892659489996731e-06
fcn,map4,ElectricDevices,2200,0.6987420320510864,0.6987419724464417,8.190364837646484,0.9931660294532776,0.9931659698486328,0.017424138262867928
fcn,map4,EOGHorizontalSignal,257,0.5690608024597168,0.569060742855072,5.004216194152832,1.0,1.0,0.0002378812787355855
fcn,map4,EOGVerticalSignal,255,0.4475138187408447,0.44751375913619995,8.743024826049805,1.0,1.0,0.00021998808369971812
fcn,map4,EthanolLevel,469,0.8859999775886536,0.8859999179840088,0.42861026525497437,0.9642857313156128,0.9642856121063232,0.1320791393518448
fcn,map4,FaceAll,246,0.8988165855407715,0.8988165855407715,0.37139981985092163,1.0,1.0,4.2574743730483533e-10
fcn,map4,FaceFour,152,0.9204545617103577,0.9204545021057129,0.17096258699893951,1.0,1.0,1.241763101234028e-07
fcn,map4,FacesUCR,169,0.9619511961936951,0.9619511365890503,0.1673172563314438,1.0,1.0,0.0
fcn,map4,FiftyWords,242,0.7890110015869141,0.7890110015869141,2.113128900527954,1.0,1.0,1.0748628483270295e-05
fcn,map4,Fish,173,0.977142870426178,0.9771428108215332,0.5806002616882324,1.0,1.0,2.4114586267387494e-05
fcn,map4,FordA,1013,0.9166666865348816,0.9166666269302368,0.6034217476844788,1.0,1.0,2.3720753233646974e-05
fcn,map4,FordB,1022,0.7469135522842407,0.746913492679596,2.0957581996917725,1.0,1.0,9.089476975532307e-07
fcn,map4,FreezerRegularTrain,152,0.9985964894294739,0.9985964298248291,0.02257721684873104,1.0,1.0,4.300206001062179e-06
fcn,map4,FreezerSmallTrain,151,0.8873684406280518,0.8873684406280518,0.9349111914634705,1.0,1.0,4.687410637416178e-06
fcn,map4,Fungi,189,0.8387096524238586,0.8387095928192139,0.5870460867881775,0.9444444179534912,0.9444443583488464,0.18014052510261536
fcn,map4,GestureMidAirD1,165,0.6846153736114502,0.6846153140068054,2.8098857402801514,1.0,1.0,0.00012104456982342526
fcn,map4,GestureMidAirD2,166,0.692307710647583,0.6923076510429382,2.6388001441955566,0.995192289352417,0.9951922297477722,0.023235579952597618
fcn,map4,GestureMidAirD3,167,0.39230769872665405,0.3923076391220093,7.268405437469482,1.0,1.0,0.0002502296702004969
fcn,map4,GesturePebbleZ1,166,0.8720930218696594,0.8720930218696594,1.1469756364822388,1.0,1.0,1.2794862414011732e-05
fcn,map4,GesturePebbleZ2,169,0.8670886158943176,0.8670885562896729,0.5283082723617554,1.0,1.0,5.139845143276034e-06
fcn,map4,GunPoint,138,0.9866666793823242,0.9866666197776794,0.04775597155094147,1.0,1.0,4.5776334900438087e-07
