model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,mpvS,ACSF1,158,0.9100000262260437,0.9099999666213989,0.37191981077194214,0.9800000190734863,0.9799999594688416,0.07930459827184677
fcn,mpvS,Adiac,212,0.7058823704719543,0.7058823108673096,1.0491232872009277,0.7846153974533081,0.7846153378486633,0.7603504657745361
fcn,mpvS,AllGestureWiimoteX,202,0.6714285612106323,0.6714285016059875,1.1378785371780396,0.9233333468437195,0.9233332872390747,0.35842815041542053
fcn,mpvS,AllGestureWiimoteY,203,0.6871428489685059,0.6871427893638611,1.2553648948669434,0.9800000190734863,0.9799999594688416,0.15650299191474915
fcn,mpvS,AllGestureWiimoteZ,202,0.6357142925262451,0.6357142329216003,1.0768694877624512,0.8299999833106995,0.8299999237060547,0.5282335877418518
fcn,mpvS,ArrowHead,122,0.5714285969734192,0.5714285373687744,1.0272058248519897,0.7777777910232544,0.7777776718139648,0.54537034034729
fcn,mpvS,Beef,115,0.5333333611488342,0.5333333015441895,1.0306280851364136,0.7666666507720947,0.76666659116745,0.785365104675293
fcn,mpvS,BeetleFly,112,0.6499999761581421,0.6499999165534973,0.8880610466003418,1.0,1.0,0.032256368547677994
fcn,mpvS,BirdChicken,111,1.0,1.0,0.016585152596235275,1.0,1.0,0.0007719516288489103
fcn,mpvS,BME,110,0.6066666841506958,0.606666624546051,0.6232262253761292,0.8333333134651184,0.8333332538604736,0.38633498549461365
fcn,mpvS,Car,120,0.6666666865348816,0.6666666269302368,0.7383435964584351,0.8666666746139526,0.8666666150093079,0.4175015687942505
fcn,mpvS,CBF,110,0.9855555295944214,0.9855554699897766,0.054995112121105194,1.0,1.0,0.00042410322930663824
fcn,mpvS,Chinatown,108,0.9737609624862671,0.9737609028816223,0.11152950674295425,1.0,1.0,0.019018029794096947
fcn,mpvS,ChlorineConcentration,236,0.5653645992279053,0.5653645396232605,1.0328246355056763,0.6081370711326599,0.6081370115280151,0.8619038462638855
fcn,mpvS,CinCECGTorso,133,0.643478274345398,0.6434782147407532,1.5458630323410034,1.0,1.0,0.025602703914046288
fcn,mpvS,Coffee,134,1.0,1.0,0.01556292176246643,1.0,1.0,0.004930053371936083
fcn,mpvS,Computers,197,0.7519999742507935,0.7519999146461487,0.6530753374099731,0.8840000033378601,0.8839999437332153,0.29041588306427
fcn,mpvS,CricketX,223,0.7076923251152039,0.7076922655105591,0.9669424295425415,0.9974358677864075,0.9974358081817627,0.050660356879234314
fcn,mpvS,CricketY,222,0.7025641202926636,0.7025640606880188,0.8475053906440735,1.0,1.0,0.061334334313869476
fcn,mpvS,CricketZ,221,0.7564102411270142,0.7564101219177246,0.6526184678077698,0.9871794581413269,0.9871793985366821,0.12360957264900208
fcn,mpvS,Crop,2608,0.6877381205558777,0.6877380609512329,1.0194737911224365,0.8199999928474426,0.8199999332427979,0.5482932329177856
fcn,mpvS,DiatomSizeReduction,150,0.7385621070861816,0.7385620474815369,0.7483339309692383,0.875,0.8749999403953552,0.24492008984088898
fcn,mpvS,DistalPhalanxOutlineAgeGroup,200,0.7050359845161438,0.705035924911499,0.5811581611633301,0.8824999928474426,0.8824998736381531,0.2974195182323456
fcn,mpvS,DistalPhalanxOutlineCorrect,279,0.77173912525177,0.7717390656471252,0.5268210768699646,0.8766666650772095,0.8766666054725647,0.31476181745529175
fcn,mpvS,DistalPhalanxTW,198,0.6690647602081299,0.6690647006034851,0.8090062737464905,0.8274999856948853,0.8274999260902405,0.4490889608860016
fcn,mpvS,DodgerLoopDay,135,0.5249999761581421,0.5249999165534973,1.2142760753631592,0.8461538553237915,0.8461537957191467,0.6360169053077698
fcn,mpvS,DodgerLoopGame,110,0.8550724387168884,0.8550723791122437,0.35250329971313477,1.0,1.0,0.022406915202736855
fcn,mpvS,DodgerLoopWeekend,109,0.9275362491607666,0.9275361895561218,0.45581552386283875,1.0,1.0,0.0011235158890485764
fcn,mpvS,Earthquakes,222,0.7769784331321716,0.7769784331321716,0.5776183605194092,0.8788819909095764,0.8788819313049316,0.2794046700000763
fcn,mpvS,ECG200,115,0.8999999761581421,0.8999999165534973,0.3411986231803894,1.0,1.0,0.017946528270840645
fcn,mpvS,ECG5000,250,0.940666675567627,0.9406666159629822,0.2897060811519623,0.984000027179718,0.9839999675750732,0.0571267195045948
fcn,mpvS,ECGFiveDays,127,0.8408827185630798,0.8408826589584351,0.49048277735710144,1.0,1.0,0.05508707836270332
fcn,mpvS,ElectricDevices,3254,0.7318117022514343,0.7318116426467896,1.4732770919799805,0.9184405207633972,0.9184404611587524,0.23140697181224823
fcn,mpvS,EOGHorizontalSignal,303,0.4751381278038025,0.4751380681991577,2.004737138748169,0.9419889450073242,0.9419888854026794,0.21827733516693115
fcn,mpvS,EOGVerticalSignal,303,0.38397789001464844,0.38397783041000366,2.8179283142089844,0.8812154531478882,0.8812153935432434,0.44031158089637756
fcn,mpvS,EthanolLevel,451,0.2980000078678131,0.29799994826316833,1.350677490234375,0.4246031641960144,0.42460310459136963,1.279388189315796
fcn,mpvS,FaceAll,266,0.7887573838233948,0.78875732421875,1.2972198724746704,1.0,1.0,0.0019764702301472425
fcn,mpvS,FaceFour,123,0.8863636255264282,0.8863635659217834,0.4846067726612091,1.0,1.0,0.011491374112665653
fcn,mpvS,FacesUCR,145,0.8819512128829956,0.8819511532783508,0.5459793210029602,1.0,1.0,0.0021383308339864016
fcn,mpvS,FiftyWords,244,0.5406593680381775,0.5406593084335327,2.0003750324249268,0.9577777981758118,0.957777738571167,0.2403544783592224
fcn,mpvS,Fish,152,0.7885714173316956,0.7885713577270508,0.823326587677002,0.8171428442001343,0.8171427845954895,0.6563906669616699
fcn,mpvS,FordA,1591,0.9219697117805481,0.9219696521759033,0.2022167146205902,0.9502915740013123,0.9502915143966675,0.13780386745929718
fcn,mpvS,FordB,1595,0.7925925850868225,0.7925925850868225,0.45675596594810486,0.9452695250511169,0.9452694654464722,0.13749320805072784
fcn,mpvS,FreezerRegularTrain,124,0.9708771705627441,0.9708771109580994,0.12376433610916138,1.0,1.0,0.03619324043393135
fcn,mpvS,FreezerSmallTrain,129,0.7838596701622009,0.7838596105575562,0.5748277902603149,0.9642857313156128,0.9642856121063232,0.19559042155742645
fcn,mpvS,Fungi,167,0.6451612710952759,0.6451612114906311,1.7963366508483887,0.5555555820465088,0.555555522441864,1.8114266395568848
fcn,mpvS,GestureMidAirD1,150,0.5307692289352417,0.5307691693305969,1.5509415864944458,0.8317307829856873,0.8317307233810425,0.6586453318595886
fcn,mpvS,GestureMidAirD2,146,0.6307692527770996,0.6307691931724548,1.2321887016296387,0.8221153616905212,0.8221153616905212,0.6171783804893494
fcn,mpvS,GestureMidAirD3,148,0.20000000298023224,0.19999997317790985,2.69561767578125,0.6105769276618958,0.610576868057251,1.372774600982666
fcn,mpvS,GesturePebbleZ1,141,0.8604651093482971,0.8604650497436523,0.4005342125892639,0.9848484992980957,0.9848484396934509,0.09191545099020004
fcn,mpvS,GesturePebbleZ2,144,0.8101266026496887,0.810126543045044,0.4552466869354248,0.9931507110595703,0.9931506514549255,0.06426917016506195
fcn,mpvS,GunPoint,111,0.9866666793823242,0.9866666197776794,0.05753663554787636,1.0,1.0,0.016230151057243347
fcn,mpvS,GunPointAgeSpan,130,0.9905063509941101,0.9905062913894653,0.022863974794745445,1.0,1.0,0.0017269606469199061
fcn,mpvS,GunPointMaleVersusFemale,125,0.9936708807945251,0.9936708211898804,0.014356734231114388,1.0,1.0,0.00012272085587028414
fcn,mpvS,GunPointOldVersusYoung,126,0.9777777791023254,0.9777777194976807,0.08228522539138794,1.0,1.0,0.028167560696601868
fcn,mpvS,Ham,134,0.6666666865348816,0.6666666269302368,0.7936272621154785,0.963302731513977,0.9633026719093323,0.15638209879398346
fcn,mpvS,HandOutlines,1036,0.7297297120094299,0.7297296524047852,0.4943755269050598,0.7990000247955322,0.7989999651908875,0.44309377670288086
fcn,mpvS,Haptics,173,0.38311687111854553,0.38311681151390076,1.6093183755874634,0.5870967507362366,0.5870966911315918,1.1523146629333496
fcn,mpvS,Herring,127,0.5625,0.5624999403953552,0.6794763803482056,0.640625,0.6406249403953552,0.6100815534591675
fcn,mpvS,HouseTwenty,134,0.9915966391563416,0.9915965795516968,0.0639389231801033,1.0,1.0,5.017896182835102e-05
fcn,mpvS,InlineSkate,166,0.22545453906059265,0.22545449435710907,2.126180410385132,0.5699999928474426,0.5699999332427979,1.2049674987792969
fcn,mpvS,InsectEPGRegularTrain,132,0.9919678568840027,0.9919677972793579,0.017461415380239487,1.0,1.0,0.0008103422005660832
fcn,mpvS,InsectEPGSmallTrain,162,0.4618473947048187,0.46184733510017395,6.830816268920898,0.47058823704719543,0.47058817744255066,4.3352179527282715
fcn,mpvS,InsectWingbeatSound,154,0.36464646458625793,0.36464640498161316,1.9293992519378662,0.7318181991577148,0.7318181395530701,0.8986139297485352
fcn,mpvS,ItalyPowerDemand,125,0.9348882436752319,0.9348881840705872,0.1995483934879303,0.9850746393203735,0.9850745797157288,0.03685600683093071
