model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,ppvHste,ACSF1,157,0.8999999761581421,0.8999999165534973,0.4212023913860321,0.9800000190734863,0.9799999594688416,0.10336658358573914
fcn,ppvHste,Adiac,213,0.8260869383811951,0.8260869383811951,0.49361637234687805,0.9692307710647583,0.9692307114601135,0.15482491254806519
fcn,ppvHste,AllGestureWiimoteX,202,0.6485714316368103,0.6485713720321655,1.2586976289749146,1.0,1.0,0.09350843727588654
fcn,ppvHste,AllGestureWiimoteY,203,0.7028571367263794,0.7028570771217346,1.0973106622695923,0.996666669845581,0.9966666102409363,0.10867399722337723
fcn,ppvHste,AllGestureWiimoteZ,205,0.5757142901420593,0.5757142305374146,1.2309942245483398,0.8899999856948853,0.8899999260902405,0.5413022041320801
fcn,ppvHste,ArrowHead,108,0.7542856931686401,0.7542856335639954,0.5927902460098267,1.0,1.0,0.043981559574604034
fcn,ppvHste,Beef,110,0.5666666626930237,0.5666666030883789,1.0710933208465576,0.699999988079071,0.6999999284744263,0.7719696164131165
fcn,ppvHste,BeetleFly,101,0.699999988079071,0.6999999284744263,0.5685836672782898,0.699999988079071,0.6999999284744263,0.3907385766506195
fcn,ppvHste,BirdChicken,103,0.949999988079071,0.9499999284744263,0.24401073157787323,1.0,1.0,0.09004361927509308
fcn,ppvHste,BME,104,0.7333333492279053,0.7333332896232605,0.5769683718681335,1.0,1.0,0.3257273733615875
fcn,ppvHste,Car,121,0.8999999761581421,0.8999999165534973,0.2870344817638397,1.0,1.0,0.011915040202438831
fcn,ppvHste,CBF,97,0.9833333492279053,0.9833332896232605,0.08669541031122208,1.0,1.0,0.004301733803004026
fcn,ppvHste,Chinatown,94,0.967930018901825,0.9679299592971802,0.13730640709400177,1.0,1.0,0.00019909729599021375
fcn,ppvHste,ChlorineConcentration,215,0.7619791626930237,0.7619791030883789,1.1001956462860107,0.9871520400047302,0.9871519804000854,0.05138702690601349
fcn,ppvHste,CinCECGTorso,138,0.7326086759567261,0.7326085567474365,0.7224932909011841,0.9750000238418579,0.9749999642372131,0.2392907440662384
fcn,ppvHste,Coffee,114,1.0,1.0,0.12643760442733765,1.0,1.0,0.07068412005901337
fcn,ppvHste,Computers,199,0.843999981880188,0.8439998626708984,0.9621652364730835,0.9919999837875366,0.9919999241828918,0.04710734635591507
