model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,ppvHste_mpvH_mipvH,ACSF1,212,0.6299999952316284,0.6299999356269836,36.87061309814453,0.8500000238418579,0.8499999642372131,10.000146865844727
fcn,ppvHste_mpvH_mipvH,Adiac,220,0.5626598596572876,0.5626598000526428,1.9166395664215088,0.6282051205635071,0.6282050609588623,1.3627759218215942
fcn,ppvHste_mpvH_mipvH,AllGestureWiimoteX,262,0.5828571319580078,0.582857072353363,3.1905126571655273,0.9133333563804626,0.9133332371711731,0.32067203521728516
fcn,ppvHste_mpvH_mipvH,AllGestureWiimoteY,260,0.5985714197158813,0.5985713601112366,3.1624817848205566,0.8600000143051147,0.85999995470047,0.39353907108306885
fcn,ppvHste_mpvH_mipvH,AllGestureWiimoteZ,255,0.45571428537368774,0.45571422576904297,2.5401060581207275,0.5633333325386047,0.56333327293396,1.5011436939239502
fcn,ppvHste_mpvH_mipvH,ArrowHead,125,0.6285714507102966,0.6285713911056519,1.8701186180114746,1.0,1.0,0.04488472640514374
fcn,ppvHste_mpvH_mipvH,Beef,121,0.5333333611488342,0.5333333015441895,2.758244752883911,0.8999999761581421,0.8999999165534973,0.30469948053359985
fcn,ppvHste_mpvH_mipvH,BeetleFly,112,0.6000000238418579,0.5999999642372131,6.877345085144043,1.0,1.0,6.585990195162594e-05
fcn,ppvHste_mpvH_mipvH,BirdChicken,112,0.800000011920929,0.800000011920929,4.008755683898926,1.0,1.0,7.152516445785295e-07
fcn,ppvHste_mpvH_mipvH,BME,104,0.9866666793823242,0.9866666197776794,0.02117677591741085,1.0,1.0,1.438448407498072e-06
fcn,ppvHste_mpvH_mipvH,Car,132,0.7833333611488342,0.7833333015441895,3.8622870445251465,0.949999988079071,0.9499999284744263,0.28047454357147217
fcn,ppvHste_mpvH_mipvH,CBF,105,0.9944444298744202,0.9944443702697754,0.016657494008541107,1.0,1.0,8.384297984775912e-07
fcn,ppvHste_mpvH_mipvH,Chinatown,104,0.9795918464660645,0.9795917868614197,0.12359153479337692,1.0,1.0,5.904273712076247e-05
fcn,ppvHste_mpvH_mipvH,ChlorineConcentration,254,0.5601562261581421,0.5601561665534973,1.3031493425369263,0.6638115644454956,0.6638115048408508,0.808759331703186
fcn,ppvHste_mpvH_mipvH,CinCECGTorso,149,0.5652173757553101,0.5652173161506653,12.27354907989502,0.699999988079071,0.6999999284744263,3.546323299407959
fcn,ppvHste_mpvH_mipvH,Coffee,128,0.9642857313156128,0.9642856121063232,0.10242033749818802,1.0,1.0,0.0002082764112856239
fcn,ppvHste_mpvH_mipvH,Computers,254,0.7799999713897705,0.779999852180481,7.305046081542969,1.0,1.0,8.640875603305176e-05
fcn,ppvHste_mpvH_mipvH,CricketX,256,0.7230769395828247,0.7230768799781799,2.7751691341400146,1.0,1.0,9.361876436742023e-06
fcn,ppvHste_mpvH_mipvH,CricketY,257,0.7076923251152039,0.7076922655105591,1.7615680694580078,0.9948717951774597,0.9948717355728149,0.009524338878691196
fcn,ppvHste_mpvH_mipvH,CricketZ,259,0.7051281929016113,0.7051281332969666,2.604708433151245,1.0,1.0,2.3326731025008485e-05
fcn,ppvHste_mpvH_mipvH,Crop,2169,0.7330357432365417,0.733035683631897,4.797062873840332,1.0,1.0,4.885131147602806e-06
fcn,ppvHste_mpvH_mipvH,DiatomSizeReduction,131,0.7777777910232544,0.7777776718139648,0.9709133505821228,0.9375,0.9374999403953552,0.20679166913032532
fcn,ppvHste_mpvH_mipvH,DistalPhalanxOutlineAgeGroup,205,0.7625899314880371,0.7625898718833923,0.7671429514884949,0.9524999856948853,0.9524999260902405,0.17427964508533478
fcn,ppvHste_mpvH_mipvH,DistalPhalanxOutlineCorrect,268,0.7644927501678467,0.7644926905632019,1.4627848863601685,1.0,1.0,0.0014804252423346043
fcn,ppvHste_mpvH_mipvH,DistalPhalanxTW,194,0.633093535900116,0.6330934762954712,0.9165013432502747,0.8374999761581421,0.8374998569488525,0.43366557359695435
fcn,ppvHste_mpvH_mipvH,DodgerLoopDay,140,0.550000011920929,0.5499999523162842,3.2178127765655518,0.9743589758872986,0.9743589162826538,0.06653817743062973
fcn,ppvHste_mpvH_mipvH,DodgerLoopGame,110,0.7971014380455017,0.7971014380455017,1.2608976364135742,1.0,1.0,4.043973603984341e-05
fcn,ppvHste_mpvH_mipvH,DodgerLoopWeekend,114,0.9275362491607666,0.9275361895561218,1.0591685771942139,1.0,1.0,1.6927481283346424e-06
fcn,ppvHste_mpvH_mipvH,Earthquakes,267,0.7625899314880371,0.7625898718833923,2.448340892791748,1.0,1.0,0.0006613734294660389
fcn,ppvHste_mpvH_mipvH,ECG200,115,0.9100000262260437,0.9099999666213989,0.5507821440696716,1.0,1.0,1.616148256289307e-05
