model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap,ACSF1,445,0.949999988079071,0.9499999284744263,0.28716570138931274,1.0,1.0,0.00034566267277114093
inception,gap,Adiac,404,0.833759605884552,0.8337595462799072,1.0198231935501099,1.0,1.0,2.0225203115842305e-05
inception,gap,AllGestureWiimoteX,531,0.7857142686843872,0.7857141494750977,1.475204586982727,1.0,1.0,2.0424515412287292e-07
inception,gap,AllGestureWiimoteY,526,0.8257142901420593,0.8257141709327698,1.1309630870819092,1.0,1.0,1.4503791589959292e-07
inception,gap,AllGestureWiimoteZ,532,0.7914285659790039,0.7914285063743591,1.2522395849227905,1.0,1.0,3.639854924131214e-07
inception,gap,ArrowHead,204,0.8285714387893677,0.8285713791847229,1.1049683094024658,1.0,1.0,1.2980552810404333e-06
inception,gap,Beef,204,0.7666666507720947,0.76666659116745,0.6707626581192017,1.0,1.0,1.840555705712177e-05
inception,gap,BeetleFly,192,0.8999999761581421,0.8999999165534973,0.5193607807159424,1.0,1.0,2.1457667287450022e-07
inception,gap,BirdChicken,195,0.949999988079071,0.9499999284744263,0.0918860211968422,1.0,1.0,1.944147516041994e-05
inception,gap,BME,174,1.0,1.0,0.0020120427943766117,1.0,1.0,1.9868213740892315e-08
inception,gap,Car,253,0.8999999761581421,0.8999999165534973,0.4335438907146454,1.0,1.0,4.233895197103266e-06
inception,gap,CBF,173,1.0,1.0,7.14953857823275e-05,1.0,1.0,0.0
inception,gap,Chinatown,161,0.9854227304458618,0.985422670841217,0.1609269380569458,1.0,1.0,0.0
inception,gap,ChlorineConcentration,454,0.87109375,0.8710936903953552,0.8096713423728943,1.0,1.0,2.264729846501723e-05
inception,gap,CinCECGTorso,291,0.8050724864006042,0.8050723671913147,1.017931580543518,1.0,1.0,3.243154060328379e-05
inception,gap,Coffee,216,1.0,1.0,2.1287368312528088e-08,1.0,1.0,0.0
inception,gap,Computers,551,0.7680000066757202,0.7679999470710754,2.3150596618652344,1.0,1.0,1.342751147603849e-06
inception,gap,CricketX,511,0.8615384697914124,0.8615384101867676,0.7956828474998474,1.0,1.0,1.4439517599384999e-06
inception,gap,CricketY,513,0.8333333134651184,0.8333332538604736,0.8972570300102234,1.0,1.0,8.60138641201047e-07
