model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_gmp,ACSF1,471,0.9300000071525574,0.9299999475479126,0.3271087408065796,1.0,1.0,1.9424116544541903e-05
inception,gap_gmp,Adiac,427,0.8184143304824829,0.8184142708778381,1.102571964263916,1.0,1.0,1.7040699731296627e-06
inception,gap_gmp,AllGestureWiimoteX,583,0.704285740852356,0.7042856812477112,2.123002529144287,1.0,1.0,0.0
inception,gap_gmp,AllGestureWiimoteY,581,0.7614285945892334,0.7614285349845886,1.4383906126022339,1.0,1.0,1.5894571214758457e-09
inception,gap_gmp,AllGestureWiimoteZ,579,0.7442857027053833,0.7442856431007385,1.7108865976333618,1.0,1.0,0.0
inception,gap_gmp,ArrowHead,216,0.800000011920929,0.800000011920929,1.4842677116394043,1.0,1.0,6.622737469541562e-09
inception,gap_gmp,Beef,215,0.800000011920929,0.800000011920929,1.8988794088363647,1.0,1.0,3.973642748178463e-08
inception,gap_gmp,BeetleFly,209,0.75,0.7499999403953552,0.37306931614875793,1.0,1.0,5.960464122267695e-09
inception,gap_gmp,BirdChicken,214,0.8999999761581421,0.8999999165534973,0.8742615580558777,1.0,1.0,1.192092824453539e-08
inception,gap_gmp,BME,185,0.9933333396911621,0.9933332800865173,0.018266422674059868,1.0,1.0,0.0
inception,gap_gmp,Car,270,0.8500000238418579,0.8499999642372131,1.3560504913330078,1.0,1.0,2.781549923724924e-08
inception,gap_gmp,CBF,180,0.992222249507904,0.9922221899032593,0.010472600348293781,1.0,1.0,0.0
inception,gap_gmp,Chinatown,164,0.9854227304458618,0.985422670841217,0.1643202155828476,1.0,1.0,1.7881392366803084e-08
inception,gap_gmp,ChlorineConcentration,505,0.8630208373069763,0.8630207777023315,1.00259268283844,1.0,1.0,3.793250300532236e-07
inception,gap_gmp,CinCECGTorso,311,0.6442028880119324,0.6442028284072876,2.8178584575653076,1.0,1.0,2.384185648907078e-08
inception,gap_gmp,Coffee,224,1.0,1.0,4.512903615250252e-07,1.0,1.0,8.514948746096707e-09
inception,gap_gmp,Computers,594,0.7440000176429749,0.7439998984336853,2.0074961185455322,1.0,1.0,3.3378599884059668e-09
inception,gap_gmp,CricketX,571,0.7769230604171753,0.7769230008125305,1.3226815462112427,1.0,1.0,0.0
inception,gap_gmp,CricketY,574,0.8128204941749573,0.8128204345703125,1.1109709739685059,1.0,1.0,1.8339889606977522e-09
inception,gap_gmp,CricketZ,570,0.7948718070983887,0.7948718070983887,0.937115490436554,1.0,1.0,6.418961362442133e-09
inception,gap_gmp,Crop,4725,0.7571428418159485,0.7571427226066589,3.1175894737243652,1.0,1.0,0.0
inception,gap_gmp,DiatomSizeReduction,364,0.9346405267715454,0.9346404671669006,0.25678160786628723,1.0,1.0,0.00010247113823425025
inception,gap_gmp,DistalPhalanxOutlineAgeGroup,389,0.7338129281997681,0.7338128685951233,2.3662145137786865,1.0,1.0,0.0
inception,gap_gmp,DistalPhalanxOutlineCorrect,534,0.7862318754196167,0.7862318158149719,2.7675118446350098,1.0,1.0,0.0
inception,gap_gmp,DistalPhalanxTW,392,0.6762589812278748,0.67625892162323,3.3126142024993896,1.0,1.0,0.0
inception,gap_gmp,DodgerLoopDay,287,0.4749999940395355,0.47499993443489075,1.7300173044204712,1.0,1.0,0.0
inception,gap_gmp,DodgerLoopGame,186,0.9347826242446899,0.9347825646400452,0.6390216946601868,1.0,1.0,0.0
inception,gap_gmp,DodgerLoopWeekend,186,0.9637681245803833,0.9637680649757385,0.414494127035141,1.0,1.0,0.0
inception,gap_gmp,Earthquakes,649,0.7482014298439026,0.7482013702392578,2.1490063667297363,1.0,1.0,0.0
inception,gap_gmp,ECG200,200,0.8600000143051147,0.85999995470047,0.9824730157852173,1.0,1.0,0.0
inception,gap_gmp,ECG5000,506,0.9428889155387878,0.9428888559341431,0.7093558311462402,1.0,1.0,8.583067589995608e-09
inception,gap_gmp,ECGFiveDays,198,1.0,1.0,2.201424997849699e-08,1.0,1.0,0.0
inception,gap_gmp,ElectricDevices,6550,0.7004279494285583,0.7004278898239136,8.014985084533691,0.9931660294532776,0.9931659698486328,0.012140861712396145
inception,gap_gmp,EOGHorizontalSignal,1136,0.580110490322113,0.5801104307174683,4.624616622924805,1.0,1.0,1.3830910639001104e-08
inception,gap_gmp,EOGVerticalSignal,1133,0.39502763748168945,0.3950275778770447,7.4191765785217285,1.0,1.0,1.218437120087401e-07
inception,gap_gmp,EthanolLevel,1940,0.7739999890327454,0.7739999294281006,1.1669470071792603,1.0,1.0,1.255996812687954e-05
inception,gap_gmp,FaceAll,552,0.7639053463935852,0.7639053463935852,1.596725583076477,1.0,1.0,0.0
inception,gap_gmp,FaceFour,237,0.7954545617103577,0.7954545021057129,1.026777982711792,1.0,1.0,9.934106870446158e-09
inception,gap_gmp,FacesUCR,290,0.942926824092865,0.9429267644882202,0.23186475038528442,1.0,1.0,0.0
inception,gap_gmp,FiftyWords,595,0.7758241891860962,0.7758241891860962,1.6925112009048462,1.0,1.0,3.8968164517427795e-07
inception,gap_gmp,Fish,374,0.977142870426178,0.9771428108215332,0.2756210267543793,1.0,1.0,1.0217938495316048e-08
inception,gap_gmp,FordA,5601,0.9469696879386902,0.9469696283340454,0.5594810247421265,1.0,1.0,0.0
inception,gap_gmp,FordB,5638,0.8419753313064575,0.8419752717018127,1.3994507789611816,1.0,1.0,0.0
inception,gap_gmp,FreezerRegularTrain,265,0.996842086315155,0.9968420267105103,0.07706737518310547,1.0,1.0,2.336499704824746e-07
inception,gap_gmp,FreezerSmallTrain,223,0.9733333587646484,0.9733332991600037,0.6596648097038269,1.0,1.0,4.087160334620421e-07
inception,gap_gmp,Fungi,409,0.9516128897666931,0.9516128301620483,0.13110753893852234,1.0,1.0,0.0003385545569472015
inception,gap_gmp,GestureMidAirD1,364,0.7076923251152039,0.7076922655105591,2.266756772994995,1.0,1.0,6.126665539341047e-07
inception,gap_gmp,GestureMidAirD2,368,0.607692301273346,0.6076922416687012,2.802307605743408,1.0,1.0,3.8399143420519977e-08
inception,gap_gmp,GestureMidAirD3,378,0.33076924085617065,0.3307691812515259,5.376041889190674,1.0,1.0,1.7193646506541427e-09
inception,gap_gmp,GesturePebbleZ1,335,0.819767415523529,0.8197672963142395,0.6211363077163696,1.0,1.0,5.707593118131626e-07
inception,gap_gmp,GesturePebbleZ2,354,0.5886076092720032,0.5886075496673584,1.7000470161437988,1.0,1.0,5.715513395898597e-09
inception,gap_gmp,GunPoint,196,0.9933333396911621,0.9933332800865173,0.023554382845759392,1.0,1.0,0.0
inception,gap_gmp,GunPointAgeSpan,231,0.9936708807945251,0.9936708211898804,0.044641487300395966,1.0,1.0,2.8257009176968495e-08
inception,gap_gmp,GunPointMaleVersusFemale,233,0.996835470199585,0.9968354105949402,0.021637018769979477,1.0,1.0,3.5321265912102717e-09
inception,gap_gmp,GunPointOldVersusYoung,238,0.9682539701461792,0.9682539105415344,0.2839711606502533,1.0,1.0,0.0
inception,gap_gmp,Ham,308,0.7428571581840515,0.742857038974762,1.5260080099105835,1.0,1.0,1.0936631600344526e-09
inception,gap_gmp,HandOutlines,5246,0.9378378391265869,0.9378377795219421,0.614253580570221,1.0,1.0,1.20401377756707e-08
inception,gap_gmp,Haptics,528,0.40909090638160706,0.4090908467769623,4.987227916717529,1.0,1.0,2.782568344628089e-06
