model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_map2_map4_map8,ACSF1,627,0.7200000286102295,0.7199999094009399,3.5669219493865967,1.0,1.0,6.125566869741306e-05
inception,gap_map2_map4_map8,Adiac,438,0.8005114793777466,0.8005114793777466,1.8802499771118164,1.0,1.0,3.8940406739129685e-06
inception,gap_map2_map4_map8,AllGestureWiimoteX,622,0.7985714077949524,0.7985713481903076,1.5448200702667236,1.0,1.0,8.344649415903405e-09
inception,gap_map2_map4_map8,AllGestureWiimoteY,622,0.7900000214576721,0.7899999618530273,1.678300142288208,1.0,1.0,9.020168079132418e-08
inception,gap_map2_map4_map8,AllGestureWiimoteZ,626,0.7571428418159485,0.7571427226066589,1.7903505563735962,1.0,1.0,8.026757569723486e-08
inception,gap_map2_map4_map8,ArrowHead,234,0.8399999737739563,0.8399999141693115,0.9889755845069885,1.0,1.0,0.0
inception,gap_map2_map4_map8,Beef,226,0.7666666507720947,0.76666659116745,1.3507059812545776,1.0,1.0,2.411991317785578e-06
inception,gap_map2_map4_map8,BeetleFly,221,0.800000011920929,0.800000011920929,1.2029999494552612,1.0,1.0,5.960464122267695e-09
inception,gap_map2_map4_map8,BirdChicken,211,0.800000011920929,0.800000011920929,1.0271130800247192,1.0,1.0,1.7881392366803084e-08
inception,gap_map2_map4_map8,BME,188,0.9933333396911621,0.9933332800865173,0.009578848257660866,1.0,1.0,3.973642748178463e-09
inception,gap_map2_map4_map8,Car,291,0.8833333253860474,0.8833332657814026,0.9662953615188599,1.0,1.0,3.973642748178463e-09
inception,gap_map2_map4_map8,CBF,183,1.0,1.0,0.0008617726271040738,1.0,1.0,0.0
inception,gap_map2_map4_map8,Chinatown,167,0.9854227304458618,0.985422670841217,0.14002478122711182,1.0,1.0,1.7881392366803084e-08
inception,gap_map2_map4_map8,ChlorineConcentration,507,0.871874988079071,0.8718749284744263,1.4452310800552368,1.0,1.0,8.679047702742082e-09
inception,gap_map2_map4_map8,CinCECGTorso,399,0.9224637746810913,0.9224637150764465,0.27753710746765137,1.0,1.0,2.9802320611338473e-09
inception,gap_map2_map4_map8,Coffee,235,1.0,1.0,0.0007024796796031296,1.0,1.0,2.1287371865241766e-08
inception,gap_map2_map4_map8,Computers,675,0.671999990940094,0.6719999313354492,2.6786468029022217,1.0,1.0,5.984277322568232e-07
inception,gap_map2_map4_map8,CricketX,587,0.8230769038200378,0.8230768442153931,1.703035593032837,1.0,1.0,4.279307574961422e-09
inception,gap_map2_map4_map8,CricketY,590,0.7948718070983887,0.7948718070983887,1.631953477859497,1.0,1.0,2.5064515796202613e-08
inception,gap_map2_map4_map8,CricketZ,581,0.7897436022758484,0.7897435426712036,2.2092199325561523,1.0,1.0,1.4427375560899236e-07
inception,gap_map2_map4_map8,Crop,4837,0.758392870426178,0.7583928108215332,3.773130178451538,1.0,1.0,0.0
inception,gap_map2_map4_map8,DiatomSizeReduction,374,0.9803921580314636,0.9803920984268188,0.9927365183830261,1.0,1.0,0.00018924169125966728
inception,gap_map2_map4_map8,DistalPhalanxOutlineAgeGroup,384,0.7338129281997681,0.7338128685951233,3.125169277191162,1.0,1.0,2.98023217215615e-10
