model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_mpvH,ACSF1,413,0.9300000071525574,0.9299999475479126,0.5221412181854248,1.0,1.0,0.00016479368787258863
inception,gap_mpvH,Adiac,342,0.833759605884552,0.8337595462799072,1.1579207181930542,1.0,1.0,1.087154851120431e-05
inception,gap_mpvH,AllGestureWiimoteX,492,0.7857142686843872,0.7857141494750977,1.7613954544067383,1.0,1.0,4.768370232000052e-08
inception,gap_mpvH,AllGestureWiimoteY,493,0.800000011920929,0.800000011920929,1.691232681274414,1.0,1.0,2.106030549953175e-08
inception,gap_mpvH,AllGestureWiimoteZ,492,0.7757142782211304,0.7757141590118408,1.6370518207550049,1.0,1.0,4.986912358617701e-07
inception,gap_mpvH,ArrowHead,209,0.8285714387893677,0.8285713791847229,1.2996070384979248,1.0,1.0,0.0
inception,gap_mpvH,Beef,195,0.8333333134651184,0.8333332538604736,1.2368756532669067,1.0,1.0,1.2163139217591379e-05
inception,gap_mpvH,BeetleFly,179,0.8500000238418579,0.8499999642372131,0.3173798620700836,1.0,1.0,5.364415187614213e-07
inception,gap_mpvH,BirdChicken,183,0.8500000238418579,0.8499999642372131,0.36470943689346313,1.0,1.0,5.006787660022383e-07
inception,gap_mpvH,BME,169,0.9933333396911621,0.9933332800865173,0.02229592390358448,1.0,1.0,0.0
inception,gap_mpvH,Car,230,0.8666666746139526,0.8666666150093079,0.5496159195899963,1.0,1.0,9.556601980875712e-07
inception,gap_mpvH,CBF,170,1.0,1.0,5.07501636093366e-06,1.0,1.0,0.0
inception,gap_mpvH,Chinatown,149,0.9854227304458618,0.985422670841217,0.15849538147449493,1.0,1.0,2.9802318834981634e-08
inception,gap_mpvH,ChlorineConcentration,399,0.8851562738418579,0.8851562142372131,0.6567828059196472,1.0,1.0,1.8203692889073864e-05
inception,gap_mpvH,CinCECGTorso,285,0.8036231994628906,0.8036231398582458,0.9938706755638123,1.0,1.0,6.434226634155493e-06
inception,gap_mpvH,Coffee,215,1.0,1.0,8.514947857918287e-09,1.0,1.0,0.0
inception,gap_mpvH,Computers,529,0.7960000038146973,0.7960000038146973,2.4267678260803223,1.0,1.0,2.279276856143042e-07
inception,gap_mpvH,CricketX,468,0.843589723110199,0.8435896635055542,0.8847676515579224,1.0,1.0,1.5350401554314885e-06
inception,gap_mpvH,CricketY,473,0.8641025424003601,0.8641024827957153,0.838876485824585,1.0,1.0,5.049573701398913e-07
inception,gap_mpvH,CricketZ,469,0.8487179279327393,0.8487178683280945,0.7652807831764221,1.0,1.0,9.585613724993891e-07
inception,gap_mpvH,Crop,3734,0.7548214197158813,0.7548213601112366,4.014875888824463,1.0,1.0,0.0
inception,gap_mpvH,DiatomSizeReduction,348,0.7614378929138184,0.7614378333091736,0.8784074783325195,0.9375,0.9374999403953552,0.2617143988609314
inception,gap_mpvH,DistalPhalanxOutlineAgeGroup,299,0.6906474828720093,0.6906474232673645,3.118668556213379,1.0,1.0,1.84774382461228e-08
inception,gap_mpvH,DistalPhalanxOutlineCorrect,423,0.7681159377098083,0.7681159377098083,2.717557191848755,1.0,1.0,1.9868214018448072e-10
inception,gap_mpvH,DistalPhalanxTW,302,0.6978417038917542,0.6978416442871094,3.3038058280944824,1.0,1.0,3.576278384542775e-09
inception,gap_mpvH,DodgerLoopDay,223,0.512499988079071,0.5124999284744263,2.227757215499878,1.0,1.0,3.178912777457299e-07
inception,gap_mpvH,DodgerLoopGame,178,0.8985507488250732,0.8985506892204285,0.678210973739624,1.0,1.0,4.172324707951702e-08
inception,gap_mpvH,DodgerLoopWeekend,174,0.9710144996643066,0.9710144400596619,0.20821000635623932,1.0,1.0,2.9802318834981634e-08
inception,gap_mpvH,Earthquakes,525,0.7122302055358887,0.7122301459312439,1.4991120100021362,1.0,1.0,2.9573904612334445e-05
inception,gap_mpvH,ECG200,174,0.8799999952316284,0.8799999356269836,1.100643515586853,1.0,1.0,0.0
