model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gmp,ACSF1,573,0.8600000143051147,0.85999995470047,0.45217612385749817,1.0,1.0,6.377761019393802e-05
inception,gmp,Adiac,484,0.8235294222831726,0.8235293626785278,1.1897143125534058,1.0,1.0,9.368611131321813e-07
inception,gmp,AllGestureWiimoteX,690,0.7599999904632568,0.7599999308586121,1.765138864517212,1.0,1.0,1.1920927578401574e-09
inception,gmp,AllGestureWiimoteY,697,0.7685714364051819,0.7685713768005371,1.5438429117202759,1.0,1.0,0.0
inception,gmp,AllGestureWiimoteZ,698,0.7214285731315613,0.7214285135269165,1.8863049745559692,1.0,1.0,2.781549879316003e-09
inception,gmp,ArrowHead,242,0.7771428823471069,0.7771428227424622,1.6216702461242676,1.0,1.0,0.0
inception,gmp,Beef,251,0.7666666507720947,0.76666659116745,1.0235151052474976,1.0,1.0,2.463658006490732e-07
inception,gmp,BeetleFly,242,0.8999999761581421,0.8999999165534973,0.32121679186820984,1.0,1.0,1.192092824453539e-08
inception,gmp,BirdChicken,235,0.800000011920929,0.800000011920929,1.6914756298065186,1.0,1.0,1.192092824453539e-08
inception,gmp,BME,187,0.9866666793823242,0.9866666197776794,0.05121706798672676,1.0,1.0,3.973642748178463e-09
inception,gmp,Car,308,0.8833333253860474,0.8833332657814026,0.537572979927063,1.0,1.0,1.1563272437342675e-06
inception,gmp,CBF,188,0.995555579662323,0.9955555200576782,0.00948559120297432,1.0,1.0,0.0
inception,gmp,Chinatown,171,0.9854227304458618,0.985422670841217,0.1636347621679306,1.0,1.0,1.7881392366803084e-08
inception,gmp,ChlorineConcentration,552,0.8643229007720947,0.86432284116745,1.0535502433776855,1.0,1.0,7.698819217694108e-07
inception,gmp,CinCECGTorso,416,0.6731883883476257,0.673188328742981,2.852203369140625,1.0,1.0,2.9802318834981634e-08
inception,gmp,Coffee,244,1.0,1.0,8.302033052132174e-07,1.0,1.0,4.257474373048353e-09
inception,gmp,Computers,743,0.7080000042915344,0.7080000042915344,2.6497600078582764,1.0,1.0,3.3378599884059668e-09
inception,gmp,CricketX,664,0.7461538314819336,0.7461537718772888,1.3539810180664062,1.0,1.0,0.0
inception,gmp,CricketY,674,0.8025640845298767,0.8025640249252319,1.0144431591033936,1.0,1.0,3.056648267829587e-10
inception,gmp,CricketZ,658,0.8179486989974976,0.8179486393928528,1.1617494821548462,1.0,1.0,3.6679779213955044e-09
inception,gmp,Crop,5692,0.7569047808647156,0.7569047212600708,3.069284439086914,1.0,1.0,0.0
inception,gmp,DiatomSizeReduction,406,0.8921568393707275,0.892156720161438,0.5006487965583801,1.0,1.0,0.02599862590432167
inception,gmp,DistalPhalanxOutlineAgeGroup,431,0.7050359845161438,0.705035924911499,3.040050745010376,1.0,1.0,0.0
inception,gmp,DistalPhalanxOutlineCorrect,616,0.7536231875419617,0.7536231279373169,2.8512825965881348,1.0,1.0,0.0
inception,gmp,DistalPhalanxTW,431,0.6618704795837402,0.6618704199790955,3.188188076019287,1.0,1.0,0.0
inception,gmp,DodgerLoopDay,320,0.5,0.4999999403953552,2.242584705352783,1.0,1.0,0.0
inception,gmp,DodgerLoopGame,207,0.9202898740768433,0.9202897548675537,0.6764886379241943,1.0,1.0,0.0
inception,gmp,DodgerLoopWeekend,198,0.95652174949646,0.9565216898918152,0.44395360350608826,1.0,1.0,5.960464122267695e-09
inception,gmp,Earthquakes,780,0.7482014298439026,0.7482013702392578,2.5545692443847656,1.0,1.0,0.0
inception,gmp,ECG200,223,0.8899999856948853,0.8899999260902405,0.9327983260154724,1.0,1.0,0.0
inception,gmp,ECG5000,581,0.9357777833938599,0.9357777833938599,0.7772459983825684,1.0,1.0,1.4305113760215704e-09
inception,gmp,ECGFiveDays,216,1.0,1.0,8.91643097133965e-08,1.0,1.0,1.036602359505423e-08
inception,gmp,ElectricDevices,7597,0.7049669027328491,0.7049668431282043,7.2441205978393555,0.9941743016242981,0.9941742420196533,0.0116502670571208
inception,gmp,EOGHorizontalSignal,1426,0.549723744392395,0.5497236847877502,4.70728874206543,1.0,1.0,1.7650872052854538e-07
inception,gmp,EOGVerticalSignal,1427,0.4254143536090851,0.4254142940044403,6.981898307800293,1.0,1.0,3.9450989675060555e-07
inception,gmp,EthanolLevel,2543,0.7720000147819519,0.7719999551773071,1.2935377359390259,1.0,1.0,5.784421773569193e-06
inception,gmp,FaceAll,626,0.8420118093490601,0.8420117497444153,0.88966304063797,1.0,1.0,0.0
inception,gmp,FaceFour,235,0.75,0.7499999403953552,1.7509708404541016,1.0,1.0,0.0
inception,gmp,FacesUCR,309,0.9297561049461365,0.9297560453414917,0.26692184805870056,1.0,1.0,0.0
inception,gmp,FiftyWords,707,0.791208803653717,0.7912087440490723,1.483808159828186,1.0,1.0,5.186923885958095e-07
inception,gmp,Fish,440,0.9657142758369446,0.9657142162322998,0.7937732934951782,1.0,1.0,2.5340480647173536e-07
inception,gmp,FordA,7017,0.9454545378684998,0.945454478263855,0.6086865067481995,1.0,1.0,0.0
inception,gmp,FordB,7087,0.855555534362793,0.8555554747581482,1.3675713539123535,1.0,1.0,0.0
inception,gmp,FreezerRegularTrain,302,0.9961403608322144,0.9961403012275696,0.05856354907155037,1.0,1.0,3.814696114545768e-08
inception,gmp,FreezerSmallTrain,246,0.9743859767913818,0.9743859171867371,0.28253474831581116,1.0,1.0,2.0435868464119267e-07
inception,gmp,Fungi,437,0.9892473220825195,0.9892472624778748,0.0338144525885582,1.0,1.0,0.0011686352081596851
inception,gmp,GestureMidAirD1,418,0.6769230961799622,0.6769230365753174,2.1852405071258545,1.0,1.0,8.35610421745514e-07
inception,gmp,GestureMidAirD2,415,0.6307692527770996,0.6307691931724548,2.6887032985687256,1.0,1.0,1.000096290226793e-06
inception,gmp,GestureMidAirD3,412,0.3384615480899811,0.3384614884853363,5.091671466827393,1.0,1.0,3.384844376341789e-06
inception,gmp,GesturePebbleZ1,383,0.8255813717842102,0.8255813121795654,0.6163801550865173,1.0,1.0,1.0114726478605007e-07
inception,gmp,GesturePebbleZ2,410,0.702531635761261,0.7025315761566162,1.137588381767273,1.0,1.0,0.0
inception,gmp,GunPoint,198,1.0,1.0,4.2311141442041844e-05,1.0,1.0,0.0
inception,gmp,GunPointAgeSpan,245,0.9936708807945251,0.9936708211898804,0.04216761514544487,1.0,1.0,1.1479412087567198e-08
inception,gmp,GunPointMaleVersusFemale,244,0.9936708807945251,0.9936708211898804,0.017559286206960678,1.0,1.0,7.0642531824205435e-09
inception,gmp,GunPointOldVersusYoung,251,0.9682539701461792,0.9682539105415344,0.2489236444234848,1.0,1.0,0.0
inception,gmp,Ham,348,0.8285714387893677,0.8285713791847229,1.2112587690353394,1.0,1.0,0.0
inception,gmp,HandOutlines,7149,0.9486486315727234,0.9486485719680786,0.5278849005699158,1.0,1.0,1.4138214510239777e-07
inception,gmp,Haptics,655,0.4610389471054077,0.46103888750076294,4.942101001739502,1.0,1.0,2.461858230162761e-06
inception,gmp,Herring,332,0.53125,0.5312499403953552,3.47613787651062,1.0,1.0,2.4214385163645602e-08
inception,gmp,HouseTwenty,436,0.8739495873451233,0.8739495277404785,0.8071337938308716,1.0,1.0,5.960464122267695e-09
inception,gmp,InlineSkate,684,0.3781818151473999,0.37818172574043274,6.202620983123779,1.0,1.0,2.0360910184535896e-06
inception,gmp,InsectEPGRegularTrain,340,0.9959839582443237,0.995983898639679,0.004366210196167231,1.0,1.0,0.0
inception,gmp,InsectEPGSmallTrain,433,0.9236947894096375,0.9236947298049927,0.4601016938686371,1.0,1.0,0.034738872200250626
inception,gmp,InsectWingbeatSound,368,0.5944444537162781,0.5944443941116333,2.584735870361328,1.0,1.0,1.083720779782027e-09
inception,gmp,ItalyPowerDemand,206,0.9611272811889648,0.9611272215843201,0.3143009543418884,1.0,1.0,3.558485950350132e-09
inception,gmp,LargeKitchenAppliances,1032,0.8880000114440918,0.887999951839447,1.774034023284912,1.0,1.0,7.629390452734697e-09
inception,gmp,Lightning2,336,0.9344262480735779,0.9344261884689331,0.4215860962867737,1.0,1.0,1.9868213740892315e-09
inception,gmp,Lightning7,269,0.767123281955719,0.7671232223510742,1.5321253538131714,1.0,1.0,0.0
inception,gmp,Mallat,387,0.9535181522369385,0.9535180926322937,0.2424090951681137,1.0,1.0,8.756437637202907e-07
inception,gmp,Meat,281,0.8999999761581421,0.8999999165534973,0.6380214691162109,1.0,1.0,2.8997661502216943e-05
inception,gmp,MedicalImages,439,0.7710526585578918,0.7710525393486023,2.0498411655426025,1.0,1.0,0.0
inception,gmp,MelbournePedestrian,886,0.9065190553665161,0.9065189957618713,0.769972026348114,1.0,1.0,0.0
inception,gmp,MiddlePhalanxOutlineAgeGroup,421,0.5714285969734192,0.5714285373687744,4.5525946617126465,1.0,1.0,0.0
inception,gmp,MiddlePhalanxOutlineCorrect,625,0.80756014585495,0.8075600862503052,1.6685552597045898,1.0,1.0,0.0
inception,gmp,MiddlePhalanxTW,453,0.5454545617103577,0.5454545021057129,4.512085914611816,1.0,1.0,0.0
inception,gmp,MixedShapesRegularTrain,1653,0.9336082339286804,0.9336081743240356,0.410407155752182,1.0,1.0,1.5759458449338126e-07
inception,gmp,MixedShapesSmallTrain,463,0.8672164678573608,0.8672164082527161,0.7579094767570496,1.0,1.0,1.7869415387394838e-06
inception,gmp,MoteStrain,178,0.8674121499061584,0.8674120903015137,0.5443357229232788,1.0,1.0,1.7881392366803084e-08
inception,gmp,NonInvasiveFetalECGThorax1,4632,0.93638676404953,0.9363867044448853,0.5477597117424011,1.0,1.0,0.0
inception,gmp,NonInvasiveFetalECGThorax2,4649,0.9358778595924377,0.935877799987793,0.47454893589019775,1.0,1.0,0.0
inception,gmp,OliveOil,259,0.7666666507720947,0.76666659116745,2.162911891937256,1.0,1.0,2.2278662072494626e-05
inception,gmp,OSULeaf,452,0.8677685856819153,0.8677685260772705,0.5937812328338623,1.0,1.0,2.2470948124464485e-07
inception,gmp,PhalangesOutlinesCorrect,1609,0.8391608595848083,0.8391607999801636,2.0071916580200195,1.0,1.0,0.0
inception,gmp,Phoneme,792,0.23312236368656158,0.233122318983078,5.10139274597168,1.0,1.0,1.6711581007911036e-09
inception,gmp,PickupGestureWiimoteZ,252,0.7400000095367432,0.7399999499320984,1.385156273841858,1.0,1.0,0.0
inception,gmp,PigAirwayPressure,743,0.13942307233810425,0.13942302763462067,11.180343627929688,1.0,1.0,1.250648438144708e-05
inception,gmp,PigArtPressure,754,0.567307710647583,0.5673076510429382,2.4552793502807617,1.0,1.0,1.7193645618363007e-08
inception,gmp,PigCVP,747,0.6394230723381042,0.6394230127334595,2.19024658203125,1.0,1.0,1.8305477169633377e-06
inception,gmp,PLAID,2204,0.8603351712226868,0.860335111618042,1.430127501487732,1.0,1.0,0.0
inception,gmp,Plane,256,1.0,1.0,0.00024231590214185417,1.0,1.0,0.0
inception,gmp,PowerCons,268,0.9777777791023254,0.9777777194976807,0.20340187847614288,1.0,1.0,4.503461425997557e-08
inception,gmp,ProximalPhalanxOutlineAgeGroup,424,0.8439024686813354,0.8439024090766907,1.964004397392273,1.0,1.0,0.0
inception,gmp,ProximalPhalanxOutlineCorrect,610,0.9347078800201416,0.9347078204154968,0.8563191294670105,1.0,1.0,0.0
inception,gmp,ProximalPhalanxTW,429,0.7707316875457764,0.7707316279411316,2.5722875595092773,1.0,1.0,0.0
inception,gmp,RefrigerationDevices,1037,0.527999997138977,0.5279999375343323,4.375214576721191,1.0,1.0,0.0
inception,gmp,Rock,344,0.6200000047683716,0.6199999451637268,4.020760536193848,1.0,1.0,8.344648705360669e-08
inception,gmp,ScreenType,1023,0.5413333177566528,0.5413332581520081,4.2751007080078125,1.0,1.0,5.273814167594537e-07
inception,gmp,SemgHandGenderCh2,1412,0.699999988079071,0.6999999284744263,2.035890817642212,1.0,1.0,4.76837103136063e-09
inception,gmp,SemgHandMovementCh2,2021,0.36444443464279175,0.364444375038147,4.010824203491211,1.0,1.0,3.854432293337595e-07
inception,gmp,SemgHandSubjectCh2,1995,0.7599999904632568,0.7599999308586121,1.166979193687439,1.0,1.0,1.4196471056493465e-06
inception,gmp,ShakeGestureWiimoteZ,254,0.8799999952316284,0.8799999356269836,0.901756227016449,1.0,1.0,4.76837147544984e-09
inception,gmp,ShapeletSim,213,1.0,1.0,0.0012042105663567781,1.0,1.0,0.0
inception,gmp,ShapesAll,1268,0.9066666960716248,0.90666663646698,0.7688645720481873,1.0,1.0,5.960463678178485e-09
inception,gmp,SmallKitchenAppliances,1008,0.7253333330154419,0.7253332734107971,1.7275081872940063,0.9973333477973938,0.997333288192749,0.008248673751950264
inception,gmp,SmoothSubspace,173,0.9866666793823242,0.9866666197776794,0.048560887575149536,1.0,1.0,0.0
inception,gmp,SonyAIBORobotSurface1,174,0.9434276223182678,0.943427562713623,0.178066685795784,1.0,1.0,5.960464122267695e-09
inception,gmp,SonyAIBORobotSurface2,217,0.8866736888885498,0.886673629283905,0.4865559935569763,1.0,1.0,0.0
inception,gmp,StarLightCurves,3227,0.9736522436141968,0.973652184009552,0.3614999055862427,1.0,1.0,0.0
inception,gmp,Strawberry,789,0.9729729890823364,0.9729729294776917,0.22477436065673828,1.0,1.0,9.528963396121526e-09
inception,gmp,SwedishLeaf,557,0.9408000111579895,0.9407999515533447,0.32927799224853516,1.0,1.0,6.484984282906225e-08
inception,gmp,Symbols,278,0.9718592762947083,0.9718592166900635,0.10869669169187546,1.0,1.0,9.584341569279786e-07
inception,gmp,SyntheticControl,326,0.996666669845581,0.9966666102409363,0.00394716951996088,1.0,1.0,0.0
inception,gmp,ToeSegmentation1,220,0.969298243522644,0.9692981839179993,0.2557529807090759,1.0,1.0,2.9802320611338473e-09
inception,gmp,ToeSegmentation2,245,0.9307692050933838,0.930769145488739,0.3398400843143463,1.0,1.0,0.0
inception,gmp,Trace,263,1.0,1.0,4.76837147544984e-09,1.0,1.0,2.38418573772492e-09
inception,gmp,TwoLeadECG,205,0.998244047164917,0.9982439875602722,0.0074904789216816425,1.0,1.0,5.183012241616325e-09
inception,gmp,TwoPatterns,985,1.0,1.0,6.600852486826625e-08,1.0,1.0,0.0
inception,gmp,UMD,212,0.9791666865348816,0.9791666269302368,0.06911947578191757,1.0,1.0,3.311368956815386e-09
inception,gmp,UWaveGestureLibraryAll,2796,0.9232272505760193,0.9232271909713745,0.6526409387588501,1.0,1.0,0.0
inception,gmp,UWaveGestureLibraryX,1400,0.8093243837356567,0.8093242645263672,1.9283002614974976,1.0,1.0,0.0
inception,gmp,UWaveGestureLibraryY,1425,0.7255722880363464,0.7255722284317017,2.44649600982666,1.0,1.0,4.1244283544017435e-09
inception,gmp,UWaveGestureLibraryZ,1412,0.7456728219985962,0.7456727623939514,2.2885167598724365,1.0,1.0,0.0
inception,gmp,Wafer,1038,0.9982154369354248,0.99821537733078,0.009944643825292587,1.0,1.0,2.3841856267026174e-10
inception,gmp,Wine,248,0.5,0.4999999403953552,20.719961166381836,0.5263158082962036,0.5263157486915588,19.298137664794922
inception,gmp,WordSynonyms,468,0.6708464026451111,0.6708463430404663,2.30810809135437,1.0,1.0,1.7859068668357736e-09
inception,gmp,Worms,635,0.7922077775001526,0.7922077178955078,1.471808910369873,1.0,1.0,6.072421570024744e-07
inception,gmp,WormsTwoClass,623,0.7532467246055603,0.7532466650009155,1.2862834930419922,1.0,1.0,8.766141945670824e-07
inception,gmp,Yoga,611,0.8863333463668823,0.8863332271575928,0.5917165279388428,1.0,1.0,7.549920688632028e-09
