model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gmp_mmp2_mmp4_mmp8,ACSF1,429,0.7599999904632568,0.7599999308586121,3.924142360687256,1.0,1.0,4.770616214955226e-06
inception,gmp_mmp2_mmp4_mmp8,Adiac,359,0.8030690550804138,0.8030690550804138,1.9106738567352295,1.0,1.0,3.463174778062239e-07
inception,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteX,525,0.7457143068313599,0.7457142472267151,1.7574740648269653,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteY,531,0.7742857336997986,0.7742856740951538,1.6601102352142334,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteZ,530,0.7371428608894348,0.73714280128479,1.8975744247436523,1.0,1.0,1.1920927578401574e-09
inception,gmp_mmp2_mmp4_mmp8,ArrowHead,218,0.822857141494751,0.8228570818901062,1.5096126794815063,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,Beef,211,0.7666666507720947,0.76666659116745,1.855963110923767,1.0,1.0,4.768371297814156e-08
inception,gmp_mmp2_mmp4_mmp8,BeetleFly,197,0.75,0.7499999403953552,0.7809680104255676,1.0,1.0,5.960464122267695e-09
inception,gmp_mmp2_mmp4_mmp8,BirdChicken,205,0.75,0.7499999403953552,0.4591100215911865,1.0,1.0,2.9802318834981634e-08
inception,gmp_mmp2_mmp4_mmp8,BME,168,0.9866666793823242,0.9866666197776794,0.049067504703998566,1.0,1.0,3.973642748178463e-09
inception,gmp_mmp2_mmp4_mmp8,Car,258,0.8999999761581421,0.8999999165534973,1.2477418184280396,1.0,1.0,1.5894569216357013e-08
inception,gmp_mmp2_mmp4_mmp8,CBF,167,0.9900000095367432,0.9899999499320984,0.025810934603214264,1.0,1.0,3.973642748178463e-09
inception,gmp_mmp2_mmp4_mmp8,Chinatown,168,0.9854227304458618,0.985422670841217,0.19212475419044495,1.0,1.0,2.9802318834981634e-08
inception,gmp_mmp2_mmp4_mmp8,ChlorineConcentration,429,0.8716145753860474,0.8716145157814026,1.1896275281906128,1.0,1.0,5.130848634848917e-08
inception,gmp_mmp2_mmp4_mmp8,CinCECGTorso,310,0.897826075553894,0.8978260159492493,0.5586978793144226,1.0,1.0,5.960464122267695e-09
inception,gmp_mmp2_mmp4_mmp8,Coffee,235,1.0,1.0,2.171273763451609e-06,1.0,1.0,8.514948746096707e-09
inception,gmp_mmp2_mmp4_mmp8,Computers,568,0.6919999718666077,0.6919999122619629,1.9640337228775024,1.0,1.0,4.768371253405235e-10
inception,gmp_mmp2_mmp4_mmp8,CricketX,503,0.7948718070983887,0.7948718070983887,1.4582438468933105,1.0,1.0,7.641620669573967e-09
inception,gmp_mmp2_mmp4_mmp8,CricketY,509,0.7974358797073364,0.7974357604980469,1.1182698011398315,1.0,1.0,7.335955842791009e-09
inception,gmp_mmp2_mmp4_mmp8,CricketZ,505,0.8051282167434692,0.8051281571388245,1.4590657949447632,1.0,1.0,2.7509832190020234e-09
inception,gmp_mmp2_mmp4_mmp8,Crop,3813,0.7494642734527588,0.749464213848114,4.358892440795898,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,DiatomSizeReduction,367,0.9803921580314636,0.9803920984268188,0.7530690431594849,1.0,1.0,3.1813542591407895e-06
inception,gmp_mmp2_mmp4_mmp8,DistalPhalanxOutlineAgeGroup,324,0.7338129281997681,0.7338128685951233,3.1447386741638184,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,DistalPhalanxOutlineCorrect,447,0.77173912525177,0.7717390656471252,3.2695953845977783,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,DistalPhalanxTW,330,0.6762589812278748,0.67625892162323,3.0087990760803223,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,DodgerLoopDay,277,0.5375000238418579,0.5374999642372131,1.6313860416412354,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,DodgerLoopGame,183,0.9420289993286133,0.9420289397239685,0.5200135111808777,1.0,1.0,2.9802318834981634e-08
inception,gmp_mmp2_mmp4_mmp8,DodgerLoopWeekend,176,0.9855072498321533,0.9855071902275085,0.23971739411354065,1.0,1.0,5.960464122267695e-09
inception,gmp_mmp2_mmp4_mmp8,Earthquakes,609,0.7482014298439026,0.7482013702392578,2.5656471252441406,1.0,1.0,3.70215164080534e-10
inception,gmp_mmp2_mmp4_mmp8,ECG200,193,0.9200000166893005,0.9199999570846558,0.6345539689064026,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,ECG5000,415,0.9377777576446533,0.9377776980400085,1.034385085105896,1.0,1.0,1.4305113760215704e-09
