model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,map2,ACSF1,355,0.8600000143051147,0.85999995470047,0.907093346118927,1.0,1.0,0.00031795576796866953
inception,map2,Adiac,351,0.8081841468811035,0.8081841468811035,1.3590813875198364,1.0,1.0,4.515225100476528e-06
inception,map2,AllGestureWiimoteX,395,0.7771428823471069,0.7771428227424622,1.6059575080871582,1.0,1.0,9.020168079132418e-08
inception,map2,AllGestureWiimoteY,394,0.8100000023841858,0.8099998831748962,1.3261191844940186,1.0,1.0,1.8437688709127542e-07
inception,map2,AllGestureWiimoteZ,395,0.795714259147644,0.7957141995429993,1.3394348621368408,1.0,1.0,2.6782328177432646e-07
inception,map2,ArrowHead,243,0.845714271068573,0.8457142114639282,0.8575612902641296,1.0,1.0,3.642505319589873e-08
inception,map2,Beef,232,0.7333333492279053,0.7333332896232605,1.011136531829834,1.0,1.0,1.0434579962748103e-05
inception,map2,BeetleFly,234,0.800000011920929,0.800000011920929,1.2030754089355469,1.0,1.0,0.0
inception,map2,BirdChicken,234,0.800000011920929,0.800000011920929,2.5213522911071777,1.0,1.0,7.152556236178498e-08
inception,map2,BME,232,0.9933333396911621,0.9933332800865173,0.007414725609123707,1.0,1.0,0.0
inception,map2,Car,251,0.9333333373069763,0.9333332777023315,0.3323110342025757,1.0,1.0,9.417526598554105e-07
inception,map2,CBF,233,1.0,1.0,0.0005786198889836669,1.0,1.0,0.0
inception,map2,Chinatown,208,0.9854227304458618,0.985422670841217,0.1657671332359314,1.0,1.0,1.192092824453539e-08
inception,map2,ChlorineConcentration,402,0.883593738079071,0.8835936784744263,1.0613900423049927,1.0,1.0,1.0338276723587114e-07
inception,map2,CinCECGTorso,265,0.8710144758224487,0.871014416217804,0.6556650400161743,1.0,1.0,2.157683184123016e-06
inception,map2,Coffee,251,1.0,1.0,7.156338142522145e-06,1.0,1.0,8.514948746096707e-09
inception,map2,Computers,391,0.7559999823570251,0.7559998631477356,2.2463200092315674,1.0,1.0,6.651837338722544e-07
inception,map2,CricketX,407,0.8333333134651184,0.8333332538604736,1.1065672636032104,1.0,1.0,1.0300901465143397e-07
inception,map2,CricketY,404,0.8538461327552795,0.8538460731506348,0.9887756109237671,1.0,1.0,1.4366241884999909e-07
inception,map2,CricketZ,402,0.8461538553237915,0.8461537957191467,0.8989146947860718,1.0,1.0,1.4091145317252085e-07
inception,map2,Crop,3718,0.7514880895614624,0.7514880299568176,3.6115732192993164,1.0,1.0,0.0
inception,map2,DiatomSizeReduction,418,0.8921568393707275,0.892156720161438,0.9526201486587524,0.9375,0.9374999403953552,0.39881834387779236
inception,map2,DistalPhalanxOutlineAgeGroup,320,0.7266187071800232,0.7266186475753784,3.0591254234313965,1.0,1.0,1.7881391922713874e-09
inception,map2,DistalPhalanxOutlineCorrect,438,0.782608687877655,0.7826086282730103,2.665942430496216,1.0,1.0,3.774960344316014e-09
inception,map2,DistalPhalanxTW,333,0.6474820375442505,0.6474819779396057,3.6592557430267334,1.0,1.0,2.086162353975851e-09
inception,map2,DodgerLoopDay,254,0.48750001192092896,0.4874999523162842,2.314913272857666,1.0,1.0,1.5283241339147935e-09
inception,map2,DodgerLoopGame,238,0.9275362491607666,0.9275361895561218,0.34814560413360596,1.0,1.0,0.0
inception,map2,DodgerLoopWeekend,238,0.9492753744125366,0.9492753148078918,0.4653485119342804,1.0,1.0,0.0
inception,map2,Earthquakes,418,0.769784152507782,0.7697840929031372,1.6582190990447998,1.0,1.0,3.0727857591728025e-08
