model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,mipvH,ACSF1,505,0.30000001192092896,0.2999999523162842,12.895768165588379,0.5199999809265137,0.5199999213218689,3.9093642234802246
inception,mipvH,Adiac,453,0.19948849081993103,0.19948846101760864,3.5115253925323486,0.23589743673801422,0.23589739203453064,2.7825686931610107
inception,mipvH,AllGestureWiimoteX,626,0.6271428465843201,0.6271427869796753,3.147385835647583,0.9566666483879089,0.9566665887832642,0.08010517060756683
inception,mipvH,AllGestureWiimoteY,621,0.6528571248054504,0.6528570652008057,2.533475399017334,0.949999988079071,0.9499999284744263,0.10494302213191986
inception,mipvH,AllGestureWiimoteZ,605,0.5985714197158813,0.5985713601112366,1.9996808767318726,0.8500000238418579,0.8499999642372131,0.445646196603775
inception,mipvH,ArrowHead,213,0.6514285802841187,0.6514285206794739,1.9140366315841675,1.0,1.0,0.05233004689216614
inception,mipvH,Beef,208,0.3333333432674408,0.333333283662796,5.387828350067139,0.9333333373069763,0.9333332777023315,0.14868777990341187
inception,mipvH,BeetleFly,200,0.44999998807907104,0.44999992847442627,11.515495300292969,1.0,1.0,1.4959785403334536e-05
inception,mipvH,BirdChicken,194,0.6499999761581421,0.6499999165534973,7.256979942321777,1.0,1.0,1.1127942343591712e-05
inception,mipvH,BME,183,0.9800000190734863,0.9799999594688416,0.06762201339006424,1.0,1.0,1.9470667211862747e-06
inception,mipvH,Car,262,0.800000011920929,0.800000011920929,1.0024296045303345,0.9333333373069763,0.9333332777023315,0.2015073448419571
inception,mipvH,CBF,179,0.9833333492279053,0.9833332896232605,0.11073403060436249,1.0,1.0,5.471439635584829e-06
inception,mipvH,Chinatown,176,0.9854227304458618,0.985422670841217,0.07803715765476227,1.0,1.0,0.0015790099278092384
inception,mipvH,ChlorineConcentration,518,0.5200520753860474,0.5200520157814026,1.2236707210540771,0.6616702079772949,0.6616701483726501,0.8120603561401367
inception,mipvH,CinCECGTorso,334,0.539130449295044,0.5391303896903992,32.6761360168457,1.0,1.0,0.0
inception,mipvH,Coffee,227,0.9285714030265808,0.928571343421936,0.3297983705997467,1.0,1.0,0.0005224561900831759
inception,mipvH,Computers,627,0.5640000104904175,0.5639999508857727,4.8775458335876465,0.8399999737739563,0.8399999141693115,0.5304504632949829
inception,mipvH,CricketX,584,0.6000000238418579,0.5999999642372131,3.142885446548462,0.9897435903549194,0.9897435307502747,0.0195336751639843
inception,mipvH,CricketY,583,0.6307692527770996,0.6307691931724548,2.4305167198181152,0.9846153855323792,0.9846153259277344,0.05431859940290451
inception,mipvH,CricketZ,592,0.5923076868057251,0.5923076272010803,3.041041851043701,1.0,1.0,0.01569371297955513
inception,mipvH,Crop,5022,0.6722024083137512,0.6722023487091064,1.08649480342865,0.8029166460037231,0.8029165863990784,0.5681174993515015
inception,mipvH,DiatomSizeReduction,224,0.8562091588973999,0.8562090396881104,1.1782382726669312,1.0,1.0,0.01574108377099037
inception,mipvH,DistalPhalanxOutlineAgeGroup,374,0.6834532618522644,0.6834532022476196,0.672971248626709,0.9024999737739563,0.9024998545646667,0.2991795241832733
inception,mipvH,DistalPhalanxOutlineCorrect,538,0.7536231875419617,0.7536231279373169,0.5438419580459595,0.8533333539962769,0.8533332347869873,0.34113773703575134
inception,mipvH,DistalPhalanxTW,381,0.633093535900116,0.6330934762954712,0.8493879437446594,0.8424999713897705,0.8424999117851257,0.44358766078948975
inception,mipvH,DodgerLoopDay,260,0.5375000238418579,0.5374999642372131,1.839289903640747,0.9871794581413269,0.9871793985366821,0.0495314858853817
inception,mipvH,DodgerLoopGame,180,0.8333333134651184,0.8333332538604736,1.305829644203186,1.0,1.0,8.237361907958984e-05
inception,mipvH,DodgerLoopWeekend,176,0.9637681245803833,0.9637680649757385,1.1351724863052368,1.0,1.0,2.145721282431623e-06
inception,mipvH,Earthquakes,652,0.7625899314880371,0.7625898718833923,1.9715576171875,1.0,1.0,0.00219392916187644
inception,mipvH,ECG200,200,0.8500000238418579,0.8499999642372131,0.5621872544288635,1.0,1.0,0.008511751890182495
inception,mipvH,ECG5000,524,0.9162222146987915,0.9162222146987915,0.8645395636558533,0.9919999837875366,0.9919999241828918,0.02568769082427025
inception,mipvH,ECGFiveDays,203,0.8118466734886169,0.8118466734886169,1.2192672491073608,1.0,1.0,0.0008307703537866473
inception,mipvH,ElectricDevices,7046,0.6804565191268921,0.6804564595222473,2.839728355407715,0.9154156446456909,0.9154155850410461,0.2205934375524521
inception,mipvH,EOGHorizontalSignal,1287,0.4419889450073242,0.44198888540267944,17.32435417175293,0.9309391975402832,0.9309391379356384,0.31487587094306946
inception,mipvH,EOGVerticalSignal,1294,0.3591160178184509,0.35911598801612854,19.262027740478516,0.9226519465446472,0.9226518869400024,0.31747087836265564
inception,mipvH,EthanolLevel,2299,0.44600000977516174,0.44599995017051697,1.8324527740478516,0.5317460298538208,0.531745970249176,1.556870698928833
inception,mipvH,FaceAll,570,0.7479289770126343,0.7479289174079895,5.347512722015381,1.0,1.0,0.00011481558613013476
inception,mipvH,FaceFour,209,0.7954545617103577,0.7954545021057129,2.582254648208618,1.0,1.0,2.8547632609843276e-05
inception,mipvH,FacesUCR,278,0.8917073011398315,0.8917072415351868,0.7088374495506287,1.0,1.0,0.00031712785130366683
inception,mipvH,FiftyWords,619,0.6021978259086609,0.6021977663040161,4.326165199279785,1.0,1.0,0.007291947025805712
inception,mipvH,Fish,388,0.7657142877578735,0.7657142281532288,1.0001144409179688,0.8971428275108337,0.897142767906189,0.24734139442443848
