model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,mipvS,ACSF1,441,0.07999999821186066,0.07999994605779648,25.261564254760742,0.05999999865889549,0.05999995023012161,28.880373001098633
inception,mipvS,Adiac,392,0.14322251081466675,0.14322246611118317,3.9700119495391846,0.1666666716337204,0.16666662693023682,3.4101693630218506
inception,mipvS,AllGestureWiimoteX,533,0.3028571307659149,0.30285707116127014,7.307368755340576,0.3633333444595337,0.3633332848548889,4.626384735107422
inception,mipvS,AllGestureWiimoteY,535,0.3471428453922272,0.3471427857875824,5.896629333496094,0.44999998807907104,0.44999992847442627,3.674328565597534
inception,mipvS,AllGestureWiimoteZ,527,0.30142858624458313,0.30142852663993835,5.112708568572998,0.3633333444595337,0.3633332848548889,3.993321418762207
inception,mipvS,ArrowHead,195,0.5257142782211304,0.5257142186164856,2.0244040489196777,0.5,0.4999999403953552,1.4102660417556763
inception,mipvS,Beef,193,0.3333333432674408,0.333333283662796,7.80729866027832,0.30000001192092896,0.2999999523162842,5.753907203674316
inception,mipvS,BeetleFly,188,0.30000001192092896,0.2999999523162842,7.0194411277771,0.699999988079071,0.6999999284744263,1.569545030593872
inception,mipvS,BirdChicken,189,0.44999998807907104,0.44999992847442627,7.270821571350098,0.75,0.7499999403953552,1.8979284763336182
inception,mipvS,BME,166,0.8999999761581421,0.8999999165534973,0.3435699939727783,0.9666666388511658,0.966666579246521,0.06401034444570541
inception,mipvS,Car,251,0.4000000059604645,0.3999999761581421,4.345464706420898,0.550000011920929,0.5499999523162842,2.733006715774536
inception,mipvS,CBF,166,0.9300000071525574,0.9299999475479126,0.2900221049785614,1.0,1.0,0.03465652838349342
inception,mipvS,Chinatown,159,0.9475218653678894,0.9475218057632446,0.26939624547958374,0.949999988079071,0.9499999284744263,0.2461167573928833
inception,mipvS,ChlorineConcentration,450,0.3986979126930237,0.3986978530883789,1.6278748512268066,0.4282655119895935,0.42826545238494873,1.5163370370864868
inception,mipvS,CinCECGTorso,284,0.33623188734054565,0.3362318277359009,49.48119354248047,0.4000000059604645,0.3999999761581421,20.859161376953125
inception,mipvS,Coffee,206,0.4642857015132904,0.46428564190864563,3.363443613052368,0.5714285969734192,0.5714285373687744,2.038313150405884
inception,mipvS,Computers,545,0.5320000052452087,0.531999945640564,4.3979644775390625,0.6200000047683716,0.6199999451637268,2.4496726989746094
inception,mipvS,CricketX,529,0.1974359005689621,0.19743585586547852,5.889631748199463,0.3102564215660095,0.31025636196136475,4.424121379852295
inception,mipvS,CricketY,515,0.21794871985912323,0.21794867515563965,5.16320276260376,0.38717949390411377,0.387179434299469,3.3831803798675537
inception,mipvS,CricketZ,512,0.28205129504203796,0.2820512354373932,5.663109302520752,0.3692307770252228,0.369230717420578,3.6056106090545654
inception,mipvS,Crop,4406,0.5069047808647156,0.5069047212600708,1.6273716688156128,0.5329166650772095,0.5329166054725647,1.519136905670166
inception,mipvS,DiatomSizeReduction,213,0.5,0.4999999403953552,1.7718100547790527,0.75,0.7499999403953552,0.5056674480438232
inception,mipvS,DistalPhalanxOutlineAgeGroup,347,0.6187050342559814,0.6187049746513367,0.7770113348960876,0.7950000166893005,0.7949999570846558,0.4814623296260834
inception,mipvS,DistalPhalanxOutlineCorrect,492,0.6920289993286133,0.6920289397239685,0.6133416295051575,0.7683333158493042,0.7683332562446594,0.4982863962650299
inception,mipvS,DistalPhalanxTW,352,0.597122311592102,0.5971222519874573,0.9791345596313477,0.7674999833106995,0.7674999833106995,0.5852792263031006
inception,mipvS,DodgerLoopDay,241,0.4124999940395355,0.41249993443489075,3.980015516281128,0.4615384638309479,0.4615384042263031,3.7367303371429443
inception,mipvS,DodgerLoopGame,176,0.7028985619544983,0.7028985023498535,1.2708320617675781,0.75,0.7499999403953552,1.1744188070297241
inception,mipvS,DodgerLoopWeekend,178,0.95652174949646,0.9565216898918152,0.9974881410598755,1.0,1.0,1.1192825695616193e-05
inception,mipvS,Earthquakes,563,0.5899280309677124,0.5899279713630676,2.0703301429748535,0.7080745100975037,0.7080745100975037,1.4540352821350098
inception,mipvS,ECG200,186,0.7099999785423279,0.7099999189376831,0.7811505198478699,0.7400000095367432,0.7399999499320984,0.5732622742652893
inception,mipvS,ECG5000,468,0.9055555462837219,0.9055554866790771,0.7615381479263306,0.9440000057220459,0.9439999461174011,0.24851848185062408
