model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,mpvH,ACSF1,568,0.9200000166893005,0.9199999570846558,0.4904552400112152,1.0,1.0,0.0001621820410946384
inception,mpvH,Adiac,481,0.8260869383811951,0.8260869383811951,0.9995315670967102,1.0,1.0,9.682626114226878e-06
inception,mpvH,AllGestureWiimoteX,668,0.7757142782211304,0.7757141590118408,1.9096574783325195,1.0,1.0,3.929924048406974e-07
inception,mpvH,AllGestureWiimoteY,666,0.8285714387893677,0.8285713791847229,1.3406785726547241,1.0,1.0,2.0941078560099413e-07
inception,mpvH,AllGestureWiimoteZ,669,0.7799999713897705,0.779999852180481,1.913489818572998,1.0,1.0,2.392130511452706e-07
inception,mpvH,ArrowHead,229,0.845714271068573,0.8457142114639282,1.3488303422927856,1.0,1.0,0.0
inception,mpvH,Beef,237,0.800000011920929,0.800000011920929,1.0147167444229126,1.0,1.0,5.94056427871692e-06
inception,mpvH,BeetleFly,222,0.8999999761581421,0.8999999165534973,0.4021943509578705,1.0,1.0,8.940695295223122e-08
inception,mpvH,BirdChicken,222,0.8500000238418579,0.8499999642372131,0.3597562313079834,1.0,1.0,2.086154836433707e-06
inception,mpvH,BME,189,0.9933333396911621,0.9933332800865173,0.022272329777479172,1.0,1.0,0.0
inception,mpvH,Car,298,0.8666666746139526,0.8666666150093079,0.6284282803535461,1.0,1.0,2.1636437850247603e-06
inception,mpvH,CBF,194,1.0,1.0,1.5744552001706325e-05,1.0,1.0,0.0
inception,mpvH,Chinatown,169,0.9854227304458618,0.985422670841217,0.15234757959842682,1.0,1.0,0.0
inception,mpvH,ChlorineConcentration,540,0.8729166388511658,0.872916579246521,0.792210042476654,1.0,1.0,1.5570782124996185e-05
inception,mpvH,CinCECGTorso,394,0.7442029118537903,0.7442028522491455,1.5244717597961426,1.0,1.0,4.9981463234871626e-05
inception,mpvH,Coffee,247,1.0,1.0,4.2574736625056175e-08,1.0,1.0,4.257474373048353e-09
inception,mpvH,Computers,712,0.7519999742507935,0.7519999146461487,2.3432540893554688,1.0,1.0,1.9306889953440987e-06
inception,mpvH,CricketX,630,0.8410256505012512,0.8410255908966064,0.9470077157020569,1.0,1.0,3.582388217182597e-07
inception,mpvH,CricketY,640,0.8333333134651184,0.8333332538604736,0.8510982990264893,1.0,1.0,8.097045451904705e-07
inception,mpvH,CricketZ,632,0.8538461327552795,0.8538460731506348,0.8045677542686462,1.0,1.0,2.2588619685848244e-07
inception,mpvH,Crop,5474,0.7562500238418579,0.7562499642372131,3.7582626342773438,1.0,1.0,0.0
inception,mpvH,DiatomSizeReduction,354,0.7222222089767456,0.722222089767456,1.1430972814559937,0.875,0.8749999403953552,0.35196852684020996
inception,mpvH,DistalPhalanxOutlineAgeGroup,406,0.7194244861602783,0.7194243669509888,2.6834421157836914,1.0,1.0,1.9669530004762237e-08
inception,mpvH,DistalPhalanxOutlineCorrect,592,0.79347825050354,0.7934781908988953,2.1066057682037354,1.0,1.0,2.861021997091484e-08
inception,mpvH,DistalPhalanxTW,412,0.6690647602081299,0.6690647006034851,2.9388084411621094,1.0,1.0,4.172324707951702e-09
inception,mpvH,DodgerLoopDay,286,0.4749999940395355,0.47499993443489075,1.9895203113555908,1.0,1.0,1.1462429228004112e-07
inception,mpvH,DodgerLoopGame,202,0.9202898740768433,0.9202897548675537,0.5030220150947571,1.0,1.0,1.668929883180681e-07
inception,mpvH,DodgerLoopWeekend,199,0.97826087474823,0.9782608151435852,0.20919179916381836,1.0,1.0,1.7881392366803084e-08
inception,mpvH,Earthquakes,724,0.7410072088241577,0.7410071492195129,1.6377664804458618,1.0,1.0,2.5977238692576066e-05
inception,mpvH,ECG200,206,0.8899999856948853,0.8899999260902405,0.6615014672279358,1.0,1.0,2.7060468710260466e-07
inception,mpvH,ECG5000,552,0.9346666932106018,0.934666633605957,0.7380393147468567,1.0,1.0,8.606907897501515e-08
inception,mpvH,ECGFiveDays,212,1.0,1.0,1.8552865910237415e-08,1.0,1.0,0.0
inception,mpvH,ElectricDevices,7621,0.7058747410774231,0.7058746814727783,5.543999671936035,0.9942863583564758,0.994286298751831,0.0117659792304039
inception,mpvH,EOGHorizontalSignal,1429,0.549723744392395,0.5497236847877502,3.4241814613342285,1.0,1.0,7.949468567858275e-07
inception,mpvH,EOGVerticalSignal,1417,0.48895028233528137,0.4889502227306366,4.113430500030518,1.0,1.0,2.196472451032605e-06
inception,mpvH,EthanolLevel,2517,0.7020000219345093,0.7019999623298645,1.703070878982544,1.0,1.0,6.287712494668085e-06
inception,mpvH,FaceAll,588,0.8035503029823303,0.8035501837730408,2.626138925552368,1.0,1.0,0.0
inception,mpvH,FaceFour,226,0.9545454382896423,0.9545453786849976,0.3877173364162445,1.0,1.0,2.4835266287936975e-08
inception,mpvH,FacesUCR,270,0.964390218257904,0.9643901586532593,0.1751517653465271,1.0,1.0,2.562999412702993e-08
inception,mpvH,FiftyWords,691,0.8197802305221558,0.819780170917511,0.8891195058822632,1.0,1.0,7.576127973152325e-05
inception,mpvH,Fish,415,0.977142870426178,0.9771428108215332,0.4502812922000885,1.0,1.0,7.649821327504469e-07
inception,mpvH,FordA,7008,0.9590908885002136,0.9590908288955688,0.3701648712158203,1.0,1.0,3.674598625380554e-09
inception,mpvH,FordB,7069,0.8481481671333313,0.8481480479240417,1.3019169569015503,1.0,1.0,0.0
inception,mpvH,FreezerRegularTrain,300,0.9961403608322144,0.9961403012275696,0.040192391723394394,1.0,1.0,4.1166902065015165e-07
inception,mpvH,FreezerSmallTrain,248,0.9754385948181152,0.9754385352134705,0.13781209290027618,1.0,1.0,8.089200065342084e-08
inception,mpvH,Fungi,426,0.5860214829444885,0.5860214233398438,1.3060250282287598,0.6111111044883728,0.611111044883728,1.2142277956008911
inception,mpvH,GestureMidAirD1,398,0.6769230961799622,0.6769230365753174,1.6428042650222778,1.0,1.0,2.7664468689181376e-06
inception,mpvH,GestureMidAirD2,402,0.6461538672447205,0.6461538076400757,2.862239122390747,1.0,1.0,3.171624030073872e-06
inception,mpvH,GestureMidAirD3,404,0.35384616255760193,0.35384610295295715,4.940993309020996,1.0,1.0,1.1227431286897627e-06
inception,mpvH,GesturePebbleZ1,365,0.9186046719551086,0.9186046123504639,0.3591229021549225,1.0,1.0,2.2312939108815044e-05
inception,mpvH,GesturePebbleZ2,379,0.8734177350997925,0.8734177350997925,0.4689728319644928,1.0,1.0,3.0390051506401505e-06
inception,mpvH,GunPoint,197,1.0,1.0,0.002904127584770322,1.0,1.0,1.1444090119994144e-07
inception,mpvH,GunPointAgeSpan,246,0.9905063509941101,0.9905062913894653,0.03776314854621887,1.0,1.0,1.5894569216357013e-08
inception,mpvH,GunPointMaleVersusFemale,241,1.0,1.0,0.00012912604142911732,1.0,1.0,2.737398219210263e-08
inception,mpvH,GunPointOldVersusYoung,245,0.9714285731315613,0.9714285135269165,0.14086675643920898,1.0,1.0,9.641902352086618e-07
