model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,ppvH,ACSF1,342,0.7099999785423279,0.7099999189376831,0.760674238204956,0.7400000095367432,0.7399999499320984,0.7355261445045471
inception,ppvH,Adiac,419,0.46547314524650574,0.46547308564186096,2.2192611694335938,0.571794867515564,0.5717948079109192,2.0359864234924316
inception,ppvH,AllGestureWiimoteX,387,0.3700000047683716,0.3699999451637268,1.9056206941604614,0.4866666793823242,0.48666661977767944,1.5486940145492554
inception,ppvH,AllGestureWiimoteY,391,0.404285728931427,0.4042856693267822,1.740967869758606,0.5533333420753479,0.5533332824707031,1.3092436790466309
inception,ppvH,AllGestureWiimoteZ,378,0.34142857789993286,0.3414285182952881,1.7839932441711426,0.4466666579246521,0.44666656851768494,1.5689743757247925
inception,ppvH,ArrowHead,240,0.5771428346633911,0.5771427750587463,0.8776718378067017,0.7777777910232544,0.7777776718139648,0.6679565906524658
inception,ppvH,Beef,235,0.4333333373069763,0.43333327770233154,1.2881273031234741,0.5,0.4999999403953552,1.2672131061553955
inception,ppvH,BeetleFly,229,0.8500000238418579,0.8499999642372131,0.5259245038032532,0.8999999761581421,0.8999999165534973,0.4364334046840668
inception,ppvH,BirdChicken,235,0.949999988079071,0.9499999284744263,0.30316630005836487,1.0,1.0,0.28088274598121643
inception,ppvH,BME,232,0.8733333349227905,0.8733332753181458,0.5125210285186768,0.9666666388511658,0.966666579246521,0.3569415807723999
inception,ppvH,Car,278,0.6666666865348816,0.6666666269302368,0.9459856748580933,0.8166666626930237,0.8166666030883789,0.7784578800201416
inception,ppvH,CBF,232,0.9322222471237183,0.9322221875190735,0.43769320845603943,0.9666666388511658,0.966666579246521,0.3376263380050659
inception,ppvH,Chinatown,207,0.9620991349220276,0.9620990753173828,0.29153570532798767,1.0,1.0,0.21514005959033966
inception,ppvH,ChlorineConcentration,401,0.5497395992279053,0.5497395396232605,1.007714867591858,0.5717344880104065,0.5717344284057617,0.9448840618133545
inception,ppvH,CinCECGTorso,241,0.48260870575904846,0.4826086461544037,1.1861512660980225,0.675000011920929,0.6749999523162842,0.8889448046684265
inception,ppvH,Coffee,263,1.0,1.0,0.49236321449279785,1.0,1.0,0.44427332282066345
inception,ppvH,Computers,364,0.7200000286102295,0.7199999094009399,0.5626347064971924,0.7799999713897705,0.779999852180481,0.4798825681209564
inception,ppvH,CricketX,431,0.6153846383094788,0.615384578704834,1.2750179767608643,0.7538461685180664,0.7538461089134216,0.957396924495697
inception,ppvH,CricketY,446,0.5897436141967773,0.5897435545921326,1.245247483253479,0.771794855594635,0.7717947959899902,0.8909343481063843
inception,ppvH,CricketZ,437,0.6179487109184265,0.6179486513137817,1.2466669082641602,0.6974359154701233,0.6974358558654785,1.0713865756988525
inception,ppvH,Crop,3747,0.628511905670166,0.6285118460655212,1.167353630065918,0.6855555772781372,0.6855555176734924,1.008085012435913
inception,ppvH,DiatomSizeReduction,295,0.9313725233078003,0.9313724637031555,0.5652651190757751,1.0,1.0,0.44917938113212585
inception,ppvH,DistalPhalanxOutlineAgeGroup,335,0.7482014298439026,0.7482013702392578,0.6042708158493042,0.8525000214576721,0.8524999618530273,0.37738272547721863
inception,ppvH,DistalPhalanxOutlineCorrect,446,0.75,0.7499999403953552,0.5056930780410767,0.8233333230018616,0.8233332633972168,0.39767029881477356
inception,ppvH,DistalPhalanxTW,338,0.6834532618522644,0.6834532022476196,0.851995050907135,0.8224999904632568,0.8224999308586121,0.4898606538772583
