model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,ppvS,ACSF1,436,0.9200000166893005,0.9199999570846558,0.3844660818576813,0.9900000095367432,0.9899999499320984,0.026291321963071823
inception,ppvS,Adiac,373,0.7928388714790344,0.7928388714790344,0.7093268036842346,0.9435897469520569,0.9435896873474121,0.2823750674724579
inception,ppvS,AllGestureWiimoteX,520,0.7428571581840515,0.742857038974762,1.2150565385818481,1.0,1.0,0.017685139551758766
inception,ppvS,AllGestureWiimoteY,515,0.7385714054107666,0.7385713458061218,0.9434302449226379,1.0,1.0,0.028704265132546425
inception,ppvS,AllGestureWiimoteZ,508,0.5471428632736206,0.5471428036689758,1.0967780351638794,0.699999988079071,0.6999999284744263,0.8112130165100098
inception,ppvS,ArrowHead,219,0.7371428608894348,0.73714280128479,0.8591785430908203,1.0,1.0,0.002680165460333228
inception,ppvS,Beef,203,0.6000000238418579,0.5999999642372131,0.987410843372345,0.8999999761581421,0.8999999165534973,0.5137014985084534
inception,ppvS,BeetleFly,193,0.8500000238418579,0.8499999642372131,0.3650217652320862,1.0,1.0,8.374382559850346e-06
inception,ppvS,BirdChicken,194,0.8500000238418579,0.8499999642372131,0.16788789629936218,1.0,1.0,2.1826726879226044e-05
inception,ppvS,BME,172,0.9933333396911621,0.9933332800865173,0.031207233667373657,1.0,1.0,0.0003357028472237289
inception,ppvS,Car,255,0.8833333253860474,0.8833332657814026,0.4571724534034729,1.0,1.0,0.000405239436076954
inception,ppvS,CBF,172,1.0,1.0,6.128484528744593e-05,1.0,1.0,8.936645826906897e-06
inception,ppvS,Chinatown,167,0.9795918464660645,0.9795917868614197,0.07680412381887436,1.0,1.0,0.005982753820717335
inception,ppvS,ChlorineConcentration,404,0.32760417461395264,0.32760411500930786,2.6748318672180176,0.2826552391052246,0.28265517950057983,2.297154188156128
inception,ppvS,CinCECGTorso,288,0.7985507249832153,0.7985506653785706,0.7794082164764404,1.0,1.0,0.0009083078475669026
inception,ppvS,Coffee,236,0.9642857313156128,0.9642856121063232,0.029395295307040215,1.0,1.0,1.6263375073322095e-05
inception,ppvS,Computers,524,0.8199999928474426,0.8199999332427979,0.9744575023651123,0.9919999837875366,0.9919999241828918,0.04168764501810074
