model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_gmp,ACSF1,190,0.800000011920929,0.800000011920929,1.1317415237426758,1.0,1.0,0.00041025038808584213
lite,gap_gmp,Adiac,219,0.7851662635803223,0.7851662039756775,1.1898127794265747,1.0,1.0,0.00020115476218052208
lite,gap_gmp,AllGestureWiimoteX,240,0.6785714030265808,0.678571343421936,1.8832824230194092,1.0,1.0,3.5365394523978466e-07
lite,gap_gmp,AllGestureWiimoteY,244,0.6942856907844543,0.6942856311798096,1.9020427465438843,1.0,1.0,4.092851568771039e-08
lite,gap_gmp,AllGestureWiimoteZ,236,0.6614285707473755,0.6614285111427307,1.8429570198059082,1.0,1.0,9.848883564700373e-06
lite,gap_gmp,ArrowHead,123,0.7485714554786682,0.7485713958740234,1.0845987796783447,1.0,1.0,9.371163400828664e-07
lite,gap_gmp,Beef,118,0.7666666507720947,0.76666659116745,0.9617489576339722,1.0,1.0,0.00011993347288807854
lite,gap_gmp,BeetleFly,119,0.8500000238418579,0.8499999642372131,0.4577030539512634,1.0,1.0,9.536742595628311e-08
lite,gap_gmp,BirdChicken,116,0.8999999761581421,0.8999999165534973,0.6370629072189331,1.0,1.0,1.1920926823449918e-07
lite,gap_gmp,BME,111,0.9866666793823242,0.9866666197776794,0.05407588183879852,1.0,1.0,7.947285496356926e-09
lite,gap_gmp,Car,138,0.800000011920929,0.800000011920929,1.4054456949234009,1.0,1.0,6.556506946253648e-07
lite,gap_gmp,CBF,111,0.95333331823349,0.9533332586288452,0.1322035938501358,1.0,1.0,7.947285496356926e-09
lite,gap_gmp,Chinatown,109,0.9825072884559631,0.9825072288513184,0.12415137141942978,1.0,1.0,7.152556946721234e-08
lite,gap_gmp,ChlorineConcentration,242,0.8609374761581421,0.8609374165534973,0.7531468272209167,1.0,1.0,5.3290084906620905e-05
lite,gap_gmp,CinCECGTorso,155,0.6210144758224487,0.621014416217804,2.8768253326416016,1.0,1.0,1.1920926823449918e-07
lite,gap_gmp,Coffee,130,1.0,1.0,5.483369932335336e-06,1.0,1.0,1.277242311914506e-08
lite,gap_gmp,Computers,249,0.6840000152587891,0.6839999556541443,1.7860267162322998,1.0,1.0,7.681835541006876e-07
lite,gap_gmp,CricketX,247,0.7025641202926636,0.7025640606880188,1.4565238952636719,1.0,1.0,3.5273708931526926e-07
lite,gap_gmp,CricketY,252,0.7179487347602844,0.7179486155509949,1.4886268377304077,1.0,1.0,2.0448973714337626e-07
lite,gap_gmp,CricketZ,251,0.735897421836853,0.7358973622322083,1.6053680181503296,1.0,1.0,2.9343823371164035e-08
lite,gap_gmp,Crop,1834,0.7191666960716248,0.7191665768623352,3.41150164604187,1.0,1.0,1.1978982001892291e-05
lite,gap_gmp,DiatomSizeReduction,182,0.9215686321258545,0.9215685725212097,0.22053568065166473,1.0,1.0,0.028889385983347893
lite,gap_gmp,DistalPhalanxOutlineAgeGroup,188,0.7266187071800232,0.7266186475753784,1.9282288551330566,1.0,1.0,1.1116262044197356e-07
lite,gap_gmp,DistalPhalanxOutlineCorrect,250,0.7463768124580383,0.7463767528533936,2.3329648971557617,1.0,1.0,1.0410943218630564e-07
lite,gap_gmp,DistalPhalanxTW,187,0.6546762585639954,0.6546761989593506,2.8145506381988525,1.0,1.0,3.629920684034005e-07
lite,gap_gmp,DodgerLoopDay,161,0.3125,0.3124999403953552,1.9975154399871826,1.0,1.0,1.1615261996666959e-07
lite,gap_gmp,DodgerLoopGame,113,0.8405796885490417,0.840579628944397,0.43131542205810547,1.0,1.0,2.384185648907078e-08
lite,gap_gmp,DodgerLoopWeekend,112,0.9420289993286133,0.9420289397239685,0.1408545821905136,1.0,1.0,2.384185648907078e-08
lite,gap_gmp,Earthquakes,274,0.7482014298439026,0.7482013702392578,2.6157360076904297,1.0,1.0,0.0
lite,gap_gmp,ECG200,120,0.8700000047683716,0.8699999451637268,0.8031651973724365,1.0,1.0,1.3113020891353244e-08
lite,gap_gmp,ECG5000,248,0.9411110877990723,0.9411110281944275,0.6291712522506714,1.0,1.0,1.5735624359081157e-08
lite,gap_gmp,ECGFiveDays,129,1.0,1.0,1.5715539120719768e-05,1.0,1.0,5.183012241616325e-09
lite,gap_gmp,ElectricDevices,2624,0.6524445414543152,0.6524444818496704,4.337454319000244,0.9924938678741455,0.9924938082695007,0.01724877767264843
lite,gap_gmp,EOGHorizontalSignal,419,0.5635359287261963,0.5635358691215515,4.217324733734131,1.0,1.0,6.024563845130615e-06
lite,gap_gmp,EOGVerticalSignal,418,0.43922650814056396,0.4392264485359192,5.247824192047119,1.0,1.0,6.521005707327276e-05
lite,gap_gmp,EthanolLevel,727,0.5799999833106995,0.5799999237060547,2.748701333999634,1.0,1.0,1.7734611901687458e-05
lite,gap_gmp,FaceAll,255,0.910650908946991,0.9106508493423462,0.6409400105476379,1.0,1.0,0.0
lite,gap_gmp,FaceFour,129,0.6363636255264282,0.6363635659217834,1.2400568723678589,1.0,1.0,4.967053435223079e-09
lite,gap_gmp,FacesUCR,161,0.9151219725608826,0.9151219129562378,0.36123883724212646,1.0,1.0,5.9604643443123e-10
lite,gap_gmp,FiftyWords,247,0.7098901271820068,0.7098900675773621,1.8341314792633057,1.0,1.0,0.000150780426338315
