model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_map2_map4_map8,ACSF1,196,0.7300000190734863,0.7299999594688416,2.0108823776245117,1.0,1.0,0.0061034224927425385
lite,gap_map2_map4_map8,Adiac,268,0.8184143304824829,0.8184142708778381,2.094020128250122,1.0,1.0,0.00014383219240698963
lite,gap_map2_map4_map8,AllGestureWiimoteX,245,0.7785714268684387,0.778571367263794,1.8805643320083618,1.0,1.0,1.2310316606090055e-06
lite,gap_map2_map4_map8,AllGestureWiimoteY,243,0.7799999713897705,0.779999852180481,1.779258370399475,1.0,1.0,3.637832605818403e-06
lite,gap_map2_map4_map8,AllGestureWiimoteZ,243,0.7400000095367432,0.7399999499320984,2.0385797023773193,1.0,1.0,8.952441021392588e-06
lite,gap_map2_map4_map8,ArrowHead,169,0.8171428442001343,0.8171427845954895,0.9531667828559875,1.0,1.0,8.278421148588677e-08
lite,gap_map2_map4_map8,Beef,165,0.8333333134651184,0.8333332538604736,1.1657243967056274,1.0,1.0,5.7850618759403005e-05
lite,gap_map2_map4_map8,BeetleFly,164,0.75,0.7499999403953552,0.9326590299606323,1.0,1.0,2.384185648907078e-08
lite,gap_map2_map4_map8,BirdChicken,157,0.800000011920929,0.800000011920929,0.6772273778915405,1.0,1.0,4.172324707951702e-08
lite,gap_map2_map4_map8,BME,157,0.9933333396911621,0.9933332800865173,0.014686093665659428,1.0,1.0,0.0
lite,gap_map2_map4_map8,Car,176,0.9166666865348816,0.9166666269302368,0.8359211087226868,1.0,1.0,1.5874636574153556e-06
lite,gap_map2_map4_map8,CBF,157,0.9933333396911621,0.9933332800865173,0.012894014827907085,1.0,1.0,3.973642748178463e-09
lite,gap_map2_map4_map8,Chinatown,149,0.9825072884559631,0.9825072288513184,0.1546812653541565,1.0,1.0,2.9802317058624794e-08
lite,gap_map2_map4_map8,ChlorineConcentration,288,0.8661458492279053,0.8661457896232605,0.8937061429023743,1.0,1.0,1.7640606529312208e-05
lite,gap_map2_map4_map8,CinCECGTorso,206,0.9485507011413574,0.9485506415367126,0.1658269762992859,1.0,1.0,2.2053711745684268e-07
lite,gap_map2_map4_map8,Coffee,172,1.0,1.0,0.0011447548167780042,1.0,1.0,2.554484446193328e-08
lite,gap_map2_map4_map8,Computers,234,0.699999988079071,0.6999999284744263,1.906597375869751,1.0,1.0,2.218469489889685e-05
lite,gap_map2_map4_map8,CricketX,268,0.7871794700622559,0.7871794104576111,1.7349706888198853,1.0,1.0,6.794913929297763e-07
lite,gap_map2_map4_map8,CricketY,265,0.8102564215660095,0.8102563619613647,1.0251752138137817,1.0,1.0,3.9277892938116565e-07
lite,gap_map2_map4_map8,CricketZ,264,0.8025640845298767,0.8025640249252319,1.477707028388977,1.0,1.0,1.2626968555196072e-06
lite,gap_map2_map4_map8,Crop,1914,0.737500011920929,0.7374999523162842,3.9541895389556885,1.0,1.0,7.504471000174817e-07
lite,gap_map2_map4_map8,DiatomSizeReduction,243,0.9771241545677185,0.9771240949630737,0.6728898882865906,1.0,1.0,0.0005286308005452156
lite,gap_map2_map4_map8,DistalPhalanxOutlineAgeGroup,236,0.7050359845161438,0.705035924911499,2.2533509731292725,1.0,1.0,3.835553741282638e-07
lite,gap_map2_map4_map8,DistalPhalanxOutlineCorrect,303,0.77173912525177,0.7717390656471252,2.650695323944092,1.0,1.0,7.770437377985218e-07
lite,gap_map2_map4_map8,DistalPhalanxTW,240,0.6546762585639954,0.6546761989593506,2.9210755825042725,1.0,1.0,5.751838898504502e-07
lite,gap_map2_map4_map8,DodgerLoopDay,187,0.5375000238418579,0.5374999642372131,3.392334461212158,1.0,1.0,2.2924858456008224e-07
lite,gap_map2_map4_map8,DodgerLoopGame,162,0.8478260636329651,0.8478259444236755,1.019534945487976,1.0,1.0,1.192092824453539e-08
lite,gap_map2_map4_map8,DodgerLoopWeekend,159,0.9855072498321533,0.9855071902275085,0.2508395314216614,1.0,1.0,1.7881392366803084e-08
lite,gap_map2_map4_map8,Earthquakes,257,0.7266187071800232,0.7266186475753784,2.801565408706665,1.0,1.0,3.4800223147612996e-08
lite,gap_map2_map4_map8,ECG200,165,0.9399999976158142,0.9399999380111694,0.6571093201637268,1.0,1.0,2.1338455269415135e-07
lite,gap_map2_map4_map8,ECG5000,296,0.9386666417121887,0.938666582107544,1.004958987236023,1.0,1.0,3.099440704090739e-08
lite,gap_map2_map4_map8,ECGFiveDays,169,1.0,1.0,1.2899797638965538e-06,1.0,1.0,1.036602448323265e-08
lite,gap_map2_map4_map8,ElectricDevices,2379,0.6656724214553833,0.6656723618507385,6.649416446685791,0.993502140045166,0.9935020804405212,0.015941854566335678
lite,gap_map2_map4_map8,EOGHorizontalSignal,374,0.6187845468521118,0.618784487247467,3.527200698852539,1.0,1.0,2.514178595447447e-05
lite,gap_map2_map4_map8,EOGVerticalSignal,372,0.4613259732723236,0.46132591366767883,7.372267723083496,1.0,1.0,1.7188336641993374e-05
lite,gap_map2_map4_map8,EthanolLevel,680,0.8119999766349792,0.8119999170303345,1.0584330558776855,1.0,1.0,0.0002252678677905351
lite,gap_map2_map4_map8,FaceAll,299,0.8165680766105652,0.8165680766105652,1.4412873983383179,1.0,1.0,0.0
lite,gap_map2_map4_map8,FaceFour,175,0.8863636255264282,0.8863635659217834,0.7173247933387756,1.0,1.0,1.9868213740892315e-08
lite,gap_map2_map4_map8,FacesUCR,205,0.9595121741294861,0.9595121145248413,0.2796539068222046,1.0,1.0,0.0
lite,gap_map2_map4_map8,FiftyWords,270,0.8109890222549438,0.8109890222549438,1.9167178869247437,1.0,1.0,3.7491297462111106e-06
lite,gap_map2_map4_map8,Fish,227,0.9885714054107666,0.9885713458061218,1.4305444955825806,1.0,1.0,5.81740152938437e-07
lite,gap_map2_map4_map8,FordA,1497,0.9477272629737854,0.9477272033691406,0.3998245596885681,1.0,1.0,2.3656426151319465e-07
lite,gap_map2_map4_map8,FordB,1518,0.8172839283943176,0.8172838687896729,1.976453423500061,1.0,1.0,9.507891141069535e-10
lite,gap_map2_map4_map8,FreezerRegularTrain,182,0.9971929788589478,0.997192919254303,0.01954694837331772,1.0,1.0,1.2874596677647787e-07
lite,gap_map2_map4_map8,FreezerSmallTrain,182,0.7908771634101868,0.790877103805542,1.7389881610870361,1.0,1.0,1.277242311914506e-08
lite,gap_map2_map4_map8,Fungi,260,0.9193548560142517,0.9193547964096069,0.26530158519744873,0.9444444179534912,0.9444443583488464,0.051290202885866165
lite,gap_map2_map4_map8,GestureMidAirD1,218,0.7461538314819336,0.7461537718772888,2.4625244140625,1.0,1.0,1.7634813048061915e-05
lite,gap_map2_map4_map8,GestureMidAirD2,212,0.6615384817123413,0.6615384221076965,2.548443555831909,1.0,1.0,0.0045743719674646854
lite,gap_map2_map4_map8,GestureMidAirD3,219,0.4769230782985687,0.47692301869392395,5.645843029022217,1.0,1.0,1.591902764630504e-05
lite,gap_map2_map4_map8,GesturePebbleZ1,211,0.9069767594337463,0.9069766998291016,0.9138290882110596,1.0,1.0,1.202926227961143e-06
lite,gap_map2_map4_map8,GesturePebbleZ2,210,0.8734177350997925,0.8734177350997925,0.7142217755317688,1.0,1.0,1.5921783358407993e-07
