model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_mpvH,ACSF1,292,0.8799999952316284,0.8799999356269836,0.3368231952190399,0.9800000190734863,0.9799999594688416,0.03996824100613594
lite,gap_mpvH,Adiac,272,0.8260869383811951,0.8260869383811951,0.9406763911247253,1.0,1.0,0.007398893125355244
lite,gap_mpvH,AllGestureWiimoteX,345,0.7571428418159485,0.7571427226066589,1.5223268270492554,1.0,1.0,0.00014905250282026827
lite,gap_mpvH,AllGestureWiimoteY,347,0.7742857336997986,0.7742856740951538,1.4708715677261353,1.0,1.0,0.00016282661817967892
lite,gap_mpvH,AllGestureWiimoteZ,347,0.7314285635948181,0.7314285039901733,1.3683816194534302,1.0,1.0,0.0009122369810938835
lite,gap_mpvH,ArrowHead,126,0.8342857360839844,0.8342856764793396,0.6531302332878113,1.0,1.0,4.030665513710119e-05
lite,gap_mpvH,Beef,126,0.7333333492279053,0.7333332896232605,0.8056709170341492,1.0,1.0,0.0038109614979475737
lite,gap_mpvH,BeetleFly,117,0.8500000238418579,0.8499999642372131,0.5578142404556274,1.0,1.0,1.5079951936058933e-06
lite,gap_mpvH,BirdChicken,119,0.8999999761581421,0.8999999165534973,0.27620795369148254,1.0,1.0,1.3351412917472771e-06
lite,gap_mpvH,BME,113,1.0,1.0,0.0010492902947589755,1.0,1.0,4.967049562765169e-07
lite,gap_mpvH,Car,156,0.8666666746139526,0.8666666150093079,0.78323894739151,1.0,1.0,3.795423253905028e-05
lite,gap_mpvH,CBF,110,1.0,1.0,0.0011735805310308933,1.0,1.0,1.2874584172095638e-06
lite,gap_mpvH,Chinatown,109,0.9825072884559631,0.9825072288513184,0.1421981155872345,1.0,1.0,2.384185648907078e-08
lite,gap_mpvH,ChlorineConcentration,308,0.8677083253860474,0.8677083253860474,0.6697334051132202,1.0,1.0,0.00019795956904999912
lite,gap_mpvH,CinCECGTorso,195,0.8253623247146606,0.8253622651100159,0.626056432723999,1.0,1.0,0.00059301289729774
lite,gap_mpvH,Coffee,135,1.0,1.0,3.312521948828362e-05,1.0,1.0,3.831726758107834e-08
lite,gap_mpvH,Computers,364,0.7879999876022339,0.7879999279975891,1.3967384099960327,1.0,1.0,0.0011448097648099065
lite,gap_mpvH,CricketX,328,0.8128204941749573,0.8128204345703125,0.916194498538971,1.0,1.0,3.381212809472345e-05
lite,gap_mpvH,CricketY,327,0.8256410360336304,0.8256409764289856,0.8070309162139893,1.0,1.0,5.3351228416431695e-05
lite,gap_mpvH,CricketZ,328,0.8333333134651184,0.8333332538604736,0.7641781568527222,1.0,1.0,2.970173409266863e-05
lite,gap_mpvH,Crop,2262,0.7093452215194702,0.7093452215194702,3.525744676589966,1.0,1.0,0.00012903552851639688
lite,gap_mpvH,DiatomSizeReduction,198,0.5980392098426819,0.5980391502380371,2.262011766433716,0.6875,0.6874999403953552,2.608736038208008
lite,gap_mpvH,DistalPhalanxOutlineAgeGroup,206,0.6906474828720093,0.6906474232673645,2.166330575942993,1.0,1.0,4.7641278797527775e-06
