model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_ppvHste,ACSF1,289,0.9100000262260437,0.9099999666213989,0.3111630082130432,0.9200000166893005,0.9199999570846558,0.1588035374879837
lite,gap_ppvHste,Adiac,252,0.8363171219825745,0.8363170623779297,0.8268712162971497,0.9974358677864075,0.9974358081817627,0.02650863118469715
lite,gap_ppvHste,AllGestureWiimoteX,333,0.7471428513526917,0.7471427321434021,1.5564804077148438,1.0,1.0,5.3843134082853794e-05
lite,gap_ppvHste,AllGestureWiimoteY,334,0.7857142686843872,0.7857141494750977,1.233916163444519,1.0,1.0,2.639711783558596e-05
lite,gap_ppvHste,AllGestureWiimoteZ,338,0.7528571486473083,0.7528570294380188,1.2024884223937988,1.0,1.0,0.00010668667528079823
lite,gap_ppvHste,ArrowHead,120,0.822857141494751,0.8228570818901062,0.7049980759620667,1.0,1.0,0.000734552857466042
lite,gap_ppvHste,Beef,120,0.7666666507720947,0.76666659116745,0.8856901526451111,1.0,1.0,0.007634273264557123
lite,gap_ppvHste,BeetleFly,111,0.8500000238418579,0.8499999642372131,0.3706789016723633,1.0,1.0,0.0005347193218767643
lite,gap_ppvHste,BirdChicken,112,0.8999999761581421,0.8999999165534973,0.29078349471092224,1.0,1.0,0.00033988646464422345
lite,gap_ppvHste,BME,107,0.9933333396911621,0.9933332800865173,0.013032199814915657,1.0,1.0,7.820071004971396e-06
lite,gap_ppvHste,Car,149,0.9166666865348816,0.9166666269302368,0.3021899461746216,1.0,1.0,9.257486090064049e-05
lite,gap_ppvHste,CBF,103,0.9988889098167419,0.9988888502120972,0.0033424138091504574,1.0,1.0,5.447592047858052e-05
lite,gap_ppvHste,Chinatown,103,0.9854227304458618,0.985422670841217,0.1112687885761261,1.0,1.0,5.483624363478157e-07
lite,gap_ppvHste,ChlorineConcentration,288,0.8575521111488342,0.8575520515441895,0.6617928147315979,1.0,1.0,0.000514117709826678
lite,gap_ppvHste,CinCECGTorso,187,0.9181159138679504,0.9181158542633057,0.41765838861465454,1.0,1.0,0.0015912071103230119
lite,gap_ppvHste,Coffee,126,1.0,1.0,2.145732651115395e-06,1.0,1.0,1.7029897492193413e-08
lite,gap_ppvHste,Computers,345,0.7599999904632568,0.7599999308586121,2.4500765800476074,0.9959999918937683,0.9959999322891235,0.005809026770293713
lite,gap_ppvHste,CricketX,311,0.8205128312110901,0.8205127716064453,0.7477302551269531,1.0,1.0,3.282816760474816e-05
lite,gap_ppvHste,CricketY,314,0.8410256505012512,0.8410255908966064,0.6984483599662781,1.0,1.0,3.479264341876842e-05
lite,gap_ppvHste,CricketZ,308,0.843589723110199,0.8435896635055542,0.6664446592330933,1.0,1.0,5.4527699830941856e-05
lite,gap_ppvHste,Crop,1991,0.7053571343421936,0.7053570747375488,2.82399582862854,1.0,1.0,0.0035530170425772667
lite,gap_ppvHste,DiatomSizeReduction,195,0.45098039507865906,0.4509803354740143,3.100271224975586,0.625,0.6249999403953552,1.4719035625457764
lite,gap_ppvHste,DistalPhalanxOutlineAgeGroup,196,0.7122302055358887,0.7122301459312439,2.760549545288086,1.0,1.0,5.736178081860999e-06
lite,gap_ppvHste,DistalPhalanxOutlineCorrect,257,0.760869562625885,0.7608695030212402,1.8515522480010986,1.0,1.0,9.13837538973894e-06
lite,gap_ppvHste,DistalPhalanxTW,199,0.6474820375442505,0.6474819779396057,2.922769546508789,1.0,1.0,9.726769349072129e-06
lite,gap_ppvHste,DodgerLoopDay,156,0.48750001192092896,0.4874999523162842,1.637754201889038,1.0,1.0,0.008006930351257324
lite,gap_ppvHste,DodgerLoopGame,109,0.8913043737411499,0.8913043141365051,0.6330608129501343,1.0,1.0,8.940620318753645e-06
lite,gap_ppvHste,DodgerLoopWeekend,108,0.97826087474823,0.9782608151435852,0.07260198891162872,1.0,1.0,4.690859896072652e-06
lite,gap_ppvHste,Earthquakes,357,0.7122302055358887,0.7122301459312439,1.1642829179763794,1.0,1.0,0.00016772758681327105
lite,gap_ppvHste,ECG200,117,0.8600000143051147,0.85999995470047,0.8769989013671875,1.0,1.0,3.976769676228287e-06
lite,gap_ppvHste,ECG5000,280,0.9368888735771179,0.9368888139724731,0.6308378577232361,1.0,1.0,5.6827044318197295e-05
lite,gap_ppvHste,ECGFiveDays,124,1.0,1.0,6.863159001113672e-07,1.0,1.0,4.1464093669674185e-07
lite,gap_ppvHste,ElectricDevices,2897,0.681623637676239,0.6816235780715942,3.791367530822754,0.9856598973274231,0.9856598377227783,0.040498554706573486
lite,gap_ppvHste,EOGHorizontalSignal,728,0.5828729271888733,0.5828728675842285,2.2546682357788086,1.0,1.0,0.0014807494590058923
lite,gap_ppvHste,EOGVerticalSignal,727,0.3922652006149292,0.3922651410102844,5.984878063201904,1.0,1.0,0.0017628332134336233
lite,gap_ppvHste,EthanolLevel,1289,0.6700000166893005,0.6699999570846558,1.125527262687683,1.0,1.0,0.04969681799411774
lite,gap_ppvHste,FaceAll,295,0.8284023404121399,0.8284022808074951,1.0384434461593628,1.0,1.0,6.38621155957253e-10
lite,gap_ppvHste,FaceFour,116,0.9431818127632141,0.9431817531585693,0.28856536746025085,1.0,1.0,0.00019092655566055328
lite,gap_ppvHste,FacesUCR,165,0.9604877829551697,0.9604877233505249,0.17703557014465332,1.0,1.0,1.7631031141718267e-06
lite,gap_ppvHste,FiftyWords,333,0.7890110015869141,0.7890110015869141,1.0046638250350952,1.0,1.0,0.002796171000227332
lite,gap_ppvHste,Fish,231,0.9828571677207947,0.9828571081161499,0.7120113968849182,1.0,1.0,1.9912176867364906e-05
lite,gap_ppvHste,FordA,3139,0.9530302882194519,0.9530302286148071,0.2843363881111145,1.0,1.0,3.749241295736283e-05
lite,gap_ppvHste,FordB,3161,0.8259259462356567,0.8259258270263672,0.8023279309272766,1.0,1.0,3.0779785447521135e-05
lite,gap_ppvHste,FreezerRegularTrain,162,0.9978947639465332,0.9978947043418884,0.01649888977408409,1.0,1.0,1.089724901248701e-05
lite,gap_ppvHste,FreezerSmallTrain,124,0.8715789318084717,0.8715788722038269,0.5609164237976074,1.0,1.0,0.0002238840243080631
lite,gap_ppvHste,Fungi,173,0.10215053707361221,0.10215047746896744,10.999835968017578,0.1666666716337204,0.16666662693023682,10.272974014282227
lite,gap_ppvHste,GestureMidAirD1,218,0.7461538314819336,0.7461537718772888,1.2973060607910156,1.0,1.0,0.0016247505554929376
lite,gap_ppvHste,GestureMidAirD2,218,0.6615384817123413,0.6615384221076965,1.3844534158706665,0.9759615659713745,0.9759615063667297,0.10701029747724533
lite,gap_ppvHste,GestureMidAirD3,216,0.35384616255760193,0.35384610295295715,3.0814123153686523,1.0,1.0,0.0046540554612874985
lite,gap_ppvHste,GesturePebbleZ1,197,0.930232584476471,0.9302325248718262,0.28966620564460754,1.0,1.0,0.0012422642903402448
lite,gap_ppvHste,GesturePebbleZ2,203,0.8797468543052673,0.8797467947006226,0.3529478907585144,1.0,1.0,6.708457658533007e-05
lite,gap_ppvHste,GunPoint,109,1.0,1.0,0.0028876697178930044,1.0,1.0,0.00015775296196807176
