model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gmp,ACSF1,187,0.8299999833106995,0.8299999237060547,1.3759315013885498,1.0,1.0,0.0012122391490265727
lite,gmp,Adiac,262,0.7800511717796326,0.7800511717796326,1.2902387380599976,1.0,1.0,0.00027217596652917564
lite,gmp,AllGestureWiimoteX,249,0.6728571653366089,0.6728571057319641,1.9922552108764648,1.0,1.0,7.561826578239561e-07
lite,gmp,AllGestureWiimoteY,264,0.6971428394317627,0.6971427798271179,1.9688875675201416,1.0,1.0,4.386897956010216e-07
lite,gmp,AllGestureWiimoteZ,256,0.6642857193946838,0.6642856597900391,2.1757795810699463,1.0,1.0,1.4372626537806354e-06
lite,gmp,ArrowHead,176,0.7599999904632568,0.7599999308586121,1.4142132997512817,1.0,1.0,6.622737469541562e-09
lite,gmp,Beef,167,0.7666666507720947,0.76666659116745,0.9749786853790283,1.0,1.0,0.000125337130157277
lite,gmp,BeetleFly,163,0.75,0.7499999403953552,0.9863224029541016,1.0,1.0,7.748602826040951e-08
lite,gmp,BirdChicken,162,0.8500000238418579,0.8499999642372131,0.39024147391319275,1.0,1.0,2.086161714487389e-07
lite,gmp,BME,154,0.9866666793823242,0.9866666197776794,0.057787105441093445,1.0,1.0,5.563099847449848e-08
lite,gmp,Car,181,0.7166666388511658,0.716666579246521,2.1389424800872803,1.0,1.0,7.609521617268911e-07
lite,gmp,CBF,172,0.9777777791023254,0.9777777194976807,0.06098666042089462,1.0,1.0,1.192092824453539e-08
lite,gmp,Chinatown,153,0.9825072884559631,0.9825072288513184,0.16084930300712585,1.0,1.0,1.7881392366803084e-08
lite,gmp,ChlorineConcentration,405,0.874218761920929,0.8742187023162842,0.7202741503715515,1.0,1.0,3.0473705919575877e-05
lite,gmp,CinCECGTorso,197,0.6413043737411499,0.6413043141365051,2.197329521179199,1.0,1.0,8.314840442835703e-07
lite,gmp,Coffee,186,1.0,1.0,3.3205207728315145e-05,1.0,1.0,4.257474373048353e-09
lite,gmp,Computers,243,0.7039999961853027,0.703999936580658,1.7822743654251099,1.0,1.0,2.0217886742557312e-07
lite,gmp,CricketX,323,0.7205128073692322,0.7205127477645874,1.571972370147705,1.0,1.0,8.191816647240557e-08
lite,gmp,CricketY,268,0.6897435784339905,0.6897435188293457,1.5997893810272217,1.0,1.0,9.172990758088417e-07
lite,gmp,CricketZ,278,0.7307692170143127,0.730769157409668,1.3293112516403198,1.0,1.0,2.8977018473597127e-07
lite,gmp,Crop,1982,0.7138095498085022,0.7138094305992126,3.468263626098633,1.0,1.0,1.6066032912931405e-05
lite,gmp,DiatomSizeReduction,207,0.6339869499206543,0.6339868903160095,1.455402135848999,0.8125,0.8124999403953552,0.36086010932922363
lite,gmp,DistalPhalanxOutlineAgeGroup,235,0.769784152507782,0.7697840929031372,1.617819905281067,1.0,1.0,9.050941116583999e-07
lite,gmp,DistalPhalanxOutlineCorrect,301,0.77173912525177,0.7717390656471252,2.0174529552459717,1.0,1.0,2.6067081648761814e-07
lite,gmp,DistalPhalanxTW,268,0.6546762585639954,0.6546761989593506,3.070719003677368,1.0,1.0,5.0365919435080286e-08
lite,gmp,DodgerLoopDay,234,0.3375000059604645,0.3374999463558197,2.2871527671813965,1.0,1.0,1.3907748552810517e-07
lite,gmp,DodgerLoopGame,173,0.8623188138008118,0.862318754196167,0.38628625869750977,1.0,1.0,5.364417532405241e-08
lite,gmp,DodgerLoopWeekend,166,0.9420289993286133,0.9420289397239685,0.2831293046474457,1.0,1.0,5.960463766996327e-08
lite,gmp,Earthquakes,279,0.7482014298439026,0.7482013702392578,2.381373882293701,1.0,1.0,1.925118908729928e-08
lite,gmp,ECG200,176,0.8899999856948853,0.8899999260902405,0.5514390468597412,1.0,1.0,2.86102270763422e-08
lite,gmp,ECG5000,312,0.9391111135482788,0.939111053943634,0.6478002071380615,1.0,1.0,1.2397764592719795e-08
lite,gmp,ECGFiveDays,175,1.0,1.0,5.462909484776901e-06,1.0,1.0,1.036602448323265e-08
lite,gmp,ElectricDevices,2351,0.6524445414543152,0.6524444818496704,4.627780437469482,0.993502140045166,0.9935020804405212,0.015878506004810333
lite,gmp,EOGHorizontalSignal,341,0.5690608024597168,0.569060742855072,4.279869556427002,1.0,1.0,1.5863728549447842e-05
lite,gmp,EOGVerticalSignal,342,0.4060773551464081,0.4060772955417633,6.62044620513916,1.0,1.0,1.9322213120176457e-05
lite,gmp,EthanolLevel,499,0.6959999799728394,0.6959999203681946,1.9531241655349731,1.0,1.0,4.6311556616274174e-06
lite,gmp,FaceAll,309,0.9224852323532104,0.9224851727485657,0.5511140823364258,1.0,1.0,0.0
lite,gmp,FaceFour,173,0.6818181872367859,0.6818181276321411,1.1999480724334717,1.0,1.0,1.9868211964535476e-08
lite,gmp,FacesUCR,204,0.906829297542572,0.9068292379379272,0.35679587721824646,1.0,1.0,1.7881391922713874e-09
lite,gmp,FiftyWords,275,0.7230769395828247,0.7230768799781799,1.9426419734954834,1.0,1.0,0.00011579595593502745
lite,gmp,Fish,223,0.9485714435577393,0.9485713839530945,5.138887882232666,1.0,1.0,1.5803714177309303e-06
lite,gmp,FordA,1380,0.9439393877983093,0.9439393281936646,0.530390739440918,1.0,1.0,1.0957586837889721e-08
lite,gmp,FordB,1394,0.8283950686454773,0.8283950090408325,1.7728229761123657,1.0,1.0,0.0
lite,gmp,FreezerRegularTrain,205,0.9961403608322144,0.9961403012275696,0.0695495530962944,1.0,1.0,7.899587899373728e-07
lite,gmp,FreezerSmallTrain,182,0.9498245716094971,0.9498245120048523,0.31060799956321716,1.0,1.0,2.128735303585927e-07
lite,gmp,Fungi,257,0.9838709831237793,0.9838709235191345,0.05059729516506195,1.0,1.0,1.0053128789877519e-05
lite,gmp,GestureMidAirD1,229,0.6461538672447205,0.6461538076400757,2.1943626403808594,1.0,1.0,6.546475924551487e-05
lite,gmp,GestureMidAirD2,225,0.5538461804389954,0.5538461208343506,2.9655871391296387,1.0,1.0,0.0005362124647945166
lite,gmp,GestureMidAirD3,221,0.3153846263885498,0.31538456678390503,5.819329261779785,1.0,1.0,0.0003159447805956006
