model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gru128,ACSF1,974,0.8100000023841858,0.8099998831748962,1.5472460985183716,1.0,1.0,0.0003254509065300226
lite,gru128,Adiac,600,0.6751918196678162,0.6751917600631714,2.3263347148895264,1.0,1.0,6.3170937210088596e-06
lite,gru128,AllGestureWiimoteX,822,0.6257143020629883,0.6257142424583435,4.23636531829834,1.0,1.0,6.063772843845072e-07
lite,gru128,AllGestureWiimoteY,815,0.6728571653366089,0.6728571057319641,3.6604275703430176,1.0,1.0,2.6972957130055875e-06
lite,gru128,AllGestureWiimoteZ,804,0.5099999904632568,0.5099999308586121,4.636932373046875,1.0,1.0,0.00012084797344869003
lite,gru128,ArrowHead,314,0.6628571152687073,0.6628570556640625,3.8889598846435547,1.0,1.0,1.4901159772762185e-07
lite,gru128,Beef,375,0.5333333611488342,0.5333333015441895,5.147925853729248,1.0,1.0,0.00014163655578158796
lite,gru128,BeetleFly,380,0.800000011920929,0.800000011920929,2.367840051651001,1.0,1.0,1.192092824453539e-08
lite,gru128,BirdChicken,378,0.800000011920929,0.800000011920929,1.944911241531372,1.0,1.0,2.384185471271394e-08
lite,gru128,BME,217,0.8733333349227905,0.8733332753181458,1.5811514854431152,1.0,1.0,3.336998270242475e-05
lite,gru128,Car,458,0.44999998807907104,0.44999992847442627,6.225409030914307,1.0,1.0,1.5079959894137573e-06
lite,gru128,CBF,224,0.742222249507904,0.7422221302986145,1.7006330490112305,1.0,1.0,5.04652405197703e-07
lite,gru128,Chinatown,185,0.9795918464660645,0.9795917868614197,0.22217364609241486,1.0,1.0,1.192092824453539e-08
lite,gru128,ChlorineConcentration,672,0.8697916865348816,0.8697916269302368,1.101043939590454,1.0,1.0,8.214437343667669e-07
lite,gru128,CinCECGTorso,903,0.43405798077583313,0.43405792117118835,6.005732536315918,1.0,1.0,3.1739364203531295e-06
lite,gru128,Coffee,396,1.0,1.0,2.9802318834981634e-08,1.0,1.0,8.514948746096707e-09
lite,gru128,Computers,874,0.5759999752044678,0.575999915599823,4.632770538330078,1.0,1.0,3.142351658880216e-07
lite,gru128,CricketX,754,0.19230769574642181,0.19230765104293823,8.444416999816895,1.0,1.0,3.3454912227171008e-06
lite,gru128,CricketY,753,0.3282051384449005,0.32820507884025574,6.8258795738220215,1.0,1.0,1.3562327012550668e-06
lite,gru128,CricketZ,752,0.47948718070983887,0.4794871211051941,4.298502445220947,1.0,1.0,5.8919454204442445e-06
lite,gru128,Crop,5578,0.7392857074737549,0.7392856478691101,3.4877285957336426,1.0,1.0,1.3907748730446201e-08
lite,gru128,DiatomSizeReduction,510,0.6993464231491089,0.6993463635444641,3.2371184825897217,0.875,0.8749999403953552,1.429451823234558
lite,gru128,DistalPhalanxOutlineAgeGroup,446,0.7194244861602783,0.7194243669509888,3.520653486251831,1.0,1.0,1.19209286886246e-09
lite,gru128,DistalPhalanxOutlineCorrect,651,0.7427536249160767,0.7427535653114319,3.2304704189300537,1.0,1.0,4.4107430596795894e-08
lite,gru128,DistalPhalanxTW,442,0.6474820375442505,0.6474819779396057,4.3094482421875,1.0,1.0,0.0
lite,gru128,DodgerLoopDay,388,0.36250001192092896,0.3624999523162842,4.692135810852051,1.0,1.0,9.429755891687819e-07
lite,gru128,DodgerLoopGame,289,0.760869562625885,0.7608695030212402,3.1503746509552,1.0,1.0,5.960464122267695e-09
lite,gru128,DodgerLoopWeekend,281,0.6521739363670349,0.6521738767623901,3.4235575199127197,1.0,1.0,2.384185648907078e-08
lite,gru128,Earthquakes,900,0.7266187071800232,0.7266186475753784,3.513063430786133,1.0,1.0,0.0
lite,gru128,ECG200,225,0.8500000238418579,0.8499999642372131,1.9577945470809937,1.0,1.0,1.19209286886246e-09
lite,gru128,ECG5000,669,0.9248889088630676,0.9248888492584229,1.0856040716171265,1.0,1.0,0.0
lite,gru128,ECGFiveDays,273,0.9802555441856384,0.9802554845809937,0.19029152393341064,1.0,1.0,2.073204541375162e-08
lite,gru128,ElectricDevices,8902,0.6801971197128296,0.6801970601081848,4.2156453132629395,0.9939502477645874,0.9939501881599426,0.01216733269393444
lite,gru128,EOGHorizontalSignal,2013,0.5635359287261963,0.5635358691215515,3.9529151916503906,1.0,1.0,1.0416467375762295e-05
lite,gru128,EOGVerticalSignal,2032,0.43370166420936584,0.43370160460472107,6.401805400848389,1.0,1.0,4.721212008007569e-06
lite,gru128,EthanolLevel,3726,0.7839999794960022,0.7839999198913574,1.1597027778625488,1.0,1.0,0.00017105849110521376
lite,gru128,FaceAll,706,0.7254437804222107,0.7254437208175659,3.896843910217285,1.0,1.0,1.4922446212040086e-07
lite,gru128,FaceFour,371,0.6022727489471436,0.6022726893424988,4.206860065460205,1.0,1.0,1.9868213740892315e-08
lite,gru128,FacesUCR,334,0.8443902730941772,0.8443902134895325,1.146969199180603,1.0,1.0,9.572490853315685e-07
lite,gru128,FiftyWords,829,0.595604419708252,0.5956043601036072,3.778846263885498,1.0,1.0,2.8355809718050295e-06
lite,gru128,Fish,481,0.6342856884002686,0.6342856287956238,2.882359266281128,1.0,1.0,1.1334929695294704e-05
lite,gru128,FordA,8556,0.9553030133247375,0.9553029537200928,0.8002156615257263,1.0,1.0,0.0
lite,gru128,FordB,8644,0.8407407402992249,0.8407406806945801,2.470088481903076,1.0,1.0,0.0
lite,gru128,FreezerRegularTrain,334,0.8642105460166931,0.8642104864120483,1.1873579025268555,1.0,1.0,8.352581062354147e-07
lite,gru128,FreezerSmallTrain,366,0.680701732635498,0.6807016730308533,5.426110744476318,1.0,1.0,4.257474373048353e-09
lite,gru128,Fungi,469,0.3870967626571655,0.38709670305252075,8.622154235839844,0.3333333432674408,0.333333283662796,8.917827606201172
lite,gru128,GestureMidAirD1,475,0.5153846144676208,0.5153845548629761,4.143631458282471,1.0,1.0,0.00042715243762359023
