model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,map8,ACSF1,305,0.7400000095367432,0.7399999499320984,1.8103770017623901,1.0,1.0,0.004866923205554485
lite,map8,Adiac,261,0.8184143304824829,0.8184142708778381,1.8868554830551147,1.0,1.0,0.00010758543066913262
lite,map8,AllGestureWiimoteX,348,0.7471428513526917,0.7471427321434021,1.7951632738113403,1.0,1.0,1.0319537295799819e-06
lite,map8,AllGestureWiimoteY,347,0.7828571200370789,0.7828570604324341,1.8049802780151367,1.0,1.0,2.7040455279347952e-06
lite,map8,AllGestureWiimoteZ,348,0.7057142853736877,0.705714225769043,2.2346887588500977,1.0,1.0,4.749250365421176e-06
lite,map8,ArrowHead,128,0.7942857146263123,0.7942856550216675,1.4312365055084229,1.0,1.0,5.993570653117786e-07
lite,map8,Beef,125,0.7333333492279053,0.7333332896232605,1.0944359302520752,1.0,1.0,4.0768631151877344e-05
lite,map8,BeetleFly,128,0.699999988079071,0.6999999284744263,1.6225249767303467,1.0,1.0,8.940695295223122e-08
lite,map8,BirdChicken,125,0.800000011920929,0.800000011920929,1.423444390296936,1.0,1.0,1.1324880233587464e-07
lite,map8,BME,117,0.9933333396911621,0.9933332800865173,0.008598827756941319,1.0,1.0,7.947285496356926e-09
lite,map8,Car,159,0.8833333253860474,0.8833332657814026,1.1723233461380005,1.0,1.0,2.2272204205364687e-06
lite,map8,CBF,116,0.9833333492279053,0.9833332896232605,0.056251224130392075,1.0,1.0,0.0
lite,map8,Chinatown,113,0.9825072884559631,0.9825072288513184,0.17632845044136047,1.0,1.0,3.576278473360617e-08
lite,map8,ChlorineConcentration,299,0.8515625,0.8515624403953552,0.9088239073753357,1.0,1.0,3.062058021896519e-05
lite,map8,CinCECGTorso,203,0.9811594486236572,0.9811593890190125,0.0451941154897213,1.0,1.0,3.695486157084815e-07
lite,map8,Coffee,134,1.0,1.0,3.740396277862601e-05,1.0,1.0,2.554484623829012e-08
lite,map8,Computers,357,0.7279999852180481,0.7279999256134033,1.853173851966858,1.0,1.0,3.272581670898944e-05
lite,map8,CricketX,326,0.8179486989974976,0.8179486393928528,1.5662986040115356,1.0,1.0,2.6867925839724194e-07
lite,map8,CricketY,326,0.8384615182876587,0.8384614586830139,1.084025502204895,1.0,1.0,2.2985983605394722e-07
lite,map8,CricketZ,325,0.8128204941749573,0.8128204345703125,1.7589291334152222,1.0,1.0,1.0462885029483004e-06
lite,map8,Crop,2096,0.7378571629524231,0.7378571033477783,3.9457221031188965,1.0,1.0,5.714388180422247e-07
lite,map8,DiatomSizeReduction,205,0.9738562107086182,0.9738561511039734,0.5847523808479309,1.0,1.0,5.5549426178913563e-05
lite,map8,DistalPhalanxOutlineAgeGroup,208,0.7410072088241577,0.7410071492195129,2.340721368789673,1.0,1.0,8.130056698973931e-07
lite,map8,DistalPhalanxOutlineCorrect,270,0.7789855003356934,0.7789855003356934,2.553941488265991,1.0,1.0,5.4081215239421e-07
lite,map8,DistalPhalanxTW,210,0.7050359845161438,0.705035924911499,2.3280084133148193,1.0,1.0,7.578715894851484e-07
lite,map8,DodgerLoopDay,171,0.5,0.4999999403953552,2.761713981628418,1.0,1.0,4.997618248125946e-07
lite,map8,DodgerLoopGame,125,0.8768116235733032,0.8768115639686584,0.8014869093894958,1.0,1.0,2.9802318834981634e-08
lite,map8,DodgerLoopWeekend,124,0.9855072498321533,0.9855071902275085,0.18144741654396057,1.0,1.0,1.7881392366803084e-08
lite,map8,Earthquakes,376,0.7482014298439026,0.7482013702392578,2.6380629539489746,1.0,1.0,7.774517918335277e-09
lite,map8,ECG200,127,0.9300000071525574,0.9299999475479126,0.6920037269592285,1.0,1.0,1.7881390590446244e-08
lite,map8,ECG5000,297,0.9377777576446533,0.9377776980400085,0.9191173911094666,1.0,1.0,7.271762569871498e-08
lite,map8,ECGFiveDays,133,1.0,1.0,5.722663445340004e-06,1.0,1.0,3.109807167334111e-08
lite,map8,ElectricDevices,2991,0.6630787253379822,0.6630786657333374,7.444148540496826,0.9923818111419678,0.992381751537323,0.017433427274227142
lite,map8,EOGHorizontalSignal,753,0.580110490322113,0.5801104307174683,4.17378044128418,1.0,1.0,2.614172626635991e-05
lite,map8,EOGVerticalSignal,759,0.47237569093704224,0.47237563133239746,8.011579513549805,1.0,1.0,1.3427092198980972e-05
lite,map8,EthanolLevel,1420,0.7580000162124634,0.7579999566078186,1.6541917324066162,1.0,1.0,0.00014162967272568494
lite,map8,FaceAll,311,0.8189349174499512,0.8189348578453064,0.9269666075706482,1.0,1.0,0.0
lite,map8,FaceFour,138,0.9772727489471436,0.9772726893424988,0.07387566566467285,1.0,1.0,0.0
lite,map8,FacesUCR,189,0.9590243697166443,0.9590243101119995,0.22378355264663696,1.0,1.0,1.19209286886246e-09
lite,map8,FiftyWords,343,0.8021978139877319,0.8021977543830872,1.7798008918762207,1.0,1.0,1.3571180943472427e-06
lite,map8,Fish,237,0.9714285731315613,0.9714285135269165,3.5170791149139404,1.0,1.0,4.422969595907489e-06
lite,map8,FordA,3193,0.9431818127632141,0.9431817531585693,0.46927347779273987,1.0,1.0,2.2593759751998732e-07
lite,map8,FordB,3214,0.8037037253379822,0.8037037253379822,2.4606144428253174,1.0,1.0,5.573591033147807e-10
lite,map8,FreezerRegularTrain,166,0.996842086315155,0.9968420267105103,0.02747795172035694,1.0,1.0,5.404153213817153e-08
lite,map8,FreezerSmallTrain,137,0.6800000071525574,0.6799999475479126,4.397951126098633,1.0,1.0,5.960463411724959e-08
lite,map8,Fungi,218,0.9408602118492126,0.9408601522445679,0.13880392909049988,0.9444444179534912,0.9444443583488464,0.054905228316783905
lite,map8,GestureMidAirD1,216,0.7307692170143127,0.730769157409668,2.2858376502990723,1.0,1.0,1.515497024229262e-05
lite,map8,GestureMidAirD2,219,0.6615384817123413,0.6615384221076965,3.1935112476348877,1.0,1.0,0.0005416633794084191
lite,map8,GestureMidAirD3,219,0.45384615659713745,0.4538460969924927,5.682260990142822,1.0,1.0,1.867210266937036e-05
lite,map8,GesturePebbleZ1,196,0.9011628031730652,0.9011627435684204,1.0862934589385986,1.0,1.0,7.278977136593312e-07
lite,map8,GesturePebbleZ2,215,0.8544303774833679,0.8544303178787231,0.9355940818786621,1.0,1.0,1.0614522949481398e-07
lite,map8,GunPoint,124,1.0,1.0,0.0064402371644973755,1.0,1.0,1.668929883180681e-08
lite,map8,GunPointAgeSpan,146,0.9873417615890503,0.9873417019844055,0.053602732717990875,1.0,1.0,1.377528917601012e-07
lite,map8,GunPointMaleVersusFemale,149,0.996835470199585,0.9968354105949402,0.007215800229460001,1.0,1.0,2.6932409014079894e-07
lite,map8,GunPointOldVersusYoung,155,0.9492063522338867,0.9492062926292419,0.6516625285148621,1.0,1.0,1.3148082622649326e-08
