model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,mipvH,ACSF1,297,0.28999999165534973,0.28999993205070496,6.90664005279541,0.41999998688697815,0.4199999272823334,1.6030051708221436
lite,mipvH,Adiac,270,0.20204603672027588,0.2020460069179535,3.152855157852173,0.2589743733406067,0.2589743137359619,2.773756742477417
lite,mipvH,AllGestureWiimoteX,351,0.6071428656578064,0.6071428060531616,1.9967126846313477,0.9566666483879089,0.9566665887832642,0.1434307098388672
lite,mipvH,AllGestureWiimoteY,349,0.6171428561210632,0.6171427965164185,1.901583194732666,0.949999988079071,0.9499999284744263,0.14095674455165863
lite,mipvH,AllGestureWiimoteZ,344,0.4814285635948181,0.48142850399017334,1.6094926595687866,0.6600000262260437,0.6599999666213989,0.9083995819091797
lite,mipvH,ArrowHead,125,0.645714282989502,0.6457142233848572,1.2803263664245605,0.9722222089767456,0.9722221493721008,0.08009996265172958
lite,mipvH,Beef,125,0.5666666626930237,0.5666666030883789,2.904036521911621,0.8999999761581421,0.8999999165534973,0.2580409646034241
lite,mipvH,BeetleFly,119,0.699999988079071,0.6999999284744263,6.751046657562256,1.0,1.0,0.0029738210141658783
lite,mipvH,BirdChicken,120,0.6499999761581421,0.6499999165534973,6.304586410522461,1.0,1.0,7.062885742925573e-06
lite,mipvH,BME,116,0.9333333373069763,0.9333332777023315,0.2844197154045105,1.0,1.0,2.980231101901154e-07
lite,mipvH,Car,154,0.75,0.7499999403953552,1.4051450490951538,0.9666666388511658,0.966666579246521,0.15433430671691895
lite,mipvH,CBF,110,0.9422222375869751,0.9422221779823303,0.2703537344932556,1.0,1.0,0.0005295056034810841
lite,mipvH,Chinatown,115,0.9620991349220276,0.9620990753173828,0.15402968227863312,1.0,1.0,0.07990491390228271
lite,mipvH,ChlorineConcentration,302,0.5385416746139526,0.5385416150093079,1.1131432056427002,0.6788008809089661,0.6788008213043213,0.7489532828330994
lite,mipvH,CinCECGTorso,193,0.6246376633644104,0.6246376037597656,16.292829513549805,1.0,1.0,1.504982719779946e-06
lite,mipvH,Coffee,130,0.9642857313156128,0.9642856121063232,0.06513864547014236,1.0,1.0,0.0016105176182463765
lite,mipvH,Computers,366,0.5320000052452087,0.531999945640564,1.7147986888885498,0.8799999952316284,0.8799999356269836,0.2763315737247467
lite,mipvH,CricketX,328,0.6153846383094788,0.615384578704834,2.4771652221679688,0.9948717951774597,0.9948717355728149,0.05812785401940346
lite,mipvH,CricketY,325,0.5589743852615356,0.5589743256568909,2.5023889541625977,0.9487179517745972,0.9487178921699524,0.18134227395057678
lite,mipvH,CricketZ,323,0.6333333253860474,0.6333332657814026,2.138185501098633,0.9923076629638672,0.9923076033592224,0.06649291515350342
lite,mipvH,Crop,2180,0.6727380752563477,0.6727380156517029,1.030900478363037,0.7327777743339539,0.7327777147293091,0.7821841835975647
lite,mipvH,DiatomSizeReduction,146,0.8823529481887817,0.882352888584137,1.1569023132324219,1.0,1.0,0.006801334209740162
lite,mipvH,DistalPhalanxOutlineAgeGroup,206,0.7194244861602783,0.7194243669509888,0.6112688779830933,0.8525000214576721,0.8524999618530273,0.3514750599861145
lite,mipvH,DistalPhalanxOutlineCorrect,289,0.7463768124580383,0.7463767528533936,0.5357323288917542,0.8349999785423279,0.8349999189376831,0.375891774892807
lite,mipvH,DistalPhalanxTW,209,0.6115108132362366,0.6115107536315918,0.900169312953949,0.8525000214576721,0.8524999618530273,0.4460828900337219
lite,mipvH,DodgerLoopDay,165,0.512499988079071,0.5124999284744263,3.4919681549072266,0.9743589758872986,0.9743589162826538,0.11241351813077927
lite,mipvH,DodgerLoopGame,117,0.8695651888847351,0.8695651292800903,1.0905407667160034,1.0,1.0,0.004085305612534285
lite,mipvH,DodgerLoopWeekend,113,0.8840579986572266,0.8840579986572266,2.1850099563598633,1.0,1.0,0.00014614236715715379
lite,mipvH,Earthquakes,376,0.7050359845161438,0.705035924911499,2.819641351699829,1.0,1.0,0.006871925201267004
lite,mipvH,ECG200,118,0.8100000023841858,0.8099998831748962,0.6208498477935791,1.0,1.0,0.017450541257858276
lite,mipvH,ECG5000,300,0.9253333210945129,0.9253332614898682,0.7399002909660339,0.9819999933242798,0.981999933719635,0.042521730065345764
lite,mipvH,ECGFiveDays,126,0.8083623647689819,0.8083623051643372,0.8469342589378357,1.0,1.0,0.0011467093136161566
lite,mipvH,ElectricDevices,3188,0.6695629358291626,0.6695628762245178,1.4469070434570312,0.8779968619346619,0.8779968023300171,0.3328862488269806
lite,mipvH,EOGHorizontalSignal,732,0.43370166420936584,0.43370160460472107,7.038326740264893,0.8480662703514099,0.8480662107467651,0.5805964469909668
lite,mipvH,EOGVerticalSignal,773,0.295580118894577,0.29558005928993225,5.874098777770996,0.6077347993850708,0.607734739780426,1.352096438407898
lite,mipvH,EthanolLevel,1291,0.5799999833106995,0.5799999237060547,1.2918176651000977,0.6805555820465088,0.680555522441864,0.7620446681976318
lite,mipvH,FaceAll,311,0.7402366995811462,0.7402366399765015,3.7920806407928467,1.0,1.0,0.0009405483142472804
lite,mipvH,FaceFour,121,0.8522727489471436,0.8522726893424988,1.3714492321014404,1.0,1.0,8.917807281250134e-05
lite,mipvH,FacesUCR,170,0.8268292546272278,0.826829195022583,0.9563957452774048,1.0,1.0,0.0013148704310879111
lite,mipvH,FiftyWords,350,0.6175824403762817,0.617582380771637,3.25757098197937,1.0,1.0,0.02944374270737171
lite,mipvH,Fish,228,0.7257142663002014,0.7257142066955566,1.4289634227752686,0.7885714173316956,0.7885713577270508,0.5421696901321411
lite,mipvH,FordA,3250,0.9219697117805481,0.9219696521759033,0.21999505162239075,0.9497361779212952,0.9497361183166504,0.1322796642780304
lite,mipvH,FordB,3235,0.7925925850868225,0.7925925850868225,0.5665476322174072,0.9568206667900085,0.9568206071853638,0.12191124260425568
lite,mipvH,FreezerRegularTrain,162,0.9501754641532898,0.950175404548645,0.3158845901489258,0.9933333396911621,0.9933332800865173,0.021940894424915314
lite,mipvH,FreezerSmallTrain,130,0.7764912247657776,0.776491105556488,1.8392624855041504,1.0,1.0,0.0004117545031476766
lite,mipvH,Fungi,148,0.6720430254936218,0.672042965888977,1.4106954336166382,0.7222222089767456,0.722222089767456,1.0366599559783936
lite,mipvH,GestureMidAirD1,215,0.5307692289352417,0.5307691693305969,6.081521034240723,0.875,0.8749999403953552,0.3766457438468933
lite,mipvH,GestureMidAirD2,217,0.5692307949066162,0.5692307353019714,1.8605990409851074,0.8125,0.8124999403953552,0.4247394800186157
lite,mipvH,GestureMidAirD3,218,0.2769230902194977,0.2769230306148529,8.865193367004395,0.7980769276618958,0.798076868057251,0.6927669048309326
lite,mipvH,GesturePebbleZ1,190,0.8895348906517029,0.8895348310470581,2.2621450424194336,1.0,1.0,0.00012105274072382599
lite,mipvH,GesturePebbleZ2,205,0.8227847814559937,0.8227847218513489,1.2533365488052368,1.0,1.0,0.00019677961245179176
lite,mipvH,GunPoint,119,0.9466666579246521,0.9466665983200073,0.11236821860074997,1.0,1.0,0.00041047626291401684
