model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,ppvHste,ACSF1,294,0.8899999856948853,0.8899999260902405,0.4148271083831787,0.9399999976158142,0.9399999380111694,0.22882986068725586
lite,ppvHste,Adiac,276,0.8439897894859314,0.8439897298812866,0.6062288284301758,0.9743589758872986,0.9743589162826538,0.10774115473031998
lite,ppvHste,AllGestureWiimoteX,347,0.7114285826683044,0.7114285230636597,0.9354339838027954,1.0,1.0,0.15205739438533783
lite,ppvHste,AllGestureWiimoteY,344,0.7542856931686401,0.7542856335639954,0.8990632891654968,0.9833333492279053,0.9833332896232605,0.3546987771987915
lite,ppvHste,AllGestureWiimoteZ,345,0.7114285826683044,0.7114285230636597,0.8918523192405701,0.9933333396911621,0.9933332800865173,0.29153957962989807
lite,ppvHste,ArrowHead,126,0.8342857360839844,0.8342856764793396,0.5490038394927979,1.0,1.0,0.00649671396240592
lite,ppvHste,Beef,124,0.6333333253860474,0.6333332657814026,0.8034869432449341,0.9333333373069763,0.9333332777023315,0.3230607211589813
lite,ppvHste,BeetleFly,118,0.8500000238418579,0.8499999642372131,0.39707082509994507,1.0,1.0,0.009417344816029072
lite,ppvHste,BirdChicken,121,1.0,1.0,0.16137076914310455,1.0,1.0,0.03936757892370224
lite,ppvHste,BME,108,0.9866666793823242,0.9866666197776794,0.05727068707346916,1.0,1.0,0.005537685938179493
lite,ppvHste,Car,155,0.949999988079071,0.9499999284744263,0.2120954692363739,1.0,1.0,0.002012955490499735
lite,ppvHste,CBF,107,0.9988889098167419,0.9988888502120972,0.012990904971957207,1.0,1.0,0.0028819888830184937
lite,ppvHste,Chinatown,105,0.9825072884559631,0.9825072288513184,0.1088617816567421,1.0,1.0,0.04181835055351257
lite,ppvHste,ChlorineConcentration,306,0.8638020753860474,0.8638020157814026,0.48740944266319275,1.0,1.0,0.0018397746607661247
lite,ppvHste,CinCECGTorso,191,0.8594202995300293,0.8594202399253845,0.4499368369579315,1.0,1.0,0.08692032098770142
lite,ppvHste,Coffee,127,1.0,1.0,0.038195449858903885,1.0,1.0,0.014933094382286072
lite,ppvHste,Computers,355,0.7519999742507935,0.7519999146461487,0.7820121645927429,1.0,1.0,0.026616571471095085
lite,ppvHste,CricketX,332,0.8230769038200378,0.8230768442153931,0.5892139673233032,1.0,1.0,0.003039400791749358
lite,ppvHste,CricketY,330,0.8179486989974976,0.8179486393928528,0.5479487776756287,1.0,1.0,0.0030929448548704386
lite,ppvHste,CricketZ,330,0.8205128312110901,0.8205127716064453,0.5278547406196594,1.0,1.0,0.003150414442643523
lite,ppvHste,Crop,2321,0.7063094973564148,0.70630943775177,1.749308705329895,0.9897222518920898,0.9897221922874451,0.050140153616666794
lite,ppvHste,DiatomSizeReduction,135,0.6209150552749634,0.6209149956703186,1.2295664548873901,0.8125,0.8124999403953552,0.9246753454208374
