model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,ppvHste_mpvH_mipvH,ACSF1,162,0.23999999463558197,0.2399999499320984,70.47027587890625,0.41999998688697815,0.4199999272823334,31.589134216308594
lite,ppvHste_mpvH_mipvH,Adiac,201,0.5575447678565979,0.5575447082519531,2.116685390472412,0.6358974575996399,0.6358973979949951,1.0758800506591797
lite,ppvHste_mpvH_mipvH,AllGestureWiimoteX,198,0.6399999856948853,0.6399999260902405,2.281738519668579,0.9733333587646484,0.9733332991600037,0.11421617120504379
lite,ppvHste_mpvH_mipvH,AllGestureWiimoteY,194,0.7342857122421265,0.7342856526374817,1.405535101890564,0.9933333396911621,0.9933332800865173,0.033254921436309814
lite,ppvHste_mpvH_mipvH,AllGestureWiimoteZ,197,0.6157143115997314,0.6157142519950867,1.506126880645752,0.846666693687439,0.8466666340827942,0.4294472336769104
lite,ppvHste_mpvH_mipvH,ArrowHead,126,0.5428571701049805,0.5428571105003357,4.816075801849365,0.9722222089767456,0.9722221493721008,0.14712251722812653
lite,ppvHste_mpvH_mipvH,Beef,121,0.5333333611488342,0.5333333015441895,3.8698713779449463,0.7666666507720947,0.76666659116745,0.9246528744697571
lite,ppvHste_mpvH_mipvH,BeetleFly,120,0.75,0.7499999403953552,4.30301570892334,1.0,1.0,0.0002918139798566699
lite,ppvHste_mpvH_mipvH,BirdChicken,119,0.699999988079071,0.6999999284744263,8.090880393981934,1.0,1.0,9.536739753457368e-08
lite,ppvHste_mpvH_mipvH,BME,127,0.9933333396911621,0.9933332800865173,0.08675415813922882,1.0,1.0,9.139375123368154e-08
lite,ppvHste_mpvH_mipvH,Car,127,0.7666666507720947,0.76666659116745,3.093203544616699,0.949999988079071,0.9499999284744263,0.333413690328598
lite,ppvHste_mpvH_mipvH,CBF,125,0.996666669845581,0.9966666102409363,0.006253630388528109,1.0,1.0,6.318047667264182e-07
lite,ppvHste_mpvH_mipvH,Chinatown,119,0.9650145769119263,0.9650145173072815,0.13130955398082733,1.0,1.0,0.0006919793086126447
lite,ppvHste_mpvH_mipvH,ChlorineConcentration,219,0.6692708134651184,0.6692707538604736,1.0854401588439941,0.8608136773109436,0.8608136177062988,0.3211813271045685
lite,ppvHste_mpvH_mipvH,CinCECGTorso,135,0.5992753505706787,0.5992752909660339,20.441003799438477,0.7749999761581421,0.7749999165534973,5.001952648162842
lite,ppvHste_mpvH_mipvH,Coffee,140,1.0,1.0,0.018340682610869408,1.0,1.0,0.0005729320691898465
lite,ppvHste_mpvH_mipvH,Computers,197,0.7480000257492065,0.7479999661445618,3.418755054473877,1.0,1.0,0.002741809468716383
lite,ppvHste_mpvH_mipvH,CricketX,213,0.7846153974533081,0.7846153378486633,1.5477309226989746,1.0,1.0,2.272255369462073e-05
lite,ppvHste_mpvH_mipvH,CricketY,204,0.7794871926307678,0.779487133026123,1.3336983919143677,1.0,1.0,8.313793659908697e-05
lite,ppvHste_mpvH_mipvH,CricketZ,206,0.8051282167434692,0.8051281571388245,1.174514651298523,1.0,1.0,4.188108505331911e-05
lite,ppvHste_mpvH_mipvH,Crop,1612,0.7163690328598022,0.7163689732551575,3.697068929672241,1.0,1.0,0.0008432588074356318
lite,ppvHste_mpvH_mipvH,DiatomSizeReduction,150,0.843137264251709,0.8431372046470642,0.8093400001525879,1.0,1.0,0.07266701012849808
lite,ppvHste_mpvH_mipvH,DistalPhalanxOutlineAgeGroup,190,0.6762589812278748,0.67625892162323,1.4498505592346191,0.9925000071525574,0.9924999475479126,0.02571788616478443
lite,ppvHste_mpvH_mipvH,DistalPhalanxOutlineCorrect,237,0.7644927501678467,0.7644926905632019,2.357377529144287,1.0,1.0,6.542266783071682e-05
lite,ppvHste_mpvH_mipvH,DistalPhalanxTW,175,0.6834532618522644,0.6834532022476196,1.4426226615905762,0.9125000238418579,0.9124999046325684,0.2236100733280182
lite,ppvHste_mpvH_mipvH,DodgerLoopDay,142,0.5,0.4999999403953552,4.210242748260498,0.9487179517745972,0.9487178921699524,0.1965852677822113
lite,ppvHste_mpvH_mipvH,DodgerLoopGame,125,0.8840579986572266,0.8840579986572266,1.1590211391448975,1.0,1.0,4.306200935388915e-05
lite,ppvHste_mpvH_mipvH,DodgerLoopWeekend,124,0.9637681245803833,0.9637680649757385,0.34525179862976074,1.0,1.0,3.0815324407740263e-06
