model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,ppvS,ACSF1,298,0.8299999833106995,0.8299999237060547,0.5666691660881042,0.8899999856948853,0.8899999260902405,0.46603167057037354
lite,ppvS,Adiac,285,0.6547314524650574,0.6547313928604126,1.0853203535079956,0.7538461685180664,0.7538461089134216,0.8768388032913208
lite,ppvS,AllGestureWiimoteX,349,0.5571428537368774,0.5571427941322327,1.3260756731033325,0.6833333373069763,0.6833332777023315,1.1403981447219849
lite,ppvS,AllGestureWiimoteY,355,0.6657142639160156,0.6657142043113708,0.9924163818359375,0.8566666841506958,0.8566665649414062,0.5693145990371704
lite,ppvS,AllGestureWiimoteZ,350,0.4285714328289032,0.4285713732242584,1.329666018486023,0.5566666722297668,0.5566666126251221,1.1485925912857056
lite,ppvS,ArrowHead,129,0.6857143044471741,0.6857142448425293,0.7388675212860107,0.9722222089767456,0.9722221493721008,0.32221418619155884
lite,ppvS,Beef,135,0.800000011920929,0.800000011920929,0.763137698173523,0.8666666746139526,0.8666666150093079,0.44858068227767944
lite,ppvS,BeetleFly,123,0.75,0.7499999403953552,0.6413867473602295,1.0,1.0,0.0022552688606083393
lite,ppvS,BirdChicken,122,1.0,1.0,0.10865215212106705,1.0,1.0,0.027867570519447327
lite,ppvS,BME,119,0.9933333396911621,0.9933332800865173,0.016799097880721092,1.0,1.0,0.002010171767324209
lite,ppvS,Car,168,0.8833333253860474,0.8833332657814026,0.3999708890914917,1.0,1.0,0.031595923006534576
lite,ppvS,CBF,122,1.0,1.0,0.002939930185675621,1.0,1.0,0.0011247500078752637
lite,ppvS,Chinatown,121,0.9825072884559631,0.9825072288513184,0.25070303678512573,1.0,1.0,0.2202991545200348
lite,ppvS,ChlorineConcentration,305,0.5557291507720947,0.55572909116745,0.9112364649772644,0.6145610213279724,0.6145609617233276,0.787326991558075
lite,ppvS,CinCECGTorso,198,0.8333333134651184,0.8333332538604736,0.49276790022850037,1.0,1.0,0.10938720405101776
lite,ppvS,Coffee,136,1.0,1.0,0.005419016815721989,1.0,1.0,0.0013680545380339026
lite,ppvS,Computers,364,0.7480000257492065,0.7479999661445618,0.6233845949172974,0.8999999761581421,0.8999999165534973,0.2806800305843353
lite,ppvS,CricketX,335,0.7871794700622559,0.7871794104576111,0.6500235795974731,1.0,1.0,0.04473903775215149
lite,ppvS,CricketY,334,0.8025640845298767,0.8025640249252319,0.5573714971542358,0.9974358677864075,0.9974358081817627,0.0660296157002449
lite,ppvS,CricketZ,335,0.8256410360336304,0.8256409764289856,0.5078324675559998,1.0,1.0,0.043111350387334824
lite,ppvS,Crop,2184,0.6902381181716919,0.6902380585670471,0.939030647277832,0.7518055438995361,0.7518054842948914,0.7071920037269592
lite,ppvS,DiatomSizeReduction,165,0.7058823704719543,0.7058823108673096,0.9077964425086975,0.875,0.8749999403953552,0.7155923843383789
lite,ppvS,DistalPhalanxOutlineAgeGroup,211,0.7410072088241577,0.7410071492195129,0.5838748812675476,0.8849999904632568,0.8849999308586121,0.2780816853046417
lite,ppvS,DistalPhalanxOutlineCorrect,290,0.782608687877655,0.7826086282730103,0.5027186870574951,0.8966666460037231,0.8966665267944336,0.2560356855392456
lite,ppvS,DistalPhalanxTW,213,0.6978417038917542,0.6978416442871094,0.7481637001037598,0.8600000143051147,0.85999995470047,0.40235841274261475
lite,ppvS,DodgerLoopDay,170,0.5625,0.5624999403953552,1.1356837749481201,0.7820512652397156,0.782051146030426,0.7640438675880432
lite,ppvS,DodgerLoopGame,118,0.9130434989929199,0.9130434393882751,0.24104535579681396,1.0,1.0,0.015167886391282082
lite,ppvS,DodgerLoopWeekend,121,0.9492753744125366,0.9492753148078918,0.10667047649621964,1.0,1.0,3.376477980054915e-05
lite,ppvS,Earthquakes,379,0.7769784331321716,0.7769784331321716,1.1915360689163208,1.0,1.0,0.002256188075989485
lite,ppvS,ECG200,124,0.8799999952316284,0.8799999356269836,0.35254380106925964,1.0,1.0,0.020228102803230286
lite,ppvS,ECG5000,308,0.940666675567627,0.9406666159629822,0.24668793380260468,0.9860000014305115,0.9859999418258667,0.047937117516994476
lite,ppvS,ECGFiveDays,136,0.9976771473884583,0.9976770877838135,0.07523800432682037,1.0,1.0,0.015111674554646015
lite,ppvS,ElectricDevices,3290,0.7149526476860046,0.7149525880813599,1.511980414390564,0.9229217767715454,0.9229217171669006,0.2226053774356842
lite,ppvS,EOGHorizontalSignal,743,0.5027624368667603,0.5027623772621155,1.3770170211791992,0.9530386924743652,0.9530386328697205,0.24094238877296448
lite,ppvS,EOGVerticalSignal,739,0.3232044279575348,0.32320436835289,2.7210195064544678,0.9226519465446472,0.9226518869400024,0.4407363533973694
lite,ppvS,EthanolLevel,1319,0.5740000009536743,0.5739999413490295,0.9421035051345825,0.7698412537574768,0.769841194152832,0.582487940788269
lite,ppvS,FaceAll,323,0.805325448513031,0.8053253889083862,0.9529047012329102,1.0,1.0,0.00015999273455236107
lite,ppvS,FaceFour,134,0.9431818127632141,0.9431817531585693,0.28889405727386475,1.0,1.0,0.02132795937359333
lite,ppvS,FacesUCR,180,0.9204878211021423,0.9204877614974976,0.3423001170158386,1.0,1.0,0.003110392950475216
lite,ppvS,FiftyWords,360,0.7208791375160217,0.720879077911377,1.0244182348251343,0.948888897895813,0.9488888382911682,0.31820717453956604
lite,ppvS,Fish,249,0.977142870426178,0.9771428108215332,0.07619030773639679,1.0,1.0,0.014751305803656578
lite,ppvS,FordA,3242,0.949999988079071,0.9499999284744263,0.13899736106395721,0.9930574893951416,0.9930574297904968,0.033926818519830704
lite,ppvS,FordB,3266,0.8234567642211914,0.8234567046165466,0.5268214344978333,0.9994499683380127,0.9994499087333679,0.005814211443066597
lite,ppvS,FreezerRegularTrain,176,0.9978947639465332,0.9978947043418884,0.005525535903871059,1.0,1.0,0.0003199155326001346
lite,ppvS,FreezerSmallTrain,138,0.6536841988563538,0.653684139251709,0.6875048875808716,0.7857142686843872,0.7857141494750977,0.3325810134410858
lite,ppvS,Fungi,183,0.20430107414722443,0.20430101454257965,3.322951555252075,0.2222222238779068,0.22222217917442322,3.5137362480163574
lite,ppvS,GestureMidAirD1,237,0.607692301273346,0.6076922416687012,1.2473647594451904,0.7259615659713745,0.7259615063667297,0.947414755821228
lite,ppvS,GestureMidAirD2,234,0.5692307949066162,0.5692307353019714,1.1233208179473877,0.7355769276618958,0.7355769276618958,0.8222726583480835
lite,ppvS,GestureMidAirD3,238,0.36153846979141235,0.3615384101867676,1.9203718900680542,0.6586538553237915,0.6586537957191467,1.420289397239685
lite,ppvS,GesturePebbleZ1,209,0.8720930218696594,0.8720930218696594,0.4007330536842346,1.0,1.0,0.13290582597255707
lite,ppvS,GesturePebbleZ2,217,0.9303797483444214,0.9303796887397766,0.2889743745326996,0.9863013625144958,0.9863013029098511,0.1682603508234024
lite,ppvS,GunPoint,124,0.9933333396911621,0.9933332800865173,0.01337066013365984,1.0,1.0,0.0002588191709946841
lite,ppvS,GunPointAgeSpan,153,0.9905063509941101,0.9905062913894653,0.02365926094353199,1.0,1.0,0.00043794247903861105
lite,ppvS,GunPointMaleVersusFemale,145,0.9936708807945251,0.9936708211898804,0.02209671400487423,1.0,1.0,0.0025189723819494247
lite,ppvS,GunPointOldVersusYoung,155,0.9650793671607971,0.9650793075561523,0.1154315173625946,1.0,1.0,0.0038563022390007973
lite,ppvS,Ham,188,0.7142857313156128,0.7142856121063232,0.7726297378540039,1.0,1.0,0.005777927581220865
lite,ppvS,HandOutlines,3680,0.8810811042785645,0.8810810446739197,0.28666579723358154,0.9829999804496765,0.9829999208450317,0.06927420943975449
lite,ppvS,Haptics,341,0.5616883039474487,0.561688244342804,1.2690749168395996,0.85161292552948,0.8516128659248352,0.5906525254249573
lite,ppvS,Herring,170,0.59375,0.5937499403953552,0.6612849235534668,0.6875,0.6874999403953552,0.5894579887390137
lite,ppvS,HouseTwenty,209,0.9663865566253662,0.9663864970207214,0.0998745784163475,1.0,1.0,0.00039285459206439555
lite,ppvS,InlineSkate,350,0.4509090781211853,0.4509090185165405,1.3284457921981812,0.8999999761581421,0.8999999165534973,0.4990897476673126
lite,ppvS,InsectEPGRegularTrain,169,0.9919678568840027,0.9919677972793579,0.04008735716342926,1.0,1.0,0.017734751105308533
lite,ppvS,InsectEPGSmallTrain,185,0.6706827282905579,0.6706826686859131,2.1914846897125244,0.5882353186607361,0.5882352590560913,1.9768025875091553
lite,ppvS,InsectWingbeatSound,209,0.618686854839325,0.6186867952346802,0.976589024066925,0.8500000238418579,0.8499999642372131,0.4942048490047455
lite,ppvS,ItalyPowerDemand,131,0.9708454608917236,0.9708454012870789,0.1057119220495224,0.9850746393203735,0.9850745797157288,0.028458528220653534
lite,ppvS,LargeKitchenAppliances,504,0.6346666812896729,0.6346666216850281,0.7686730027198792,0.6933333277702332,0.6933332681655884,0.7011241316795349
lite,ppvS,Lightning2,161,0.7704917788505554,0.7704916596412659,0.7199320793151855,1.0,1.0,0.01880599744617939
lite,ppvS,Lightning7,155,0.835616409778595,0.8356163501739502,0.5382606387138367,1.0,1.0,0.07833278179168701
lite,ppvS,Mallat,195,0.914712131023407,0.9147120714187622,0.323087602853775,0.9818181991577148,0.9818181395530701,0.1480059176683426
lite,ppvS,Meat,170,0.9166666865348816,0.9166666269302368,0.37484169006347656,0.9833333492279053,0.9833332896232605,0.27167561650276184
lite,ppvS,MedicalImages,231,0.7592105269432068,0.759210467338562,0.6677172183990479,0.9212598204612732,0.9212597608566284,0.22403787076473236
lite,ppvS,MelbournePedestrian,429,0.876998782157898,0.876998782157898,0.3927169740200043,0.9463986754417419,0.9463986158370972,0.16830700635910034
lite,ppvS,MiddlePhalanxOutlineAgeGroup,207,0.6298701167106628,0.6298700571060181,0.9397701621055603,0.8125,0.8124999403953552,0.4321165084838867
lite,ppvS,MiddlePhalanxOutlineCorrect,301,0.6563574075698853,0.6563573479652405,0.5950685143470764,0.7633333206176758,0.7633333206176758,0.5057668089866638
