model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap,ACSF1,336,0.9100000262260437,0.9099999666213989,0.547457754611969,1.0,1.0,0.0005288172978907824
resnet,gap,Adiac,380,0.8286445140838623,0.8286444544792175,0.9159419536590576,1.0,1.0,7.830997674318496e-06
resnet,gap,AllGestureWiimoteX,431,0.7485714554786682,0.7485713958740234,1.5076147317886353,1.0,1.0,5.352492848942347e-07
resnet,gap,AllGestureWiimoteY,427,0.7828571200370789,0.7828570604324341,1.204040288925171,1.0,1.0,9.902304327624734e-07
resnet,gap,AllGestureWiimoteZ,435,0.7357142567634583,0.7357141375541687,1.3101991415023804,1.0,1.0,5.431966201285832e-07
resnet,gap,ArrowHead,197,0.8742856979370117,0.8742856979370117,0.5843886137008667,1.0,1.0,6.424049843190005e-07
resnet,gap,Beef,191,0.7333333492279053,0.7333332896232605,1.2081619501113892,1.0,1.0,2.818435496010352e-05
resnet,gap,BeetleFly,184,0.800000011920929,0.800000011920929,0.2719741463661194,1.0,1.0,5.768156916019507e-05
resnet,gap,BirdChicken,181,0.8500000238418579,0.8499999642372131,0.34769320487976074,1.0,1.0,2.6070576495840214e-05
resnet,gap,BME,163,1.0,1.0,0.00037359638372436166,1.0,1.0,1.8515895135351457e-05
resnet,gap,Car,208,0.9166666865348816,0.9166666269302368,0.4139830768108368,1.0,1.0,7.774379810143728e-06
resnet,gap,CBF,159,0.9988889098167419,0.9988888502120972,0.005739594344049692,1.0,1.0,1.311302071371756e-07
resnet,gap,Chinatown,162,0.9825072884559631,0.9825072288513184,0.20925191044807434,1.0,1.0,5.960464122267695e-09
resnet,gap,ChlorineConcentration,429,0.8489583134651184,0.8489583134651184,1.0194743871688843,1.0,1.0,1.5181141861830838e-05
resnet,gap,CinCECGTorso,239,0.823913037776947,0.8239129781723022,0.9616353511810303,1.0,1.0,8.001436799531803e-05
resnet,gap,Coffee,218,1.0,1.0,0.0003339417453389615,1.0,1.0,2.2990353443219647e-07
resnet,gap,Computers,439,0.8159999847412109,0.8159999847412109,2.5291523933410645,1.0,1.0,3.264847691752948e-06
resnet,gap,CricketX,428,0.8128204941749573,0.8128204345703125,1.0290493965148926,1.0,1.0,2.013098537645419e-06
resnet,gap,CricketY,433,0.7948718070983887,0.7948718070983887,0.9887168407440186,1.0,1.0,1.531371026430861e-06
resnet,gap,CricketZ,434,0.8051282167434692,0.8051281571388245,0.8216040730476379,1.0,1.0,2.5241668026865227e-06
resnet,gap,Crop,4375,0.742559552192688,0.7425594925880432,3.8757827281951904,1.0,1.0,0.0
resnet,gap,DiatomSizeReduction,415,0.3137255012989044,0.31372544169425964,2.0494935512542725,0.375,0.3749999403953552,1.632157325744629
resnet,gap,DistalPhalanxOutlineAgeGroup,325,0.7266187071800232,0.7266186475753784,3.0160510540008545,1.0,1.0,5.3644171771338733e-08
resnet,gap,DistalPhalanxOutlineCorrect,457,0.7536231875419617,0.7536231279373169,2.1445024013519287,1.0,1.0,3.5762710126618913e-07
resnet,gap,DistalPhalanxTW,331,0.6474820375442505,0.6474819779396057,3.1244699954986572,1.0,1.0,1.19209286886246e-09
resnet,gap,DodgerLoopDay,219,0.44999998807907104,0.44999992847442627,1.7462589740753174,1.0,1.0,7.835659744159784e-06
resnet,gap,DodgerLoopGame,169,0.8115941882133484,0.8115941286087036,0.44343242049217224,1.0,1.0,8.88108274921251e-07
resnet,gap,DodgerLoopWeekend,169,0.95652174949646,0.9565216898918152,0.28581729531288147,1.0,1.0,9.953964763553813e-07
resnet,gap,Earthquakes,447,0.7625899314880371,0.7625898718833923,1.8274147510528564,1.0,1.0,6.134766590548679e-05
resnet,gap,ECG200,170,0.8799999952316284,0.8799999356269836,1.0356098413467407,1.0,1.0,2.0861605776190117e-07
resnet,gap,ECG5000,437,0.9348888993263245,0.9348888397216797,0.7519672513008118,1.0,1.0,2.198217288196247e-07
resnet,gap,ECGFiveDays,196,0.9953542351722717,0.995354175567627,0.012375391088426113,1.0,1.0,1.3547754861065187e-05
resnet,gap,ElectricDevices,5720,0.7338866591453552,0.7338866591453552,5.6397318840026855,0.9940623044967651,0.9940623044967651,0.014763682149350643
resnet,gap,EOGHorizontalSignal,809,0.591160237789154,0.5911601781845093,2.6473917961120605,1.0,1.0,3.249920155212749e-06
resnet,gap,EOGVerticalSignal,805,0.42817679047584534,0.42817673087120056,4.7778472900390625,1.0,1.0,5.333424724085489e-06
resnet,gap,EthanolLevel,1322,0.75,0.7499999403953552,1.1449910402297974,1.0,1.0,5.4113290389068425e-05
resnet,gap,FaceAll,464,0.831360936164856,0.8313608169555664,1.0850985050201416,1.0,1.0,0.0
resnet,gap,FaceFour,193,0.9545454382896423,0.9545453786849976,0.4180831015110016,1.0,1.0,8.066348527790979e-06
resnet,gap,FacesUCR,231,0.947804868221283,0.9478048086166382,0.2980847954750061,1.0,1.0,1.573562400380979e-07
resnet,gap,FiftyWords,473,0.7538461685180664,0.7538461089134216,1.3620452880859375,1.0,1.0,0.0001438847539247945
resnet,gap,Fish,285,0.9885714054107666,0.9885713458061218,0.02399703674018383,1.0,1.0,2.1225989712547744e-06
resnet,gap,FordA,4061,0.9378787875175476,0.9378787279129028,0.5497803092002869,1.0,1.0,1.0451083909401859e-07
resnet,gap,FordB,4140,0.8185185194015503,0.8185184001922607,2.027038812637329,1.0,1.0,0.0
resnet,gap,FreezerRegularTrain,221,0.9978947639465332,0.9978947043418884,0.027373243123292923,1.0,1.0,7.375075483651017e-07
resnet,gap,FreezerSmallTrain,215,0.8705263137817383,0.8705262541770935,1.6501704454421997,1.0,1.0,0.00011622189049376175
resnet,gap,Fungi,396,0.1344086080789566,0.13440856337547302,3.7663564682006836,0.1111111119389534,0.11111105978488922,4.008967876434326
resnet,gap,GestureMidAirD1,291,0.699999988079071,0.6999999284744263,1.6820037364959717,1.0,1.0,3.1378285711980425e-06
resnet,gap,GestureMidAirD2,285,0.6461538672447205,0.6461538076400757,2.0486180782318115,1.0,1.0,1.3493763617589138e-05
resnet,gap,GestureMidAirD3,293,0.3384615480899811,0.3384614884853363,4.181458473205566,1.0,1.0,7.674046173633542e-06
resnet,gap,GesturePebbleZ1,249,0.895348846912384,0.8953487873077393,0.6153291463851929,1.0,1.0,0.00018544972408562899
resnet,gap,GesturePebbleZ2,256,0.7784810066223145,0.7784809470176697,0.8025097846984863,1.0,1.0,6.797300102334702e-06
resnet,gap,GunPoint,172,0.9933333396911621,0.9933332800865173,0.01738971844315529,1.0,1.0,1.5044173551359563e-06
resnet,gap,GunPointAgeSpan,205,0.9936708807945251,0.9936708211898804,0.029696030542254448,1.0,1.0,9.307130994784529e-07
resnet,gap,GunPointMaleVersusFemale,205,0.996835470199585,0.9968354105949402,0.024776669219136238,1.0,1.0,4.035445897443424e-07
resnet,gap,GunPointOldVersusYoung,215,0.9873015880584717,0.9873015284538269,0.07580278068780899,1.0,1.0,1.809170498745516e-06
resnet,gap,Ham,237,0.7714285850524902,0.7714285254478455,1.0978502035140991,1.0,1.0,3.489858499960974e-06
resnet,gap,HandOutlines,3617,0.9189189076423645,0.9189188480377197,0.4592272639274597,1.0,1.0,0.0001223765139002353
resnet,gap,Haptics,384,0.48051947355270386,0.4805194139480591,2.677945137023926,1.0,1.0,0.00024392205523326993
resnet,gap,Herring,220,0.578125,0.5781249403953552,1.980093002319336,1.0,1.0,7.20836806067382e-06
resnet,gap,HouseTwenty,253,0.9831932783126831,0.9831932187080383,0.06156597658991814,1.0,1.0,2.1397986529336777e-06
resnet,gap,InlineSkate,384,0.3672727346420288,0.36727267503738403,3.298187255859375,1.0,1.0,0.00015379484102595598
resnet,gap,InsectEPGRegularTrain,236,1.0,1.0,0.0011563944863155484,1.0,1.0,8.327187970280647e-06
resnet,gap,InsectEPGSmallTrain,401,0.36947789788246155,0.3694778382778168,1.4133208990097046,0.529411792755127,0.5294117331504822,1.3547388315200806
resnet,gap,InsectWingbeatSound,284,0.4979797899723053,0.4979797303676605,2.389873743057251,1.0,1.0,1.5952351759551675e-06
resnet,gap,ItalyPowerDemand,190,0.9620991349220276,0.9620990753173828,0.4254711866378784,1.0,1.0,0.0
resnet,gap,LargeKitchenAppliances,613,0.9013333320617676,0.9013332724571228,1.041245460510254,1.0,1.0,1.5481231230296544e-06
resnet,gap,Lightning2,219,0.8032786846160889,0.8032786250114441,1.27134370803833,1.0,1.0,4.873632860835642e-06
resnet,gap,Lightning7,189,0.8493150472640991,0.8493149876594543,0.6817333698272705,1.0,1.0,3.034718247363344e-06
