model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_gmp,ACSF1,339,0.9700000286102295,0.9699999690055847,0.2540006935596466,1.0,1.0,7.453983016603161e-06
resnet,gap_gmp,Adiac,376,0.8081841468811035,0.8081841468811035,1.3365998268127441,1.0,1.0,4.7083217395993415e-06
resnet,gap_gmp,AllGestureWiimoteX,434,0.6885714530944824,0.6885713934898376,3.291635274887085,1.0,1.0,0.0
resnet,gap_gmp,AllGestureWiimoteY,435,0.7457143068313599,0.7457142472267151,2.3693392276763916,1.0,1.0,0.0
resnet,gap_gmp,AllGestureWiimoteZ,431,0.6857143044471741,0.6857142448425293,2.5966110229492188,1.0,1.0,2.86102270763422e-08
resnet,gap_gmp,ArrowHead,192,0.7714285850524902,0.7714285254478455,1.1428333520889282,1.0,1.0,7.980391387718555e-07
resnet,gap_gmp,Beef,184,0.699999988079071,0.6999999284744263,2.717451810836792,1.0,1.0,8.316695129906293e-06
resnet,gap_gmp,BeetleFly,181,0.949999988079071,0.9499999284744263,0.1231401190161705,1.0,1.0,4.7683691661859484e-08
resnet,gap_gmp,BirdChicken,185,0.800000011920929,0.800000011920929,1.0313329696655273,1.0,1.0,4.172324707951702e-08
resnet,gap_gmp,BME,164,0.9666666388511658,0.966666579246521,0.16641557216644287,1.0,1.0,3.973642748178463e-09
resnet,gap_gmp,Car,215,0.699999988079071,0.6999999284744263,1.4989839792251587,1.0,1.0,2.4298774405906443e-06
resnet,gap_gmp,CBF,159,0.9777777791023254,0.9777777194976807,0.0701650008559227,1.0,1.0,3.973642748178463e-09
resnet,gap_gmp,Chinatown,156,0.9825072884559631,0.9825072288513184,0.1706250160932541,1.0,1.0,2.384185471271394e-08
resnet,gap_gmp,ChlorineConcentration,434,0.8401041626930237,0.8401041030883789,1.34523344039917,1.0,1.0,7.264864052558551e-07
resnet,gap_gmp,CinCECGTorso,236,0.6014492511749268,0.601449191570282,3.5086467266082764,1.0,1.0,2.8431290957087185e-06
resnet,gap_gmp,Coffee,205,1.0,1.0,0.0002230787358712405,1.0,1.0,4.257474373048353e-09
resnet,gap_gmp,Computers,450,0.7879999876022339,0.7879999279975891,1.7650145292282104,1.0,1.0,2.6941290798276896e-07
resnet,gap_gmp,CricketX,448,0.6692307591438293,0.6692306995391846,1.883431315422058,1.0,1.0,3.056648267829587e-10
resnet,gap_gmp,CricketY,449,0.6717948913574219,0.6717948317527771,1.6847310066223145,1.0,1.0,0.0
resnet,gap_gmp,CricketZ,442,0.699999988079071,0.6999999284744263,1.4805539846420288,1.0,1.0,2.4606015358585864e-07
resnet,gap_gmp,Crop,4232,0.737678587436676,0.737678587436676,3.669156074523926,1.0,1.0,0.0
resnet,gap_gmp,DiatomSizeReduction,326,0.6928104758262634,0.6928104162216187,1.2952340841293335,0.75,0.7499999403953552,0.7831669449806213
resnet,gap_gmp,DistalPhalanxOutlineAgeGroup,336,0.798561155796051,0.7985610961914062,2.0104079246520996,1.0,1.0,0.0
resnet,gap_gmp,DistalPhalanxOutlineCorrect,469,0.7898550629615784,0.7898550033569336,2.139173984527588,1.0,1.0,0.0
resnet,gap_gmp,DistalPhalanxTW,339,0.7122302055358887,0.7122301459312439,2.8151276111602783,1.0,1.0,0.0
resnet,gap_gmp,DodgerLoopDay,241,0.4375,0.4374999403953552,1.698245644569397,1.0,1.0,0.0
resnet,gap_gmp,DodgerLoopGame,174,0.8913043737411499,0.8913043141365051,0.7646754384040833,1.0,1.0,0.0
resnet,gap_gmp,DodgerLoopWeekend,169,0.9347826242446899,0.9347825646400452,0.6374158263206482,1.0,1.0,0.0
resnet,gap_gmp,Earthquakes,481,0.7410072088241577,0.7410071492195129,2.5312631130218506,1.0,1.0,0.0
resnet,gap_gmp,ECG200,179,0.8199999928474426,0.8199999332427979,1.5610378980636597,1.0,1.0,0.0
resnet,gap_gmp,ECG5000,437,0.941777765750885,0.9417777061462402,0.7662596702575684,1.0,1.0,1.0609620915147389e-07
resnet,gap_gmp,ECGFiveDays,190,0.931475043296814,0.9314749836921692,0.24348057806491852,1.0,1.0,2.5915058543546365e-08
resnet,gap_gmp,ElectricDevices,5516,0.7319414019584656,0.7319413423538208,7.28594446182251,0.9938382506370544,0.9938381910324097,0.015236676670610905
resnet,gap_gmp,EOGHorizontalSignal,800,0.560773491859436,0.5607734322547913,4.222874164581299,1.0,1.0,2.4625428522995207e-06
resnet,gap_gmp,EOGVerticalSignal,803,0.4475138187408447,0.44751375913619995,8.290261268615723,1.0,1.0,2.0637589841498993e-06
resnet,gap_gmp,EthanolLevel,1334,0.7099999785423279,0.7099999189376831,2.3854055404663086,1.0,1.0,1.1282286322966684e-06
resnet,gap_gmp,FaceAll,481,0.9218934774398804,0.9218934178352356,0.46699512004852295,1.0,1.0,0.0
resnet,gap_gmp,FaceFour,195,0.625,0.6249999403953552,2.658456563949585,1.0,1.0,1.9868210188178637e-08
resnet,gap_gmp,FacesUCR,258,0.8956097364425659,0.8956096768379211,0.4767701327800751,1.0,1.0,0.0
resnet,gap_gmp,FiftyWords,475,0.6681318879127502,0.6681318283081055,2.802788496017456,1.0,1.0,4.8204906306636985e-06
resnet,gap_gmp,Fish,293,0.9257143139839172,0.9257142543792725,0.4911656379699707,1.0,1.0,1.6866381429281319e-06
resnet,gap_gmp,FordA,4014,0.9265151619911194,0.9265151023864746,0.9333347082138062,1.0,1.0,0.0
resnet,gap_gmp,FordB,4076,0.7962962985038757,0.796296238899231,2.664123773574829,1.0,1.0,0.0
resnet,gap_gmp,FreezerRegularTrain,216,0.996842086315155,0.9968420267105103,0.01900661736726761,1.0,1.0,8.742014223628303e-09
resnet,gap_gmp,FreezerSmallTrain,205,0.9435087442398071,0.9435086250305176,0.3369477093219757,1.0,1.0,1.9796957531070802e-06
resnet,gap_gmp,Fungi,359,0.8333333134651184,0.8333332538604736,0.827426552772522,0.8888888955116272,0.8888888359069824,0.6185386180877686
resnet,gap_gmp,GestureMidAirD1,283,0.6769230961799622,0.6769230365753174,3.024590253829956,1.0,1.0,7.931994332466274e-07
resnet,gap_gmp,GestureMidAirD2,284,0.6384615302085876,0.6384614706039429,2.6738038063049316,1.0,1.0,8.097533282125369e-06
resnet,gap_gmp,GestureMidAirD3,284,0.3153846263885498,0.31538456678390503,6.433594703674316,1.0,1.0,9.41422058531316e-06
resnet,gap_gmp,GesturePebbleZ1,267,0.6220930218696594,0.6220929622650146,2.515289545059204,1.0,1.0,4.29875541385627e-07
resnet,gap_gmp,GesturePebbleZ2,267,0.4113923907279968,0.41139233112335205,3.3272790908813477,1.0,1.0,2.5719802465573594e-07
resnet,gap_gmp,GunPoint,169,0.9733333587646484,0.9733332991600037,0.09098836034536362,1.0,1.0,0.0
resnet,gap_gmp,GunPointAgeSpan,201,0.996835470199585,0.9968354105949402,0.0237876009196043,1.0,1.0,3.329025162202015e-07
