model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_map2_map4_map8,ACSF1,559,0.7099999785423279,0.7099999189376831,3.2568633556365967,1.0,1.0,3.64305087714456e-05
resnet,gap_map2_map4_map8,Adiac,352,0.8005114793777466,0.8005114793777466,1.6557092666625977,1.0,1.0,2.9633779377036262e-06
resnet,gap_map2_map4_map8,AllGestureWiimoteX,517,0.7242857217788696,0.7242856025695801,2.317955255508423,1.0,1.0,4.792202048520267e-07
resnet,gap_map2_map4_map8,AllGestureWiimoteY,515,0.7314285635948181,0.7314285039901733,2.3979763984680176,1.0,1.0,1.243746396539791e-06
resnet,gap_map2_map4_map8,AllGestureWiimoteZ,517,0.7071428298950195,0.7071427702903748,2.4467735290527344,1.0,1.0,4.903467925032601e-07
resnet,gap_map2_map4_map8,ArrowHead,189,0.7885714173316956,0.7885713577270508,1.0670547485351562,1.0,1.0,3.311368956815386e-08
resnet,gap_map2_map4_map8,Beef,177,0.7666666507720947,0.76666659116745,2.764355182647705,1.0,1.0,3.9633549022255465e-05
resnet,gap_map2_map4_map8,BeetleFly,177,0.6499999761581421,0.6499999165534973,0.8988043069839478,1.0,1.0,2.384185471271394e-08
resnet,gap_map2_map4_map8,BirdChicken,175,0.800000011920929,0.800000011920929,3.2371678352355957,1.0,1.0,1.192092824453539e-08
resnet,gap_map2_map4_map8,BME,159,0.9933333396911621,0.9933332800865173,0.0051797982305288315,1.0,1.0,3.973642748178463e-09
resnet,gap_map2_map4_map8,Car,220,0.8500000238418579,0.8499999642372131,1.1790575981140137,1.0,1.0,9.914230076901731e-07
resnet,gap_map2_map4_map8,CBF,154,0.9944444298744202,0.9944443702697754,0.012787493877112865,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Chinatown,145,0.9795918464660645,0.9795917868614197,0.19076502323150635,1.0,1.0,8.940693163594915e-08
resnet,gap_map2_map4_map8,ChlorineConcentration,406,0.870312511920929,0.8703124523162842,1.4610536098480225,1.0,1.0,3.62477869941813e-08
resnet,gap_map2_map4_map8,CinCECGTorso,394,0.8557971119880676,0.8557970523834229,0.7806596159934998,1.0,1.0,1.4901159417490817e-08
resnet,gap_map2_map4_map8,Coffee,190,1.0,1.0,1.008543222269509e-05,1.0,1.0,2.554484623829012e-08
resnet,gap_map2_map4_map8,Computers,609,0.7440000176429749,0.7439998984336853,2.584510087966919,1.0,1.0,1.2822025610148557e-06
resnet,gap_map2_map4_map8,CricketX,438,0.7333333492279053,0.7333332896232605,2.2713122367858887,1.0,1.0,3.356194042680727e-07
resnet,gap_map2_map4_map8,CricketY,441,0.7897436022758484,0.7897435426712036,1.8867498636245728,1.0,1.0,6.908025085294867e-08
resnet,gap_map2_map4_map8,CricketZ,442,0.7487179636955261,0.7487179040908813,2.8799710273742676,1.0,1.0,3.5732136893784627e-07
resnet,gap_map2_map4_map8,Crop,3689,0.7399404644966125,0.7399404048919678,4.134626388549805,1.0,1.0,0.0
resnet,gap_map2_map4_map8,DiatomSizeReduction,236,0.9738562107086182,0.9738561511039734,0.6269108653068542,1.0,1.0,0.0015814536018297076
resnet,gap_map2_map4_map8,DistalPhalanxOutlineAgeGroup,303,0.7194244861602783,0.7194243669509888,3.541801691055298,1.0,1.0,0.0
resnet,gap_map2_map4_map8,DistalPhalanxOutlineCorrect,419,0.7644927501678467,0.7644926905632019,3.7020223140716553,1.0,1.0,0.0
resnet,gap_map2_map4_map8,DistalPhalanxTW,298,0.6906474828720093,0.6906474232673645,3.0010173320770264,1.0,1.0,4.440545708916943e-08
resnet,gap_map2_map4_map8,DodgerLoopDay,220,0.48750001192092896,0.4874999523162842,2.8095145225524902,1.0,1.0,0.0
resnet,gap_map2_map4_map8,DodgerLoopGame,181,0.8840579986572266,0.8840579986572266,0.7164674401283264,1.0,1.0,2.384185648907078e-08
resnet,gap_map2_map4_map8,DodgerLoopWeekend,169,0.97826087474823,0.9782608151435852,0.18024399876594543,1.0,1.0,5.960464122267695e-09
resnet,gap_map2_map4_map8,Earthquakes,512,0.769784152507782,0.7697840929031372,3.5561656951904297,1.0,1.0,1.7214988190517033e-07
resnet,gap_map2_map4_map8,ECG200,174,0.8899999856948853,0.8899999260902405,1.0188497304916382,1.0,1.0,1.19209286886246e-09
resnet,gap_map2_map4_map8,ECG5000,412,0.9308888912200928,0.930888831615448,1.2750321626663208,1.0,1.0,1.1920927578401574e-09
resnet,gap_map2_map4_map8,ECGFiveDays,183,0.8780487775802612,0.8780486583709717,0.5310819149017334,1.0,1.0,3.5244366358710977e-07
resnet,gap_map2_map4_map8,ElectricDevices,4950,0.712229311466217,0.7122292518615723,11.202689170837402,0.9941743016242981,0.9941742420196533,0.011798510327935219
resnet,gap_map2_map4_map8,EOGHorizontalSignal,1542,0.5718231797218323,0.5718231201171875,6.332588195800781,1.0,1.0,7.346816346398555e-07
resnet,gap_map2_map4_map8,EOGVerticalSignal,1504,0.4751381278038025,0.4751380681991577,9.523703575134277,1.0,1.0,1.5908705108813592e-06
resnet,gap_map2_map4_map8,EthanolLevel,3727,0.7960000038146973,0.7960000038146973,1.7108219861984253,1.0,1.0,5.700133624486625e-05
resnet,gap_map2_map4_map8,FaceAll,441,0.7911242842674255,0.7911242246627808,2.320096015930176,1.0,1.0,0.0
resnet,gap_map2_map4_map8,FaceFour,194,0.9659090638160706,0.9659090042114258,0.22992415726184845,1.0,1.0,9.934105982267738e-09
resnet,gap_map2_map4_map8,FacesUCR,234,0.9629268050193787,0.9629267454147339,0.155353382229805,1.0,1.0,0.0
resnet,gap_map2_map4_map8,FiftyWords,474,0.7714285850524902,0.7714285254478455,2.7513344287872314,1.0,1.0,1.1126194721100546e-07
resnet,gap_map2_map4_map8,Fish,338,0.9828571677207947,0.9828571081161499,0.26281630992889404,1.0,1.0,7.431837047988665e-07
resnet,gap_map2_map4_map8,FordA,5243,0.935606062412262,0.9356060028076172,0.7158028483390808,1.0,1.0,2.6483595871873433e-10
resnet,gap_map2_map4_map8,FordB,5365,0.8024691343307495,0.8024690747261047,2.5477521419525146,1.0,1.0,0.0
resnet,gap_map2_map4_map8,FreezerRegularTrain,213,0.995087742805481,0.9950876832008362,0.034553855657577515,1.0,1.0,3.973642392907095e-08
resnet,gap_map2_map4_map8,FreezerSmallTrain,198,0.8992982506752014,0.8992981910705566,0.7580387592315674,1.0,1.0,1.0856507515200065e-06
resnet,gap_map2_map4_map8,Fungi,333,0.8172042965888977,0.8172041773796082,1.3966405391693115,0.8888888955116272,0.8888888359069824,0.5229214429855347
resnet,gap_map2_map4_map8,GestureMidAirD1,292,0.6846153736114502,0.6846153140068054,3.604193687438965,1.0,1.0,2.442626055199071e-06
resnet,gap_map2_map4_map8,GestureMidAirD2,296,0.5923076868057251,0.5923076272010803,4.936910152435303,1.0,1.0,6.349476279865485e-06
resnet,gap_map2_map4_map8,GestureMidAirD3,301,0.38461539149284363,0.38461533188819885,7.984745979309082,1.0,1.0,3.985383045801427e-06
resnet,gap_map2_map4_map8,GesturePebbleZ1,276,0.8779069781303406,0.8779069185256958,1.7493194341659546,1.0,1.0,2.0229441588526242e-07
resnet,gap_map2_map4_map8,GesturePebbleZ2,274,0.7088607549667358,0.7088606357574463,1.932289958000183,1.0,1.0,2.2045551162364063e-08
resnet,gap_map2_map4_map8,GunPoint,161,0.9866666793823242,0.9866666197776794,0.011313557624816895,1.0,1.0,4.76837147544984e-09
resnet,gap_map2_map4_map8,GunPointAgeSpan,201,0.9778481125831604,0.9778480529785156,0.1311650276184082,1.0,1.0,7.594067596983223e-08
resnet,gap_map2_map4_map8,GunPointMaleVersusFemale,203,1.0,1.0,0.001143125002272427,1.0,1.0,1.730739995764452e-07
resnet,gap_map2_map4_map8,GunPointOldVersusYoung,204,0.9682539701461792,0.9682539105415344,0.23250173032283783,1.0,1.0,2.076498503811308e-06
resnet,gap_map2_map4_map8,Ham,247,0.7142857313156128,0.7142856121063232,1.5680042505264282,1.0,1.0,1.7061142898455728e-07
resnet,gap_map2_map4_map8,HandOutlines,12418,0.9351351261138916,0.9351350665092468,0.8517119288444519,1.0,1.0,4.1448970478086267e-07
resnet,gap_map2_map4_map8,Haptics,647,0.4545454680919647,0.45454540848731995,5.52608060836792,1.0,1.0,3.346416269778274e-05
resnet,gap_map2_map4_map8,Herring,228,0.578125,0.5781249403953552,3.2791225910186768,1.0,1.0,3.008158273587469e-06
resnet,gap_map2_map4_map8,HouseTwenty,506,0.9075630307197571,0.9075629115104675,0.7397527694702148,1.0,1.0,8.940696183401542e-09
resnet,gap_map2_map4_map8,InlineSkate,794,0.294545441865921,0.29454538226127625,10.536771774291992,1.0,1.0,3.147684401483275e-05
resnet,gap_map2_map4_map8,InsectEPGRegularTrain,241,0.8955823183059692,0.8955822587013245,0.688634991645813,1.0,1.0,5.306721391207248e-07
resnet,gap_map2_map4_map8,InsectEPGSmallTrain,343,0.6184738874435425,0.6184738278388977,2.5812699794769287,0.9411764740943909,0.9411764144897461,0.22862234711647034
resnet,gap_map2_map4_map8,InsectWingbeatSound,272,0.5752525329589844,0.5752524733543396,4.465948581695557,1.0,1.0,3.8309511296574783e-07
resnet,gap_map2_map4_map8,ItalyPowerDemand,183,0.9611272811889648,0.9611272215843201,0.3532160520553589,1.0,1.0,0.0
resnet,gap_map2_map4_map8,LargeKitchenAppliances,882,0.874666690826416,0.8746666312217712,1.7188128232955933,1.0,1.0,2.7465733865028596e-07
resnet,gap_map2_map4_map8,Lightning2,228,0.8360655903816223,0.8360655307769775,1.4284805059432983,1.0,1.0,1.9669523965148983e-07
resnet,gap_map2_map4_map8,Lightning7,198,0.7808219194412231,0.7808218598365784,1.9411401748657227,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Mallat,295,0.9420042634010315,0.9420042037963867,0.3266337513923645,1.0,1.0,1.452185074413137e-07
resnet,gap_map2_map4_map8,Meat,211,0.8333333134651184,0.8333332538604736,0.776797890663147,1.0,1.0,2.7059821150032803e-05
resnet,gap_map2_map4_map8,MedicalImages,309,0.7749999761581421,0.7749999165534973,2.3243377208709717,1.0,1.0,2.765895033007837e-07
