model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_mpvH,ACSF1,345,0.9399999976158142,0.9399999380111694,0.4896084666252136,1.0,1.0,7.105137046892196e-05
resnet,gap_mpvH,Adiac,380,0.8158567547798157,0.8158566951751709,1.0265562534332275,1.0,1.0,8.582024747738615e-06
resnet,gap_mpvH,AllGestureWiimoteX,427,0.727142870426178,0.7271428108215332,1.9888389110565186,1.0,1.0,2.38057441492856e-06
resnet,gap_mpvH,AllGestureWiimoteY,419,0.7771428823471069,0.7771428227424622,1.5976427793502808,1.0,1.0,2.1509099497052375e-06
resnet,gap_mpvH,AllGestureWiimoteZ,419,0.727142870426178,0.7271428108215332,2.0991175174713135,1.0,1.0,1.082470225810539e-05
resnet,gap_mpvH,ArrowHead,193,0.7942857146263123,0.7942856550216675,1.307741403579712,1.0,1.0,6.622737913630772e-09
resnet,gap_mpvH,Beef,193,0.7666666507720947,0.76666659116745,1.1829594373703003,1.0,1.0,2.527231117710471e-06
resnet,gap_mpvH,BeetleFly,193,0.800000011920929,0.800000011920929,0.7979723811149597,1.0,1.0,7.152556946721234e-08
resnet,gap_mpvH,BirdChicken,182,0.800000011920929,0.800000011920929,1.3707557916641235,1.0,1.0,1.3113017871546617e-07
resnet,gap_mpvH,BME,174,0.9933333396911621,0.9933332800865173,0.027796471491456032,1.0,1.0,2.384185648907078e-08
resnet,gap_mpvH,Car,208,0.8999999761581421,0.8999999165534973,0.5223570466041565,1.0,1.0,3.8663361010549124e-06
resnet,gap_mpvH,CBF,176,0.9988889098167419,0.9988888502120972,0.0021144032943993807,1.0,1.0,1.192092824453539e-08
resnet,gap_mpvH,Chinatown,165,0.9825072884559631,0.9825072288513184,0.20566420257091522,1.0,1.0,1.192092824453539e-08
resnet,gap_mpvH,ChlorineConcentration,430,0.848437488079071,0.8484374284744263,0.9829561114311218,1.0,1.0,1.6113468518597074e-05
