model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_mpvH_ppvHste,ACSF1,349,0.9300000071525574,0.9299999475479126,0.4766944944858551,1.0,1.0,0.002993673086166382
resnet,gap_mpvH_ppvHste,Adiac,387,0.8491048812866211,0.8491048216819763,0.8406598567962646,1.0,1.0,9.431412763660774e-06
resnet,gap_mpvH_ppvHste,AllGestureWiimoteX,450,0.7214285731315613,0.7214285135269165,1.9010424613952637,1.0,1.0,2.4644386940053664e-06
resnet,gap_mpvH_ppvHste,AllGestureWiimoteY,436,0.7857142686843872,0.7857141494750977,1.3859481811523438,1.0,1.0,3.405387587918085e-06
resnet,gap_mpvH_ppvHste,AllGestureWiimoteZ,427,0.7328571677207947,0.7328571081161499,1.6995183229446411,1.0,1.0,1.1656652532110456e-05
resnet,gap_mpvH_ppvHste,ArrowHead,206,0.868571400642395,0.8685713410377502,0.6643713116645813,1.0,1.0,2.9802318834981634e-08
resnet,gap_mpvH_ppvHste,Beef,213,0.699999988079071,0.6999999284744263,1.4851402044296265,1.0,1.0,1.764664011716377e-05
resnet,gap_mpvH_ppvHste,BeetleFly,184,0.8999999761581421,0.8999999165534973,0.22841612994670868,1.0,1.0,6.163053967611631e-06
resnet,gap_mpvH_ppvHste,BirdChicken,176,0.800000011920929,0.800000011920929,0.9135162234306335,1.0,1.0,1.2296195563976653e-05
resnet,gap_mpvH_ppvHste,BME,178,0.9800000190734863,0.9799999594688416,0.06527581065893173,1.0,1.0,1.8676115587368258e-07
resnet,gap_mpvH_ppvHste,Car,212,0.9166666865348816,0.9166666269302368,0.4842095673084259,1.0,1.0,1.6470726222905796e-06
resnet,gap_mpvH_ppvHste,CBF,183,0.995555579662323,0.9955555200576782,0.017399102449417114,1.0,1.0,2.7815497460892402e-08
resnet,gap_mpvH_ppvHste,Chinatown,158,0.9825072884559631,0.9825072288513184,0.19282126426696777,1.0,1.0,5.364417532405241e-08
resnet,gap_mpvH_ppvHste,ChlorineConcentration,433,0.840624988079071,0.8406249284744263,0.9976518154144287,1.0,1.0,2.4619774194434285e-05
resnet,gap_mpvH_ppvHste,CinCECGTorso,245,0.856521725654602,0.8565216660499573,0.6908102035522461,1.0,1.0,5.018010415369645e-05
resnet,gap_mpvH_ppvHste,Coffee,206,1.0,1.0,0.00020482677791733295,1.0,1.0,1.4901158351676713e-07
resnet,gap_mpvH_ppvHste,Computers,446,0.8159999847412109,0.8159999847412109,2.6331419944763184,1.0,1.0,3.3506103136460297e-06
resnet,gap_mpvH_ppvHste,CricketX,442,0.7948718070983887,0.7948718070983887,1.1179077625274658,1.0,1.0,3.940014323688956e-07
resnet,gap_mpvH_ppvHste,CricketY,439,0.807692289352417,0.8076922297477722,0.8341236114501953,1.0,1.0,2.6815803266799776e-06
resnet,gap_mpvH_ppvHste,CricketZ,431,0.7897436022758484,0.7897435426712036,0.8575869202613831,1.0,1.0,1.2162356597400503e-06
resnet,gap_mpvH_ppvHste,Crop,4152,0.7393452525138855,0.7393451929092407,4.21470308303833,1.0,1.0,0.0
resnet,gap_mpvH_ppvHste,DiatomSizeReduction,444,0.3104575276374817,0.3104574680328369,3.726086139678955,0.375,0.3749999403953552,3.2789247035980225
resnet,gap_mpvH_ppvHste,DistalPhalanxOutlineAgeGroup,338,0.6978417038917542,0.6978416442871094,2.8705508708953857,1.0,1.0,1.9818530461179762e-07
resnet,gap_mpvH_ppvHste,DistalPhalanxOutlineCorrect,463,0.760869562625885,0.7608695030212402,2.2234554290771484,1.0,1.0,7.430706716604618e-08
resnet,gap_mpvH_ppvHste,DistalPhalanxTW,348,0.6834532618522644,0.6834532022476196,2.658633232116699,1.0,1.0,6.675718111637252e-08
resnet,gap_mpvH_ppvHste,DodgerLoopDay,231,0.4375,0.4374999403953552,1.9429881572723389,1.0,1.0,8.222327210205549e-07
resnet,gap_mpvH_ppvHste,DodgerLoopGame,162,0.6884058117866516,0.6884057521820068,1.0115801095962524,1.0,1.0,3.141113438687171e-06
