model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_ppvHste,ACSF1,252,0.9300000071525574,0.9299999475479126,0.5022979974746704,0.9900000095367432,0.9899999499320984,0.018818112090229988
resnet,gap_ppvHste,Adiac,307,0.8158567547798157,0.8158566951751709,0.902919352054596,1.0,1.0,9.352501365356147e-06
resnet,gap_ppvHste,AllGestureWiimoteX,331,0.7200000286102295,0.7199999094009399,1.6987991333007812,1.0,1.0,6.473056259892473e-07
resnet,gap_ppvHste,AllGestureWiimoteY,329,0.7942857146263123,0.7942856550216675,1.239848256111145,1.0,1.0,1.1932826282645692e-06
resnet,gap_ppvHste,AllGestureWiimoteZ,332,0.75,0.7499999403953552,1.2618260383605957,1.0,1.0,1.395540152770991e-06
resnet,gap_ppvHste,ArrowHead,167,0.8399999737739563,0.8399999141693115,0.6915438771247864,1.0,1.0,1.7417767139704665e-06
resnet,gap_ppvHste,Beef,165,0.800000011920929,0.800000011920929,1.1215097904205322,1.0,1.0,4.172147237113677e-05
resnet,gap_ppvHste,BeetleFly,162,0.8999999761581421,0.8999999165534973,0.2518359124660492,1.0,1.0,2.543755908845924e-05
resnet,gap_ppvHste,BirdChicken,156,0.8999999761581421,0.8999999165534973,0.24475014209747314,1.0,1.0,2.282852847201866e-06
resnet,gap_ppvHste,BME,149,1.0,1.0,0.005186848342418671,1.0,1.0,3.102849223068915e-05
resnet,gap_ppvHste,Car,178,0.9333333373069763,0.9333332777023315,0.5104303956031799,1.0,1.0,9.6638104878366e-06
resnet,gap_ppvHste,CBF,152,0.992222249507904,0.9922221899032593,0.020456258207559586,1.0,1.0,1.9868213740892315e-08
resnet,gap_ppvHste,Chinatown,142,0.9795918464660645,0.9795917868614197,0.19893597066402435,1.0,1.0,5.960463766996327e-08
resnet,gap_ppvHste,ChlorineConcentration,353,0.8515625,0.8515624403953552,0.9922860264778137,1.0,1.0,5.524419975699857e-05
resnet,gap_ppvHste,CinCECGTorso,212,0.8253623247146606,0.8253622651100159,0.852584719657898,1.0,1.0,0.0006504444172605872
resnet,gap_ppvHste,Coffee,182,1.0,1.0,0.0007656632224097848,1.0,1.0,8.863962648320012e-06
resnet,gap_ppvHste,Computers,344,0.8119999766349792,0.8119999170303345,1.7843178510665894,1.0,1.0,2.5664647182566114e-05
resnet,gap_ppvHste,CricketX,342,0.800000011920929,0.800000011920929,0.9449924826622009,1.0,1.0,1.395352683175588e-06
resnet,gap_ppvHste,CricketY,344,0.8153846263885498,0.815384566783905,0.7925034761428833,1.0,1.0,1.0450640957060386e-06
resnet,gap_ppvHste,CricketZ,343,0.8128204941749573,0.8128204345703125,0.8048430681228638,1.0,1.0,7.968667432578513e-07
resnet,gap_ppvHste,Crop,3250,0.7407737970352173,0.7407737374305725,4.015628337860107,1.0,1.0,0.0
resnet,gap_ppvHste,DiatomSizeReduction,347,0.3006536066532135,0.3006535470485687,5.010756969451904,0.375,0.3749999403953552,4.270555019378662
resnet,gap_ppvHste,DistalPhalanxOutlineAgeGroup,267,0.6762589812278748,0.67625892162323,3.073657751083374,1.0,1.0,7.149548650886572e-07
resnet,gap_ppvHste,DistalPhalanxOutlineCorrect,367,0.79347825050354,0.7934781908988953,1.9823853969573975,1.0,1.0,7.331367868346206e-08
resnet,gap_ppvHste,DistalPhalanxTW,278,0.6906474828720093,0.6906474232673645,2.8716065883636475,1.0,1.0,1.3798468501136085e-07
resnet,gap_ppvHste,DodgerLoopDay,201,0.48750001192092896,0.4874999523162842,1.6205813884735107,1.0,1.0,2.3490260900871363e-06
resnet,gap_ppvHste,DodgerLoopGame,150,0.7681159377098083,0.7681159377098083,0.6179488301277161,1.0,1.0,2.622603858526418e-07
resnet,gap_ppvHste,DodgerLoopWeekend,152,0.9710144996643066,0.9710144400596619,0.31172975897789,1.0,1.0,1.8954248162117437e-06
resnet,gap_ppvHste,Earthquakes,347,0.7122302055358887,0.7122301459312439,2.201632022857666,1.0,1.0,3.727039438672364e-05
resnet,gap_ppvHste,ECG200,156,0.8600000143051147,0.85999995470047,1.1463254690170288,1.0,1.0,8.344647284275197e-08
resnet,gap_ppvHste,ECG5000,356,0.9308888912200928,0.930888831615448,0.7278227806091309,1.0,1.0,1.7003831089823507e-06
resnet,gap_ppvHste,ECGFiveDays,177,0.9941927790641785,0.9941927194595337,0.01216435618698597,1.0,1.0,0.0005170654039829969
