model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gmp,ACSF1,336,0.9100000262260437,0.9099999666213989,0.3231736421585083,1.0,1.0,2.742021024459973e-05
resnet,gmp,Adiac,378,0.8235294222831726,0.8235293626785278,1.063612699508667,1.0,1.0,6.270306130318204e-06
resnet,gmp,AllGestureWiimoteX,427,0.6842857003211975,0.6842856407165527,2.885821580886841,1.0,1.0,9.536741885085576e-08
resnet,gmp,AllGestureWiimoteY,430,0.7171428799629211,0.7171428203582764,2.383385419845581,1.0,1.0,1.9868213740892315e-09
resnet,gmp,AllGestureWiimoteZ,422,0.6728571653366089,0.6728571057319641,2.309471607208252,1.0,1.0,4.0137356336344965e-06
resnet,gmp,ArrowHead,193,0.8171428442001343,0.8171427845954895,1.1099010705947876,1.0,1.0,5.066389690000506e-07
resnet,gmp,Beef,190,0.6666666865348816,0.6666666269302368,2.8324499130249023,1.0,1.0,2.781549923724924e-08
resnet,gmp,BeetleFly,187,0.8500000238418579,0.8499999642372131,0.5901991128921509,1.0,1.0,1.192092824453539e-08
resnet,gmp,BirdChicken,188,0.800000011920929,0.800000011920929,2.669976234436035,1.0,1.0,1.7881392366803084e-08
resnet,gmp,BME,168,0.9466666579246521,0.9466665983200073,0.20471413433551788,1.0,1.0,3.973642748178463e-09
resnet,gmp,Car,213,0.699999988079071,0.6999999284744263,1.5413795709609985,1.0,1.0,1.6470726222905796e-06
resnet,gmp,CBF,159,0.9988889098167419,0.9988888502120972,0.004654870368540287,1.0,1.0,0.0
resnet,gmp,Chinatown,153,0.9854227304458618,0.985422670841217,0.16261564195156097,1.0,1.0,5.960464122267695e-09
resnet,gmp,ChlorineConcentration,443,0.8552083373069763,0.8552082777023315,1.3075066804885864,1.0,1.0,2.3816325267489447e-07
resnet,gmp,CinCECGTorso,245,0.6304348111152649,0.6304347515106201,4.475644111633301,1.0,1.0,2.086162353975851e-08
