model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gmp_mmp2_mmp4_mmp8,ACSF1,342,0.7200000286102295,0.7199999094009399,3.392293930053711,1.0,1.0,8.742030331632122e-06
resnet,gmp_mmp2_mmp4_mmp8,Adiac,366,0.7442455291748047,0.7442455291748047,2.3566832542419434,1.0,1.0,4.294572022445209e-07
resnet,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteX,422,0.6942856907844543,0.6942856311798096,2.8763277530670166,1.0,1.0,7.828075609950247e-08
resnet,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteY,420,0.7128571271896362,0.7128570675849915,3.2409043312072754,1.0,1.0,2.678233101960359e-07
resnet,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteZ,427,0.6742857098579407,0.6742856502532959,2.542072057723999,1.0,1.0,6.516773964904132e-08
resnet,gmp_mmp2_mmp4_mmp8,ArrowHead,189,0.822857141494751,0.8228570818901062,1.1138898134231567,1.0,1.0,3.311368956815386e-09
resnet,gmp_mmp2_mmp4_mmp8,Beef,176,0.7333333492279053,0.7333332896232605,1.9772002696990967,1.0,1.0,8.249193342635408e-06
resnet,gmp_mmp2_mmp4_mmp8,BeetleFly,180,0.6499999761581421,0.6499999165534973,1.1403656005859375,1.0,1.0,5.960464122267695e-09
resnet,gmp_mmp2_mmp4_mmp8,BirdChicken,177,0.8500000238418579,0.8499999642372131,1.2448012828826904,1.0,1.0,2.384185648907078e-08
resnet,gmp_mmp2_mmp4_mmp8,BME,150,0.9933333396911621,0.9933332800865173,0.04327251389622688,1.0,1.0,7.947285496356926e-09
resnet,gmp_mmp2_mmp4_mmp8,Car,222,0.8666666746139526,0.8666666150093079,1.2749369144439697,1.0,1.0,7.947285496356926e-09
resnet,gmp_mmp2_mmp4_mmp8,CBF,149,0.9766666889190674,0.9766666293144226,0.06159930303692818,1.0,1.0,1.192092824453539e-08
resnet,gmp_mmp2_mmp4_mmp8,Chinatown,141,0.9825072884559631,0.9825072288513184,0.20722608268260956,1.0,1.0,5.960464122267695e-09
resnet,gmp_mmp2_mmp4_mmp8,ChlorineConcentration,432,0.8729166388511658,0.872916579246521,1.2454107999801636,1.0,1.0,6.73902533776527e-08
resnet,gmp_mmp2_mmp4_mmp8,CinCECGTorso,239,0.856521725654602,0.8565216660499573,0.7686544060707092,1.0,1.0,1.4901159417490817e-08
resnet,gmp_mmp2_mmp4_mmp8,Coffee,192,1.0,1.0,1.990549026231747e-05,1.0,1.0,8.514948746096707e-09
resnet,gmp_mmp2_mmp4_mmp8,Computers,449,0.7120000123977661,0.7119999527931213,2.258030891418457,1.0,1.0,9.53674250681047e-10
resnet,gmp_mmp2_mmp4_mmp8,CricketX,438,0.7307692170143127,0.730769157409668,1.9145387411117554,1.0,1.0,0.0
