model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gru128,ACSF1,1032,0.8500000238418579,0.8499999642372131,1.1057138442993164,1.0,1.0,0.00020865531405434012
resnet,gru128,Adiac,992,0.6624041199684143,0.6624040603637695,2.2461323738098145,1.0,1.0,3.061617098865099e-05
resnet,gru128,AllGestureWiimoteX,1050,0.3514285683631897,0.3514285087585449,6.778260231018066,1.0,1.0,2.9841696232324466e-05
resnet,gru128,AllGestureWiimoteY,1050,0.604285717010498,0.6042856574058533,3.8484947681427,1.0,1.0,7.268106401170371e-06
resnet,gru128,AllGestureWiimoteZ,1047,0.47428572177886963,0.47428566217422485,4.911225318908691,1.0,1.0,2.9580794944195077e-05
resnet,gru128,ArrowHead,535,0.7257142663002014,0.7257142066955566,2.802184581756592,1.0,1.0,2.3510716573582613e-07
resnet,gru128,Beef,565,0.5333333611488342,0.5333333015441895,5.494960308074951,1.0,1.0,9.596283234714065e-06
resnet,gru128,BeetleFly,589,0.6499999761581421,0.6499999165534973,4.102232456207275,1.0,1.0,2.3245806346494646e-07
resnet,gru128,BirdChicken,599,0.800000011920929,0.800000011920929,3.1983542442321777,1.0,1.0,8.046621360335848e-07
resnet,gru128,BME,397,0.9266666769981384,0.9266666173934937,0.7521845698356628,1.0,1.0,5.523355071090918e-07
resnet,gru128,Car,616,0.4333333373069763,0.43333327770233154,6.378088474273682,1.0,1.0,6.357825554914598e-07
resnet,gru128,CBF,417,0.5366666913032532,0.5366666316986084,5.112461566925049,1.0,1.0,0.0
resnet,gru128,Chinatown,360,0.9650145769119263,0.9650145173072815,0.3384930491447449,1.0,1.0,5.960463766996327e-08
resnet,gru128,ChlorineConcentration,1164,0.7106770873069763,0.7106770277023315,2.825961112976074,1.0,1.0,5.3931994443701115e-06
resnet,gru128,CinCECGTorso,1076,0.4492753744125366,0.44927531480789185,5.484093189239502,1.0,1.0,2.3543830707239977e-07
resnet,gru128,Coffee,652,0.9642857313156128,0.9642856121063232,0.08543412387371063,1.0,1.0,4.257474373048353e-09
resnet,gru128,Computers,1084,0.7279999852180481,0.7279999256134033,3.3828396797180176,1.0,1.0,1.0967253771809737e-08
resnet,gru128,CricketX,1128,0.17179487645626068,0.1717948317527771,6.604106426239014,1.0,1.0,6.124576430011075e-06
resnet,gru128,CricketY,1130,0.27435898780822754,0.27435892820358276,6.756750106811523,1.0,1.0,1.0600442692521028e-06
resnet,gru128,CricketZ,1130,0.2538461685180664,0.25384610891342163,7.395636558532715,1.0,1.0,6.201935889293964e-07
resnet,gru128,Crop,11937,0.7180952429771423,0.7180951833724976,2.9080116748809814,1.0,1.0,0.0
resnet,gru128,DiatomSizeReduction,869,0.5947712659835815,0.5947712063789368,4.830650329589844,0.6875,0.6874999403953552,3.2611327171325684
resnet,gru128,DistalPhalanxOutlineAgeGroup,833,0.7266187071800232,0.7266186475753784,3.4248552322387695,1.0,1.0,0.0
resnet,gru128,DistalPhalanxOutlineCorrect,1314,0.782608687877655,0.7826086282730103,3.1139729022979736,1.0,1.0,2.781549879316003e-09
resnet,gru128,DistalPhalanxTW,843,0.6402877569198608,0.6402876973152161,3.6122500896453857,1.0,1.0,0.0
resnet,gru128,DodgerLoopDay,681,0.38749998807907104,0.38749992847442627,5.914502143859863,1.0,1.0,6.113296535659174e-09
resnet,gru128,DodgerLoopGame,477,0.739130437374115,0.7391303777694702,1.9193994998931885,1.0,1.0,1.192092824453539e-08
resnet,gru128,DodgerLoopWeekend,507,0.7101449370384216,0.7101448774337769,2.9899301528930664,1.0,1.0,5.960464122267695e-09
resnet,gru128,Earthquakes,1184,0.7553957104682922,0.7553956508636475,3.809993267059326,1.0,1.0,3.70215164080534e-10
resnet,gru128,ECG200,416,0.7200000286102295,0.7199999094009399,3.8747644424438477,1.0,1.0,2.384185515680315e-09
resnet,gru128,ECG5000,1211,0.9262222051620483,0.9262221455574036,0.9386339783668518,1.0,1.0,1.2874601829082621e-08
resnet,gru128,ECGFiveDays,520,0.9698025584220886,0.9698024988174438,0.354239284992218,1.0,1.0,5.183012241616325e-09
resnet,gru128,ElectricDevices,17953,0.7306445240974426,0.7306444644927979,4.128352165222168,0.9940623044967651,0.9940623044967651,0.011884994804859161
resnet,gru128,EOGHorizontalSignal,2157,0.5690608024597168,0.569060742855072,5.201484203338623,1.0,1.0,3.1178594781522406e-06
resnet,gru128,EOGVerticalSignal,2165,0.35082873702049255,0.3508286774158478,7.232175827026367,1.0,1.0,3.718514790307381e-06
resnet,gru128,EthanolLevel,3825,0.7459999918937683,0.7459999322891235,2.7163398265838623,1.0,1.0,3.618126584115089e-06
resnet,gru128,FaceAll,1197,0.7011834383010864,0.7011833786964417,2.993231773376465,1.0,1.0,8.514948746096707e-10
resnet,gru128,FaceFour,595,0.5113636255264282,0.5113635659217834,6.0644450187683105,1.0,1.0,5.463758512291861e-08
resnet,gru128,FacesUCR,623,0.8399999737739563,0.8399999141693115,1.1239875555038452,1.0,1.0,1.192092824453539e-08
resnet,gru128,FiftyWords,1268,0.5428571701049805,0.5428571105003357,3.300152063369751,1.0,1.0,3.4604979646246647e-06
resnet,gru128,Fish,648,0.6971428394317627,0.6971427798271179,2.5218446254730225,1.0,1.0,1.0550942533882335e-05
resnet,gru128,FordA,11149,0.9333333373069763,0.9333332777023315,0.7313716411590576,1.0,1.0,5.098091282462747e-09
resnet,gru128,FordB,11224,0.8185185194015503,0.8185184001922607,2.5251400470733643,1.0,1.0,0.0
resnet,gru128,FreezerRegularTrain,467,0.9242105484008789,0.9242104887962341,0.5459252595901489,1.0,1.0,1.2136460100009572e-05
resnet,gru128,FreezerSmallTrain,628,0.8073683977127075,0.8073683381080627,2.7057337760925293,0.9285714030265808,0.928571343421936,0.9142898917198181
resnet,gru128,Fungi,831,0.20430107414722443,0.20430101454257965,7.782257556915283,0.2777777910232544,0.2777777314186096,6.557275772094727
resnet,gru128,GestureMidAirD1,622,0.5461538434028625,0.5461537837982178,3.638212203979492,1.0,1.0,8.295890438603237e-05
resnet,gru128,GestureMidAirD2,626,0.6307692527770996,0.6307691931724548,3.1698312759399414,1.0,1.0,8.012493344722316e-05
resnet,gru128,GestureMidAirD3,620,0.23846153914928436,0.23846149444580078,7.679004192352295,1.0,1.0,0.00029618683038279414
resnet,gru128,GesturePebbleZ1,643,0.8255813717842102,0.8255813121795654,1.0756179094314575,1.0,1.0,2.830311359502957e-06
resnet,gru128,GesturePebbleZ2,638,0.6329113841056824,0.6329113245010376,3.523651599884033,1.0,1.0,3.1712811505713034e-06
resnet,gru128,GunPoint,449,0.9733333587646484,0.9733332991600037,0.3130737841129303,1.0,1.0,3.099441414633475e-08
resnet,gru128,GunPointAgeSpan,509,0.9873417615890503,0.9873417019844055,0.12907476723194122,1.0,1.0,7.0642531824205435e-09
resnet,gru128,GunPointMaleVersusFemale,491,0.9905063509941101,0.9905062913894653,0.059058237820863724,1.0,1.0,1.0896588946707197e-06
resnet,gru128,GunPointOldVersusYoung,499,0.9841269850730896,0.9841269254684448,0.10662921518087387,1.0,1.0,8.029089713090798e-07
resnet,gru128,Ham,622,0.6000000238418579,0.5999999642372131,5.02361536026001,1.0,1.0,1.421761997022486e-08
resnet,gru128,HandOutlines,10749,0.9270270466804504,0.9270269870758057,0.8675442337989807,1.0,1.0,1.7368770954817592e-07
resnet,gru128,Haptics,1051,0.34090909361839294,0.34090903401374817,6.362610816955566,1.0,1.0,7.14404950485914e-06
resnet,gru128,Herring,656,0.546875,0.5468749403953552,4.895245552062988,1.0,1.0,2.1774274046038045e-06
resnet,gru128,HouseTwenty,1244,0.7478991746902466,0.7478991150856018,3.054854393005371,1.0,1.0,1.0728835064810482e-07
resnet,gru128,InlineSkate,1262,0.5218181610107422,0.5218181014060974,3.9657537937164307,1.0,1.0,1.2424864507920574e-05
resnet,gru128,InsectEPGRegularTrain,694,0.7148594260215759,0.7148593664169312,2.755560874938965,1.0,1.0,3.8454592754533223e-07
resnet,gru128,InsectEPGSmallTrain,1015,0.4658634662628174,0.4658634066581726,6.158966064453125,0.6470588445663452,0.6470587849617004,4.106517791748047
resnet,gru128,InsectWingbeatSound,668,0.46868687868118286,0.4686868190765381,4.406339168548584,1.0,1.0,6.801930339861428e-06
resnet,gru128,ItalyPowerDemand,484,0.9601554870605469,0.9601554274559021,0.4570319652557373,1.0,1.0,1.77924270872154e-08
resnet,gru128,LargeKitchenAppliances,1576,0.890666663646698,0.8906666040420532,1.2506847381591797,1.0,1.0,1.3065329085293342e-07
resnet,gru128,Lightning2,626,0.7377049326896667,0.737704873085022,3.2671844959259033,1.0,1.0,9.139377254996361e-08
resnet,gru128,Lightning7,501,0.6301369667053223,0.6301369071006775,3.485611915588379,1.0,1.0,3.8317261896736454e-07
resnet,gru128,Mallat,856,0.3002132177352905,0.30021315813064575,6.186799049377441,1.0,1.0,0.0006493499968200922
resnet,gru128,Meat,574,0.8833333253860474,0.8833332657814026,1.4287059307098389,1.0,1.0,7.092950227161054e-07
resnet,gru128,MedicalImages,891,0.7289473414421082,0.7289472222328186,2.387014389038086,1.0,1.0,7.161926305343513e-07
resnet,gru128,MelbournePedestrian,2320,0.8774088025093079,0.8774087429046631,1.0490491390228271,1.0,1.0,0.0
