model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,map4,ACSF1,289,0.7699999809265137,0.7699999213218689,2.238546848297119,1.0,1.0,2.9491784516721964e-05
resnet,map4,Adiac,311,0.8030690550804138,0.8030690550804138,1.4454865455627441,1.0,1.0,5.269293978926726e-06
resnet,map4,AllGestureWiimoteX,342,0.75,0.7499999403953552,1.5843513011932373,1.0,1.0,2.0186098481644876e-07
resnet,map4,AllGestureWiimoteY,338,0.7614285945892334,0.7614285349845886,1.5999661684036255,1.0,1.0,1.1718250334524782e-06
resnet,map4,AllGestureWiimoteZ,343,0.7185714244842529,0.7185713648796082,1.9517759084701538,1.0,1.0,2.2729227566742338e-07
resnet,map4,ArrowHead,175,0.7657142877578735,0.7657142281532288,1.185825228691101,1.0,1.0,1.092751560349825e-07
resnet,map4,Beef,174,0.6666666865348816,0.6666666269302368,1.605602741241455,1.0,1.0,4.3034360714955255e-06
resnet,map4,BeetleFly,166,0.699999988079071,0.6999999284744263,0.6715356111526489,1.0,1.0,5.960464122267695e-09
resnet,map4,BirdChicken,164,0.699999988079071,0.6999999284744263,1.8538942337036133,1.0,1.0,1.4662657576991478e-06
resnet,map4,BME,152,1.0,1.0,4.539692326943623e-06,1.0,1.0,3.576277762817881e-08
resnet,map4,Car,183,0.8999999761581421,0.8999999165534973,0.553989827632904,1.0,1.0,9.675808314568712e-07
resnet,map4,CBF,150,0.996666669845581,0.9966666102409363,0.006086185574531555,1.0,1.0,0.0
resnet,map4,Chinatown,152,0.9795918464660645,0.9795917868614197,0.20580527186393738,1.0,1.0,1.7881392366803084e-08
resnet,map4,ChlorineConcentration,354,0.8614583611488342,0.8614583015441895,1.2584666013717651,1.0,1.0,3.234219434489205e-07
resnet,map4,CinCECGTorso,218,0.7876811623573303,0.7876811027526855,1.346370816230774,1.0,1.0,3.907057362084743e-06
resnet,map4,Coffee,189,1.0,1.0,2.7004849471268244e-05,1.0,1.0,2.1287371865241766e-08
resnet,map4,Computers,363,0.800000011920929,0.800000011920929,2.425286054611206,1.0,1.0,2.8037979404871294e-07
resnet,map4,CricketX,347,0.7589743733406067,0.7589743137359619,1.6656522750854492,1.0,1.0,1.849271740184122e-07
resnet,map4,CricketY,346,0.8051282167434692,0.8051281571388245,1.2303154468536377,1.0,1.0,1.925687200809989e-07
resnet,map4,CricketZ,348,0.771794855594635,0.7717947959899902,1.5204007625579834,1.0,1.0,1.109563001477909e-07
