model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mipvH,ACSF1,335,0.20000000298023224,0.19999997317790985,5.957113742828369,0.30000001192092896,0.2999999523162842,2.9205799102783203
resnet,mipvH,Adiac,376,0.19181585311889648,0.1918158084154129,3.7984509468078613,0.22051282227039337,0.2205127775669098,3.0821406841278076
resnet,mipvH,AllGestureWiimoteX,429,0.5071428418159485,0.5071427822113037,4.074595928192139,0.7699999809265137,0.7699999213218689,0.7134925723075867
resnet,mipvH,AllGestureWiimoteY,425,0.5157142877578735,0.5157142281532288,3.8456246852874756,0.7933333516120911,0.7933332324028015,0.6095740795135498
resnet,mipvH,AllGestureWiimoteZ,423,0.4514285624027252,0.45142850279808044,2.935908317565918,0.5833333134651184,0.5833332538604736,1.5742356777191162
resnet,mipvH,ArrowHead,185,0.36000001430511475,0.3599999248981476,3.049701690673828,0.6666666865348816,0.6666666269302368,0.8623548746109009
resnet,mipvH,Beef,180,0.46666666865348816,0.4666666090488434,6.559309482574463,0.6000000238418579,0.5999999642372131,1.5611270666122437
resnet,mipvH,BeetleFly,173,0.4000000059604645,0.3999999761581421,17.042522430419922,1.0,1.0,0.00013356366252992302
resnet,mipvH,BirdChicken,175,0.6499999761581421,0.6499999165534973,10.936349868774414,1.0,1.0,0.004889426287263632
resnet,mipvH,BME,155,0.9733333587646484,0.9733332991600037,0.13206659257411957,1.0,1.0,5.5707469073240645e-06
resnet,mipvH,Car,209,0.6000000238418579,0.5999999642372131,3.420191764831543,0.6666666865348816,0.6666666269302368,1.7172824144363403
resnet,mipvH,CBF,153,0.9800000190734863,0.9799999594688416,0.07855825126171112,1.0,1.0,3.9339010982075706e-07
resnet,mipvH,Chinatown,154,0.9854227304458618,0.985422670841217,0.08489818125963211,1.0,1.0,0.010660544037818909
resnet,mipvH,ChlorineConcentration,437,0.5419270992279053,0.5419270396232605,1.6157716512680054,0.5910063982009888,0.591006338596344,1.2863740921020508
resnet,mipvH,CinCECGTorso,232,0.6304348111152649,0.6304347515106201,33.70288848876953,0.925000011920929,0.9249999523162842,0.7728645205497742
resnet,mipvH,Coffee,207,1.0,1.0,0.02523641102015972,1.0,1.0,2.220121859863866e-05
resnet,mipvH,Computers,440,0.5960000157356262,0.5959999561309814,2.447765588760376,0.656000018119812,0.6559999585151672,1.3368560075759888
resnet,mipvH,CricketX,447,0.4564102590084076,0.4564101994037628,2.232363700866699,0.6769230961799622,0.6769230365753174,0.9911227226257324
resnet,mipvH,CricketY,435,0.3948718011379242,0.3948717415332794,2.9320390224456787,0.6358974575996399,0.6358973979949951,1.2815407514572144
resnet,mipvH,CricketZ,442,0.4307692348957062,0.4307691752910614,2.5736148357391357,0.6410256624221802,0.6410256028175354,1.232979416847229
resnet,mipvH,Crop,4386,0.6368452310562134,0.6368451714515686,1.1961928606033325,0.7302777767181396,0.7302777171134949,0.7992353439331055
resnet,mipvH,DiatomSizeReduction,224,0.8660130500793457,0.8660129904747009,0.739315390586853,1.0,1.0,0.03847706317901611
resnet,mipvH,DistalPhalanxOutlineAgeGroup,319,0.6978417038917542,0.6978416442871094,0.6622380614280701,0.8450000286102295,0.8449999094009399,0.37185752391815186
resnet,mipvH,DistalPhalanxOutlineCorrect,462,0.6739130616188049,0.6739130020141602,0.6758962869644165,0.5483333468437195,0.5483332872390747,0.8008764982223511
resnet,mipvH,DistalPhalanxTW,315,0.6474820375442505,0.6474819779396057,0.8982756733894348,0.7850000262260437,0.7849999666213989,0.5568411946296692
resnet,mipvH,DodgerLoopDay,213,0.48750001192092896,0.4874999523162842,4.244723320007324,0.7435897588729858,0.7435896396636963,0.6602098345756531
resnet,mipvH,DodgerLoopGame,167,0.8188405632972717,0.818840503692627,1.86066734790802,1.0,1.0,0.00011083926074206829
resnet,mipvH,DodgerLoopWeekend,160,0.9492753744125366,0.9492753148078918,3.5417375564575195,1.0,1.0,1.1597718184930272e-05
resnet,mipvH,Earthquakes,464,0.6762589812278748,0.67625892162323,2.494313955307007,0.9409937858581543,0.9409937262535095,0.13599935173988342
resnet,mipvH,ECG200,177,0.8999999761581421,0.8999999165534973,0.7011139392852783,0.9800000190734863,0.9799999594688416,0.06620259582996368
resnet,mipvH,ECG5000,450,0.9211111068725586,0.9211110472679138,0.9115778803825378,0.9739999771118164,0.9739999175071716,0.06447708606719971
resnet,mipvH,ECGFiveDays,179,0.6341463327407837,0.6341462731361389,3.720778465270996,1.0,1.0,0.008930300362408161
resnet,mipvH,ElectricDevices,5706,0.6996498703956604,0.6996498107910156,2.1477291584014893,0.8843827247619629,0.8843826651573181,0.32401999831199646
resnet,mipvH,EOGHorizontalSignal,798,0.38950276374816895,0.38950270414352417,12.19987964630127,0.6408839821815491,0.6408839225769043,2.7802653312683105
resnet,mipvH,EOGVerticalSignal,810,0.26795580983161926,0.2679557502269745,11.72767162322998,0.5138121843338013,0.5138121247291565,2.824086904525757
resnet,mipvH,EthanolLevel,1322,0.33000001311302185,0.3299999535083771,2.5944535732269287,0.369047611951828,0.3690475523471832,2.336094856262207
resnet,mipvH,FaceAll,492,0.7065088748931885,0.7065088152885437,3.5139102935791016,0.9982143044471741,0.9982142448425293,0.01293626707047224
resnet,mipvH,FaceFour,202,0.7613636255264282,0.7613635063171387,4.344680309295654,1.0,1.0,2.5810681108850986e-05
resnet,mipvH,FacesUCR,253,0.7921951413154602,0.7921950817108154,1.3272700309753418,1.0,1.0,0.00801049917936325
resnet,mipvH,FiftyWords,499,0.5142857432365417,0.514285683631897,5.13007116317749,0.800000011920929,0.800000011920929,0.7234743237495422
resnet,mipvH,Fish,296,0.49142858386039734,0.49142852425575256,3.565260887145996,0.5257142782211304,0.5257142186164856,2.4213759899139404
resnet,mipvH,FordA,4119,0.5068181753158569,0.5068181157112122,0.79600590467453,0.5226325988769531,0.5226325392723083,0.7888332009315491
resnet,mipvH,FordB,4141,0.4851851761341095,0.4851851165294647,0.7766916751861572,0.5426292419433594,0.5426291823387146,0.7252540588378906
resnet,mipvH,FreezerRegularTrain,215,0.9410526156425476,0.9410525560379028,0.8389398455619812,0.9466666579246521,0.9466665983200073,0.186894029378891
resnet,mipvH,FreezerSmallTrain,197,0.6663157939910889,0.6663157343864441,3.524016857147217,0.6785714030265808,0.678571343421936,1.0927436351776123
resnet,mipvH,Fungi,253,0.2849462330341339,0.28494617342948914,9.274230003356934,0.4444444477558136,0.4444443881511688,4.568160057067871
resnet,mipvH,GestureMidAirD1,295,0.45384615659713745,0.4538460969924927,11.509502410888672,0.8605769276618958,0.860576868057251,0.5308000445365906
resnet,mipvH,GestureMidAirD2,276,0.5,0.4999999403953552,3.4417569637298584,0.6730769276618958,0.673076868057251,1.1193671226501465
resnet,mipvH,GestureMidAirD3,283,0.2461538463830948,0.2461538016796112,16.980045318603516,0.42788460850715637,0.4278845489025116,6.0427727699279785
resnet,mipvH,GesturePebbleZ1,264,0.8255813717842102,0.8255813121795654,7.541896343231201,0.9848484992980957,0.9848484396934509,0.06452072411775589
resnet,mipvH,GesturePebbleZ2,252,0.6962025165557861,0.6962024569511414,6.912256240844727,0.9520547986030579,0.9520546793937683,0.4810737073421478
resnet,mipvH,GunPoint,172,0.9733333587646484,0.9733332991600037,0.09688664972782135,1.0,1.0,0.01179063692688942
resnet,mipvH,GunPointAgeSpan,202,0.9398733973503113,0.9398733377456665,0.3947029709815979,0.9925925731658936,0.9925925135612488,0.009792769327759743
resnet,mipvH,GunPointMaleVersusFemale,209,0.9841772317886353,0.9841771721839905,0.08100736886262894,1.0,1.0,6.482036405941471e-05
resnet,mipvH,GunPointOldVersusYoung,209,0.920634925365448,0.9206348657608032,0.4622369706630707,0.9558823704719543,0.9558823108673096,0.09353405237197876
resnet,mipvH,Ham,241,0.6000000238418579,0.5999999642372131,2.7678093910217285,0.7614678740501404,0.7614678144454956,0.7660183906555176
resnet,mipvH,HandOutlines,3642,0.8702702522277832,0.8702701926231384,0.8796005845069885,0.8330000042915344,0.8329999446868896,1.0706919431686401
resnet,mipvH,Haptics,399,0.37662336230278015,0.3766233026981354,10.065375328063965,0.47096773982048035,0.47096768021583557,4.508604049682617
resnet,mipvH,Herring,222,0.65625,0.6562499403953552,2.1766297817230225,0.609375,0.6093749403953552,1.4520944356918335
resnet,mipvH,HouseTwenty,251,0.6974790096282959,0.6974789500236511,53.14143753051758,0.9750000238418579,0.9749999642372131,0.7759765982627869
resnet,mipvH,InlineSkate,380,0.2654545307159424,0.2654544711112976,50.9881591796875,0.6700000166893005,0.6699999570846558,3.825138568878174
resnet,mipvH,InsectEPGRegularTrain,231,0.6907630562782288,0.690762996673584,9.688350677490234,0.9677419066429138,0.967741847038269,0.055322885513305664
resnet,mipvH,InsectEPGSmallTrain,222,0.6184738874435425,0.6184738278388977,39.41228103637695,0.7647058963775635,0.7647058367729187,6.473445892333984
resnet,mipvH,InsectWingbeatSound,278,0.35606059432029724,0.35606056451797485,4.448367118835449,0.5409091114997864,0.5409090518951416,1.8823918104171753
resnet,mipvH,ItalyPowerDemand,179,0.9523809552192688,0.952380895614624,0.18675856292247772,0.9850746393203735,0.9850745797157288,0.044436898082494736
resnet,mipvH,LargeKitchenAppliances,627,0.6746666431427002,0.6746665835380554,5.925877094268799,0.7360000014305115,0.7359999418258667,1.023203730583191
resnet,mipvH,Lightning2,225,0.6721311211585999,0.6721310615539551,6.983526229858398,0.9166666865348816,0.9166666269302368,0.8230825066566467
resnet,mipvH,Lightning7,208,0.8219178318977356,0.8219177722930908,4.239693641662598,0.9714285731315613,0.9714285135269165,0.11280270665884018
resnet,mipvH,Mallat,238,0.6319829225540161,0.6319828629493713,6.838204860687256,0.9090909361839294,0.9090908765792847,0.9395743608474731
resnet,mipvH,Meat,193,0.5,0.4999999403953552,4.218259334564209,0.6333333253860474,0.6333332657814026,2.5725619792938232
resnet,mipvH,MedicalImages,358,0.6499999761581421,0.6499999165534973,1.211999535560608,0.7664042115211487,0.7664041519165039,0.6268450021743774
resnet,mipvH,MelbournePedestrian,747,0.8146781325340271,0.8146780729293823,0.6491521000862122,0.876046895980835,0.8760468363761902,0.40299978852272034
resnet,mipvH,MiddlePhalanxOutlineAgeGroup,315,0.6428571343421936,0.6428570747375488,1.1663857698440552,0.800000011920929,0.800000011920929,0.5572952628135681
resnet,mipvH,MiddlePhalanxOutlineCorrect,448,0.7457044720649719,0.7457044124603271,0.5671229362487793,0.6933333277702332,0.6933332681655884,0.591357409954071
resnet,mipvH,MiddlePhalanxTW,320,0.5,0.4999999403953552,1.1778734922409058,0.6290726661682129,0.6290726065635681,1.0366963148117065
resnet,mipvH,MixedShapesRegularTrain,977,0.778144359588623,0.7781442999839783,2.268827438354492,0.8379999995231628,0.8379999399185181,1.198421835899353
resnet,mipvH,MixedShapesSmallTrain,274,0.5468041300773621,0.5468040704727173,11.851716041564941,0.7799999713897705,0.779999852180481,1.7316781282424927
resnet,mipvH,MoteStrain,152,0.7476038336753845,0.7476037740707397,1.4254008531570435,0.949999988079071,0.9499999284744263,0.14637026190757751
resnet,mipvH,NonInvasiveFetalECGThorax1,2650,0.6722646355628967,0.672264575958252,3.0630269050598145,0.7383333444595337,0.7383333444595337,1.483032464981079
resnet,mipvH,NonInvasiveFetalECGThorax2,2630,0.7984732985496521,0.7984732389450073,3.3937087059020996,0.855555534362793,0.8555554747581482,0.7247743010520935
resnet,mipvH,OliveOil,185,0.13333334028720856,0.13333329558372498,9.834122657775879,0.13333334028720856,0.13333329558372498,10.038427352905273
resnet,mipvH,OSULeaf,296,0.27272728085517883,0.27272722125053406,5.577479362487793,0.3700000047683716,0.3699999451637268,2.8869435787200928
resnet,mipvH,PhalangesOutlinesCorrect,1179,0.7121211886405945,0.7121211886405945,0.5763876438140869,0.7733333110809326,0.7733332514762878,0.49595141410827637
resnet,mipvH,Phoneme,481,0.13291139900684357,0.13291135430335999,38.63918685913086,0.644859790802002,0.6448597311973572,2.485740900039673
resnet,mipvH,PickupGestureWiimoteZ,181,0.5400000214576721,0.5399999618530273,4.336114406585693,0.8600000143051147,0.85999995470047,0.556435227394104
resnet,mipvH,PigAirwayPressure,419,0.0,0.0,101.76461029052734,0.38461539149284363,0.38461533188819885,12.36249828338623
resnet,mipvH,PigArtPressure,422,0.024038461968302727,0.024038411676883698,39.87085723876953,0.125,0.12499995529651642,18.569305419921875
resnet,mipvH,PigCVP,417,0.03365384787321091,0.03365379944443703,65.6025390625,0.13461539149284363,0.13461534678936005,18.773359298706055
resnet,mipvH,PLAID,1228,0.7504655718803406,0.7504655122756958,4.1297125816345215,0.7895717024803162,0.7895716428756714,1.246606469154358
resnet,mipvH,Plane,208,0.9714285731315613,0.9714285135269165,0.1292344182729721,1.0,1.0,0.004753869492560625
resnet,mipvH,PowerCons,230,0.8333333134651184,0.8333332538604736,0.596443772315979,0.9555555582046509,0.9555554986000061,0.08719868212938309
resnet,mipvH,ProximalPhalanxOutlineAgeGroup,323,0.8585366010665894,0.8585365414619446,0.41452518105506897,0.8550000190734863,0.8549999594688416,0.3740895390510559
resnet,mipvH,ProximalPhalanxOutlineCorrect,446,0.7113401889801025,0.7113401293754578,0.5397133827209473,0.7016666531562805,0.7016665935516357,0.612362802028656
resnet,mipvH,ProximalPhalanxTW,312,0.7756097316741943,0.7756096124649048,0.6514663100242615,0.8274999856948853,0.8274999260902405,0.5014497637748718
resnet,mipvH,RefrigerationDevices,634,0.41600000858306885,0.4159999489784241,4.663257122039795,0.5173333287239075,0.5173332691192627,2.149171829223633
resnet,mipvH,Rock,225,0.5600000023841858,0.559999942779541,147.97372436523438,0.949999988079071,0.9499999284744263,0.12561190128326416
resnet,mipvH,ScreenType,629,0.35199999809265137,0.3519999384880066,4.572947978973389,0.46399998664855957,0.4639999270439148,2.8464860916137695
resnet,mipvH,SemgHandGenderCh2,764,0.8383333086967468,0.838333249092102,2.5012059211730957,0.9866666793823242,0.9866666197776794,0.031209796667099
resnet,mipvH,SemgHandMovementCh2,1103,0.5488888621330261,0.5488888025283813,6.949584484100342,0.7555555701255798,0.7555555105209351,2.310659646987915
resnet,mipvH,SemgHandSubjectCh2,1105,0.7644444704055786,0.7644443511962891,3.934659481048584,0.8666666746139526,0.8666666150093079,1.1355961561203003
resnet,mipvH,ShakeGestureWiimoteZ,190,0.7400000095367432,0.7399999499320984,5.724031448364258,0.9200000166893005,0.9199999570846558,0.9253529906272888
resnet,mipvH,ShapeletSim,196,0.5,0.4999999403953552,5.535632610321045,1.0,1.0,1.8821770936483517e-05
resnet,mipvH,ShapesAll,782,0.39666667580604553,0.39666658639907837,6.361401557922363,0.5166666507720947,0.51666659116745,3.267580986022949
resnet,mipvH,SmallKitchenAppliances,627,0.6933333277702332,0.6933332681655884,1.8096615076065063,0.7039999961853027,0.703999936580658,1.5050373077392578
resnet,mipvH,SmoothSubspace,186,0.9599999785423279,0.9599999189376831,0.0820804163813591,1.0,1.0,0.00045197998406365514
resnet,mipvH,SonyAIBORobotSurface1,159,0.642262876033783,0.6422628164291382,1.8349201679229736,1.0,1.0,0.0011110275518149137
resnet,mipvH,SonyAIBORobotSurface2,206,0.6946485042572021,0.6946484446525574,1.9442719221115112,1.0,1.0,0.0002298923209309578
resnet,mipvH,StarLightCurves,1827,0.8964303135871887,0.896430253982544,0.6408621668815613,0.8980000019073486,0.8979999423027039,0.4892957806587219
resnet,mipvH,Strawberry,609,0.9135135412216187,0.9135134816169739,0.2795069217681885,0.9151712656021118,0.915171205997467,0.2022332102060318
resnet,mipvH,SwedishLeaf,439,0.7167999744415283,0.7167999744415283,0.9775425791740417,0.8399999737739563,0.8399999141693115,0.40680158138275146
resnet,mipvH,Symbols,206,0.619095504283905,0.6190954446792603,15.092047691345215,1.0,1.0,8.23414302431047e-06
resnet,mipvH,SyntheticControl,265,0.9833333492279053,0.9833332896232605,0.03905373439192772,1.0,1.0,0.0003562245110515505
resnet,mipvH,ToeSegmentation1,174,0.6140350699424744,0.6140350103378296,3.655125141143799,0.8500000238418579,0.8499999642372131,0.7334011793136597
resnet,mipvH,ToeSegmentation2,205,0.7307692170143127,0.730769157409668,4.399418830871582,0.9444444179534912,0.9444443583488464,0.17815393209457397
resnet,mipvH,Trace,191,1.0,1.0,3.823938186542364e-06,1.0,1.0,7.491406722692773e-05
resnet,mipvH,TwoLeadECG,178,0.6988586187362671,0.6988585591316223,1.1491669416427612,0.95652174949646,0.9565216898918152,0.24376662075519562
resnet,mipvH,TwoPatterns,759,0.9992499947547913,0.9992499351501465,0.0013712606159970164,1.0,1.0,5.663131560140755e-06
resnet,mipvH,UMD,173,0.5555555820465088,0.555555522441864,2.167517900466919,0.6666666865348816,0.6666666269302368,1.545894742012024
resnet,mipvH,UWaveGestureLibraryAll,1568,0.7166387438774109,0.7166386842727661,3.1357836723327637,0.7823660969734192,0.7823660373687744,1.6218091249465942
resnet,mipvH,UWaveGestureLibraryX,864,0.5304298996925354,0.5304298400878906,1.7623282670974731,0.6183035969734192,0.6183035373687744,1.2291486263275146
resnet,mipvH,UWaveGestureLibraryY,870,0.5259631276130676,0.5259630680084229,2.067828893661499,0.5993303656578064,0.5993303060531616,1.4613929986953735
resnet,mipvH,UWaveGestureLibraryZ,886,0.5242881178855896,0.5242880582809448,1.7794519662857056,0.6428571343421936,0.6428570747375488,1.103551983833313
resnet,mipvH,Wafer,792,0.9823166728019714,0.9823166131973267,0.1320330798625946,0.9980000257492065,0.9979999661445618,0.007681159768253565
resnet,mipvH,Wine,201,0.5370370149612427,0.5370369553565979,0.7585272789001465,0.6140350699424744,0.6140350103378296,0.7954035997390747
resnet,mipvH,WordSynonyms,329,0.36520376801490784,0.36520370841026306,4.827038764953613,0.6217228174209595,0.6217227578163147,1.5168193578720093
resnet,mipvH,Worms,391,0.33766233921051025,0.3376622796058655,9.928922653198242,0.4861878454685211,0.48618778586387634,4.053990840911865
resnet,mipvH,WormsTwoClass,382,0.5584415793418884,0.5584415197372437,6.8439459800720215,0.7458563446998596,0.7458563446998596,2.2210500240325928
resnet,mipvH,Yoga,362,0.6266666650772095,0.6266666054725647,1.4247099161148071,0.6966666579246521,0.6966665983200073,1.0156303644180298
