model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mipvS,ACSF1,331,0.03999999910593033,0.03999995067715645,14.928985595703125,0.10000000149011612,0.09999995678663254,14.426126480102539
resnet,mipvS,Adiac,369,0.15856777131557465,0.15856772661209106,3.9731640815734863,0.1487179547548294,0.14871791005134583,3.5464580059051514
resnet,mipvS,AllGestureWiimoteX,415,0.34142857789993286,0.3414285182952881,3.5304949283599854,0.4233333468437195,0.4233332872390747,2.389425754547119
resnet,mipvS,AllGestureWiimoteY,417,0.3285714387893677,0.3285713791847229,5.162230491638184,0.43666666746139526,0.4366666078567505,3.0026373863220215
resnet,mipvS,AllGestureWiimoteZ,421,0.23999999463558197,0.2399999499320984,5.603811264038086,0.3266666531562805,0.32666659355163574,4.211569786071777
resnet,mipvS,ArrowHead,179,0.34857141971588135,0.3485713601112366,4.461844444274902,0.1388888955116272,0.13888885080814362,4.0239996910095215
resnet,mipvS,Beef,178,0.4333333373069763,0.43333327770233154,10.140652656555176,0.3333333432674408,0.333333283662796,11.972537994384766
resnet,mipvS,BeetleFly,169,0.44999998807907104,0.44999992847442627,5.21604585647583,0.699999988079071,0.6999999284744263,0.7287699580192566
resnet,mipvS,BirdChicken,169,0.5,0.4999999403953552,5.482062339782715,0.550000011920929,0.5499999523162842,2.4688727855682373
resnet,mipvS,BME,154,0.8933333158493042,0.8933331966400146,0.6973580718040466,0.9666666388511658,0.966666579246521,0.09971124678850174
resnet,mipvS,Car,203,0.5166666507720947,0.51666659116745,5.893101215362549,0.6166666746139526,0.6166666150093079,3.734602689743042
resnet,mipvS,CBF,152,0.800000011920929,0.800000011920929,1.4246126413345337,0.800000011920929,0.800000011920929,1.5234652757644653
resnet,mipvS,Chinatown,149,0.8833819031715393,0.8833817839622498,0.3107950985431671,0.949999988079071,0.9499999284744263,0.32894086837768555
resnet,mipvS,ChlorineConcentration,421,0.4749999940395355,0.47499993443489075,1.7426815032958984,0.479657381772995,0.4796573221683502,1.5304665565490723
resnet,mipvS,CinCECGTorso,229,0.29855072498321533,0.29855066537857056,44.490379333496094,0.44999998807907104,0.44999992847442627,25.569839477539062
resnet,mipvS,Coffee,194,0.6071428656578064,0.6071428060531616,1.6378387212753296,0.7857142686843872,0.7857141494750977,0.8655388951301575
resnet,mipvS,Computers,442,0.6320000290870667,0.6319999694824219,2.257924795150757,0.6639999747276306,0.6639999151229858,1.9642553329467773
resnet,mipvS,CricketX,431,0.2461538463830948,0.2461538016796112,5.5661725997924805,0.3461538553237915,0.34615379571914673,3.5989279747009277
resnet,mipvS,CricketY,432,0.2589743733406067,0.2589743137359619,3.653428316116333,0.3384615480899811,0.3384614884853363,2.7218027114868164
resnet,mipvS,CricketZ,431,0.2102564126253128,0.21025636792182922,5.121497631072998,0.3153846263885498,0.31538456678390503,3.4699344635009766
resnet,mipvS,Crop,4201,0.5080952644348145,0.5080952048301697,1.68500816822052,0.5441666841506958,0.544166624546051,1.5421169996261597
resnet,mipvS,DiatomSizeReduction,209,0.7941176295280457,0.7941175699234009,0.7912638187408447,0.75,0.7499999403953552,0.40723752975463867
resnet,mipvS,DistalPhalanxOutlineAgeGroup,314,0.6402877569198608,0.6402876973152161,1.049058437347412,0.7475000023841858,0.747499942779541,0.6793514490127563
resnet,mipvS,DistalPhalanxOutlineCorrect,447,0.6739130616188049,0.6739130020141602,0.6476294994354248,0.8033333420753479,0.8033332824707031,0.4801197350025177
resnet,mipvS,DistalPhalanxTW,319,0.6043165326118469,0.6043164730072021,1.0636276006698608,0.7475000023841858,0.747499942779541,0.6593000292778015
resnet,mipvS,DodgerLoopDay,216,0.512499988079071,0.5124999284744263,4.398842811584473,0.6153846383094788,0.615384578704834,3.1530115604400635
resnet,mipvS,DodgerLoopGame,161,0.6449275612831116,0.6449275016784668,2.3194103240966797,0.6000000238418579,0.5999999642372131,1.4151699542999268
resnet,mipvS,DodgerLoopWeekend,163,0.9420289993286133,0.9420289397239685,1.8768898248672485,1.0,1.0,0.0
resnet,mipvS,Earthquakes,449,0.6618704795837402,0.6618704199790955,2.093985080718994,0.7670807242393494,0.7670806646347046,1.249298334121704
resnet,mipvS,ECG200,169,0.7200000286102295,0.7199999094009399,1.077479362487793,0.7699999809265137,0.7699999213218689,0.6074894070625305
resnet,mipvS,ECG5000,430,0.8899999856948853,0.8899999260902405,0.8734418153762817,0.9079999923706055,0.9079999327659607,0.44549721479415894
