model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mpvH,ACSF1,350,0.949999988079071,0.9499999284744263,0.35795730352401733,1.0,1.0,0.0002993764355778694
resnet,mpvH,Adiac,399,0.8184143304824829,0.8184142708778381,0.9652858376502991,1.0,1.0,9.539633538224734e-06
resnet,mpvH,AllGestureWiimoteX,421,0.6785714030265808,0.678571343421936,3.1484262943267822,1.0,1.0,9.096065696212463e-06
resnet,mpvH,AllGestureWiimoteY,436,0.7057142853736877,0.705714225769043,2.3541674613952637,1.0,1.0,8.429250010522082e-05
resnet,mpvH,AllGestureWiimoteZ,414,0.645714282989502,0.6457142233848572,3.377548933029175,1.0,1.0,7.148431905079633e-05
resnet,mpvH,ArrowHead,195,0.7885714173316956,0.7885713577270508,1.1839338541030884,1.0,1.0,6.622737913630772e-09
resnet,mpvH,Beef,187,0.6333333253860474,0.6333332657814026,2.8805043697357178,1.0,1.0,9.012129339680541e-06
resnet,mpvH,BeetleFly,184,0.800000011920929,0.800000011920929,1.4909664392471313,1.0,1.0,1.2040120509482222e-06
resnet,mpvH,BirdChicken,201,0.800000011920929,0.800000011920929,1.2810789346694946,1.0,1.0,5.102114755572984e-06
resnet,mpvH,BME,195,0.9666666388511658,0.966666579246521,0.07654386013746262,1.0,1.0,6.755191606089284e-08
resnet,mpvH,Car,218,0.8999999761581421,0.8999999165534973,0.4056228995323181,1.0,1.0,5.245188276603585e-06
resnet,mpvH,CBF,180,1.0,1.0,0.001268630614504218,1.0,1.0,1.192092824453539e-08
resnet,mpvH,Chinatown,179,0.9766764044761658,0.976676344871521,0.2010233998298645,1.0,1.0,1.192092824453539e-08
resnet,mpvH,ChlorineConcentration,434,0.828125,0.8281249403953552,1.2126654386520386,1.0,1.0,1.1857911886181682e-05
resnet,mpvH,CinCECGTorso,245,0.8094202876091003,0.8094202280044556,1.0511937141418457,1.0,1.0,5.8495596022112295e-05
resnet,mpvH,Coffee,221,1.0,1.0,0.00028416651184670627,1.0,1.0,1.277242311914506e-08
