model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mpvS,ACSF1,340,0.8999999761581421,0.8999999165534973,0.29766491055488586,0.9900000095367432,0.9899999499320984,0.014112329110503197
resnet,mpvS,Adiac,369,0.6317135691642761,0.6317135095596313,1.230542778968811,0.692307710647583,0.6923076510429382,0.9244329929351807
resnet,mpvS,AllGestureWiimoteX,419,0.6657142639160156,0.6657142043113708,1.3082809448242188,0.9933333396911621,0.9933332800865173,0.12184453010559082
resnet,mpvS,AllGestureWiimoteY,417,0.6985714435577393,0.6985713839530945,1.1297986507415771,0.9800000190734863,0.9799999594688416,0.107953742146492
resnet,mpvS,AllGestureWiimoteZ,424,0.6657142639160156,0.6657142043113708,1.2338285446166992,0.8700000047683716,0.8699999451637268,0.41050899028778076
resnet,mpvS,ArrowHead,186,0.4171428680419922,0.4171428084373474,1.5779637098312378,0.6944444179534912,0.6944443583488464,0.6733631491661072
resnet,mpvS,Beef,178,0.5,0.4999999403953552,1.06520414352417,0.7333333492279053,0.7333332896232605,0.7793591022491455
resnet,mpvS,BeetleFly,185,0.8500000238418579,0.8499999642372131,0.4493662416934967,1.0,1.0,0.00010667410970199853
resnet,mpvS,BirdChicken,180,1.0,1.0,0.03072894737124443,1.0,1.0,6.573247810592875e-05
resnet,mpvS,BME,163,0.9666666388511658,0.966666579246521,0.16182921826839447,1.0,1.0,0.07671003043651581
resnet,mpvS,Car,207,0.699999988079071,0.6999999284744263,0.625896155834198,0.8666666746139526,0.8666666150093079,0.3586435914039612
resnet,mpvS,CBF,162,1.0,1.0,0.0008160587749443948,1.0,1.0,3.198766989953583e-06
resnet,mpvS,Chinatown,148,0.9825072884559631,0.9825072288513184,0.08552557229995728,1.0,1.0,0.02018681727349758
resnet,mpvS,ChlorineConcentration,422,0.5770833492279053,0.5770832896232605,1.0474776029586792,0.6124197244644165,0.6124196648597717,0.8500949144363403
resnet,mpvS,CinCECGTorso,236,0.613043487071991,0.6130434274673462,1.9821667671203613,1.0,1.0,0.02937067113816738
resnet,mpvS,Coffee,206,1.0,1.0,0.010843014344573021,1.0,1.0,0.00047316032578237355
resnet,mpvS,Computers,435,0.7599999904632568,0.7599999308586121,0.4992028474807739,0.8640000224113464,0.8639999628067017,0.29548361897468567
resnet,mpvS,CricketX,437,0.7102563977241516,0.7102563381195068,0.937735378742218,0.9948717951774597,0.9948717355728149,0.0673614963889122
resnet,mpvS,CricketY,436,0.7410256266593933,0.7410255670547485,0.9601401090621948,1.0,1.0,0.03667367622256279
resnet,mpvS,CricketZ,432,0.7333333492279053,0.7333332896232605,0.7629005908966064,0.971794843673706,0.9717947840690613,0.14367538690567017
resnet,mpvS,Crop,4138,0.6903571486473083,0.6903570890426636,1.0771225690841675,0.8287500143051147,0.82874995470047,0.5080258250236511
resnet,mpvS,DiatomSizeReduction,282,0.656862735748291,0.6568626761436462,1.308091402053833,0.75,0.7499999403953552,1.3858705759048462
resnet,mpvS,DistalPhalanxOutlineAgeGroup,310,0.7338129281997681,0.7338128685951233,0.5729231834411621,0.8675000071525574,0.8674999475479126,0.3123764097690582
resnet,mpvS,DistalPhalanxOutlineCorrect,445,0.7789855003356934,0.7789855003356934,0.49584120512008667,0.8883333206176758,0.888333261013031,0.28264620900154114
resnet,mpvS,DistalPhalanxTW,323,0.6762589812278748,0.67625892162323,0.791416585445404,0.8199999928474426,0.8199999332427979,0.46882858872413635
resnet,mpvS,DodgerLoopDay,214,0.5375000238418579,0.5374999642372131,1.2697727680206299,0.9102563858032227,0.9102563261985779,0.43249189853668213
resnet,mpvS,DodgerLoopGame,165,0.8695651888847351,0.8695651292800903,0.4798286557197571,1.0,1.0,0.0004683926817961037
resnet,mpvS,DodgerLoopWeekend,166,0.95652174949646,0.9565216898918152,0.6661813259124756,1.0,1.0,3.0577091365557862e-06
resnet,mpvS,Earthquakes,457,0.7338129281997681,0.7338128685951233,0.8680111169815063,0.9906832575798035,0.9906831979751587,0.07557512074708939
resnet,mpvS,ECG200,173,0.8600000143051147,0.85999995470047,0.7197170853614807,1.0,1.0,0.0005095688393339515
resnet,mpvS,ECG5000,433,0.9366666674613953,0.9366666078567505,0.296702116727829,0.9800000190734863,0.9799999594688416,0.0571863017976284
resnet,mpvS,ECGFiveDays,175,0.8466898798942566,0.8466898798942566,0.4421009123325348,1.0,1.0,0.11232564598321915
resnet,mpvS,ElectricDevices,5429,0.7233821749687195,0.7233821153640747,1.9224815368652344,0.9231458902359009,0.9231458902359009,0.22043785452842712
resnet,mpvS,EOGHorizontalSignal,808,0.5027624368667603,0.5027623772621155,2.261850595474243,0.980663001537323,0.9806629419326782,0.11912272870540619
resnet,mpvS,EOGVerticalSignal,813,0.4419889450073242,0.44198888540267944,3.0981225967407227,0.980663001537323,0.9806629419326782,0.1019134446978569
resnet,mpvS,EthanolLevel,1325,0.593999981880188,0.5939999222755432,0.9583995938301086,0.64682537317276,0.6468253135681152,0.9369849562644958
resnet,mpvS,FaceAll,463,0.7781065106391907,0.7781064510345459,1.6891133785247803,1.0,1.0,0.0008143414161168039
resnet,mpvS,FaceFour,193,0.875,0.8749999403953552,0.5732119679450989,1.0,1.0,0.0007985261618159711
