model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvH,ACSF1,363,0.699999988079071,0.6999999284744263,0.7599335312843323,0.7599999904632568,0.7599999308586121,0.6898905038833618
resnet,ppvH,Adiac,432,0.6138107180595398,0.613810658454895,1.5553295612335205,0.7435897588729858,0.7435896396636963,1.4023081064224243
resnet,ppvH,AllGestureWiimoteX,438,0.3700000047683716,0.3699999451637268,1.8898519277572632,0.49666666984558105,0.4966666102409363,1.4942172765731812
resnet,ppvH,AllGestureWiimoteY,439,0.3700000047683716,0.3699999451637268,1.8352638483047485,0.5533333420753479,0.5533332824707031,1.2845529317855835
resnet,ppvH,AllGestureWiimoteZ,435,0.334285706281662,0.3342856466770172,1.845510721206665,0.44999998807907104,0.44999992847442627,1.6338226795196533
resnet,ppvH,ArrowHead,191,0.5542857050895691,0.5542856454849243,0.8556742668151855,0.75,0.7499999403953552,0.6337378621101379
resnet,ppvH,Beef,189,0.4333333373069763,0.43333327770233154,1.198632001876831,0.5333333611488342,0.5333333015441895,1.1088824272155762
resnet,ppvH,BeetleFly,183,0.8500000238418579,0.8499999642372131,0.5240139961242676,0.800000011920929,0.800000011920929,0.45883917808532715
resnet,ppvH,BirdChicken,176,1.0,1.0,0.39697468280792236,1.0,1.0,0.3415054976940155
resnet,ppvH,BME,159,0.6466666460037231,0.6466665863990784,0.654321551322937,0.800000011920929,0.800000011920929,0.5639045834541321
resnet,ppvH,Car,227,0.6333333253860474,0.6333332657814026,1.0728591680526733,0.8833333253860474,0.8833332657814026,0.8255663514137268
resnet,ppvH,CBF,160,0.7911111116409302,0.7911111116409302,0.6662346124649048,0.9333333373069763,0.9333332777023315,0.5245105028152466
resnet,ppvH,Chinatown,156,0.9475218653678894,0.9475218057632446,0.29359275102615356,1.0,1.0,0.212930366396904
resnet,ppvH,ChlorineConcentration,446,0.553906261920929,0.5539062023162842,0.9988663196563721,0.5824410915374756,0.5824410319328308,0.9289510250091553
resnet,ppvH,CinCECGTorso,242,0.5985507369041443,0.5985506772994995,0.9972499012947083,0.7250000238418579,0.7249999642372131,0.7566371560096741
resnet,ppvH,Coffee,206,0.8928571343421936,0.8928570747375488,0.5587376952171326,0.9285714030265808,0.928571343421936,0.5213668346405029
resnet,ppvH,Computers,458,0.6759999990463257,0.6759999394416809,0.5906934142112732,0.843999981880188,0.8439998626708984,0.45201635360717773
resnet,ppvH,CricketX,462,0.5692307949066162,0.5692307353019714,1.3769309520721436,0.6820513010025024,0.6820512413978577,1.0537253618240356
resnet,ppvH,CricketY,462,0.5256410241127014,0.5256409645080566,1.3709701299667358,0.6769230961799622,0.6769230365753174,1.0848660469055176
resnet,ppvH,CricketZ,468,0.6230769157409668,0.623076856136322,1.2213504314422607,0.7102563977241516,0.7102563381195068,0.9931447505950928
resnet,ppvH,Crop,4438,0.5803571343421936,0.5803570747375488,1.3393357992172241,0.6411111354827881,0.6411110758781433,1.1306424140930176
resnet,ppvH,DiatomSizeReduction,260,0.6960784196853638,0.696078360080719,0.838450014591217,0.9375,0.9374999403953552,0.5739337205886841
resnet,ppvH,DistalPhalanxOutlineAgeGroup,329,0.7410072088241577,0.7410071492195129,0.5735383629798889,0.8650000095367432,0.8649999499320984,0.31795763969421387
resnet,ppvH,DistalPhalanxOutlineCorrect,475,0.7644927501678467,0.7644926905632019,0.507835328578949,0.8533333539962769,0.8533332347869873,0.35317152738571167
resnet,ppvH,DistalPhalanxTW,342,0.6762589812278748,0.67625892162323,0.843715488910675,0.8075000047683716,0.8074999451637268,0.4873946011066437
resnet,ppvH,DodgerLoopDay,229,0.4749999940395355,0.47499993443489075,1.5604307651519775,0.6025640964508057,0.6025640368461609,1.4544239044189453
resnet,ppvH,DodgerLoopGame,165,0.6231883764266968,0.623188316822052,0.644951581954956,0.8500000238418579,0.8499999642372131,0.5494018793106079
resnet,ppvH,DodgerLoopWeekend,164,0.8913043737411499,0.8913043141365051,0.4898453950881958,0.949999988079071,0.9499999284744263,0.42618733644485474
resnet,ppvH,Earthquakes,468,0.7482014298439026,0.7482013702392578,0.5230150818824768,0.8198757767677307,0.8198757171630859,0.4363287091255188
resnet,ppvH,ECG200,177,0.7799999713897705,0.779999852180481,0.4565330147743225,0.8399999737739563,0.8399999141693115,0.366595983505249
resnet,ppvH,ECG5000,458,0.9200000166893005,0.9199999570846558,0.3258996605873108,0.9399999976158142,0.9399999380111694,0.21839196979999542
resnet,ppvH,ECGFiveDays,179,0.6492450833320618,0.649245023727417,0.5641555190086365,0.8260869383811951,0.8260869383811951,0.3638308048248291
resnet,ppvH,ElectricDevices,5718,0.6051095724105835,0.6051095128059387,1.5519709587097168,0.7956531643867493,0.7956531047821045,0.6102231740951538
resnet,ppvH,EOGHorizontalSignal,868,0.3425414264202118,0.342541366815567,1.864696741104126,0.6325966715812683,0.6325966119766235,1.0996630191802979
resnet,ppvH,EOGVerticalSignal,869,0.34530386328697205,0.34530380368232727,2.1812703609466553,0.6325966715812683,0.6325966119766235,1.1460890769958496
resnet,ppvH,EthanolLevel,1448,0.3319999873638153,0.33199992775917053,1.3574210405349731,0.454365074634552,0.4543650150299072,1.267366886138916
resnet,ppvH,FaceAll,510,0.6798816323280334,0.6798815727233887,2.0243232250213623,0.9464285969734192,0.9464285373687744,0.3647611737251282
resnet,ppvH,FaceFour,189,0.6477272510528564,0.6477271914482117,0.984467089176178,0.75,0.7499999403953552,0.8381936550140381
resnet,ppvH,FacesUCR,272,0.742926836013794,0.7429267764091492,1.0114737749099731,0.9449999928474426,0.9449999332427979,0.5203386545181274
resnet,ppvH,FiftyWords,509,0.47252747416496277,0.472527414560318,1.987144112586975,0.6577777862548828,0.657777726650238,1.3591794967651367
resnet,ppvH,Fish,337,0.822857141494751,0.8228570818901062,0.809614896774292,0.8857142925262451,0.8857142329216003,0.7150573134422302
resnet,ppvH,FordA,4256,0.8727272748947144,0.8727272152900696,0.29506465792655945,0.878089427947998,0.8780893683433533,0.29658281803131104
resnet,ppvH,FordB,4273,0.6839506030082703,0.6839505434036255,0.5502924919128418,0.8916391730308533,0.8916391134262085,0.26205816864967346
resnet,ppvH,FreezerRegularTrain,226,0.8578947186470032,0.8578946590423584,0.35266855359077454,0.9066666960716248,0.90666663646698,0.24436195194721222
resnet,ppvH,FreezerSmallTrain,198,0.7557894587516785,0.7557893991470337,0.5589480996131897,0.8928571343421936,0.8928570747375488,0.2994179129600525
resnet,ppvH,Fungi,362,0.17204301059246063,0.17204296588897705,3.1885533332824707,0.2222222238779068,0.22222217917442322,2.816256284713745
resnet,ppvH,GestureMidAirD1,293,0.4769230782985687,0.47692301869392395,1.6993058919906616,0.7932692170143127,0.793269157409668,0.8789825439453125
resnet,ppvH,GestureMidAirD2,288,0.5076923370361328,0.507692277431488,1.4394187927246094,0.7067307829856873,0.7067307233810425,1.0359209775924683
resnet,ppvH,GestureMidAirD3,291,0.20769231021404266,0.20769228041172028,2.8515625,0.5240384340286255,0.5240383744239807,1.6000252962112427
resnet,ppvH,GesturePebbleZ1,267,0.6686046719551086,0.6686046123504639,0.8714684844017029,0.8863636255264282,0.8863635659217834,0.4042342007160187
resnet,ppvH,GesturePebbleZ2,268,0.7088607549667358,0.7088606357574463,0.6944318413734436,0.8424657583236694,0.8424656987190247,0.49734169244766235
