model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvHste,ACSF1,355,0.8799999952316284,0.8799999356269836,0.48803046345710754,0.9700000286102295,0.9699999690055847,0.12123151123523712
resnet,ppvHste,Adiac,362,0.8439897894859314,0.8439897298812866,0.4943670928478241,1.0,1.0,6.655515608144924e-05
resnet,ppvHste,AllGestureWiimoteX,397,0.6700000166893005,0.6699999570846558,1.154561996459961,1.0,1.0,0.004794546402990818
resnet,ppvHste,AllGestureWiimoteY,391,0.7371428608894348,0.73714280128479,0.8328367471694946,1.0,1.0,0.0053264242596924305
resnet,ppvHste,AllGestureWiimoteZ,389,0.6714285612106323,0.6714285016059875,0.9551229476928711,1.0,1.0,0.006910509895533323
resnet,ppvHste,ArrowHead,166,0.8342857360839844,0.8342856764793396,0.4634908139705658,1.0,1.0,0.030106114223599434
resnet,ppvHste,Beef,168,0.7333333492279053,0.7333332896232605,0.6769186854362488,1.0,1.0,0.037042196840047836
resnet,ppvHste,BeetleFly,155,0.8999999761581421,0.8999999165534973,0.3379558026790619,1.0,1.0,0.06349389255046844
resnet,ppvHste,BirdChicken,168,0.8500000238418579,0.8499999642372131,0.34125080704689026,1.0,1.0,0.10105276107788086
resnet,ppvHste,BME,147,0.7733333110809326,0.7733332514762878,0.44084087014198303,0.8333333134651184,0.8333332538604736,0.2968786358833313
resnet,ppvHste,Car,183,0.8999999761581421,0.8999999165534973,0.30211782455444336,1.0,1.0,0.0008544067968614399
resnet,ppvHste,CBF,143,0.9944444298744202,0.9944443702697754,0.04467852786183357,1.0,1.0,0.005628420040011406
resnet,ppvHste,Chinatown,135,0.9737609624862671,0.9737609028816223,0.07392097264528275,1.0,1.0,0.007640921976417303
resnet,ppvHste,ChlorineConcentration,388,0.8226562738418579,0.8226562142372131,0.7863170504570007,1.0,1.0,0.0016213319031521678
resnet,ppvHste,CinCECGTorso,214,0.8079710006713867,0.8079709410667419,0.6806334853172302,1.0,1.0,0.03709811717271805
resnet,ppvHste,Coffee,180,1.0,1.0,0.1170521005988121,1.0,1.0,0.0469207689166069
resnet,ppvHste,Computers,399,0.8119999766349792,0.8119999170303345,0.9116987586021423,1.0,1.0,0.00483962707221508
resnet,ppvHste,CricketX,380,0.7743589878082275,0.7743589282035828,0.7335143089294434,1.0,1.0,5.262516424409114e-05
resnet,ppvHste,CricketY,376,0.8102564215660095,0.8102563619613647,0.587325930595398,1.0,1.0,4.4270687794778496e-05
resnet,ppvHste,CricketZ,373,0.7923076748847961,0.7923076152801514,0.6266319155693054,1.0,1.0,7.731876394245774e-05
resnet,ppvHste,Crop,3578,0.7407737970352173,0.7407737374305725,2.6133980751037598,1.0,1.0,1.7815157349332367e-08
resnet,ppvHste,DiatomSizeReduction,187,0.3006536066532135,0.3006535470485687,1.3285372257232666,0.375,0.3749999403953552,1.230826497077942
resnet,ppvHste,DistalPhalanxOutlineAgeGroup,304,0.7122302055358887,0.7122301459312439,2.2782673835754395,1.0,1.0,3.8149955798871815e-05
resnet,ppvHste,DistalPhalanxOutlineCorrect,418,0.7681159377098083,0.7681159377098083,1.7334047555923462,1.0,1.0,4.597409497364424e-05
resnet,ppvHste,DistalPhalanxTW,298,0.6762589812278748,0.67625892162323,1.910599708557129,1.0,1.0,9.645569662097842e-06
resnet,ppvHste,DodgerLoopDay,202,0.3375000059604645,0.3374999463558197,1.9027957916259766,1.0,1.0,0.004055012948811054
resnet,ppvHste,DodgerLoopGame,147,0.6811594367027283,0.6811593770980835,0.5735640525817871,1.0,1.0,0.008273990824818611
resnet,ppvHste,DodgerLoopWeekend,151,0.9492753744125366,0.9492753148078918,0.24487146735191345,1.0,1.0,0.0032694642432034016
resnet,ppvHste,Earthquakes,401,0.7194244861602783,0.7194243669509888,1.4903779029846191,1.0,1.0,0.0016111332224681973
resnet,ppvHste,ECG200,176,0.8199999928474426,0.8199999332427979,0.8513699173927307,1.0,1.0,0.0007218332029879093
resnet,ppvHste,ECG5000,393,0.9337777495384216,0.9337776899337769,0.4032450318336487,1.0,1.0,0.00014188313798513263
resnet,ppvHste,ECGFiveDays,163,0.9361208081245422,0.9361207485198975,0.21273520588874817,1.0,1.0,0.04599253460764885
resnet,ppvHste,ElectricDevices,4794,0.7009466886520386,0.7009466290473938,4.120987415313721,0.993502140045166,0.9935020804405212,0.01654752716422081
resnet,ppvHste,EOGHorizontalSignal,739,0.41988950967788696,0.4198894500732422,1.929831862449646,1.0,1.0,0.007503391709178686
resnet,ppvHste,EOGVerticalSignal,751,0.37016573548316956,0.3701656758785248,2.73899507522583,1.0,1.0,0.0010766804916784167
resnet,ppvHste,EthanolLevel,1309,0.6460000276565552,0.6459999680519104,0.8375742435455322,1.0,1.0,0.01284057553857565
resnet,ppvHste,FaceAll,420,0.8426035642623901,0.8426035046577454,0.8517367243766785,1.0,1.0,9.792190169832793e-09
resnet,ppvHste,FaceFour,166,0.9545454382896423,0.9545453786849976,0.25451457500457764,1.0,1.0,0.017898298799991608
resnet,ppvHste,FacesUCR,232,0.9560975432395935,0.9560974836349487,0.15750233829021454,1.0,1.0,4.637818165065255e-06
resnet,ppvHste,FiftyWords,433,0.7010989189147949,0.7010988593101501,1.0669280290603638,1.0,1.0,0.0017027652356773615
resnet,ppvHste,Fish,287,0.977142870426178,0.9771428108215332,0.048352062702178955,1.0,1.0,3.211146395187825e-05
resnet,ppvHste,FordA,3626,0.925000011920929,0.9249999523162842,0.2755732536315918,1.0,1.0,0.0005158039857633412
