model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvHste_mpvH_mipvH,ACSF1,342,0.7400000095367432,0.7399999499320984,18.30340003967285,0.9200000166893005,0.9199999570846558,2.613292932510376
resnet,ppvHste_mpvH_mipvH,Adiac,376,0.7263427376747131,0.7263426780700684,1.7515344619750977,0.9794871807098389,0.9794871211051941,0.05688665434718132
resnet,ppvHste_mpvH_mipvH,AllGestureWiimoteX,428,0.6600000262260437,0.6599999666213989,4.4347100257873535,1.0,1.0,7.197476952569559e-05
resnet,ppvHste_mpvH_mipvH,AllGestureWiimoteY,423,0.6985714435577393,0.6985713839530945,4.90540075302124,0.9933333396911621,0.9933332800865173,0.018582383170723915
resnet,ppvHste_mpvH_mipvH,AllGestureWiimoteZ,433,0.5928571224212646,0.5928570628166199,2.323695182800293,1.0,1.0,0.012781210243701935
resnet,ppvHste_mpvH_mipvH,ArrowHead,188,0.7028571367263794,0.7028570771217346,3.219857692718506,1.0,1.0,6.258435973904852e-07
resnet,ppvHste_mpvH_mipvH,Beef,181,0.5666666626930237,0.5666666030883789,9.291601181030273,0.800000011920929,0.800000011920929,1.5514956712722778
resnet,ppvHste_mpvH_mipvH,BeetleFly,179,0.6499999761581421,0.6499999165534973,6.714930534362793,1.0,1.0,0.001397392014041543
resnet,ppvHste_mpvH_mipvH,BirdChicken,172,0.8500000238418579,0.8499999642372131,5.448824882507324,0.949999988079071,0.9499999284744263,0.8725452423095703
resnet,ppvHste_mpvH_mipvH,BME,154,1.0,1.0,0.005529061891138554,1.0,1.0,2.384185116000026e-08
resnet,ppvHste_mpvH_mipvH,Car,213,0.8500000238418579,0.8499999642372131,3.4064548015594482,1.0,1.0,0.0008326931274496019
resnet,ppvHste_mpvH_mipvH,CBF,157,0.9811111092567444,0.9811110496520996,0.14763157069683075,0.9666666388511658,0.966666579246521,0.025158610194921494
resnet,ppvHste_mpvH_mipvH,Chinatown,167,0.9766764044761658,0.976676344871521,0.17371763288974762,1.0,1.0,1.8477427943253133e-07
resnet,ppvHste_mpvH_mipvH,ChlorineConcentration,438,0.8033854365348816,0.8033853769302368,2.643366575241089,1.0,1.0,1.7026079035531438e-07
resnet,ppvHste_mpvH_mipvH,CinCECGTorso,231,0.5876811742782593,0.5876811146736145,10.267704963684082,0.8500000238418579,0.8499999642372131,1.8352763652801514
resnet,ppvHste_mpvH_mipvH,Coffee,195,0.9642857313156128,0.9642856121063232,0.2889231741428375,1.0,1.0,0.00016723480075597763
resnet,ppvHste_mpvH_mipvH,Computers,436,0.8159999847412109,0.8159999847412109,9.824352264404297,0.9959999918937683,0.9959999322891235,0.026315294206142426
resnet,ppvHste_mpvH_mipvH,CricketX,438,0.6948717832565308,0.694871723651886,5.748316764831543,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,CricketY,436,0.7538461685180664,0.7538461089134216,4.200656890869141,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,CricketZ,429,0.7179487347602844,0.7179486155509949,5.387839317321777,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,Crop,4328,0.7266666889190674,0.7266666293144226,12.892146110534668,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,DiatomSizeReduction,221,0.5196078419685364,0.5196077823638916,3.6925978660583496,0.8125,0.8124999403953552,1.5248430967330933
resnet,ppvHste_mpvH_mipvH,DistalPhalanxOutlineAgeGroup,324,0.6546762585639954,0.6546761989593506,2.4506168365478516,1.0,1.0,1.3647139894601423e-05
resnet,ppvHste_mpvH_mipvH,DistalPhalanxOutlineCorrect,458,0.782608687877655,0.7826086282730103,3.5567359924316406,1.0,1.0,1.3709034796249853e-08
resnet,ppvHste_mpvH_mipvH,DistalPhalanxTW,322,0.6402877569198608,0.6402876973152161,2.906529188156128,1.0,1.0,1.350437833025353e-05
resnet,ppvHste_mpvH_mipvH,DodgerLoopDay,222,0.30000001192092896,0.2999999523162842,10.503082275390625,0.9743589758872986,0.9743589162826538,0.36908239126205444
resnet,ppvHste_mpvH_mipvH,DodgerLoopGame,161,0.8623188138008118,0.862318754196167,2.3166744709014893,1.0,1.0,3.39745355404375e-07
resnet,ppvHste_mpvH_mipvH,DodgerLoopWeekend,162,0.9057971239089966,0.9057970643043518,2.5674355030059814,1.0,1.0,2.384183090953229e-07
resnet,ppvHste_mpvH_mipvH,Earthquakes,448,0.6978417038917542,0.6978416442871094,9.957348823547363,1.0,1.0,7.404299395830094e-09
resnet,ppvHste_mpvH_mipvH,ECG200,173,0.8799999952316284,0.8799999356269836,2.38565731048584,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,ECG5000,440,0.9313333630561829,0.9313333034515381,1.315459132194519,1.0,1.0,1.6140778313911142e-07
resnet,ppvHste_mpvH_mipvH,ECGFiveDays,183,0.765389084815979,0.7653890252113342,1.9823899269104004,1.0,1.0,3.3481524042144883e-06
resnet,ppvHste_mpvH_mipvH,ElectricDevices,5685,0.7075605988502502,0.7075605392456055,12.794976234436035,0.9899170994758606,0.9899170398712158,0.054172076284885406
resnet,ppvHste_mpvH_mipvH,EOGHorizontalSignal,801,0.4806629717350006,0.48066291213035583,12.985087394714355,0.8618784546852112,0.8618783950805664,1.0019276142120361
resnet,ppvHste_mpvH_mipvH,EOGVerticalSignal,797,0.3591160178184509,0.35911598801612854,28.767000198364258,0.8314917087554932,0.8314916491508484,1.9846667051315308
resnet,ppvHste_mpvH_mipvH,EthanolLevel,1315,0.5839999914169312,0.5839999318122864,10.149429321289062,0.6309523582458496,0.6309522986412048,7.5375075340271
resnet,ppvHste_mpvH_mipvH,FaceAll,459,0.7656804919242859,0.7656804323196411,8.000442504882812,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,FaceFour,183,0.8863636255264282,0.8863635659217834,2.7961580753326416,1.0,1.0,4.321220785641344e-06
resnet,ppvHste_mpvH_mipvH,FacesUCR,231,0.8624390363693237,0.862438976764679,1.561616063117981,1.0,1.0,8.404228424296889e-08
resnet,ppvHste_mpvH_mipvH,FiftyWords,476,0.6153846383094788,0.615384578704834,6.19559907913208,0.995555579662323,0.9955555200576782,0.010068846866488457
resnet,ppvHste_mpvH_mipvH,Fish,284,0.868571400642395,0.8685713410377502,1.9564560651779175,0.977142870426178,0.9771428108215332,0.11322056502103806
resnet,ppvHste_mpvH_mipvH,FordA,4034,0.9340909123420715,0.9340908527374268,5.332934856414795,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,FordB,4064,0.8172839283943176,0.8172838687896729,14.516497611999512,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,FreezerRegularTrain,211,0.988771915435791,0.9887718558311462,0.23935210704803467,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,FreezerSmallTrain,198,0.7585964798927307,0.7585964202880859,4.677093982696533,0.75,0.7499999403953552,3.8535499572753906
resnet,ppvHste_mpvH_mipvH,Fungi,241,0.4301075339317322,0.4301074743270874,4.60189962387085,0.5555555820465088,0.555555522441864,2.862607717514038
resnet,ppvHste_mpvH_mipvH,GestureMidAirD1,290,0.42307692766189575,0.423076868057251,13.855030059814453,0.7307692170143127,0.730769157409668,1.8515461683273315
resnet,ppvHste_mpvH_mipvH,GestureMidAirD2,270,0.5461538434028625,0.5461537837982178,7.154396057128906,0.6346153616905212,0.6346153020858765,2.8907485008239746
resnet,ppvHste_mpvH_mipvH,GestureMidAirD3,285,0.2538461685180664,0.25384610891342163,12.216465950012207,0.6586538553237915,0.6586537957191467,1.4476553201675415
resnet,ppvHste_mpvH_mipvH,GesturePebbleZ1,247,0.6744186282157898,0.674418568611145,11.876652717590332,0.9090909361839294,0.9090908765792847,0.9537683725357056
resnet,ppvHste_mpvH_mipvH,GesturePebbleZ2,252,0.6898733973503113,0.6898733377456665,7.217972755432129,0.9589040875434875,0.9589040279388428,0.3838742673397064
resnet,ppvHste_mpvH_mipvH,GunPoint,167,0.9733333587646484,0.9733332991600037,0.225322425365448,1.0,1.0,1.192092646817855e-08
resnet,ppvHste_mpvH_mipvH,GunPointAgeSpan,223,0.9746835231781006,0.9746834635734558,0.25491994619369507,1.0,1.0,8.830317033137192e-10
resnet,ppvHste_mpvH_mipvH,GunPointMaleVersusFemale,203,0.996835470199585,0.9968354105949402,0.00475280499085784,1.0,1.0,9.713346571516013e-09
