model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvS,ACSF1,361,0.9100000262260437,0.9099999666213989,0.3371732234954834,1.0,1.0,0.022409312427043915
resnet,ppvS,Adiac,426,0.695652186870575,0.6956521272659302,0.9437442421913147,0.7846153974533081,0.7846153378486633,0.6884763836860657
resnet,ppvS,AllGestureWiimoteX,452,0.6057142615318298,0.6057142019271851,1.1288095712661743,0.7699999809265137,0.7699999213218689,0.7708213329315186
resnet,ppvS,AllGestureWiimoteY,465,0.6228571534156799,0.6228570938110352,1.1237283945083618,0.8866666555404663,0.8866665959358215,0.4280129373073578
resnet,ppvS,AllGestureWiimoteZ,451,0.38428571820259094,0.38428565859794617,1.5371580123901367,0.49666666984558105,0.4966666102409363,1.3127999305725098
resnet,ppvS,ArrowHead,205,0.6342856884002686,0.6342856287956238,0.8165175318717957,0.5555555820465088,0.555555522441864,0.6517080664634705
resnet,ppvS,Beef,198,0.5333333611488342,0.5333333015441895,1.0665860176086426,0.7333333492279053,0.7333332896232605,0.9126434922218323
resnet,ppvS,BeetleFly,226,0.8500000238418579,0.8499999642372131,0.24843904376029968,1.0,1.0,0.002261493820697069
resnet,ppvS,BirdChicken,218,0.949999988079071,0.9499999284744263,0.09264872223138809,1.0,1.0,9.487929492024705e-05
resnet,ppvS,BME,172,0.7400000095367432,0.7399999499320984,0.4472116231918335,0.9666666388511658,0.966666579246521,0.32020822167396545
resnet,ppvS,Car,263,0.7166666388511658,0.716666579246521,0.6822166442871094,0.8833333253860474,0.8833332657814026,0.4606514573097229
resnet,ppvS,CBF,166,0.996666669845581,0.9966666102409363,0.014641460962593555,1.0,1.0,0.00017689639935269952
resnet,ppvS,Chinatown,157,0.9650145769119263,0.9650145173072815,0.1419619619846344,0.949999988079071,0.9499999284744263,0.08727174997329712
