model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_ppvHste,Fish,202,0.9599999785423279,0.9599999189376831,0.5296701788902283,1.0,1.0,0.00012992325355298817
fcn,gap_ppvHste,PowerCons,215,0.8833333253860474,0.8833332657814026,0.608232855796814,1.0,1.0,0.00014024715346749872
fcn,gap_ppvHste,Worms,124,0.7792207598686218,0.779220700263977,0.7967789769172668,1.0,1.0,0.006422190461307764
fcn,gap_ppvHste,WormsTwoClass,122,0.7272727489471436,0.7272726893424988,0.9900916218757629,1.0,1.0,0.01235092245042324
fcn,gap_ppvHste,FacesUCR,244,0.947804868221283,0.9478048086166382,0.25545260310173035,1.0,1.0,3.1912243230181048e-06
fcn,gap_ppvHste,OSULeaf,225,0.9710744023323059,0.9710743427276611,0.08695884048938751,1.0,1.0,0.00010801415191963315
fcn,gap_ppvHste,GestureMidAirD1,214,0.6769230961799622,0.6769230365753174,1.4852815866470337,1.0,1.0,0.0019783275201916695
fcn,gap_ppvHste,GestureMidAirD2,221,0.607692301273346,0.6076922416687012,1.4071578979492188,0.932692289352417,0.9326922297477722,0.16180631518363953
fcn,gap_ppvHste,GestureMidAirD3,225,0.32307693362236023,0.32307687401771545,3.880913734436035,1.0,1.0,0.015947304666042328
fcn,gap_ppvHste,Phoneme,138,0.3306961953639984,0.33069613575935364,4.638209819793701,1.0,1.0,0.0037610705476254225
fcn,gap_ppvHste,InsectWingbeatSound,237,0.38737374544143677,0.387373685836792,3.2949116230010986,1.0,1.0,0.00023294115089811385
fcn,gap_ppvHste,Computers,139,0.828000009059906,0.8279999494552612,1.915235161781311,1.0,1.0,0.0037316125817596912
fcn,gap_ppvHste,WordSynonyms,266,0.5485893487930298,0.548589289188385,2.7869694232940674,1.0,1.0,0.00041412393329665065
fcn,gap_ppvHste,AllGestureWiimoteX,184,0.7114285826683044,0.7114285230636597,1.6746679544448853,1.0,1.0,7.40432515158318e-05
fcn,gap_ppvHste,AllGestureWiimoteY,196,0.7671428322792053,0.7671427726745605,1.206059217453003,1.0,1.0,5.088524994789623e-05
fcn,gap_ppvHste,AllGestureWiimoteZ,178,0.6757143139839172,0.6757142543792725,1.3872549533843994,1.0,1.0,0.0009429075289517641
fcn,gap_ppvHste,SemgHandGenderCh2,201,0.824999988079071,0.8249999284744263,0.659507155418396,1.0,1.0,0.000109636050183326
fcn,gap_ppvHste,Yoga,252,0.8330000042915344,0.8329999446868896,0.6142347455024719,1.0,1.0,0.0027230342384427786
fcn,gap_ppvHste,Earthquakes,383,0.7482014298439026,0.7482013702392578,1.6327677965164185,1.0,1.0,0.00056118902284652
fcn,gap_ppvHste,EOGHorizontalSignal,210,0.5276243090629578,0.527624249458313,2.286116600036621,1.0,1.0,0.033244919031858444
fcn,gap_ppvHste,EOGVerticalSignal,209,0.43922650814056396,0.4392264485359192,4.291037082672119,1.0,1.0,0.014315793290734291
fcn,gap_ppvHste,LargeKitchenAppliances,168,0.909333348274231,0.9093332886695862,0.4485526382923126,1.0,1.0,0.004152557346969843
fcn,gap_ppvHste,RefrigerationDevices,177,0.5120000243186951,0.5119999647140503,5.966275215148926,1.0,1.0,0.0004996218485757709
fcn,gap_ppvHste,ScreenType,168,0.6133333444595337,0.6133332848548889,2.2085201740264893,0.9973333477973938,0.997333288192749,0.02694699913263321
fcn,gap_ppvHste,SmallKitchenAppliances,166,0.7760000228881836,0.775999903678894,1.295586109161377,0.9359999895095825,0.935999870300293,0.16219568252563477
fcn,gap_ppvHste,MedicalImages,500,0.7526316046714783,0.7526315450668335,1.414833426475525,0.9973753094673157,0.9973752498626709,0.013365104794502258
fcn,gap_ppvHste,Adiac,505,0.8491048812866211,0.8491048216819763,0.5829535126686096,1.0,1.0,0.012208766303956509
fcn,gap_ppvHste,CricketX,464,0.807692289352417,0.8076922297477722,0.8963614702224731,1.0,1.0,2.6041940145660192e-05
fcn,gap_ppvHste,CricketY,463,0.7820512652397156,0.782051146030426,0.7315903306007385,1.0,1.0,6.041969027137384e-05
fcn,gap_ppvHste,CricketZ,482,0.8051282167434692,0.8051281571388245,0.7338472604751587,1.0,1.0,3.3379896194674075e-05
fcn,gap_ppvHste,MiddlePhalanxTW,487,0.4740259647369385,0.4740259051322937,4.098052501678467,1.0,1.0,1.6284029697999358e-05
fcn,gap_ppvHste,DistalPhalanxOutlineAgeGroup,493,0.6978417038917542,0.6978416442871094,2.4461426734924316,1.0,1.0,2.3460268039343646e-06
