model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gru128,Fish,1610,0.5600000023841858,0.559999942779541,3.265897750854492,1.0,1.0,0.00014770065899938345
fcn,gru128,PowerCons,1331,0.9111111164093018,0.911111056804657,0.6289288997650146,1.0,1.0,2.3841845120387006e-07
fcn,gru128,Worms,1118,0.4675324559211731,0.4675323963165283,5.0022406578063965,1.0,1.0,3.0488068659906276e-05
fcn,gru128,WormsTwoClass,1140,0.5584415793418884,0.5584415197372437,5.580659866333008,1.0,1.0,2.180014035957356e-07
fcn,gru128,FacesUCR,1396,0.8453658819198608,0.8453658223152161,1.1002552509307861,1.0,1.0,2.189274709962774e-06
fcn,gru128,OSULeaf,2298,0.5537189841270447,0.5537189245223999,4.754359245300293,1.0,1.0,1.4275289004217484e-06
fcn,gru128,GestureMidAirD1,2744,0.5307692289352417,0.5307691693305969,4.035613536834717,1.0,1.0,0.00019472121493890882
fcn,gru128,GestureMidAirD2,1167,0.6153846383094788,0.615384578704834,2.785519599914551,0.995192289352417,0.9951922297477722,0.007064581383019686
fcn,gru128,GestureMidAirD3,1961,0.23846153914928436,0.23846149444580078,7.626262664794922,1.0,1.0,6.897536513861269e-05
fcn,gru128,Phoneme,1415,0.11867088824510574,0.11867083609104156,8.648015022277832,1.0,1.0,1.4492655282083433e-05
fcn,gru128,InsectWingbeatSound,2296,0.46464645862579346,0.4646463990211487,4.863428592681885,1.0,1.0,1.1571812137844972e-05
fcn,gru128,Computers,1253,0.6600000262260437,0.6599999666213989,2.2680747509002686,1.0,1.0,6.087300425861031e-05
fcn,gru128,WordSynonyms,2865,0.5344827771186829,0.5344827175140381,4.35563850402832,1.0,1.0,1.6457099718536483e-06
fcn,gru128,AllGestureWiimoteX,2081,0.2871428430080414,0.2871427834033966,3.3679988384246826,0.846666693687439,0.8466666340827942,0.469573050737381
fcn,gru128,AllGestureWiimoteY,2035,0.6285714507102966,0.6285713911056519,3.8941259384155273,1.0,1.0,1.770768540154677e-05
fcn,gru128,AllGestureWiimoteZ,2273,0.5185714364051819,0.5185713768005371,3.285449981689453,1.0,1.0,0.0014960771659389138
fcn,gru128,SemgHandGenderCh2,2581,0.6150000095367432,0.6149999499320984,4.730995178222656,1.0,1.0,3.9736428036896143e-10
fcn,gru128,Yoga,4322,0.7976666688919067,0.797666609287262,2.0347893238067627,1.0,1.0,5.900849373574601e-07
fcn,gru128,Earthquakes,1600,0.7410072088241577,0.7410071492195129,3.8081462383270264,1.0,1.0,3.70215164080534e-10
fcn,gru128,EOGHorizontalSignal,2691,0.519336998462677,0.5193369388580322,5.998945236206055,1.0,1.0,3.516999811381538e-07
fcn,gru128,EOGVerticalSignal,2704,0.33149170875549316,0.3314916491508484,8.137141227722168,1.0,1.0,2.6549883841653354e-05
fcn,gru128,LargeKitchenAppliances,1817,0.8880000114440918,0.887999951839447,1.1856915950775146,1.0,1.0,9.635161859478103e-07
fcn,gru128,RefrigerationDevices,2348,0.5093333125114441,0.5093332529067993,7.387548923492432,1.0,1.0,6.993611023631274e-09
fcn,gru128,ScreenType,1951,0.48266667127609253,0.48266661167144775,5.782509803771973,1.0,1.0,1.7407629684385029e-06
fcn,gru128,SmallKitchenAppliances,1861,0.8026666641235352,0.8026666045188904,1.8490409851074219,1.0,1.0,2.067819150397554e-05
fcn,gru128,MedicalImages,2202,0.7355263233184814,0.7355263233184814,2.697160005569458,1.0,1.0,1.4955909932723443e-07
fcn,gru128,Adiac,3089,0.6777493357658386,0.6777492761611938,2.038749933242798,1.0,1.0,9.409451740793884e-05
fcn,gru128,CricketX,4461,0.43589743971824646,0.4358973801136017,4.855069160461426,1.0,1.0,1.12484497094556e-06
fcn,gru128,CricketY,4467,0.44102564454078674,0.44102558493614197,4.8371782302856445,1.0,1.0,3.7385661926236935e-06
fcn,gru128,CricketZ,4485,0.6051282286643982,0.6051281690597534,3.35516095161438,1.0,1.0,2.8515360099845566e-06
fcn,gru128,MiddlePhalanxTW,2139,0.5064935088157654,0.5064934492111206,5.944443702697754,1.0,1.0,8.963103592662947e-10
fcn,gru128,DistalPhalanxOutlineAgeGroup,2250,0.6762589812278748,0.67625892162323,4.165956974029541,1.0,1.0,0.0
