model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,map4,Fish,211,0.977142870426178,0.9771428108215332,0.9190686941146851,1.0,1.0,1.4005722732690629e-05
fcn,map4,PowerCons,221,0.9388889074325562,0.9388888478279114,0.16392262279987335,1.0,1.0,1.6033587826314033e-06
fcn,map4,Worms,125,0.649350643157959,0.6493505835533142,2.090743064880371,1.0,1.0,0.0006993177230469882
fcn,map4,WormsTwoClass,124,0.6623376607894897,0.662337601184845,1.6520506143569946,1.0,1.0,0.0004887940594926476
fcn,map4,FacesUCR,245,0.9624390006065369,0.9624389410018921,0.17862264811992645,1.0,1.0,8.344649415903405e-09
fcn,map4,OSULeaf,223,0.93388432264328,0.9338842630386353,0.33103683590888977,1.0,1.0,1.4079507309361361e-05
fcn,map4,GestureMidAirD1,222,0.699999988079071,0.6999999284744263,2.882852792739868,1.0,1.0,0.00012286905257496983
fcn,map4,GestureMidAirD2,226,0.6769230961799622,0.6769230365753174,2.4561567306518555,0.9903846383094788,0.990384578704834,0.03147459775209427
fcn,map4,GestureMidAirD3,227,0.4076923131942749,0.4076922535896301,7.065126419067383,1.0,1.0,0.00022766782785765827
fcn,map4,Phoneme,140,0.347573846578598,0.34757378697395325,6.559822082519531,1.0,1.0,3.9816204662201926e-05
fcn,map4,InsectWingbeatSound,246,0.521212100982666,0.5212120413780212,3.8296778202056885,1.0,1.0,1.0344106158299837e-06
fcn,map4,Computers,147,0.7760000228881836,0.775999903678894,2.359429121017456,1.0,1.0,3.616639514802955e-05
fcn,map4,WordSynonyms,276,0.6990595459938049,0.6990594863891602,3.093475341796875,1.0,1.0,2.0872730601695366e-06
fcn,map4,AllGestureWiimoteX,223,0.7157142758369446,0.7157142162322998,1.9514132738113403,1.0,1.0,1.8490789443603717e-05
fcn,map4,AllGestureWiimoteY,183,0.7671428322792053,0.7671427726745605,1.6475179195404053,1.0,1.0,5.641723419103073e-06
fcn,map4,AllGestureWiimoteZ,197,0.6928571462631226,0.6928570866584778,2.1101479530334473,1.0,1.0,6.194358866196126e-05
fcn,map4,SemgHandGenderCh2,219,0.8600000143051147,0.85999995470047,0.5471757054328918,1.0,1.0,5.0067900048134106e-08
fcn,map4,Yoga,246,0.8866666555404663,0.8866665959358215,0.7535959482192993,1.0,1.0,2.1266518160700798e-05
fcn,map4,Earthquakes,224,0.7194244861602783,0.7194243669509888,2.5452544689178467,1.0,1.0,1.4697540962060884e-07
fcn,map4,EOGHorizontalSignal,236,0.5828729271888733,0.5828728675842285,4.904898166656494,1.0,1.0,0.00014351692516356707
fcn,map4,EOGVerticalSignal,230,0.4226519465446472,0.42265188694000244,8.628677368164062,1.0,1.0,0.00017174461390823126
fcn,map4,LargeKitchenAppliances,179,0.8826666474342346,0.8826665878295898,1.1577274799346924,1.0,1.0,9.125768883677665e-06
fcn,map4,RefrigerationDevices,178,0.5306666493415833,0.5306665897369385,4.803589344024658,1.0,1.0,6.910544925631257e-06
fcn,map4,ScreenType,179,0.5759999752044678,0.575999915599823,3.3652238845825195,1.0,1.0,0.00018704208196140826
fcn,map4,SmallKitchenAppliances,176,0.7866666913032532,0.7866666913032532,1.5298340320587158,0.9973333477973938,0.997333288192749,0.007203979417681694
fcn,map4,MedicalImages,368,0.7605262994766235,0.7605262398719788,1.8380428552627563,1.0,1.0,7.794136763550341e-05
fcn,map4,Adiac,356,0.8056265711784363,0.8056264519691467,1.3893580436706543,1.0,1.0,0.0006661373190581799
fcn,map4,CricketX,361,0.7564102411270142,0.7564101219177246,1.470710039138794,1.0,1.0,1.4904180716257542e-06
fcn,map4,CricketY,364,0.8487179279327393,0.8487178683280945,0.8150492906570435,1.0,1.0,1.4656593521067407e-06
fcn,map4,CricketZ,363,0.7743589878082275,0.7743589282035828,1.465684413909912,1.0,1.0,1.5032562714623054e-06
fcn,map4,MiddlePhalanxTW,395,0.48701298236846924,0.48701292276382446,5.333583831787109,1.0,1.0,5.703518581867684e-07
fcn,map4,DistalPhalanxOutlineAgeGroup,371,0.7625899314880371,0.7625898718833923,3.0138697624206543,1.0,1.0,1.2457367404294928e-07
