model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,mipvH,Fish,196,0.6285714507102966,0.6285713911056519,1.731536865234375,0.6171428561210632,0.6171427965164185,1.0568748712539673
fcn,mipvH,PowerCons,211,0.8611111044883728,0.861111044883728,0.4510924518108368,1.0,1.0,0.014856668189167976
fcn,mipvH,Worms,120,0.31168830394744873,0.31168824434280396,5.998089790344238,0.7071823477745056,0.7071822881698608,1.1349073648452759
fcn,mipvH,WormsTwoClass,117,0.4935064911842346,0.49350643157958984,4.7297186851501465,0.8618784546852112,0.8618783950805664,0.7718905210494995
fcn,mipvH,FacesUCR,259,0.7970731854438782,0.7970731258392334,1.100531816482544,1.0,1.0,0.0017056844662874937
fcn,mipvH,OSULeaf,220,0.32231405377388,0.32231399416923523,5.121873378753662,0.5699999928474426,0.5699999332427979,1.624705195426941
fcn,mipvH,GestureMidAirD1,219,0.45384615659713745,0.4538460969924927,12.920916557312012,0.8221153616905212,0.8221153616905212,0.5948412418365479
fcn,mipvH,GestureMidAirD2,219,0.4384615421295166,0.4384614825248718,4.3835225105285645,0.7115384340286255,0.7115383148193359,0.7849668264389038
fcn,mipvH,GestureMidAirD3,217,0.1846153885126114,0.1846153438091278,26.56110191345215,0.5817307829856873,0.5817307233810425,2.764887571334839
fcn,mipvH,Phoneme,138,0.1334388256072998,0.13343878090381622,35.82250213623047,0.822429895401001,0.8224298357963562,0.8991276621818542
fcn,mipvH,InsectWingbeatSound,228,0.3308080732822418,0.33080801367759705,4.101222515106201,0.5454545617103577,0.5454545021057129,1.5483630895614624
fcn,mipvH,Computers,143,0.47999998927116394,0.47999992966651917,9.55643367767334,0.6320000290870667,0.6319999694824219,2.596269369125366
fcn,mipvH,WordSynonyms,266,0.37617555260658264,0.37617549300193787,4.9105682373046875,0.7977527976036072,0.7977527379989624,0.6713604927062988
fcn,mipvH,AllGestureWiimoteX,169,0.5299999713897705,0.5299999117851257,3.129411220550537,0.7799999713897705,0.779999852180481,0.5865612626075745
fcn,mipvH,AllGestureWiimoteY,158,0.5600000023841858,0.559999942779541,2.8310654163360596,0.8633333444595337,0.8633332848548889,0.541423499584198
fcn,mipvH,AllGestureWiimoteZ,205,0.4328571557998657,0.43285709619522095,2.232327938079834,0.5733333230018616,0.5733332633972168,1.2224708795547485
fcn,mipvH,SemgHandGenderCh2,190,0.8199999928474426,0.8199999332427979,1.815447211265564,0.996666669845581,0.9966666102409363,0.004670632071793079
fcn,mipvH,Yoga,260,0.6496666669845581,0.6496666073799133,1.0581122636795044,0.7400000095367432,0.7399999499320984,0.7170591950416565
fcn,mipvH,Earthquakes,217,0.7122302055358887,0.7122301459312439,1.6804924011230469,0.9720497131347656,0.9720496535301208,0.054408613592386246
fcn,mipvH,EOGHorizontalSignal,203,0.3591160178184509,0.35911598801612854,6.440932750701904,0.6436464190483093,0.6436463594436646,1.7367768287658691
fcn,mipvH,EOGVerticalSignal,204,0.2513812184333801,0.25138115882873535,27.716218948364258,0.6270717978477478,0.627071738243103,3.32315993309021
fcn,mipvH,LargeKitchenAppliances,167,0.7680000066757202,0.7679999470710754,3.749375581741333,0.9039999842643738,0.903999924659729,0.30743852257728577
fcn,mipvH,RefrigerationDevices,169,0.41066667437553406,0.4106665849685669,4.462780475616455,0.5226666927337646,0.5226666331291199,1.5703883171081543
fcn,mipvH,ScreenType,169,0.3386666774749756,0.3386666178703308,1.9827262163162231,0.48266667127609253,0.48266661167144775,1.1619832515716553
fcn,mipvH,SmallKitchenAppliances,165,0.6426666378974915,0.6426665782928467,2.6387739181518555,0.7306666374206543,0.7306665778160095,0.8058904409408569
fcn,mipvH,MedicalImages,412,0.6657894849777222,0.6657894253730774,1.1348320245742798,0.913385808467865,0.9133857488632202,0.2980542480945587
fcn,mipvH,Adiac,349,0.20971867442131042,0.20971862971782684,3.4172563552856445,0.26153847575187683,0.26153841614723206,2.944110870361328
fcn,mipvH,CricketX,365,0.47948718070983887,0.4794871211051941,3.563654661178589,0.8999999761581421,0.8999999165534973,0.2722679674625397
fcn,mipvH,CricketY,371,0.4153846204280853,0.41538459062576294,3.0731403827667236,0.8512820601463318,0.851282000541687,0.3728901445865631
fcn,mipvH,CricketZ,365,0.4769230782985687,0.47692301869392395,3.582104444503784,0.8871794939041138,0.887179434299469,0.3593674600124359
fcn,mipvH,MiddlePhalanxTW,366,0.551948070526123,0.5519480109214783,1.1112092733383179,0.646616518497467,0.6466164588928223,0.9680729508399963
fcn,mipvH,DistalPhalanxOutlineAgeGroup,351,0.6762589812278748,0.67625892162323,0.8398828506469727,0.8374999761581421,0.8374998569488525,0.3907140791416168
