model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,mpvS,Fish,208,0.6857143044471741,0.6857142448425293,1.0737590789794922,0.7142857313156128,0.7142856121063232,0.8509604930877686
fcn,mpvS,PowerCons,218,0.8777777552604675,0.8777776956558228,0.3918224275112152,0.9944444298744202,0.9944443702697754,0.06072469428181648
fcn,mpvS,Worms,123,0.701298713684082,0.7012986540794373,0.7412996292114258,0.889502763748169,0.8895027041435242,0.4066230058670044
fcn,mpvS,WormsTwoClass,122,0.8181818127632141,0.8181817531585693,0.5336219668388367,0.9558011293411255,0.9558010697364807,0.19044305384159088
fcn,mpvS,FacesUCR,240,0.8917073011398315,0.8917072415351868,0.5136827826499939,1.0,1.0,0.0020517967641353607
fcn,mpvS,OSULeaf,230,0.8429751992225647,0.8429751396179199,0.4394548535346985,0.9950000047683716,0.9949999451637268,0.08477605134248734
fcn,mpvS,GestureMidAirD1,226,0.5461538434028625,0.5461537837982178,1.5028303861618042,0.8605769276618958,0.860576868057251,0.6089640855789185
fcn,mpvS,GestureMidAirD2,219,0.5615384578704834,0.5615383982658386,1.2924753427505493,0.75,0.7499999403953552,0.80599445104599
fcn,mpvS,GestureMidAirD3,228,0.2230769246816635,0.22307687997817993,2.6255173683166504,0.6105769276618958,0.610576868057251,1.3297934532165527
fcn,mpvS,Phoneme,137,0.2832278609275818,0.283227801322937,5.017017841339111,1.0,1.0,0.10170332342386246
fcn,mpvS,InsectWingbeatSound,242,0.38333332538604736,0.3833332657814026,1.8586556911468506,0.7136363387107849,0.7136362791061401,0.9013290405273438
fcn,mpvS,Computers,144,0.7400000095367432,0.7399999499320984,0.640954852104187,0.9079999923706055,0.9079999327659607,0.2282417267560959
fcn,mpvS,WordSynonyms,275,0.462382435798645,0.46238234639167786,2.3969006538391113,0.8689138293266296,0.8689137697219849,0.5624645948410034
fcn,mpvS,AllGestureWiimoteX,238,0.6657142639160156,0.6657142043113708,1.1596057415008545,0.9399999976158142,0.9399999380111694,0.24477797746658325
fcn,mpvS,AllGestureWiimoteY,217,0.6828571557998657,0.682857096195221,1.0567997694015503,0.95333331823349,0.9533332586288452,0.1923815906047821
fcn,mpvS,AllGestureWiimoteZ,234,0.6142857074737549,0.6142856478691101,1.0811759233474731,0.8433333039283752,0.8433332443237305,0.5171985030174255
fcn,mpvS,SemgHandGenderCh2,195,0.9083333611488342,0.9083333015441895,0.28850147128105164,1.0,1.0,0.0022960917558521032
fcn,mpvS,Yoga,248,0.671999990940094,0.6719999313354492,0.6009794473648071,0.7733333110809326,0.7733332514762878,0.4891521632671356
fcn,mpvS,Earthquakes,249,0.7625899314880371,0.7625898718833923,0.5691503882408142,0.8695651888847351,0.8695651292800903,0.29882991313934326
fcn,mpvS,EOGHorizontalSignal,203,0.4944751262664795,0.4944750666618347,1.9428694248199463,0.9779005646705627,0.977900505065918,0.1541278213262558
fcn,mpvS,EOGVerticalSignal,204,0.4309392273426056,0.4309391677379608,2.693647623062134,0.9060773253440857,0.9060772657394409,0.3275737464427948
fcn,mpvS,LargeKitchenAppliances,173,0.8853333592414856,0.8853332996368408,0.801288902759552,0.9973333477973938,0.997333288192749,0.010020039044320583
fcn,mpvS,RefrigerationDevices,169,0.5146666765213013,0.5146666169166565,1.485264778137207,0.8773333430290222,0.8773332834243774,0.3466677963733673
fcn,mpvS,ScreenType,169,0.5120000243186951,0.5119999647140503,1.1383837461471558,0.7120000123977661,0.7119999527931213,0.7058399319648743
fcn,mpvS,SmallKitchenAppliances,168,0.7733333110809326,0.7733332514762878,0.6375303268432617,0.8373333215713501,0.8373332619667053,0.3591168522834778
fcn,mpvS,MedicalImages,414,0.7447368502616882,0.7447367906570435,0.6727579832077026,0.9291338324546814,0.9291337728500366,0.22278867661952972
fcn,mpvS,Adiac,372,0.695652186870575,0.6956521272659302,1.1279288530349731,0.771794855594635,0.7717947959899902,0.7744448781013489
fcn,mpvS,CricketX,361,0.7076923251152039,0.7076922655105591,0.9533654451370239,0.9948717951774597,0.9948717355728149,0.06377550214529037
fcn,mpvS,CricketY,353,0.7102563977241516,0.7102563381195068,0.9005787372589111,0.9974358677864075,0.9974358081817627,0.06155427172780037
fcn,mpvS,CricketZ,354,0.7487179636955261,0.7487179040908813,0.6548665761947632,0.9897435903549194,0.9897435307502747,0.11056722700595856
fcn,mpvS,MiddlePhalanxTW,376,0.5649350881576538,0.564935028553009,1.0450533628463745,0.6541353464126587,0.6541352868080139,0.8674593567848206
fcn,mpvS,DistalPhalanxOutlineAgeGroup,357,0.7482014298439026,0.7482013702392578,0.5735472440719604,0.8774999976158142,0.8774999380111694,0.30690640211105347
