model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,ppvS,Fish,214,0.6800000071525574,0.6799999475479126,1.0407463312149048,0.7485714554786682,0.7485713958740234,0.9220200181007385
fcn,ppvS,PowerCons,217,0.8888888955116272,0.8888888359069824,0.3165994882583618,1.0,1.0,0.05085455998778343
fcn,ppvS,Worms,125,0.7272727489471436,0.7272726893424988,0.7095383405685425,0.889502763748169,0.8895027041435242,0.4390888810157776
fcn,ppvS,WormsTwoClass,125,0.7142857313156128,0.7142856121063232,0.5312370657920837,0.90055251121521,0.9005524516105652,0.27849769592285156
fcn,ppvS,FacesUCR,266,0.8560975790023804,0.8560975193977356,0.5809209942817688,1.0,1.0,0.023654744029045105
fcn,ppvS,OSULeaf,227,0.9090909361839294,0.9090908765792847,0.2152237892150879,1.0,1.0,0.07013329118490219
fcn,ppvS,GestureMidAirD1,221,0.5461538434028625,0.5461537837982178,1.4286963939666748,0.6875,0.6874999403953552,1.12431800365448
fcn,ppvS,GestureMidAirD2,226,0.5384615659713745,0.5384615063667297,1.533935785293579,0.6009615659713745,0.6009615063667297,1.2448828220367432
fcn,ppvS,GestureMidAirD3,214,0.10769230872392654,0.10769225656986237,3.024038076400757,0.17788460850715637,0.1778845489025116,2.7886407375335693
fcn,ppvS,Phoneme,145,0.32542192935943604,0.32542186975479126,3.1494786739349365,0.8785046935081482,0.8785046339035034,0.5931409597396851
fcn,ppvS,InsectWingbeatSound,248,0.3909091055393219,0.3909090459346771,1.7285892963409424,0.6409090757369995,0.6409090161323547,1.0756163597106934
fcn,ppvS,Computers,144,0.7720000147819519,0.7719999551773071,0.6170333623886108,0.8880000114440918,0.887999951839447,0.3001873195171356
fcn,ppvS,WordSynonyms,257,0.43573668599128723,0.43573662638664246,2.1579065322875977,0.6816479563713074,0.6816478967666626,1.090505838394165
fcn,ppvS,AllGestureWiimoteX,237,0.6000000238418579,0.5999999642372131,1.1994922161102295,0.7666666507720947,0.76666659116745,0.8143699765205383
fcn,ppvS,AllGestureWiimoteY,225,0.5842857360839844,0.5842856764793396,1.247829794883728,0.7833333611488342,0.7833333015441895,0.7130842804908752
fcn,ppvS,AllGestureWiimoteZ,233,0.35857143998146057,0.3585713803768158,1.5263468027114868,0.5166666507720947,0.51666659116745,1.3053197860717773
fcn,ppvS,SemgHandGenderCh2,201,0.7933333516120911,0.7933332324028015,0.7516505718231201,1.0,1.0,0.00255183014087379
fcn,ppvS,Yoga,254,0.6926666498184204,0.6926665902137756,0.587792158126831,0.800000011920929,0.800000011920929,0.48773929476737976
fcn,ppvS,Earthquakes,262,0.7553957104682922,0.7553956508636475,0.5212150812149048,0.8478260636329651,0.8478259444236755,0.34245002269744873
fcn,ppvS,EOGHorizontalSignal,215,0.41988950967788696,0.4198894500732422,1.9227181673049927,0.8314917087554932,0.8314916491508484,0.5477269887924194
fcn,ppvS,EOGVerticalSignal,212,0.3729281723499298,0.3729281425476074,2.36531925201416,0.7541436553001404,0.7541436553001404,0.718765914440155
fcn,ppvS,LargeKitchenAppliances,170,0.7093333601951599,0.7093333005905151,0.7153334021568298,0.7680000066757202,0.7679999470710754,0.6063797473907471
fcn,ppvS,RefrigerationDevices,171,0.5066666603088379,0.5066666007041931,1.679610013961792,0.8533333539962769,0.8533332347869873,0.3835531771183014
fcn,ppvS,ScreenType,169,0.3893333375453949,0.3893332779407501,1.1944761276245117,0.5786666870117188,0.578666627407074,0.8450006246566772
fcn,ppvS,SmallKitchenAppliances,167,0.781333327293396,0.7813332080841064,0.5084607601165771,0.7599999904632568,0.7599999308586121,0.5895103216171265
fcn,ppvS,MedicalImages,440,0.7289473414421082,0.7289472222328186,0.699755847454071,0.913385808467865,0.9133857488632202,0.34268638491630554
fcn,ppvS,Adiac,347,0.7237851619720459,0.7237851619720459,0.9752523303031921,0.7846153974533081,0.7846153378486633,0.7951798439025879
fcn,ppvS,CricketX,314,0.7256410121917725,0.7256409525871277,0.8035503625869751,0.9846153855323792,0.9846153259277344,0.15374845266342163
fcn,ppvS,CricketY,320,0.6743589639663696,0.6743589043617249,0.8328413963317871,0.9743589758872986,0.9743589162826538,0.20887643098831177
fcn,ppvS,CricketZ,315,0.728205144405365,0.7282050848007202,0.6935974955558777,0.9692307710647583,0.9692307114601135,0.2240806519985199
fcn,ppvS,MiddlePhalanxTW,462,0.6038960814476013,0.6038960218429565,1.03358793258667,0.6691729426383972,0.6691728830337524,0.8636422753334045
fcn,ppvS,DistalPhalanxOutlineAgeGroup,493,0.7410072088241577,0.7410071492195129,0.5661431550979614,0.9024999737739563,0.9024998545646667,0.2731405198574066
