model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap,Fish,246,0.9885714054107666,0.9885713458061218,0.10412289947271347,1.0,1.0,5.953648951617652e-07
inception,gap,PowerCons,187,0.9333333373069763,0.9333332777023315,0.2535000443458557,1.0,1.0,4.549762252281653e-06
inception,gap,Worms,377,0.7532467246055603,0.7532466650009155,0.8259119987487793,1.0,1.0,3.6937919503543526e-05
inception,gap,WormsTwoClass,372,0.7142857313156128,0.7142856121063232,0.924256443977356,1.0,1.0,7.572398317279294e-05
inception,gap,FacesUCR,194,0.9639024138450623,0.9639023542404175,0.19686339795589447,1.0,1.0,2.38418573772492e-09
inception,gap,OSULeaf,277,0.9173553586006165,0.9173552989959717,0.3809967637062073,1.0,1.0,4.887575641987496e-07
inception,gap,GestureMidAirD1,259,0.7461538314819336,0.7461537718772888,1.517653465270996,1.0,1.0,1.3256284319140832e-06
inception,gap,GestureMidAirD2,261,0.7230769395828247,0.7230768799781799,2.3583950996398926,1.0,1.0,1.1313388768030563e-06
inception,gap,GestureMidAirD3,258,0.38461539149284363,0.38461533188819885,4.162987232208252,1.0,1.0,3.863970960082952e-06
inception,gap,Phoneme,484,0.31434598565101624,0.31434592604637146,5.57323694229126,1.0,1.0,1.2170799891464412e-05
inception,gap,InsectWingbeatSound,252,0.6358585953712463,0.6358585357666016,2.3430886268615723,1.0,1.0,2.6876273295783903e-07
inception,gap,Computers,433,0.7680000066757202,0.7679999470710754,2.1326305866241455,1.0,1.0,1.123422521231987e-06
inception,gap,WordSynonyms,297,0.7335423231124878,0.733542263507843,1.8049464225769043,1.0,1.0,2.8261968054721365e-07
inception,gap,AllGestureWiimoteX,413,0.7842857241630554,0.7842856645584106,1.413472056388855,1.0,1.0,2.5113408241850266e-07
inception,gap,AllGestureWiimoteY,406,0.8171428442001343,0.8171427845954895,1.353697657585144,1.0,1.0,3.576278384542775e-09
inception,gap,AllGestureWiimoteZ,419,0.8185714483261108,0.8185713887214661,1.125075101852417,1.0,1.0,9.103604270421783e-07
inception,gap,SemgHandGenderCh2,810,0.8500000238418579,0.8499999642372131,0.6151832938194275,1.0,1.0,6.949864541638817e-07
inception,gap,Yoga,383,0.9106666445732117,0.9106665849685669,0.47042304277420044,1.0,1.0,4.108737243768701e-07
inception,gap,Earthquakes,440,0.7410072088241577,0.7410071492195129,1.5279769897460938,1.0,1.0,3.3575674024177715e-05
inception,gap,EOGHorizontalSignal,888,0.5883978009223938,0.588397741317749,2.75069522857666,1.0,1.0,1.2780385532096261e-06
inception,gap,EOGVerticalSignal,880,0.4861878454685211,0.48618778586387634,4.2062177658081055,1.0,1.0,1.4505949366139248e-06
inception,gap,LargeKitchenAppliances,610,0.9039999842643738,0.903999924659729,0.8720657825469971,1.0,1.0,1.0423635785627994e-06
inception,gap,RefrigerationDevices,614,0.5146666765213013,0.5146666169166565,6.083504676818848,1.0,1.0,2.0557909010676667e-06
inception,gap,ScreenType,611,0.5600000023841858,0.559999942779541,3.35671067237854,1.0,1.0,5.9222015806881245e-06
inception,gap,SmallKitchenAppliances,622,0.7786666750907898,0.778666615486145,2.4815914630889893,0.9893333315849304,0.9893332719802856,0.017890507355332375
inception,gap,MedicalImages,301,0.7907894849777222,0.7907894253730774,1.4518359899520874,1.0,1.0,3.4761382039505406e-07
inception,gap,Adiac,370,0.8465473055839539,0.8465472459793091,1.1371300220489502,1.0,1.0,8.486319529765751e-06
inception,gap,CricketX,406,0.8512820601463318,0.851282000541687,0.7767704129219055,1.0,1.0,1.3369727867029724e-06
inception,gap,CricketY,409,0.8307692408561707,0.8307692408561707,0.9062130451202393,1.0,1.0,1.5084473261595122e-06
inception,gap,CricketZ,408,0.8487179279327393,0.8487178683280945,0.7401398420333862,1.0,1.0,9.270779059988854e-07
inception,gap,MiddlePhalanxTW,303,0.48701298236846924,0.48701292276382446,4.944970607757568,1.0,1.0,1.3623900940729072e-07
inception,gap,DistalPhalanxOutlineAgeGroup,296,0.6834532618522644,0.6834532022476196,2.780569314956665,1.0,1.0,1.162290441669711e-08
