model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_gmp,Fish,259,0.9828571677207947,0.9828571081161499,0.5186669230461121,1.0,1.0,4.087175486944261e-09
inception,gap_gmp,PowerCons,201,0.9388889074325562,0.9388888478279114,0.18632057309150696,1.0,1.0,0.0
inception,gap_gmp,Worms,391,0.6883116960525513,0.6883116364479065,1.6549900770187378,1.0,1.0,5.99997235894989e-07
inception,gap_gmp,WormsTwoClass,388,0.7532467246055603,0.7532466650009155,1.2318499088287354,1.0,1.0,3.5301724210512475e-07
inception,gap_gmp,FacesUCR,226,0.9434146285057068,0.943414568901062,0.21848076581954956,1.0,1.0,0.0
inception,gap_gmp,OSULeaf,296,0.8884297609329224,0.8884297013282776,0.5621591210365295,1.0,1.0,3.7789334328408586e-07
inception,gap_gmp,GestureMidAirD1,274,0.7384615540504456,0.7384614944458008,1.68854820728302,1.0,1.0,2.928650530975574e-07
inception,gap_gmp,GestureMidAirD2,274,0.6461538672447205,0.6461538076400757,2.917301654815674,1.0,1.0,1.7193646506541427e-09
inception,gap_gmp,GestureMidAirD3,275,0.36153846979141235,0.3615384101867676,4.668419361114502,1.0,1.0,1.1210247521376004e-06
inception,gap_gmp,Phoneme,491,0.2151898741722107,0.2151898294687271,5.134483337402344,1.0,1.0,2.2282109490845414e-09
inception,gap_gmp,InsectWingbeatSound,249,0.6106060743331909,0.6106060147285461,2.342784881591797,1.0,1.0,2.460045891439222e-07
inception,gap_gmp,Computers,440,0.7039999961853027,0.703999936580658,2.452458143234253,1.0,1.0,5.722045504086282e-09
inception,gap_gmp,WordSynonyms,327,0.6880877614021301,0.6880877017974854,2.108954429626465,1.0,1.0,8.036580290138318e-09
inception,gap_gmp,AllGestureWiimoteX,418,0.7171428799629211,0.7171428203582764,2.221127986907959,1.0,1.0,0.0
inception,gap_gmp,AllGestureWiimoteY,415,0.7628571391105652,0.7628570795059204,1.5138771533966064,1.0,1.0,0.0
inception,gap_gmp,AllGestureWiimoteZ,414,0.7528571486473083,0.7528570294380188,1.718271017074585,1.0,1.0,3.9736428036896143e-10
inception,gap_gmp,SemgHandGenderCh2,836,0.7133333086967468,0.7133333086967468,1.9380688667297363,1.0,1.0,2.384185515680315e-09
inception,gap_gmp,Yoga,395,0.8923333287239075,0.8923332691192627,0.6627398729324341,1.0,1.0,3.9736428036896143e-10
inception,gap_gmp,Earthquakes,487,0.7482014298439026,0.7482013702392578,2.3399252891540527,1.0,1.0,0.0
inception,gap_gmp,EOGHorizontalSignal,854,0.5441988706588745,0.5441988110542297,4.874734878540039,1.0,1.0,6.421493736752382e-08
inception,gap_gmp,EOGVerticalSignal,852,0.3922652006149292,0.3922651410102844,7.379858016967773,1.0,1.0,2.2853924974697293e-07
inception,gap_gmp,LargeKitchenAppliances,618,0.890666663646698,0.8906666040420532,1.4758014678955078,1.0,1.0,1.271565630567295e-09
inception,gap_gmp,RefrigerationDevices,619,0.5440000295639038,0.543999969959259,3.339733839035034,1.0,1.0,0.0
inception,gap_gmp,ScreenType,610,0.5199999809265137,0.5199999213218689,4.425580978393555,1.0,1.0,2.99771556910855e-07
inception,gap_gmp,SmallKitchenAppliances,609,0.7733333110809326,0.7733332514762878,1.7909736633300781,0.9946666955947876,0.9946666359901428,0.010936501435935497
inception,gap_gmp,MedicalImages,347,0.7749999761581421,0.7749999165534973,1.7119098901748657,1.0,1.0,1.0012327855690728e-08
inception,gap_gmp,Adiac,356,0.810741662979126,0.8107416033744812,1.2848001718521118,1.0,1.0,5.648680030390096e-07
inception,gap_gmp,CricketX,431,0.7692307829856873,0.7692307233810425,1.3485513925552368,1.0,1.0,0.0
inception,gap_gmp,CricketY,417,0.8179486989974976,0.8179486393928528,1.2136781215667725,1.0,1.0,3.6679779213955044e-08
inception,gap_gmp,CricketZ,426,0.807692289352417,0.8076922297477722,1.14490807056427,1.0,1.0,0.0
inception,gap_gmp,MiddlePhalanxTW,328,0.5064935088157654,0.5064934492111206,4.922136306762695,1.0,1.0,0.0
inception,gap_gmp,DistalPhalanxOutlineAgeGroup,308,0.7194244861602783,0.7194243669509888,2.622286319732666,1.0,1.0,0.0
