model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,map2,Fish,251,0.9599999785423279,0.9599999189376831,0.15857218205928802,1.0,1.0,2.1525787019527343e-07
inception,map2,PowerCons,189,0.9777777791023254,0.9777777194976807,0.1633949875831604,1.0,1.0,6.622737913630772e-10
inception,map2,Worms,391,0.7792207598686218,0.779220700263977,1.616306185722351,1.0,1.0,8.172495654434897e-06
inception,map2,WormsTwoClass,383,0.7662337422370911,0.7662336826324463,1.3042325973510742,1.0,1.0,3.1237855182553176e-06
inception,map2,FacesUCR,206,0.9565853476524353,0.9565852880477905,0.22697551548480988,1.0,1.0,5.9604643443123e-10
inception,map2,OSULeaf,274,0.913223147392273,0.9132230877876282,0.4122796058654785,1.0,1.0,6.425373157981085e-07
inception,map2,GestureMidAirD1,264,0.7307692170143127,0.730769157409668,1.8345320224761963,1.0,1.0,1.2837921303798794e-07
inception,map2,GestureMidAirD2,263,0.6615384817123413,0.6615384221076965,2.4638447761535645,1.0,1.0,8.671314049024659e-07
inception,map2,GestureMidAirD3,262,0.4076923131942749,0.4076922535896301,4.497100353240967,1.0,1.0,1.904480200209946e-06
inception,map2,Phoneme,473,0.34229958057403564,0.34229952096939087,5.686298370361328,1.0,1.0,3.7389218050520867e-06
inception,map2,InsectWingbeatSound,247,0.6303030252456665,0.6303029656410217,2.2635440826416016,1.0,1.0,3.6629751321015647e-07
inception,map2,Computers,449,0.7760000228881836,0.775999903678894,2.122692823410034,1.0,1.0,1.0642828556228778e-06
inception,map2,WordSynonyms,310,0.7586206793785095,0.7586206197738647,2.1887881755828857,1.0,1.0,4.8219479964473067e-08
inception,map2,AllGestureWiimoteX,420,0.7857142686843872,0.7857141494750977,1.4389193058013916,1.0,1.0,3.5683274290931877e-07
inception,map2,AllGestureWiimoteY,405,0.8100000023841858,0.8099998831748962,1.2941416501998901,1.0,1.0,6.755191606089284e-08
inception,map2,AllGestureWiimoteZ,414,0.7785714268684387,0.778571367263794,1.522756576538086,1.0,1.0,4.2517942233644135e-07
inception,map2,SemgHandGenderCh2,855,0.8450000286102295,0.8449999094009399,0.5688134431838989,1.0,1.0,2.3047126873620982e-08
inception,map2,Yoga,388,0.9046666622161865,0.9046666026115417,0.5997869968414307,1.0,1.0,3.9736428036896143e-10
inception,map2,Earthquakes,456,0.7122302055358887,0.7122301459312439,1.97613525390625,1.0,1.0,1.4438390927296041e-08
inception,map2,EOGHorizontalSignal,923,0.5828729271888733,0.5828728675842285,3.418214797973633,1.0,1.0,8.785895033724955e-07
inception,map2,EOGVerticalSignal,917,0.48342540860176086,0.4834253489971161,4.951645851135254,1.0,1.0,9.500497526460094e-07
inception,map2,LargeKitchenAppliances,608,0.9066666960716248,0.90666663646698,1.1594598293304443,1.0,1.0,5.585339977187687e-07
inception,map2,RefrigerationDevices,603,0.5253333449363708,0.5253332853317261,5.777914047241211,1.0,1.0,3.306070794906191e-08
inception,map2,ScreenType,612,0.581333339214325,0.5813332796096802,3.574934244155884,1.0,1.0,3.5857315197063144e-06
inception,map2,SmallKitchenAppliances,600,0.7946666479110718,0.794666588306427,1.578687310218811,1.0,1.0,0.0032756696455180645
inception,map2,MedicalImages,318,0.7815789580345154,0.7815788984298706,1.7415800094604492,1.0,1.0,4.693278654599453e-09
inception,map2,Adiac,368,0.790281355381012,0.7902812957763672,1.5048549175262451,1.0,1.0,1.0210479558736552e-05
inception,map2,CricketX,425,0.8179486989974976,0.8179486393928528,1.2521864175796509,1.0,1.0,2.6531688490649685e-07
inception,map2,CricketY,422,0.8487179279327393,0.8487178683280945,0.9340810775756836,1.0,1.0,1.0117502569073622e-07
inception,map2,CricketZ,421,0.8538461327552795,0.8538460731506348,0.9322745203971863,1.0,1.0,9.628440977849095e-08
inception,map2,MiddlePhalanxTW,315,0.4610389471054077,0.46103888750076294,4.8808674812316895,1.0,1.0,1.0038671405254718e-07
inception,map2,DistalPhalanxOutlineAgeGroup,297,0.7266187071800232,0.7266186475753784,3.041177749633789,1.0,1.0,0.0
