model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,mipvS,Fish,247,0.3257142901420593,0.32571423053741455,3.994331121444702,0.2971428632736206,0.29714280366897583,3.880246877670288
inception,mipvS,PowerCons,189,0.8277778029441833,0.8277777433395386,0.8032487034797668,0.8833333253860474,0.8833332657814026,0.47277259826660156
inception,mipvS,Worms,363,0.2467532455921173,0.24675320088863373,15.258214950561523,0.28729280829429626,0.2872927486896515,12.339372634887695
inception,mipvS,WormsTwoClass,363,0.48051947355270386,0.4805194139480591,9.046080589294434,0.5359116196632385,0.5359115600585938,7.10359525680542
inception,mipvS,FacesUCR,201,0.5809755921363831,0.5809755325317383,1.9348342418670654,0.7149999737739563,0.7149999737739563,0.7746469378471375
inception,mipvS,OSULeaf,283,0.19834710657596588,0.1983470767736435,7.707324504852295,0.3149999976158142,0.31499993801116943,5.3095879554748535
inception,mipvS,GestureMidAirD1,258,0.2153846174478531,0.2153845727443695,14.293086051940918,0.38461539149284363,0.38461533188819885,9.559080123901367
inception,mipvS,GestureMidAirD2,262,0.3153846263885498,0.31538456678390503,6.544999599456787,0.4134615361690521,0.41346147656440735,3.5042483806610107
inception,mipvS,GestureMidAirD3,253,0.0923076942563057,0.09230764210224152,19.528324127197266,0.2211538404226303,0.22115379571914673,12.803444862365723
inception,mipvS,Phoneme,475,0.08016877621412277,0.0801687240600586,29.317737579345703,0.12616822123527527,0.1261681765317917,17.09291648864746
inception,mipvS,InsectWingbeatSound,244,0.30252525210380554,0.30252519249916077,5.200174331665039,0.36818182468414307,0.3681817650794983,3.2855310440063477
inception,mipvS,Computers,431,0.5,0.4999999403953552,10.616593360900879,0.5120000243186951,0.5119999647140503,7.82861328125
inception,mipvS,WordSynonyms,297,0.2664576768875122,0.26645761728286743,7.778565883636475,0.32958802580833435,0.3295879662036896,4.658452987670898
inception,mipvS,AllGestureWiimoteX,415,0.22857142984867096,0.22857138514518738,6.122043609619141,0.3033333420753479,0.3033332824707031,4.760408878326416
inception,mipvS,AllGestureWiimoteY,403,0.2914285659790039,0.29142850637435913,7.485900402069092,0.40666666626930237,0.4066666066646576,5.676015853881836
inception,mipvS,AllGestureWiimoteZ,396,0.2014285773038864,0.20142853260040283,9.367315292358398,0.23333333432674408,0.2333332896232605,8.751709938049316
inception,mipvS,SemgHandGenderCh2,823,0.6183333396911621,0.6183332800865173,5.464348793029785,0.7166666388511658,0.716666579246521,4.330318450927734
inception,mipvS,Yoga,378,0.5473333597183228,0.547333300113678,2.067277193069458,0.6100000143051147,0.60999995470047,1.678554892539978
inception,mipvS,Earthquakes,427,0.6906474828720093,0.6906474232673645,2.002570629119873,0.7763975262641907,0.7763974666595459,1.6103545427322388
inception,mipvS,EOGHorizontalSignal,874,0.295580118894577,0.29558005928993225,19.219738006591797,0.3867403268814087,0.3867402672767639,10.128366470336914
inception,mipvS,EOGVerticalSignal,861,0.20441989600658417,0.20441985130310059,41.20737075805664,0.31215471029281616,0.3121546506881714,23.8875732421875
inception,mipvS,LargeKitchenAppliances,607,0.35733333230018616,0.3573332726955414,6.910554885864258,0.4266666769981384,0.42666658759117126,3.6326591968536377
inception,mipvS,RefrigerationDevices,608,0.3440000116825104,0.3439999520778656,7.9736504554748535,0.35733333230018616,0.3573332726955414,6.118229866027832
inception,mipvS,ScreenType,610,0.3386666774749756,0.3386666178703308,6.918249130249023,0.36800000071525574,0.36799994111061096,5.669219493865967
inception,mipvS,SmallKitchenAppliances,604,0.42933332920074463,0.42933326959609985,3.8604676723480225,0.3946666717529297,0.3946666121482849,4.123773574829102
inception,mipvS,MedicalImages,320,0.5947368144989014,0.5947367548942566,1.4584729671478271,0.6692913174629211,0.6692912578582764,0.8954265117645264
inception,mipvS,Adiac,357,0.13810741901397705,0.13810737431049347,3.8649468421936035,0.17179487645626068,0.1717948317527771,3.586031436920166
inception,mipvS,CricketX,432,0.20769231021404266,0.20769228041172028,6.575890064239502,0.29487180709838867,0.2948717474937439,4.921907424926758
inception,mipvS,CricketY,426,0.23333333432674408,0.2333332896232605,6.228202819824219,0.30512821674346924,0.30512815713882446,4.866470813751221
inception,mipvS,CricketZ,426,0.2666666805744171,0.26666662096977234,4.784814357757568,0.3282051384449005,0.32820507884025574,3.484936237335205
inception,mipvS,MiddlePhalanxTW,313,0.4610389471054077,0.46103888750076294,1.3688462972640991,0.6090225577354431,0.6090224981307983,1.084368348121643
inception,mipvS,DistalPhalanxOutlineAgeGroup,304,0.6762589812278748,0.67625892162323,0.9004795551300049,0.8025000095367432,0.8024999499320984,0.5097171068191528
