model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,ppvH,Fish,283,0.8799999952316284,0.8799999356269836,0.9733884334564209,0.8799999952316284,0.8799999356269836,0.9369447827339172
inception,ppvH,PowerCons,199,0.855555534362793,0.8555554747581482,0.3721414804458618,0.8444444537162781,0.8444443941116333,0.3822193145751953
inception,ppvH,Worms,390,0.649350643157959,0.6493505835533142,0.8986855745315552,0.6795580387115479,0.6795579791069031,0.8542944192886353
inception,ppvH,WormsTwoClass,383,0.7792207598686218,0.779220700263977,0.5181735157966614,0.7458563446998596,0.7458563446998596,0.5096737146377563
inception,ppvH,FacesUCR,228,0.761951208114624,0.7619511485099792,0.9786756634712219,0.925000011920929,0.9249999523162842,0.5991241931915283
inception,ppvH,OSULeaf,299,0.7644628286361694,0.7644627690315247,0.7218576073646545,0.8600000143051147,0.85999995470047,0.5424209833145142
inception,ppvH,GestureMidAirD1,281,0.5,0.4999999403953552,1.635450005531311,0.8365384340286255,0.8365383744239807,0.8575369119644165
inception,ppvH,GestureMidAirD2,273,0.48461538553237915,0.4846153259277344,1.4406614303588867,0.625,0.6249999403953552,1.1899607181549072
inception,ppvH,GestureMidAirD3,274,0.2461538463830948,0.2461538016796112,2.6041693687438965,0.5721153616905212,0.5721153020858765,1.6069588661193848
inception,ppvH,Phoneme,482,0.2848101258277893,0.28481006622314453,2.694627523422241,0.5467289686203003,0.5467289090156555,1.6242493391036987
inception,ppvH,InsectWingbeatSound,243,0.5207070708274841,0.5207070112228394,1.4150289297103882,0.6636363863945007,0.663636326789856,1.2078392505645752
inception,ppvH,Computers,431,0.6840000152587891,0.6839999556541443,0.5911464095115662,0.7839999794960022,0.7839999198913574,0.48126456141471863
inception,ppvH,WordSynonyms,313,0.4670846462249756,0.4670845866203308,2.0278050899505615,0.584269642829895,0.5842695832252502,1.4802775382995605
inception,ppvH,AllGestureWiimoteX,405,0.345714271068573,0.3457142114639282,1.9569095373153687,0.4699999988079071,0.46999993920326233,1.642829179763794
inception,ppvH,AllGestureWiimoteY,403,0.4057142734527588,0.405714213848114,1.7340885400772095,0.5733333230018616,0.5733332633972168,1.298737645149231
inception,ppvH,AllGestureWiimoteZ,399,0.3142857253551483,0.31428566575050354,1.8204532861709595,0.4300000071525574,0.4299999475479126,1.6286041736602783
inception,ppvH,SemgHandGenderCh2,832,0.7416666746139526,0.7416666150093079,0.597304105758667,0.7333333492279053,0.7333332896232605,0.6011240482330322
inception,ppvH,Yoga,381,0.6783333420753479,0.6783332824707031,0.61809241771698,0.7300000190734863,0.7299999594688416,0.5695064067840576
inception,ppvH,Earthquakes,433,0.7482014298439026,0.7482013702392578,0.5271373987197876,0.8198757767677307,0.8198757171630859,0.4355859160423279
inception,ppvH,EOGHorizontalSignal,891,0.3867403268814087,0.3867402672767639,1.779990315437317,0.6795580387115479,0.6795579791069031,1.0188361406326294
inception,ppvH,EOGVerticalSignal,883,0.3674033284187317,0.3674032688140869,2.094902992248535,0.5939226746559143,0.5939226150512695,1.2154148817062378
inception,ppvH,LargeKitchenAppliances,616,0.5946666598320007,0.594666600227356,0.8834213614463806,0.637333333492279,0.6373332738876343,0.8051389455795288
inception,ppvH,RefrigerationDevices,616,0.54666668176651,0.5466666221618652,1.0891568660736084,0.7146666646003723,0.7146666049957275,0.6441898941993713
inception,ppvH,ScreenType,604,0.4026666581630707,0.4026666283607483,1.0755681991577148,0.5386666655540466,0.5386666059494019,0.9471644163131714
inception,ppvH,SmallKitchenAppliances,611,0.8186666369438171,0.8186665773391724,0.580049991607666,0.746666669845581,0.7466665506362915,0.6354337334632874
inception,ppvH,MedicalImages,346,0.6671052575111389,0.6671051979064941,0.8755916953086853,0.7664042115211487,0.7664041519165039,0.6534503102302551
inception,ppvH,Adiac,374,0.45012786984443665,0.45012781023979187,2.179807424545288,0.5589743852615356,0.5589743256568909,2.0043132305145264
inception,ppvH,CricketX,458,0.5974358916282654,0.5974358320236206,1.2597366571426392,0.7538461685180664,0.7538461089134216,0.926914393901825
inception,ppvH,CricketY,442,0.6000000238418579,0.5999999642372131,1.3150728940963745,0.7307692170143127,0.730769157409668,1.0158649682998657
inception,ppvH,CricketZ,437,0.6051282286643982,0.6051281690597534,1.2678050994873047,0.7230769395828247,0.7230768799781799,1.0555161237716675
inception,ppvH,MiddlePhalanxTW,363,0.5454545617103577,0.5454545021057129,1.0652439594268799,0.6817042827606201,0.6817042231559753,0.8433663249015808
inception,ppvH,DistalPhalanxOutlineAgeGroup,335,0.7050359845161438,0.705035924911499,0.6679065823554993,0.8299999833106995,0.8299999237060547,0.4233126938343048
