model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,ppvHste,Fish,249,0.9942857027053833,0.9942856431007385,0.01997160166501999,1.0,1.0,1.405220518790884e-05
inception,ppvHste,PowerCons,183,0.9333333373069763,0.9333332777023315,0.17927010357379913,1.0,1.0,0.00037999285268597305
inception,ppvHste,Worms,382,0.8181818127632141,0.8181817531585693,0.6799679398536682,1.0,1.0,0.003908552695065737
inception,ppvHste,WormsTwoClass,375,0.701298713684082,0.7012986540794373,1.0071792602539062,1.0,1.0,0.0010806714417412877
inception,ppvHste,FacesUCR,220,0.9639024138450623,0.9639023542404175,0.1388886421918869,1.0,1.0,3.937469500669977e-06
inception,ppvHste,OSULeaf,284,0.9752066135406494,0.9752065539360046,0.0790068581700325,1.0,1.0,2.127009429386817e-05
inception,ppvHste,GestureMidAirD1,265,0.7384615540504456,0.7384614944458008,0.907508909702301,1.0,1.0,0.002251600380986929
inception,ppvHste,GestureMidAirD2,263,0.6692307591438293,0.6692306995391846,1.074931025505066,1.0,1.0,0.027590002864599228
inception,ppvHste,GestureMidAirD3,261,0.35384616255760193,0.35384610295295715,2.24975323677063,1.0,1.0,0.012089879252016544
inception,ppvHste,Phoneme,473,0.3212025463581085,0.32120248675346375,3.442878246307373,1.0,1.0,0.0006298443186096847
inception,ppvHste,InsectWingbeatSound,240,0.6282828450202942,0.6282827854156494,1.5528267621994019,1.0,1.0,4.737606650451198e-05
inception,ppvHste,Computers,432,0.7599999904632568,0.7599999308586121,0.8412262201309204,1.0,1.0,0.0013110616710036993
inception,ppvHste,WordSynonyms,304,0.7194357514381409,0.7194356918334961,1.1920884847640991,1.0,1.0,2.265374132548459e-05
inception,ppvHste,AllGestureWiimoteX,415,0.7699999809265137,0.7699999213218689,0.7904977798461914,1.0,1.0,0.000904581043869257
inception,ppvHste,AllGestureWiimoteY,408,0.7771428823471069,0.7771428227424622,0.704403281211853,1.0,1.0,0.0033607399091124535
inception,ppvHste,AllGestureWiimoteZ,411,0.7628571391105652,0.7628570795059204,0.7646465301513672,1.0,1.0,0.0015119027812033892
inception,ppvHste,SemgHandGenderCh2,801,0.7450000047683716,0.744999885559082,0.7499541640281677,1.0,1.0,3.465231566224247e-05
inception,ppvHste,Yoga,381,0.9013333320617676,0.9013332724571228,0.3497534990310669,1.0,1.0,0.00012354111822787672
inception,ppvHste,Earthquakes,429,0.7122302055358887,0.7122301459312439,1.7161506414413452,1.0,1.0,0.0003400785499252379
inception,ppvHste,EOGHorizontalSignal,864,0.5469613075256348,0.54696124792099,1.4603182077407837,1.0,1.0,0.005230980459600687
inception,ppvHste,EOGVerticalSignal,864,0.4226519465446472,0.42265188694000244,2.1316587924957275,1.0,1.0,0.008749905973672867
inception,ppvHste,LargeKitchenAppliances,611,0.9120000004768372,0.9119999408721924,0.7207124829292297,1.0,1.0,0.0008924616849981248
inception,ppvHste,RefrigerationDevices,609,0.5226666927337646,0.5226666331291199,4.2589898109436035,1.0,1.0,2.8041973564540967e-05
inception,ppvHste,ScreenType,609,0.5706666707992554,0.5706666111946106,1.8409870862960815,1.0,1.0,0.000816811341792345
inception,ppvHste,SmallKitchenAppliances,615,0.7573333382606506,0.7573332786560059,1.1295256614685059,0.9786666631698608,0.9786665439605713,0.04143376648426056
inception,ppvHste,MedicalImages,313,0.7842105031013489,0.7842104434967041,1.1242297887802124,1.0,1.0,3.332103733555414e-05
inception,ppvHste,Adiac,341,0.8439897894859314,0.8439897298812866,0.5466479659080505,1.0,1.0,0.0028041768819093704
inception,ppvHste,CricketX,427,0.8666666746139526,0.8666666150093079,0.4932321012020111,1.0,1.0,7.21909455023706e-05
inception,ppvHste,CricketY,423,0.8692307472229004,0.8692306876182556,0.5049513578414917,1.0,1.0,7.101980008883402e-05
inception,ppvHste,CricketZ,426,0.8564102649688721,0.8564102053642273,0.5046786069869995,1.0,1.0,9.457042324356735e-05
inception,ppvHste,MiddlePhalanxTW,326,0.5259740352630615,0.5259739756584167,2.928715705871582,1.0,1.0,2.0495870558079332e-05
inception,ppvHste,DistalPhalanxOutlineAgeGroup,312,0.7122302055358887,0.7122301459312439,2.312610626220703,1.0,1.0,1.2822792996303178e-05
